key	english	french	russian	bulgarian
Conversations/Bank/Vera/Banked Lines/basement/basement_1/init	Always nice to see you.	C'est toujours un plaisir de te voir.	Всегда приятно тебя видеть.	Always nice to see you.
Conversations/Bank/Vera/Banked Lines/before_times/before_times/init	You should ask some of the folk here what their hair was like before I started showing up.	Tu devais demander à certains habitants à quoi ressemblaient leurs cheveux avant que je commence à venir.	Спроси-ка местных, какими были их причёски, пока я не начала сюда приезжать.	You should ask some of the folk here what their hair was like before I started showing up.
Conversations/Bank/Vera/Banked Lines/chatting_with_jo/chatting_with_jo/1	She sees everything that happens from behind that bar of hers, and I live to hear about it!	Derrière son bar, elle voit tout ce qui se passe et j'adore l'écouter tout me raconter !	Она же за своей стойкой видит всё, что творится, а я живу ради её историй!	She sees everything that happens from behind that bar of hers, and I live to hear about it!
Conversations/Bank/Vera/Banked Lines/chatting_with_jo/chatting_with_jo/init	I love getting into it with Jo when I do her hair!	J'adore m'absorber dans la conversation quand je m'occupe de coiffer Jo !	Обожаю болтать с Джо, пока делаю ей причёску!	I love getting into it with Jo when I do her hair!
Conversations/Bank/Vera/Banked Lines/cold/cold/init	Let me take your mind off the cold with a great new cut!	Laisse-moi te faire oublier le froid avec une nouvelle coupe !	Давай отвлеку тебя от холода классной новой стрижкой!	Let me take your mind off the cold with a great new cut!
Conversations/Bank/Vera/Banked Lines/come_by_again/come_by_again/init	Come by again some time, I'll give you an easy breezy cut!	Repasse me voir, à l'occasion, je te ferai une coupe facile à porter !	Заходи как-нибудь ещё, сделаю лёгкую, воздушную стрижку!	Come by again some time, I'll give you an easy breezy cut!
Conversations/Bank/Vera/Banked Lines/cool_drink/cool_drink/init	Glad Darcy's here, I'm just steps away from a cool drink!	Je suis contente que Darcy soit là, je ne vais pas tarder à aller boire quelque chose de frais !	Хорошо, что рядом Дарси: всегда в шаге от освежающего напитка!	Glad Darcy's here, I'm just steps away from a cool drink!
Conversations/Bank/Vera/Banked Lines/day_flies/day_flies/1	Gotta catch up on all the gossip I missed while the bridge was out!	Il faut que je rattrape tous les potins que j'ai loupés pendant que le pont était coupé !	Столько сплетен пропустила, пока мост был закрыт! Надо наверстать!	Gotta catch up on all the gossip I missed while the bridge was out!
Conversations/Bank/Vera/Banked Lines/day_flies/day_flies/init	The day flies by when you're having fun! I'm so happy to be cutting hair in Mistria again.	Quand on s'amuse, la journée passe à toute vitesse ! Je suis tellement contente de coiffer à nouveau les habitants de Mistria.	День летит, когда тебе весело! Так рада снова стричь людей в Мистрии.	The day flies by when you're having fun! I'm so happy to be cutting hair in Mistria again.
Conversations/Bank/Vera/Banked Lines/eilands_hair/eilands_hair/init	Eiland's hair would be the perfect canvas for some wild colors! Imagine him rocking neon green!	Les cheveux d'Eiland feraient une toile parfaite pour des couleurs osées ! Imagine-le avec les cheveux vert fluo !	Волосы Эйланда были бы идеальным холстом для диких цветов! Представь его с неоново-зелёным!	Eiland's hair would be the perfect canvas for some wild colors! Imagine him rocking neon green!
Conversations/Bank/Vera/Banked Lines/favorite_stop/favorite_stop/init	Mistria is definitely one of my favorite stops on my route.	Mistria est décidément l'une de mes étapes préférées.	Мистрия — точно один из любимых пунктов в моём маршруте.	Mistria is definitely one of my favorite stops on my route.
Conversations/Bank/Vera/Banked Lines/fresh_air/fresh_air/init	It's so nice to be out in the fresh air cutting hair!	C'est tellement agréable de pouvoir faire des coupes en plein air !	Так здорово стричь волосы на свежем воздухе!	It's so nice to be out in the fresh air cutting hair!
Conversations/Bank/Vera/Banked Lines/fresh_challenge/fresh_challenge/init	Everyone's hair is different, but I love a fresh challenge.	Tout le monde a des cheveux différents, mais j'aime les nouveaux défis.	У каждого волосы разные, но я люблю новые вызовы.	Everyone's hair is different, but I love a fresh challenge.
Conversations/Bank/Vera/Banked Lines/fresh_spring_cuts/fresh_spring_cuts/init	I was so busy today! Everyone wanted their fresh spring cuts.	J'ai été tellement occupée, aujourd'hui ! Tout le monde voulait une nouvelle coupe pour le printemps.	Сегодня была жуть как занята! Всем понадобились весенние стрижки.	I was so busy today! Everyone wanted their fresh spring cuts.
Conversations/Bank/Vera/Banked Lines/gossips/gossips/init	You know everyone gossips with me, and some of the stories they tell about you, well... if half of them are true, I'm impressed!	Tu sais, tout le monde papote avec moi, et certaines des histoires qu'on raconte sur toi, eh bien... Même s'il n'y en avait que la moitié de vraies, je serais déjà impressionnée !	Все делятся со мной сплетнями, и то, что рассказывают про тебя... если хоть половина правды — я впечатлена!	You know everyone gossips with me, and some of the stories they tell about you, well... if half of them are true, I'm impressed!
Conversations/Bank/Vera/Banked Lines/great_fashion/great_fashion/init	Great fashion starts with great hair!	Pour avoir de l'allure, il faut commencer par les cheveux !	Отличный стиль начинается с отличных волос!	Great fashion starts with great hair!
Conversations/Bank/Vera/Banked Lines/greeting_ari/greeting_ari/1	The name's Vera. I'm a traveling hair stylist, I've been all over Aldaria!	Moi, c'est Vera. Je suis coiffeuse itinérante. J'ai parcouru tout Aldaria !	Зовут Вера. Я путешествующая стилистка. Всю Альдарию обошла!	The name's Vera. I'm a traveling hair stylist, I've been all over Aldaria!
Conversations/Bank/Vera/Banked Lines/greeting_ari/greeting_ari/2	I'd be happy to teach you any hairstyle I know, just pick what you want and put down your coins!	Je serai ravie de t'enseigner toutes les coupes que je connais. Il te suffit de choisir et de payer !	Я буду рада научить тебя любой причёске. Просто выбери какую нравится и насыпь монет!	I'd be happy to teach you any hairstyle I know, just pick what you want and put down your coins!
Conversations/Bank/Vera/Banked Lines/greeting_ari/greeting_ari/init	Hello! If you're looking for a new hairstyle, you're talking to the right person!	Bonjour, bonjour ! Si tu as envie d'une nouvelle coupe de cheveux, tu es au bon endroit !	Привет! Если хочешь обновить прическу, то ты по адресу!	Hello! If you're looking for a new hairstyle, you're talking to the right person!
