key	english	french	russian	bulgarian
Conversations/Bank/Olric/Banked Lines/bar_work/bar_work/init	I'm working the bar today! Let me know if I can get you anything, pal!	Je suis derrière le bar, aujourd'hui ! Si tu veux quelque chose, n'hésite pas à demander !	Сегодня я за барной стойкой! Говори, что тебе налить, дружище!	I'm working the bar today! Let me know if I can get you anything, pal!
Conversations/Bank/Olric/Banked Lines/basement/basement_1/init	Whoa, it's [Ari]! Nice!	Tiens, mais c'est [Ari] ! Génial !	Ого, это же [Ari]! Круто!	Whoa, it's [Ari]! Nice!
Conversations/Bank/Olric/Banked Lines/bathhouse/bathhouse/init	Juniper said I can't swim laps in the bath anymore...	Juniper m'a dit d'arrêter de faire des longueurs, quand je suis aux bains...	Джунипер сказала, что мне больше нельзя плавать кругами в купальне...	Juniper said I can't swim laps in the bath anymore...
Conversations/Bank/Olric/Banked Lines/bathhouse/bathhouse_2/1	Or as I like to call it, the splash capital of Mistria!	Ou plutôt, comme je les appelle, au parc aquatique de Mistria !	Или, как я её называю, в столицу брызг Мистрии!	Or as I like to call it, the splash capital of Mistria!
Conversations/Bank/Olric/Banked Lines/bathhouse/bathhouse_2/init	Oh, hey [Ari]! Welcome to the Bathhouse!	Tiens, [Ari] ! Bienvenue aux bains !	О, привет, [Ari]! Добро пожаловать в купальню!	Oh, hey [Ari]! Welcome to the Bathhouse!
Conversations/Bank/Olric/Banked Lines/bathhouse/bathhouse_3/1	One... two... three... SWEAT!	Un... deux... trois... EXERCICE !	Раз... два... три... ПОТЕЕМ!	One... two... three... SWEAT!
Conversations/Bank/Olric/Banked Lines/bathhouse/bathhouse_3/init	Hey, [Ari]! Are you also here to sweat it out? Let's do it on the count of three!	Salut, [Ari] ! Tu viens faire un peu d'exercice, toi aussi ? On commence à trois !	Привет, [Ari]! Ты тоже <p>пришли</p><f>пришла</f><m>пришёл</m><n>пришло</n> попотеть? Давай на счёт три!	Hey, [Ari]! Are you also here to sweat it out? Let's do it on the count of three!
Conversations/Bank/Olric/Banked Lines/bathhouse/bathhouse_4/1	I'm just lucky there aren't any whirlpools in the Bathhouse. That's how I got super lost that one time!	Par contre, j'ai de la chance qu'il n'y ait pas de tourbillons, ici. C'est comme ça que je me suis retrouvé complètement perdu !	Хорошо, что в купальне нет водоворотов. Я однажды из-за такого серьёзно заблудился!	I'm just lucky there aren't any whirlpools in the Bathhouse. That's how I got super lost that one time!
Conversations/Bank/Olric/Banked Lines/bathhouse/bathhouse_4/init	Soaking in the bath reminds me of when I found an underground spring in the Mines.	Quand je prends un bain, ça me rappelle la fois où j'avais découvert une source souterraine dans la mine.	Когда я отмокаю в ванне, сразу вспоминаю подземные источники в шахтах.	Soaking in the bath reminds me of when I found an underground spring in the Mines.
Conversations/Bank/Olric/Banked Lines/bed/bed/init	Oh, hey [Ari]! Is this like a sleepover?	Tiens, [Ari] ! Tu passes la nuit ici ?	О, привет, [Ari]! Это что, типа ночёвки?	Oh, hey [Ari]! Is this like a sleepover?
Conversations/Bank/Olric/Banked Lines/big_swing/big_swing/init	Hey [Ari]! Watch yourself, I've got a big swing.	Hé, [Ari] ! Fais attention, je fais des mouvements amples.	Эй, [Ari]! Осторожнее, у меня размах большой.	Hey [Ari]! Watch yourself, I've got a big swing.
Conversations/Bank/Olric/Banked Lines/big_swing/big_swing_2/init	Oh, make a little room [Ari]... I've got a wide swing.	Oh, fais-moi un peu de place, [Ari]... J'ai besoin d'espace pour mes mouvements !	Эй, [Ari]... чуть места дай, у меня широкий размах.	Oh, make a little room [Ari]... I've got a wide swing.
Conversations/Bank/Olric/Banked Lines/blacksmith_register_1/blacksmith_register_1/init	Hey [Ari]! March did some pretty nice metalworking last week, I hope you'll take a look!	Salut, [Ari] ! March a bien travaillé la semaine dernière, j'espère que tu jetteras un œil à sa marchandise !	Эй, [Ari]! Март недавно сделал крутые штуки из металла, глянь!	Hey [Ari]! March did some pretty nice metalworking last week, I hope you'll take a look!
Conversations/Bank/Olric/Banked Lines/blacksmith_register_10/blacksmith_register_10/1	You're so nice!	C'est super sympa !	Спасибо за заботу!	You're so nice!
Conversations/Bank/Olric/Banked Lines/blacksmith_register_10/blacksmith_register_10/init	Hey [Ari]! Did you come all the way over in the cold just to say hey?	Salut [Ari] ! Tu as bravé ce froid juste pour venir dire bonjour ?	Привет, [Ari]! Ты <p>пришли</p><f>пришла</f><m>пришёл</m><n>пришло</n> сюда по морозу, чтобы поздороваться?	Hey [Ari]! Did you come all the way over in the cold just to say hey?
Conversations/Bank/Olric/Banked Lines/blacksmith_register_2/blacksmith_register_2/init	Feel free to pick anything up and take a closer look! March's metalwork is the best in Mistria.	N'hésite pas à prendre ce que tu veux pour regarder de plus près ! March est le meilleur forgeron de Mistria.	Можешь рассматривать всё поближе! Металлические работы Марта — лучшие в Мистрии.	Feel free to pick anything up and take a closer look! March's metalwork is the best in Mistria.
Conversations/Bank/Olric/Banked Lines/blacksmith_register_3/blacksmith_register_3/init	Don't mind me, [Ari], I'm just thinking about rocks back here. Let me know if you need something!	Ne t'occupe pas de moi, [Ari]. Je suis juste en train de penser à des cailloux dans mon coin. Si tu as besoin de quoi que ce soit, fais-moi signe !	Не обращай внимания, [Ari], я тут просто думаю о камнях. Скажи, если что-то нужно!	Don't mind me, [Ari], I'm just thinking about rocks back here. Let me know if you need something!
Conversations/Bank/Olric/Banked Lines/blacksmith_register_4/blacksmith_register_4/init	Check out our inventory, [Ari]! March worked hard on it!	Regarde ce qu'on a en stock, [Ari] ! March a sué sang et eau là-dessus !	Глянь наш ассортимент, [Ari]! Март над ним так старался!	Check out our inventory, [Ari]! March worked hard on it!
Conversations/Bank/Olric/Banked Lines/blacksmith_register_5/blacksmith_register_5/init	I just got done organizing our inventory! Take a look!	Je viens de ranger nos marchandises. Jette donc un œil !	Я только что закончил разбирать инвентарь! Посмотри!	I just got done organizing our inventory! Take a look!
Conversations/Bank/Olric/Banked Lines/blacksmith_register_6/blacksmith_register_6/init	Looking for some new tools, [Ari]? We've got a lot to choose from!	Tu as besoin de nouveaux outils, [Ari] ? On a plein de choses à te proposer !	Ищешь новые инструменты, [Ari]? У нас большой выбор!	Looking for some new tools, [Ari]? We've got a lot to choose from!
Conversations/Bank/Olric/Banked Lines/blacksmith_register_7/blacksmith_register_7/1	Especially if you want a high-five!	Surtout si on fait un check !	Особенно, если хочешь пятюню!	Especially if you want a high-five!
Conversations/Bank/Olric/Banked Lines/blacksmith_register_7/blacksmith_register_7/init	I'm totally here to help, [Ari]! Even if you want a high-five!	Je suis là pour répondre au moindre de tes besoins, [Ari] ! Même si c'est juste pour faire un check !	Я всегда готов помочь, [Ari]! Даже если просто хочешь пятюню!	I'm totally here to help, [Ari]! Even if you want a high-five!
Conversations/Bank/Olric/Banked Lines/blacksmith_register_8/blacksmith_register_8/1	I guess he's just looking out for his big bro.	Ça doit être sa façon de prendre soin de son grand frère.	Заботится о своём старшем бро.	I guess he's just looking out for his big bro.
Conversations/Bank/Olric/Banked Lines/blacksmith_register_8/blacksmith_register_8/init	I almost got my finger with the hammer, so March sent me inside to work the counter.	J'ai failli m'aplatir un doigt avec le marteau, alors March m'a dit de m'occuper du magasin.	Я чуть не попал себе молотом по пальцу, поэтому Март отправил меня стоять за прилавком.	I almost got my finger with the hammer, so March sent me inside to work the counter.
Conversations/Bank/Olric/Banked Lines/blacksmith_register_9/blacksmith_register_9/1	Looking preeeetty good, right?	C'est que de la qualité, hein ?	Красиво смотрятся, да?	Looking preeeetty good, right?
Conversations/Bank/Olric/Banked Lines/blacksmith_register_9/blacksmith_register_9/init	Are you here to check out the tools we've got on display?	Tu viens voir les outils qu'on propose ?	Хочешь посмотреть на нашу витрину с инструментами?	Are you here to check out the tools we've got on display?
Conversations/Bank/Olric/Banked Lines/breakfast/breakfast/init	Hey [Ari]! Happy breakfast!	Bonjour, [Ari] ! Profite bien du petit-déjeuner !	Эй, [Ari]! С добрым утром!	Hey [Ari]! Happy breakfast!
Conversations/Bank/Olric/Banked Lines/bro/bro/init	[Ari], you're so cool! You're like my bro... but more than that... it's like we're double bros. Yeah.	[Ari], tu es vraiment quelqu'un de super cool. Au moins autant que mon frère... C'est dire, vu que mon frère est vraiment quelqu'un de super cool.	[Ari], ты <p>такие крутые</p><f>такая крутая</f><m>такой крутой</m><n>такое крутое</n>! Прямо бро, и даже больше... вдвойне бро. Да, типа того.	[Ari], you're so cool! You're like my bro... but more than that... it's like we're double bros. Yeah.
Conversations/Bank/Olric/Banked Lines/buff_cabbage/buff_cabbage/init	March says greens are important for my gains, but I've never seen a buff cabbage before. Don't worry, I'm eating everything...	March dit que les légumes, c'est bon pour les muscles, pourtant je n'ai jamais vu un chou devenir costaud. Mais ne t'en fais pas, je mange de tout...	Март говорит, что зелень важна для роста мышц, но я никогда не видел накачанную капусту. Не волнуйся, я ем всё...	March says greens are important for my gains, but I've never seen a buff cabbage before. Don't worry, I'm eating everything...
Conversations/Bank/Olric/Banked Lines/cleaning_forge/cleaning_forge/init	It's just me cleaning up the forge today... I wanted to make sure March could make the most of his day. That's the big bro code!	Je suis seul pour nettoyer la forge, aujourd'hui... Je voulais que March profite un peu de sa journée. C'est un truc de grand frère, tu comprends !	Сегодня я один убираюсь в кузнице... Хотел, чтобы Март поработал как следует. Это кодекс старшего бро!	It's just me cleaning up the forge today... I wanted to make sure March could make the most of his day. That's the big bro code!
Conversations/Bank/Olric/Banked Lines/cloud/cloud/init	You ever just look at a cloud and wonder how it's doing?	Il t'arrive d'observer un nuage et de te demander comment il flotte comme ça ?	Ты когда-нибудь смотришь на облако и думаешь, как оно там?	You ever just look at a cloud and wonder how it's doing?
Conversations/Bank/Olric/Banked Lines/drinks/drinks/1	Is that true, bro?	Puisqu'on est amis, toi et moi, dis-moi si c'est vrai !	Это правда, бро?	Is that true, bro?
Conversations/Bank/Olric/Banked Lines/drinks/drinks/init	March and Ryis said it takes me three drinks before I start calling everyone bro!	D'après March et Ryis, après trois verres, tout le monde devient mon ami !	Март и Риз сказали, что после трёх кружек я начинаю называть всех «бро»!	March and Ryis said it takes me three drinks before I start calling everyone bro!
Conversations/Bank/Olric/Banked Lines/drinks/drinks_2/1	He says drinks are sacred, but the body is sacred too! I need my protein, bro!	Il dit que les boissons, c'est sacré, mais le corps l'est aussi. J'ai besoin de mes protéines, moi !	Он говорит, что напитки священны. Но тело тоже священно, бро! Мне нужны протеины!	He says drinks are sacred, but the body is sacred too! I need my protein, bro!
Conversations/Bank/Olric/Banked Lines/drinks/drinks_2/init	Hemlock always lets me make my protein shakes at the bar, but on the condition that I don't tell him what goes into them.	Hemlock me laisse toujours préparer mes boissons protéinées au bar, à condition que je ne lui parle pas de la composition.	Хемлок разрешает мне готовить себе протеиновые коктейли у него в баре, но при условии, что я не расскажу, что в них кладу.	Hemlock always lets me make my protein shakes at the bar, but on the condition that I don't tell him what goes into them.
Conversations/Bank/Olric/Banked Lines/dry_boots/dry_boots/init	[Ari]! Thanks for coming by! Hang out by the forge a while and dry off your boots!	C'est sympa de passer me voir, [Ari] ! Profites-en pour faire sécher tes chaussures près de la forge !	[Ari]! Спасибо, что <p>зашли</p><f>зашла</f><m>зашёл</m><n>зашло</n>! Побудь у горна, погрей ботинки!	[Ari]! Thanks for coming by! Hang out by the forge a while and dry off your boots!
Conversations/Bank/Olric/Banked Lines/errol_calling/errol_calling/1	Sounds like he found his calling! I'm happy for that dude!	Je dirais même qu'il a trouvé sa vocation ! Il le mérite vraiment !	Похоже, он нашёл своё дело! Я за него рад!	Sounds like he found his calling! I'm happy for that dude!
Conversations/Bank/Olric/Banked Lines/errol_calling/errol_calling/init	I'm sure glad Errol found something to do after the Mines closed down.	Je suis bien content qu'Errol ait trouvé autre chose à faire, après la fermeture des mines.	Я рад, что Эррол нашёл, чем заняться после закрытия шахты.	I'm sure glad Errol found something to do after the Mines closed down.
Conversations/Bank/Olric/Banked Lines/evening_jog/evening_jog/init	Maybe I'll go for another run... it's a nice evening for it.	Je vais peut-être faire un autre petit footing... C'est la soirée parfaite pour ça.	Может, пробегусь ещё разок... вечер для этого отличный.	Maybe I'll go for another run... it's a nice evening for it.
Conversations/Bank/Olric/Banked Lines/extra_walking/extra_walking/init	You're really active, [Ari]! You've walked around Mistria more than anyone. Big respect!	Tu ne t'arrêtes jamais, [Ari] ! Tu as arpenté Mistria plus que n'importe qui ici. Respect !	Ты <p>такие активные</p><f>такая активная</f><m>такой активный</m><n>такое активное</n>, [Ari]! Ты уже <p>исходили</p><f>исходила</f><m>исходил</m><n>исходило</n> Мистрию больше всех. Уважаемо!	You're really active, [Ari]! You've walked around Mistria more than anyone. Big respect!
Conversations/Bank/Olric/Banked Lines/fall/fall/1	Makes you think.	Ça donne à réfléchir.	Есть над чем задуматься.	Makes you think.
Conversations/Bank/Olric/Banked Lines/fall/fall/init	Fall makes the leaves change color, but rocks stay the same.	En automne, les feuilles changent de couleur, mais les pierres gardent la même couleur.	Осень заставляет листья менять цвет, а камни остаются прежними.	Fall makes the leaves change color, but rocks stay the same.
Conversations/Bank/Olric/Banked Lines/fall/fall_2/1	And citrine. And carmine!	Et à de la citrine. Et à du carmin, aussi !	И цитрин. И кармин!	And citrine. And carmine!
Conversations/Bank/Olric/Banked Lines/fall/fall_2/init	Fall makes all the leaves look like agate.	En automne, toutes les feuilles ressemblent à de l'agate.	Осенью листва похожа на агат.	Fall makes all the leaves look like agate.
Conversations/Bank/Olric/Banked Lines/favorite_rock/favorite_rock/1	I was trying to decide on my favorite rock. It's a tough choice!	J'étais en train d'essayer de décider quelle est ma pierre préférée. Le choix est difficile !	Я пытался решить, какой камень мой любимый. Сложный выбор!	I was trying to decide on my favorite rock. It's a tough choice!
Conversations/Bank/Olric/Banked Lines/favorite_rock/favorite_rock/init	Oh, hey [Ari]! Sorry, I was distracted.	Bonjour, [Ari] ! Excuse-moi, j'avais la tête ailleurs.	О, привет, [Ari]! Прости, отвлёкся.	Oh, hey [Ari]! Sorry, I was distracted.
Conversations/Bank/Olric/Banked Lines/forge_work/forge_work/init	I can help with the simple jobs, but I let March deal with the complicated stuff. He's got a good eye for all that.	Je peux m'occuper des tâches simples, mais je laisse March gérer les trucs compliqués. Il est meilleur que moi pour ça.	Я могу помогать с простыми задачами, но сложное оставляю Марту. У него глаз на это наметан.	I can help with the simple jobs, but I let March deal with the complicated stuff. He's got a good eye for all that.
Conversations/Bank/Olric/Banked Lines/forge_work/forge_work_2/1	I'm glad he's here to keep the forge going!	Je suis bien content qu'il soit là pour faire tourner la boutique !	Хорошо, что он держит кузницу!	I'm glad he's here to keep the forge going!
Conversations/Bank/Olric/Banked Lines/forge_work/forge_work_2/init	I don't mind helping out once in a while, but March is the real mastermind blacksmith.	Je l'aide de temps en temps, mais c'est March qui a toutes les idées.	Мне не трудно помогать иногда, но настоящий мастер — это Март.	I don't mind helping out once in a while, but March is the real mastermind blacksmith.
Conversations/Bank/Olric/Banked Lines/forgot/forgot/init	Hey [Ari]! Did you also forget where you're going?	Salut, [Ari] ! Toi aussi tu as oublié où tu devais aller ?	Эй, [Ari]! Ты тоже <p>забыли, куда шли</p><f>забыла, куда шла</f><m>забыл, куда шёл</m><n>забыло, куда шло</n>?	Hey [Ari]! Did you also forget where you're going?
Conversations/Bank/Olric/Banked Lines/free_water/free_water/1	But trust me. Don't drink it.	Par contre, un conseil... Évite de la boire.	Но поверь мне. Не пей её.	But trust me. Don't drink it.
Conversations/Bank/Olric/Banked Lines/free_water/free_water/init	The first time I went to the Beach, I was like wow! Look at all this free water!	La première fois que je suis allé à la plage et que j'ai vu toute cette eau gratuite, je n'en ai pas cru mes yeux !	Когда я впервые пришёл на пляж, я такой: «вау! Сколько бесплатной воды!»	The first time I went to the Beach, I was like wow! Look at all this free water!
Conversations/Bank/Olric/Banked Lines/friday/friday/init	I love seeing everyone on Friday! It's the best day of the week!	J'adore retrouver tout le monde, le vendredi ! C'est mon jour préféré de la semaine !	Обожаю видеть всех по пятницам! Это лучший день недели!	I love seeing everyone on Friday! It's the best day of the week!
Conversations/Bank/Olric/Banked Lines/general_store_register_1/general_store_register_1/1	Hanging out with food all day is great!	J'adore être entouré de nourriture toute la journée.	Быть рядом с едой весь день — это здорово!	Hanging out with food all day is great!
Conversations/Bank/Olric/Banked Lines/general_store_register_1/general_store_register_1/init	Hey [Ari]! I picked up a shift at the General Store.	Bonjour [Ari] ! Je me suis proposé pour faire quelques heures au magasin général.	Эй, [Ari]! Я сегодня подрабатываю в лавке.	Hey [Ari]! I picked up a shift at the General Store.
Conversations/Bank/Olric/Banked Lines/general_store_register_2/general_store_register_2/init	I'm working the General Store today! It's kinda fun being out here with all the action!	Je donne un coup de main au magasin général, aujourd'hui ! J'aime bien être au cœur de l'action.	Сегодня я в лавке! Прикольно быть тут, где столько движухи!	I'm working the General Store today! It's kinda fun being out here with all the action!
Conversations/Bank/Olric/Banked Lines/general_store_work/general_store_work/1	Um, except for puns. You gotta ask Holt for that.	Enfin, sauf pour les jeux de mots. Adresse-toi plutôt à Holt.	Только если это не шутки. За ними к Хольту.	Um, except for puns. You gotta ask Holt for that.
Conversations/Bank/Olric/Banked Lines/general_store_work/general_store_work/init	Hey! I'm on call here at the General Store, so let me know if I can help with anything!	Bonjour ! C'est moi qui tiens le magasin, alors si tu as besoin d'aide ou de conseils, n'hésite pas !	Эй! Я сегодня на смене в лавке, так что дай знать, если нужно что-то!	Hey! I'm on call here at the General Store, so let me know if I can help with anything!
Conversations/Bank/Olric/Banked Lines/general_store_work/general_store_work_2/init	Hey [Ari]! I picked up a shift at the General Store. Turns out moving produce is a great workout, too!	Salut, [Ari] ! Je fais quelques heures au magasin général. C'est un bon entraînement de mettre toutes ces marchandises en rayon !	Эй, [Ari]! Я сегодня в лавке. Перетаскивать овощи — тоже неплохая тренировка!	Hey [Ari]! I picked up a shift at the General Store. Turns out moving produce is a great workout, too!
Conversations/Bank/Olric/Banked Lines/general_store_work/general_store_work_3/init	Fruits and vegetables! That's the good stuff.	Les fruits et les légumes, c'est bon pour la santé !	Фрукты и овощи! Вот это я понимаю!	Fruits and vegetables! That's the good stuff.
Conversations/Bank/Olric/Banked Lines/general_store_work/general_store_work_4/1	Just kidding, it's Olric. And I love rocks!	Je rigole, c'est Olric. Et mon truc, c'est les pierres.	Шучу, это Ольрик. И я люблю камни!	Just kidding, it's Olric. And I love rocks!
Conversations/Bank/Olric/Banked Lines/general_store_work/general_store_work_4/init	I love flowers! It's me, Celine!	C'est moi, Céline. J'adore les fleurs !	Обожаю цветы! Это я, Селин!	I love flowers! It's me, Celine!
Conversations/Bank/Olric/Banked Lines/general_store_work/general_store_work_5/1	We also got some boring stuff...	Mais aussi plein de trucs sans aucun intérêt...	И ещё куча скучных штук...	We also got some boring stuff...
Conversations/Bank/Olric/Banked Lines/general_store_work/general_store_work_5/2	And some stuff that isn't either! Take a look!	Et puis aussi d'autres trucs qui ne sont ni l'un ni l'autre. Jette un œil !	И ещё каких-то непонятных штук! Зацени!	And some stuff that isn't either! Take a look!
