key	english	french	russian	bulgarian
items/fish/bait_fish/copper_rockfish/description	A common fish that can only be lured with Common Fish Bait. The scales of his fish are a deep, burnished copper.	Poisson répandu seulement attiré par un appât ordinaire. Ses écailles sont d'un brun cuivré intense.	Обычная рыба, клюёт только на обычную наживку. Носит чешую цвета тёмной полированной меди.	A common fish that can only be lured with Common Fish Bait. The scales of his fish are a deep, burnished copper.
items/fish/bait_fish/copper_rockfish/name	Copper Rockfish	Rascasse cuivrée	Медный окунь	Меден костур
items/fish/bait_fish/golden_eel/description	A rare fish that can only be lured with Rare Fish Bait. This mysterious eel is rarely seen in nature.	Poisson rare seulement attiré par un appât rare. On ne croise pas souvent cette mystérieuse anguille dans la nature.	Редкая рыба, клюёт только на редкую наживку. Этот загадочный угорь почти не встречается в природе.	A rare fish that can only be lured with Rare Fish Bait. This mysterious eel is rarely seen in nature.
items/fish/bait_fish/golden_eel/name	Golden Eel	Anguille dorée	Золотой угорь	Златна змиорка
items/fish/bait_fish/iron_fish/description	An uncommon fish that can only be lured with Uncommon Fish Bait. It could almost be mistaken for a piece of iron.	Poisson peu répandu seulement attiré par un appât spécial. On le confond facilement avec un morceau de métal.	Необычная рыба, клюёт только на необычную наживку. Если не приглядываться, можно спутать с куском железа.	An uncommon fish that can only be lured with Uncommon Fish Bait. It could almost be mistaken for a piece of iron.
items/fish/bait_fish/iron_fish/name	Iron Fish	Poisson de fer	Рыба-железка	Желязна риба
items/fish/bait_fish/massive_minnow/description	A common fish that can only be lured with Common Fish Bait. It's quite massive...for a minnow.	Poisson répandu seulement attiré par un appât ordinaire. Il est plutôt impressionnant... pour un méné.	Обычная рыба, клюёт только на обычную наживку. Может похвастаться гигантскими размерами... для пескаря.	A common fish that can only be lured with Common Fish Bait. It's quite massive...for a minnow.
items/fish/bait_fish/massive_minnow/name	Massive Minnow	Méné imposant	Пескарь-гигант	Гигантска лещанка
items/fish/bait_fish/silver_squid/description	An uncommon fish that can only be lured with Uncommon Fish Bait. Widely considered to be good luck if caught.	Mollusque peu répandu seulement attiré par un appât spécial. En attraper un est censé porter chance.	Необычная рыба, клюёт только на необычную наживку. Широко известно, что он приносит удачу ловцу.	An uncommon fish that can only be lured with Uncommon Fish Bait. Widely considered to be good luck if caught.
items/fish/bait_fish/silver_squid/name	Silver Squid	Calmar argenté	Серебряный кальмар	Сребърен калмар
items/fish/deep_woods/forest_perch/description	A common medium Deep Woods fish found on rainy or snowy days in all seasons.	Poisson répandu que l'on trouve à Boissombre en toute saison, les jours de pluie ou de neige.	Обычная средняя рыба, водится в Глубокой чаще, встречается в дождливые и снежные дни любого времени года.	A common medium Deep Woods fish found on rainy or snowy days in all seasons.
items/fish/deep_woods/forest_perch/name	Forest Perch	Perche forestière	Лесной окунь	Горски костур
items/fish/deep_woods/lake_trout/description	A common large Deep Woods fish found in all seasons.	Gros poisson répandu que l'on trouve à Boissombre en toute saison.	Обычная большая рыба, водится в Глубокой чаще, встречается в любое время года.	A common large Deep Woods fish found in all seasons.
items/fish/deep_woods/lake_trout/name	Lake Trout	Truite de lac	Озёрный голец	Езерна пъстърва
items/fish/deep_woods/muskie/description	An uncommon large Deep Woods fish found in all seasons.	Gros poisson peu répandu que l'on trouve à Boissombre en toute saison.	Необычная большая рыба, водится в Глубокой чаще, встречается в любое время года.	An uncommon large Deep Woods fish found in all seasons.
