key	english	french	russian	bulgarian
Conversations/Bank/Stillwell/Banked Lines/greeting_ari/greeting_ari/1	Me? The name's Stillwell. I can see the past, present, and future. All at once. It's a lot.	Moi ? Tu peux m'appeler Stillwell. Je vois le passé, le présent et l'avenir. Tout en même temps. Ça fait beaucoup.	Я? Меня зовут Стиллвелл. Я вижу прошлое, настоящее и будущее. Одновременно. Да, это непросто.	Me? The name's Stillwell. I can see the past, present, and future. All at once. It's a lot.
Conversations/Bank/Stillwell/Banked Lines/greeting_ari/greeting_ari/2	I've come to Mistria on urgent business...	Passe me voir si tu veux que je te dise la $bonne aventure$. J'essaierai d'avoir l'air aussi surpris que toi.	Заходи, когда захочешь, чтобы я прочитал твою $судьбу$. Я постараюсь выглядеть удивленно, когда ты придёшь.	I've come to Mistria on urgent business...
Conversations/Bank/Stillwell/Banked Lines/greeting_ari/greeting_ari/init	Hey [Ari]. Hmm? No, we haven't met before.	Bonjour, [Ari]. Comment ? Non, c'est bien la première fois qu'on se rencontre.	Приветствую, [Ari]. Хмм? Нет, мы раньше не встречались. 	Hey [Ari]. Hmm? No, we haven't met before.
Conversations/Bank/Stillwell/Banked Lines/packing_up/packing_up_1/init	I'm closing up, but the third eye is always open for you, [Ari].	Je ferme boutique, mais mon troisième œil reste toujours ouvert pour toi, [Ari].		Вече е време да затварям, но Третото око винаги е отворено. Поне за теб, [Ari].
Conversations/Bank/Stillwell/Banked Lines/packing_up/packing_up_2/init	Breaking down the booth is such a hassle... why is everything so heavy...	Le démontage du stand est une telle corvée. Pourquoi tout est aussi lourd ?		Уф, как мразя да прибирам сергията... Защо всичко е толкова тежко...
Conversations/Bank/Stillwell/Banked Lines/packing_up/packing_up_3/init	Fate has decreed... that I pack up my booth...	Le destin a voulu... que je démonte mon stand...		Съдбата повелява... Да прибера сергията...
Conversations/Bank/Stillwell/Banked Lines/packing_up/packing_up_4/init	I'm too sleepy to do booth breakdown... help...	J'ai trop sommeil pour démonter le stand... Au secours !		Толкова ми се спи, че не мога да прибера сергията... Помогни ми...
Conversations/Bank/Stillwell/Banked Lines/packing_up/packing_up_5/1	Well, be sure to find your way home... before fate intervenes...	N'oublie pas de rentrer chez toi... avant que le destin ne s'en mêle...		Хм, прибирай се, преди съдбата да се намеси...
Conversations/Bank/Stillwell/Banked Lines/packing_up/packing_up_5/init	You're up late, [Ari]... how do you have so much energy?	Tu es encore debout à cette heure-là, [Ari]... Où trouves-tu toute cette énergie ?		Будуваш до късно, [Ari]... Откъде намираш толкова енергия...?
Conversations/Bank/Stillwell/Banked Lines/packing_up/packing_up_6/1	But sometimes seeing them simply means it's time to go home.	Mais parfois, les voir signifie seulement qu'il est temps de rentrer chez soi.		Но може би просто означават, че е станало късно и трябва да се прибереш.
Conversations/Bank/Stillwell/Banked Lines/packing_up/packing_up_6/init	The stars can have many hidden meanings...	Les étoiles peuvent avoir de nombreuses significations cachées...		Звездите крият толкова много значения...
Conversations/Bank/Stillwell/Banked Lines/packing_up/packing_up_7/init	I inherited these robes, and this booth from my grandmother... they don't make mythical tents like this anymore.	Ce manteau et ce stand sont un héritage de ma grand-mère... on ne fabrique plus de tentes mythiques comme celles-ci, de nos jours.		Тази роба и тази сергия са ми завещани от баба ми... В днешно време не можеш да намериш такава мистична шатра.
Conversations/Bank/Stillwell/Banked Lines/packing_up/packing_up_8/1	Sigh. Better get packed up.	Soupir. Je ferais mieux de remballer.		Уф. Май просто трябва да си събера багажа...
Conversations/Bank/Stillwell/Banked Lines/packing_up/packing_up_8/init	Nora said I couldn't leave my booth here until next Saturday Market, even if I sleep behind the table...	Nora m'a dit que je ne pouvais pas laisser mon stand ici jusqu'au marché de samedi prochain, même si je dormais derrière la table...		Нора каза, че не мога да оставя сергията тук до следващия съботен пазар,\nдори да спя зад масата...
Conversations/Bank/Stillwell/Banked Lines/seridia/seridia_annoying/1	I'd be impressed if it wasn't so annoying.	Ce serait impressionnant si ça n'était pas si pénible.		I'd be impressed if it wasn't so annoying.
Conversations/Bank/Stillwell/Banked Lines/seridia/seridia_annoying/init	Everytime Seridia comes to my booth, she starts saying what I'm about to say, right before I say it.	Chaque fois que Seridia vient à mon stand, dès qu'elle ouvre la bouche, elle se met à dire exactement les paroles que j'allais prononcer, mais juste avant moi.		Everytime Seridia comes to my booth, she starts saying what I'm about to say, right before I say it.
Conversations/Bank/Stillwell/Gift Lines/gift_lines/birthday_gift/1	Thank you, [Ari]... for showing me that the future is not always written.	Merci, [Ari]... de m'avoir montré que le futur n'était pas toujours écrit d'avance.		Thank you, [Ari]... for showing me that the future is not always written.
Conversations/Bank/Stillwell/Gift Lines/gift_lines/birthday_gift/init	A birthday gift? I didn't see any sign of this!	Un cadeau d'anniversaire ? Je n'en avais perçu aucun signe annonciateur !		A birthday gift? I didn't see any sign of this!
Conversations/Bank/Stillwell/Gift Lines/gift_lines/disliked_gift/init	Thanks... I think?	Merci... je suppose ?		Thanks... I think?
Conversations/Bank/Stillwell/Gift Lines/gift_lines/liked_gift/init	Thank you [Ari]. I see that your intuition has revealed what I like.	Merci, [Ari]. Je vois que ton intuition t'a révélé ce qui me plaisait.		Thank you [Ari]. I see that your intuition has revealed what I like.
Conversations/Bank/Stillwell/Gift Lines/gift_lines/liked_gift_2/init	I never expect others to know my tastes, but this is quite to my liking. Thank you, [Ari].	Je ne m'attends jamais à ce que d'autres connaissent mes goûts, mais cela me plaît beaucoup. Merci, [Ari].		I never expect others to know my tastes, but this is quite to my liking. Thank you, [Ari].
