key	english	french	russian	bulgarian
Conversations/Bank/Elsie/Banked Lines/Journaling/journaling/init	I must record my greatest love in my journal... oh, but what was it? Red or white wine?	Je dois consigner dans mon journal intime mon plus grand amour... Oh, mais qu'était-ce, déjà ? Le vin rouge ou le vin blanc ?	Я должна запечатлеть свою самую большую любовь на страницах моего дневника... Но что же это? Красное или белое вино?	I must record my greatest love in my journal... oh, but what was it? Red or white wine?
Conversations/Bank/Elsie/Banked Lines/adeline_grown/adeline_grown/1	Mistria is lucky to have such a civic-minded leader.	Mistria a de la chance d'avoir à sa tête une personne avec un tel sens civique.	Мистрии повезло, что ей управляет такой народолюбивый лидер.	Mistria is lucky to have such a civic-minded leader.
Conversations/Bank/Elsie/Banked Lines/adeline_grown/adeline_grown/init	Adeline has really grown to fill the shoes her mother and father left behind.	Adeline a beaucoup grandi et marche à présent dans les pas de sa mère et de son père.	Аделина выросла под стать матери и отцу.	Adeline has really grown to fill the shoes her mother and father left behind.
Conversations/Bank/Elsie/Banked Lines/adeline_plans/adeline_plans/init	Adeline has so many grand plans for Mistria! I'm looking forward to seeing how her vision unfolds!	Adeline a tant de grands projets pour Mistria ! J'ai hâte de voir sa vision pour la ville se réaliser !	У Аделины столько грандиозных планов на Мистрию! Жду не дождусь увидеть, как она воплотит своё видение в жизнь!	Adeline has so many grand plans for Mistria! I'm looking forward to seeing how her vision unfolds!
Conversations/Bank/Elsie/Banked Lines/adeline_should_relax/adeline_should_relax/1	Adeline needs to relax and have more fun!	Adeline doit apprendre à se détendre et à s'amuser un peu plus !	Аделине нужно расслабиться и почаще развлекаться!	Adeline needs to relax and have more fun!
Conversations/Bank/Elsie/Banked Lines/adeline_should_relax/adeline_should_relax/2	See if you can't encourage her a little, [Ari].	Vois si tu ne pourrais pas l'y encourager un peu, [Ari] !	Попробуй её немного растормошить, [Ari].	See if you can't encourage her a little, [Ari].
Conversations/Bank/Elsie/Banked Lines/adeline_should_relax/adeline_should_relax/init	What am I going to do with that niece of mine?	Qu'est-ce que je vais faire de ma nièce ?	И что мне делать с этой моей племянницей?	What am I going to do with that niece of mine?
Conversations/Bank/Elsie/Banked Lines/at_museum/at_museum/init	Goodness, Mistria certainly has a lot of history, doesn't it?	Bonté divine, Mistria a une longue histoire, n'est-ce pas ?	Божечки, у Мистрии хоть отбавляй истории, не правда ли? 	Goodness, Mistria certainly has a lot of history, doesn't it?
Conversations/Bank/Elsie/Banked Lines/basement/basement_1/init	Lovely to see you, my dear.	Ravie de te voir, mon chou.	Чудесно видеть тебя, дорогуша.	Lovely to see you, my dear.
Conversations/Bank/Elsie/Banked Lines/bathhouse_soak/bathhouse_soak/init	Nothing quite like a morning soak to start the day right. All your worries just melt away!	Rien de tel qu'une trempette matinale pour bien commencer la journée. Cela dissipe tous les soucis !	Нет ничего лучше утренней ванны в начале дня. Все твои переживания моментально тают в тёплой воде!	Nothing quite like a morning soak to start the day right. All your worries just melt away!
Conversations/Bank/Elsie/Banked Lines/bathhouse_walk/bathhouse_walk/init	It's a bit of a walk to the Bathhouse, but the soak is always worth it.	Cela fait une petite trotte pour aller jusqu'aux bains, mais la détente en vaut toujours la peine.	До купальни приходится пройтись, но ванна того стоит.	It's a bit of a walk to the Bathhouse, but the soak is always worth it.
Conversations/Bank/Elsie/Banked Lines/beach_is_beautiful/beach_is_beautiful/init	Have you been to the Beach yet, [Ari]? There's nothing more lovely than gazing at the ocean on a beautiful day.	As-tu déjà été à la plage, [Ari] ? Rien n'est plus charmant que de contempler l'océan par une belle journée.	Уже <p>бывали</p><f>бывала</f><m>бывал</m><n>бывало</n> на пляже, [Ari]? Нет ничего чудеснее, чем наблюдать за океаном в прекрасный день.	Have you been to the Beach yet, [Ari]? There's nothing more lovely than gazing at the ocean on a beautiful day.
Conversations/Bank/Elsie/Banked Lines/cozy_bar/cozy_bar/init	For a cozy little country town, Hemlock runs a bar worthy of the Capital! What a selection!	Pour une gentille petite ville de campagne, Hemlock tient un bar digne de la capitale ! Quel choix !	Даже в таком уютном маленьком городке Хемлок держит бар, достойный столичных улиц. Какой великолепный выбор напитков!	For a cozy little country town, Hemlock runs a bar worthy of the Capital! What a selection!
