key	english	french	russian	bulgarian
Conversations/fetch_quests_follow_ups/request_for_acorn_follow_up_celine/1	Isn't that sweet?	N'est-ce pas trop mignon ?	Мило, правда?	Isn't that sweet?
Conversations/fetch_quests_follow_ups/request_for_acorn_follow_up_celine/init	I saw Dell offering acorns to a squirrel.	J'ai vu Dell qui offrait des glands à un écureuil.	Я видела, как Делл кормила белку желудями.	I saw Dell offering acorns to a squirrel.
Conversations/fetch_quests_follow_ups/request_for_cheese_follow_up_hemlock/1	Jo isn't too happy, but I think it's a good lesson for our little scientist.	Jo n'est pas très contente, mais moi, je crois que ça servira de leçon à notre petit scientifique.	Джо недовольна, но я думаю, что это будет хорошим уроком для нашего юного учёного.	Jo isn't too happy, but I think it's a good lesson for our little scientist.
Conversations/fetch_quests_follow_ups/request_for_cheese_follow_up_hemlock/init	Luc spent all his allowance on a special $Cheese$ Request from you, huh.	Luc a dépensé tout son argent de poche pour sa demande spéciale de $fromage$, tsss.	Люк потратил на заказ $сыра$ у тебя все свои карманные деньги.	Luc spent all his allowance on a special $Cheese$ Request from you, huh.
Conversations/fetch_quests_follow_ups/request_for_crocus_follow_up_celine/1	So now whenever I go to visit, I hide a couple of them back in her room.	Alors maintenant, quand je vais leur rendre visite, j'en cache quelques-unes dans sa chambre aussi.	Так что теперь, когда я захожу в гости, я отношу их назад и прячу парочку у неё в комнате.	So now whenever I go to visit, I hide a couple of them back in her room.
Conversations/fetch_quests_follow_ups/request_for_crocus_follow_up_celine/init	Dell hid a bunch of rocks all over my cottage...	Dell a caché pas mal de pierres un peu partout chez moi...	Делл спрятала по всему моему домику камни...	Dell hid a bunch of rocks all over my cottage...
Conversations/fetch_quests_follow_ups/request_for_freshwater_oyster_follow_up_reina/1	You should have seen the look on her face when I told her a $Freshwater Oyster$ would never have a pearl in it.	Tu aurais dû voir sa tête quand je lui ai dit qu'elle ne trouverait jamais de perle dans une $huître d'eau douce$.	<p>Видели</p><f>Видела</f><m>Видел</m><n>Видело</n> бы ты её лицо, когда я рассказала, что у $пресноводных устриц$ никогда не бывает жемчужин.	You should have seen the look on her face when I told her a $Freshwater Oyster$ would never have a pearl in it.
Conversations/fetch_quests_follow_ups/request_for_freshwater_oyster_follow_up_reina/init	Poor Maple!	Pauvre Maple !	Бедная Мэйпл!	Poor Maple!
Conversations/fetch_quests_follow_ups/request_for_monster_mash_follow_up_seridia/1	I've tested it for poison and foul play in every manner I can think of, and found nothing.	J'ai effectué des tests pour voir si elle contenait du poison ou quelque chose de ce genre, mais je n'ai rien trouvé.	Я проверила её на яды и ловушки всеми известными мне способами и ничего не нашла.	I've tested it for poison and foul play in every manner I can think of, and found nothing.
Conversations/fetch_quests_follow_ups/request_for_monster_mash_follow_up_seridia/2	His mastery of the dark arts has grown so strong that even I can't detect them... I must be on my guard.	Il maîtrise si bien les arts occultes que je n'arrive même plus à les détecter... Je dois rester vigilante.	Он так мастерски овладел тёмными искусствами, что я даже не могу обнаружить их следов... Мне надо быть начеку.	His mastery of the dark arts has grown so strong that even I can't detect them... I must be on my guard.
Conversations/fetch_quests_follow_ups/request_for_monster_mash_follow_up_seridia/init	Caldarus brought me a =Monster Mash= as a peace offering.	Caldarus m'a apporté de la =bouillie de monstre= en signe de paix.	Кальдарус принёс мне =монстрокашу= в качестве примирительного жеста.	Caldarus brought me a =Monster Mash= as a peace offering.
Conversations/fetch_quests_follow_ups/request_for_mont_blanc_follow_up_caldarus/1	While thoughtful, it was quite... dirty. It literally had a lot of dirt on it.	J'apprécie le geste, mais il était souillé. Il était couvert de poussière.	Это было заботливо с её стороны, но он был весьма... грязный. Буквально. На нём со всех сторон была грязь.	While thoughtful, it was quite... dirty. It literally had a lot of dirt on it.
Conversations/fetch_quests_follow_ups/request_for_mont_blanc_follow_up_caldarus/2	It is astonishing that her cooking is worse than mine.	Je ne pensais pas que quelqu'un pouvait moins bien cuisiner que moi.	Потрясающе, она готовит даже хуже, чем я.	It is astonishing that her cooking is worse than mine.
Conversations/fetch_quests_follow_ups/request_for_mont_blanc_follow_up_caldarus/init	Seridia brought me a =Mont Blanc= to celebrate our truce.	Seridia m'a apporté un =mont-blanc= en signe de paix.	Серидия принесла мне =монблан=, чтобы отметить наше примирение.	Seridia brought me a =Mont Blanc= to celebrate our truce.
Conversations/fetch_quests_follow_ups/request_for_noodles_follow_up_maple/1	...	...	...	...
Conversations/fetch_quests_follow_ups/request_for_noodles_follow_up_maple/2	Keeping working at it, and maybe I'll make you my Royal Noodle Chef.	Continue de t'entraîner, et peut-être que tu deviendras responsable en chef des nouilles royales.	Продолжай в том же духе, и, возможно, я сделаю тебя придворным шефом по лапше.	Keeping working at it, and maybe I'll make you my Royal Noodle Chef.
Conversations/fetch_quests_follow_ups/request_for_noodles_follow_up_maple/init	My mom said you made those $Noodles$ for me, [Ari].	Maman m'a dit que tu avais préparé ces $nouilles$ pour moi, [Ari].	Моя мама сказала, что $лапшу$ для меня <p>приготовили</p><f>приготовила</f><m>приготовил</m><n>приготовило</n> ты, [Ari].	My mom said you made those $Noodles$ for me, [Ari].
Conversations/fetch_quests_follow_ups/request_for_oyster_mushrooms_follow_up_march/1	He means well, but I just don't like them.	Il ne pense pas à mal, mais je n'aime pas ça.	Он не желает мне зла, но мне эти грибы не нравятся.	He means well, but I just don't like them.
Conversations/fetch_quests_follow_ups/request_for_oyster_mushrooms_follow_up_march/init	Olric let it slip you brought him those horrible mushrooms.	Olric a laissé échapper que c'est toi qui lui avais apporté ces horribles champignons.	Ольрик проговорился, что это ты <p>принесли</p><f>принесла</f><m>принёс</m><n>принесло</n> ему эти жуткие грибы.	Olric let it slip you brought him those horrible mushrooms.
Conversations/fetch_quests_follow_ups/request_for_pumpkin_pie_follow_up_eiland/1	But to think we both love =Pumpkin Pie=! Truly a historic moment.	Mais de découvrir en plus que nous aimons tous les deux la =tarte à la citrouille= ! Ce moment restera dans les annales.	А уж когда я узнал, что он тоже любит =тыквенный пирог=! Это поистине исторический момент.	But to think we both love =Pumpkin Pie=! Truly a historic moment.
Conversations/fetch_quests_follow_ups/request_for_pumpkin_pie_follow_up_eiland/init	You know, it was enough of a shock to meet Caldarus in the first place...	Tu sais, ça m'a fait déjà fait un choc de rencontrer Caldarus...	Знаешь, для меня встретить Кальдаруса уже было невероятно...	You know, it was enough of a shock to meet Caldarus in the first place...
Conversations/fetch_quests_follow_ups/request_for_snail_follow_up_nora/1	...	...	...	...
Conversations/fetch_quests_follow_ups/request_for_snail_follow_up_nora/2	Just do me a favor and don't accept any more $Snail$ requests from Dell, please.	Rends-moi service et n'accepte plus les demandes d'$escargots$ que pourrait faire Dell, s'il te plaît.	Сделай мне одолжение: пожалуйста, не бери больше заказы от Делл на $улиток$.	Just do me a favor and don't accept any more $Snail$ requests from Dell, please.
Conversations/fetch_quests_follow_ups/request_for_snail_follow_up_nora/init	[Ari]!	[Ari] !	[Ari]!	[Ari]!
