key	english	french	russian	bulgarian
Conversations/gameplay_triggered/adelines_lifetime_planner_text/init	Looking at your $Lifetime Planner$ fills you with hope for the future. You feel $your energy renewed$.	Regarder votre $agenda$ vous emplit d'espoir pour l'avenir. Cela vous donne un $regain d'énergie$.		Looking at your $Lifetime Planner$ fills you with hope for the future. You feel $your energy renewed$.
Conversations/gameplay_triggered/animal_festival_post/init	The Animal Festival is today!	La fête des animaux a lieu aujourd'hui !	Сегодня Фестиваль животных!	The Animal Festival is today!
Conversations/gameplay_triggered/animal_treat_already_incubating/init	$[ANIMAL_NAME]$ already has a baby on the way!	$[ANIMAL_NAME]$ attend déjà un bébé !	$[ANIMAL_NAME]$ уже ожидает потомство!	$[ANIMAL_NAME]$ already has a baby on the way!
Conversations/gameplay_triggered/animal_treat_already_taken/init	$[ANIMAL_NAME]$ has already eaten a treat!	$[ANIMAL_NAME]$ a déjà mangé une friandise !	Вы уже давали сердечко этому животному!	$[ANIMAL_NAME]$ has already eaten a treat!
Conversations/gameplay_triggered/animal_treat_already_taken_by_other/init	[ANIMAL_PAIR], $[BREEDING_PARTNER]$, has already eaten a =[TREAT_ITEM]=, so $[ANIMAL_NAME]$ cannot!	$[BREEDING_PARTNER]$, [ANIMAL_PAIR], a déjà mangé un =[TREAT_ITEM]=, donc $[ANIMAL_NAME]$ n'y a pas droit !	Но [ANIMAL_PAIR] по имени $[ANIMAL_NAME]$ не может съесть =[TREAT_ITEM]=, потому что другое сердечко хранит $[BREEDING_PARTNER]$!	[ANIMAL_PAIR], $[BREEDING_PARTNER]$, has already eaten a =[TREAT_ITEM]=, so $[ANIMAL_NAME]$ cannot!
Conversations/gameplay_triggered/animal_treat_baby/init	$[ANIMAL_NAME]$ can't eat this until they've grown up!	$[ANIMAL_NAME]$ n'y a pas droit avant d'avoir grandi un peu plus !	$[ANIMAL_NAME]$ надо вырасти постарше, чтобы это есть!	$[ANIMAL_NAME]$ can't eat this until they've grown up!
Conversations/gameplay_triggered/animal_treat_below_two_hearts/init	$[ANIMAL_NAME]$ cannot breed until they've reached $2 Hearts$!	$[ANIMAL_NAME]$ ne peut pas se reproduire avant d'avoir atteint un niveau de $2 cœurs$.	$[ANIMAL_NAME]$ не может скрещиваться, пока привязанность ниже $2 сердечек$!	$[ANIMAL_NAME]$ cannot breed until they've reached $2 Hearts$!
Conversations/gameplay_triggered/animal_treat_initial/init	Give $[ANIMAL_NAME]$ a Heart Treat? If you give $[ANIMAL_PAIR]$ a Heart Treat, they'll mate.	Donner un cœur à croquer à $[ANIMAL_NAME]$ ? Si vous donnez aussi un cœur à croquer à $[ANIMAL_PAIR]$, ils se reproduiront.	$[ANIMAL_NAME]$ получит сердечко. Когда второе сердечко получит $[ANIMAL_PAIR]$, они скрестятся. Продолжить?	Give $[ANIMAL_NAME]$ a Heart Treat? If you give $[ANIMAL_PAIR]$ a Heart Treat, they'll mate.
Conversations/gameplay_triggered/animal_treat_initial/init/prompts/0	Yes	Oui	Да	Yes
Conversations/gameplay_triggered/animal_treat_initial/init/prompts/1	No	Non	Нет	No
Conversations/gameplay_triggered/animal_treat_no_incubator_space/init	There are no incubators available in $[ANIMAL_NAME]'s$ building!	Il n’y a pas de couveuse libre dans le bâtiment où se trouve $[ANIMAL_NAME]$ !	В здании, где живёт $[ANIMAL_NAME]'s$, нет свободных инкубаторов!	There are no incubators available in $[ANIMAL_NAME]'s$ building!
Conversations/gameplay_triggered/animal_treat_no_room/init	There isn't enough room in $[ANIMAL_NAME]'s$ building for a baby!	Il n'y a pas assez de place dans le bâtiment où se trouve $[ANIMAL_NAME]$ pour accueillir un petit !	В здании, где живёт $[ANIMAL_NAME]'s$, нет места для детёныша!	There isn't enough room in $[ANIMAL_NAME]'s$ building for a baby!
Conversations/gameplay_triggered/animal_treat_second/init	Give $[ANIMAL_NAME]$ a Heart Treat? If you do, they'll mate with $[BREEDING_PARTNER]$.	Donner un cœur à croquer à $[ANIMAL_NAME]$ ? Si vous lui donnez, $[ANIMAL_NAME]$ et $[BREEDING_PARTNER]$ se reproduiront.	$[ANIMAL_NAME]$ получит сердечко. Второе сердечко хранит $[BREEDING_PARTNER]$. Вы хотите скрестить их?	Give $[ANIMAL_NAME]$ a Heart Treat? If you do, they'll mate with $[BREEDING_PARTNER]$.
Conversations/gameplay_triggered/animal_treat_second/init/prompts/0	Yes	Oui	Да	Yes
Conversations/gameplay_triggered/animal_treat_second/init/prompts/1	No	Non	Нет	No
Conversations/gameplay_triggered/balors_polished_gem_text/init	Looking at the sea glass gem reminds you of how far you've come. You feel $your energy renewed$.	Contempler ce joyau en verre poli vous rappelle tout le chemin parcouru. Cela vous donne un $regain d'énergie$.		Looking at the sea glass gem reminds you of how far you've come. You feel $your energy renewed$.
Conversations/gameplay_triggered/caldarus_asleep/init	Zzz...	Zzz...	*храпит*	Zzz...
Conversations/gameplay_triggered/caldarus_awaiting_ari/init	The statue of Caldarus looks peaceful. You sense that he awaits you in the $Deep Woods$...	La statue de Caldarus a un air serein. Vous sentez qu'il vous attend à $Boissombre$...	У статуи Кальдаруса спокойный вид. Вы чувствуете, что он ожидает вас в $Глубокой чаще$...	The statue of Caldarus looks peaceful. You sense that he awaits you in the $Deep Woods$...
Conversations/gameplay_triggered/caldarus_dragonsworn_statue_text/init	Upon closer inspection, it appears that Caldarus has been making offerings to your statue. You receive some $Essence$.	En y regardant de plus près, il semble que Caldarus ait fait des offrandes à votre statue. Vous recevez de l'$essence$.		При по-внимателен оглед изглежда, че Калдаръс е оставял дарове пред статуята ти. Получаваш малко $Есенция$.
Conversations/gameplay_triggered/caldarus_proposal_edge_case/init	The timing isn't right to propose, with $Caldarus still bound to the Deep Woods$. For now it would be best to focus on $breaking the Final Seal$.			The timing isn't right to propose, with $Caldarus still bound to the Deep Woods$. For now it would be best to focus on $breaking the Final Seal$.
Conversations/gameplay_triggered/caldarus_teleport/1	...	...	...	...
Conversations/gameplay_triggered/caldarus_teleport/1/prompts/0	Teleport to the Deep Woods.\n(10 Essence)	Se téléporter à Boissombre.\n(Coût : 10 points d'essence)	Телепорт до пункта: Глубокая чаща.\n(10 эссенции)	Teleport to the Deep Woods.\n(10 Essence)
