key	english	french	russian	bulgarian
ui/character_customization/back/0/name	Backpacks	Sacs à dos	Рюкзаки	Раници
ui/character_customization/back/1/name	Capes	Capes	Плащи	Пелерини
ui/character_customization/back/2/name	Miscellaneous	Divers	Разное	Разни
ui/character_customization/bottom/0/name	Pants	Pantalons	Штаны	Панталони
ui/character_customization/bottom/1/name	Shorts	Shorts	Шорты	Къси панталони
ui/character_customization/bottom/2/name	Skirts	Jupes	Юбки	Поли
ui/character_customization/bottom/3/name	Miscellaneous	Autres	Прочее	Разни
ui/character_customization/eyes/0/name	Eyes	Yeux	Глаза	Очи
ui/character_customization/face_gear/0/name	Glasses	Lunettes	Очки	Очила
ui/character_customization/face_gear/1/name	Ear Accessories	Bijoux d'oreille	Ушные украшения	Аксесоари за уши
ui/character_customization/face_gear/2/name	Face Accessory	Accessoires de visage	Украшение лица	Аксесоар за лице
ui/character_customization/facial_hair/0/name	Facial Hair	Moustaches et barbes	Усы и бороды	Окосмяване по лицето
ui/character_customization/feet/0/name	Boots	Bottes	Ботинки	Ботуши
ui/character_customization/feet/1/name	Shoes	Chaussures	Кроссовки	Обувки
ui/character_customization/feet/2/name	Sandals	Sandales	Сандалии	Сандали
ui/character_customization/feet/3/name	Wedding Shoes			Wedding Shoes
ui/character_customization/feet/4/name	Miscellaneous	Autres	Прочее	Разни
ui/character_customization/hair/0/name	Short Hair	Coupes courtes	Короткие волосы	Къса коса
ui/character_customization/hair/1/name	Medium Hair	Coupes mi-longues	Средние волосы	Средна коса
ui/character_customization/hair/2/name	Long Hair	Coupes longues	Длинные волосы	Дълга коса
ui/character_customization/head_gear/0/name	Hats	Chapeaux	Шляпы	Шапки
ui/character_customization/head_gear/1/name	Hair Accessories	Accessoires capillaires	Украшения для волос	Аксесоари за коса
ui/character_customization/head_gear/2/name	Helmets	Casques	Шлемы	Шлемове
ui/character_customization/head_gear/3/name	Crowns	Couronnes	Короны	Корони
ui/character_customization/head_gear/4/name	Wedding Accessories			Wedding Accessories
ui/character_customization/head_gear/5/name	Miscellaneous	Autres	Прочее	Разни
ui/character_customization/skin/0/name	Skin Tone	Couleur de peau	Цвет кожи	Тон на кожата
ui/character_customization/top/0/name	Sleeveless Tops	Hauts sans manches	Безрукавки	Топове без ръкави
ui/character_customization/top/1/name	Short Sleeved Tops	Hauts à manches courtes	Короткие рукава	Топове с къси ръкави
ui/character_customization/top/2/name	Long Sleeved Tops	Hauts à manches longues	Длинные рукава	Топове с дълги ръкави
ui/character_customization/top/3/name	Jackets			Якета
ui/character_customization/top/4/name	Dresses	Robes	Платья	Рокли
ui/character_customization/top/5/name	Robes and Coats	Capotes et manteaux	Пальто и мантии	Мантии и палта
ui/character_customization/top/6/name	Suits	Tenues complètes	Костюмы	Костюми
ui/character_customization/top/7/name	Wedding Dresses	Robes de mariage	Свадебные платья	Булчински рокли
