key	english	french	russian	bulgarian
Conversations/Bank/Josephine/Banked Lines/adeline_works_hard/adeline_works_hard/1	Too hard, if you ask me.	Trop dur, même, si tu veux mon avis.	Слишком много, если хочешь знать моё мнение.	Too hard, if you ask me.
Conversations/Bank/Josephine/Banked Lines/adeline_works_hard/adeline_works_hard/2	Glad you're here to lend her a hand, [Ari].	Je suis contente que tu sois là pour lui donner un coup de main, [Ari].	Хорошо, что ты рядом и можешь ей помочь, [Ari].	Glad you're here to lend her a hand, [Ari].
Conversations/Bank/Josephine/Banked Lines/adeline_works_hard/adeline_works_hard/init	Adeline's been working so hard lately.	Adeline travaille très dur, en ce moment.	Аделина в последнее время так много работает.	Adeline's been working so hard lately.
Conversations/Bank/Josephine/Banked Lines/baked_goods/baked_goods/init	I asked some folk to come by for a taste testing. Here, try it!	J'ai demandé à des volontaires de venir tester ma nouvelle recette. Tiens, goûte !	Я позвала пару знакомых на дегустацию. Вот, попробуй! 	I asked some folk to come by for a taste testing. Here, try it!
Conversations/Bank/Josephine/Banked Lines/basement/basement_1/init	Hi there! Don't be a stranger now!	Bonjour ! Tu passes nous voir quand tu veux !	Привет! Не проходи мимо!	Hi there! Don't be a stranger now!
Conversations/Bank/Josephine/Banked Lines/bathhouse/bathhouse/init	Juniper really outdid herself, reopening the old bathhouse. I come here every chance I get!	Juniper s'est vraiment surpassée en rouvrant les anciens bains. Je viens dès que j'en ai l'occasion !	Джунипер просто молодец, что восстановила старую купальню Я прихожу при каждой возможности!	Juniper really outdid herself, reopening the old bathhouse. I come here every chance I get!
Conversations/Bank/Josephine/Banked Lines/beautiful_morning/beautiful_morning/init	It's another beautiful morning in Mistria.	C'est encore une belle matinée à Mistria !	Ещё одно прекрасное утро в Мистрии.  	It's another beautiful morning in Mistria.
Conversations/Bank/Josephine/Banked Lines/better_tidy_up/better_tidy_up/init	The kids should be home for dinner soon... I'll tidy up a little bit.	Les enfants ne devraient plus tarder à rentrer pour dîner. Je vais ranger un peu.	Дети скоро вернутся к ужину... надо немного прибраться	The kids should be home for dinner soon... I'll tidy up a little bit.
Conversations/Bank/Josephine/Banked Lines/brisk_weather_bathhouse/brisk_weather_bathhouse/init	Ooh, a hot bath in this brisk weather was just the ticket! I feel brand new!	Oh, un bon bain chaud par ce temps frais, c'est exactement ce qu'il me fallait ! Je me sens regonflée !	Ох, горячая ванна в такую прохладу — самое то! Будто заново родилась!	Ooh, a hot bath in this brisk weather was just the ticket! I feel brand new!
Conversations/Bank/Josephine/Banked Lines/bustling_town/bustling_town/1	I wish you could have seen it, [Ari]!	Si seulement tu avais pu la voir, [Ari].	Жаль, тебе не удалось её увидеть, [Ari]!	I wish you could have seen it, [Ari]!
Conversations/Bank/Josephine/Banked Lines/bustling_town/bustling_town/init	In my head, Mistria is still the bustling town it used to be before the earthquake.	Je vois toujours Mistria comme la ville animée qu'elle était avant le tremblement de terre.	В голове у меня Мистрия всё ещё та: оживлённая, прежняя, до землетрясения.	In my head, Mistria is still the bustling town it used to be before the earthquake.
Conversations/Bank/Josephine/Banked Lines/chocolate_cake/chocolate_cake/init	I'm making chocolate cake! The kids like it with extra chocolate.	Je fais un gâteau au chocolat ! Avec un supplément de chocolat pour les enfants.	Я пеку шоколадный торт! Дети любят, когда в нём особенно много шоколада.	I'm making chocolate cake! The kids like it with extra chocolate.
Conversations/Bank/Josephine/Banked Lines/cleaning_rooms/cleaning_rooms/init	I found a stick in here, but I'm not quite sure whether it's Luc's bug inspector or Maple's royal scepter.	Je viens de trouver un bâton, mais je ne sais pas si c'est la baguette d'entomologie de Luc ou le sceptre royal de Maple.	Нашла тут палку, но не уверена, что это: тыкалка жуков Люка или королевский скипетр Мэйпл.	I found a stick in here, but I'm not quite sure whether it's Luc's bug inspector or Maple's royal scepter.
Conversations/Bank/Josephine/Banked Lines/daisies_song/daisies_song/1	One for my baby and one for you ~	Marguerite, je te cueillerai ~	Одна — для малыша, другая — для тебя...	One for my baby and one for you ~
Conversations/Bank/Josephine/Banked Lines/daisies_song/daisies_song/init	Picking daisies a'one, a'two ~	Marguerite, jolie marguerite ~	Срываю ромашки: и раз, и два...	Picking daisies a'one, a'two ~
Conversations/Bank/Josephine/Banked Lines/date_night/date_night/init	Hemlock is such a gentleman... What a perfect day with a perfect man.	Hemlock est un vrai gentleman... C'est une journée idéale avec l'homme parfait.	Хемлок — такой джентльмен... Идеальный день с идеальным мужчиной.  	Hemlock is such a gentleman... What a perfect day with a perfect man.
Conversations/Bank/Josephine/Banked Lines/drinking_contest/drinking_contest/1	He must love to lose.	Ce garçon doit vraiment aimer perdre.	Должно быть, он обожает проигрывать.	He must love to lose.
Conversations/Bank/Josephine/Banked Lines/drinking_contest/drinking_contest/init	Balor challenged me to a drinking contest.	Balor veut que nous nous affrontions dans un concours de boisson.	Балор вызвал меня на питейный поединок.	Balor challenged me to a drinking contest.
Conversations/Bank/Josephine/Banked Lines/duet_with_hemlock/duet_with_hemlock/init	Come in from the cold a while... I'll put on the mint and the chamomile...	Viens donc te mettre au chaud un petit moment... Je prépare des tisanes...	Заходи с холода... Я поставлю завариваться мяту с ромашкой...  	Come in from the cold a while... I'll put on the mint and the chamomile...
Conversations/Bank/Josephine/Banked Lines/eating_enough/eating_enough/init	[Ari]! Are you eating enough? I won't be happy unless you take some leftovers home.	Est-ce que tu te nourris bien, [Ari] ? Je tiens à ce que tu prennes ces quelques restes.	[Ari]! Ты точно ешь как надо? Я не отпущу тебя, пока ты не заберёшь с собой остатки!	[Ari]! Are you eating enough? I won't be happy unless you take some leftovers home.
Conversations/Bank/Josephine/Banked Lines/fall_bathhouse/fall_bathhouse/init	Nothing like a hot bath to warm you up on a chilly fall day.	Rien de tel qu'un bain chaud par une journée d'automne un peu fraîche !	Нет ничего лучше горячей ванны в прохладный осенний день.  	Nothing like a hot bath to warm you up on a chilly fall day.
Conversations/Bank/Josephine/Banked Lines/fall_inn/fall_inn/1	How do they get in here?	Comment arrivent-elles là ?	Как они сюда попадают?  	How do they get in here?
Conversations/Bank/Josephine/Banked Lines/fall_inn/fall_inn/init	I know it's fall because I keep finding leaves indoors!	Je sais que l'automne est bien là quand je trouve des feuilles partout dans la maison.	Понимаю, что уже осень, по количеству листьев, которые нахожу дома!	I know it's fall because I keep finding leaves indoors!
