key	english	french	russian	bulgarian
Conversations/Bank/Errol/Banked Lines/Brunch/brunch/init	No place better for brunch than the Sleeping Dragon Inn. Whew... I'm stuffed.	Il n'y a pas meilleur endroit pour un brunch que l'auberge du Dragon qui dort. Pfiou.... Je suis repu.	Нет лучше места для позднего завтрака, чем «Спящий дракон»... Ух, объелся.	No place better for brunch than the Sleeping Dragon Inn. Whew... I'm stuffed.
Conversations/Bank/Errol/Banked Lines/basement/basement_1/init	Salutations!	Salutations !	Приветствую!	Salutations!
Conversations/Bank/Errol/Banked Lines/bathhouse/bathhouse/init	There's nothing like a hot bath in the cold season.	Rien ne vaut un bain chaud pendant la saison froide.	Горячая ванна в холодный сезон не сравнится ни с чем!	There's nothing like a hot bath in the cold season.
Conversations/Bank/Errol/Banked Lines/bathhouse/bathhouse_2/1	The bathhouse is much preferable, thank you!	Les bains sont bien préférables, crois-moi !	Купальня сильно предпочтительнее!	The bathhouse is much preferable, thank you!
Conversations/Bank/Errol/Banked Lines/bathhouse/bathhouse_2/init	It's been such a blessing that Juniper has revitalized the Bathhouse. Some days, I used to work a full shift in the mines and then wash in the freezing river.	C'est une vraie bénédiction que Juniper ait relancé les bains. Certains jours, après une journée à la mine, je devais me laver dans l'eau glacée de la rivière.	То, что Джунипер оживила купальню, — просто благословение. Бывали дни, когда я весь день отрабатывал смену в шахтах, а потом мылся в ледяной реке.	It's been such a blessing that Juniper has revitalized the Bathhouse. Some days, I used to work a full shift in the mines and then wash in the freezing river.
Conversations/Bank/Errol/Banked Lines/beach_walk/beach_walk/init	It might be nice to close out the weekend by enjoying the sea breeze... perhaps I'll take a walk to the Beach.	Ça pourrait être agréable de clore le week-end en profitant de la brise marine... Je vais peut-être aller me promener jusqu'à la plage.	Будет неплохо закончить выходные, наслаждаясь морским воздухом... Думаю, пройдусь-ка я по пляжу.	It might be nice to close out the weekend by enjoying the sea breeze... perhaps I'll take a walk to the Beach.
Conversations/Bank/Errol/Banked Lines/bed/bed/init	I think it's about time for me to turn in, [Ari]. Whew, what a day!	Je crois que c'est bientôt l'heure pour moi d'aller me coucher, [Ari]. Pfiou, quelle journée !	Думаю, пришло время заканчивать на сегодня, [Ari]. Фух, ну и денёк!	I think it's about time for me to turn in, [Ari]. Whew, what a day!
Conversations/Bank/Errol/Banked Lines/boat_ideas/boat_ideas/1	There's a type of Aldarian schooner that utilizes something similar.	Eh bien, il existe une goélette aldarienne qui a un peu la même.	Похоже на существующую альдарийскую шхуну.	There's a type of Aldarian schooner that utilizes something similar.
Conversations/Bank/Errol/Banked Lines/boat_ideas/boat_ideas/init	Landen's got some big ideas about Terithia's boat. The sail construction he's described...	Landen a de grandes idées pour le bateau de Terithia. La mâture qu'il a évoquée...	У Ландена много идей для лодки Теризии. Он описывал дизайн конструкции паруса...	Landen's got some big ideas about Terithia's boat. The sail construction he's described...
Conversations/Bank/Errol/Banked Lines/boundless_energy/boundless_energy/init	I'm always impressed by your boundless energy, [Ari].	Ton énergie sans limites m'impressionne toujours, [Ari].	Меня всегда поражает твоя безграничная энергия, [Ari].	I'm always impressed by your boundless energy, [Ari].
