key	english	french	russian	bulgarian
Conversations/Bank/Dell/Banked Lines/ally/ally/1	The Dragonguard are lucky to have you as an ally.	La Garde des dragons a de la chance de te compter parmi ses alliés.	Драконьей страже повезло, что у нас есть такой союзник!	The Dragonguard are lucky to have you as an ally.
Conversations/Bank/Dell/Banked Lines/ally/ally/init	Thanks for all your help, [Ari]!	Merci pour ton aide, [Ari] !	Спасибо за всю твою помощь, [Ari]!	Thanks for all your help, [Ari]!
Conversations/Bank/Dell/Banked Lines/bad_museum_visit/bad_museum_visit/1	Luc accidentally let his beetles out, and my frog got away, and Mr. Errol did NOT like any of that.	Luc a laissé s'échapper ses coléoptères sans le faire exprès, moi, ma grenouille s'est sauvée et M. Errol n'a pas aimé ça du tout.	Люк случайно выпустил одного жука, и ещё моя лягушка сбежала, и мистеру Эрролу это всё ОЧЕНЬ не понравилось.	Luc accidentally let his beetles out, and my frog got away, and Mr. Errol did NOT like any of that.
Conversations/Bank/Dell/Banked Lines/bad_museum_visit/bad_museum_visit/init	We got into big trouble last time we went to the Museum.	On a eu de gros ennuis la dernière fois qu'on est allés au musée.	Мы попали в неприятности в прошлый раз, когда были в музее.	We got into big trouble last time we went to the Museum.
Conversations/Bank/Dell/Banked Lines/balor_lets_us_play_in_rain/balor_lets_us_play_in_rain/1	A mighty force, huh? She must get it from me!	Une super puissance, hein ? Elle doit tenir ça de moi !	Большая сила, ага! Наверное, это у неё от меня!	A mighty force, huh? She must get it from me!
Conversations/Bank/Dell/Banked Lines/balor_lets_us_play_in_rain/balor_lets_us_play_in_rain/init	Mister Balor said he would normally let us play in the rain, but Mom is a mighty force who he must never cross.	Monsieur Balor a dit qu'il nous laisserait volontiers jouer sous la pluie, mais que maman était une super puissance qu'il ne devait surtout pas mettre en colère.	Мистер Балор сказал, что разрешил бы нам играть под дождём, но мама — слишком большая сила, которую лучшее не злить.	Mister Balor said he would normally let us play in the rain, but Mom is a mighty force who he must never cross.
Conversations/Bank/Dell/Banked Lines/basement/basement_1/init	[Ari]! [Ari]! Hi!	[Ari] ! [Ari] ! Salut !	[Ari]! [Ari]! Привет!	[Ari]! [Ari]! Hi!
Conversations/Bank/Dell/Banked Lines/bed/bed/init	Good night, [Ari]!	Bonne nuit, [Ari] !	Спокойной ночи, [Ari]!	Good night, [Ari]!
Conversations/Bank/Dell/Banked Lines/bedtime_story/bedtime_story/init	My favorite bedtime story is Beginner's Sword Manual, but mom won't read it to me anymore... I wonder why.	Mon histoire du soir préférée, c'est le manuel de l'épéiste débutant, mais maman ne veut plus me la lire... Je me demande pourquoi.	Моя любимая сказка на ночь — это инструкция по обращению с мечом для новичков, но мама почему-то не хочет больше мне её читать...	My favorite bedtime story is Beginner's Sword Manual, but mom won't read it to me anymore... I wonder why.
Conversations/Bank/Dell/Banked Lines/buy_potato/buy_potato/1	And I order you to buy a potato!	Et je t'ordonne d'acheter une pomme de terre !	И я приказываю тебе купить эту картофелину!	And I order you to buy a potato!
