key	english	french	russian	bulgarian
Conversations/Bank/Ryis/Banked Lines/1h_blue_jay/1h_blue_jay/1	That's an Aldarian blue jay.	C'est un geai bleu d'Aldaria.	Это альдарийская голубая сойка.	That's an Aldarian blue jay.
Conversations/Bank/Ryis/Banked Lines/1h_blue_jay/1h_blue_jay/10	You should give it a try some time...	Tu devrais essayer, à l'occasion...	Тебе стоит как-нибудь попробовать...	You should give it a try some time...
Conversations/Bank/Ryis/Banked Lines/1h_blue_jay/1h_blue_jay/2	Not to be confused with the Mistrian bluebird, which is a pretty uncommon sight these days...	À ne pas confondre avec le merlebleu de Mistria, que l'on observe désormais que rarement, de nos jours...	Не путать с мистрийской синешейкой, которую в наши дни встретишь нечасто...	Not to be confused with the Mistrian bluebird, which is a pretty uncommon sight these days...
Conversations/Bank/Ryis/Banked Lines/1h_blue_jay/1h_blue_jay/3	Do you like bird watching, [Ari]?	Tu aimes observer les oiseaux, [Ari] ?	Ты любишь наблюдать за птицами, [Ari]?	Do you like bird watching, [Ari]?
Conversations/Bank/Ryis/Banked Lines/1h_blue_jay/1h_blue_jay/3/prompts/0	I love bird watching!	J'adore ça !	Обожаю наблюдать за птицами!	I love bird watching!
Conversations/Bank/Ryis/Banked Lines/1h_blue_jay/1h_blue_jay/3/prompts/1	Do chickens count?	Les poules, ça compte ?	Куры считаются?	Do chickens count?
Conversations/Bank/Ryis/Banked Lines/1h_blue_jay/1h_blue_jay/3/prompts/2	Eh... not really.	Eh bien... pas vraiment.	Э-э... не особо.	Eh... not really.
Conversations/Bank/Ryis/Banked Lines/1h_blue_jay/1h_blue_jay/4	Yeah? That's great!	Vraiment ? C'est génial !	Да? Это здорово!	Yeah? That's great!
Conversations/Bank/Ryis/Banked Lines/1h_blue_jay/1h_blue_jay/5	Let me know if you want to join me some time.	Dis-moi si tu veux m'accompagner, à l'occasion.	Дай знать, если как-нибудь захочешь ко мне присоединиться.	Let me know if you want to join me some time.
Conversations/Bank/Ryis/Banked Lines/1h_blue_jay/1h_blue_jay/6	We get a lot of different kinds out here in the country!	On a plein d'espèces différentes ici, à la campagne !	Здесь, в сельской местности, встречается много разных видов!	We get a lot of different kinds out here in the country!
Conversations/Bank/Ryis/Banked Lines/1h_blue_jay/1h_blue_jay/7	Haha! Why not?	Ha ha ! Pourquoi pas ?	Ха-ха! А почему бы и нет?	Haha! Why not?
Conversations/Bank/Ryis/Banked Lines/1h_blue_jay/1h_blue_jay/8	It's worth keeping an eye out for the wild birds, too.	Ça vaut la peine d'ouvrir l'œil pour voir aussi les oiseaux sauvages.	За дикими птицами тоже стоит приглядывать.	It's worth keeping an eye out for the wild birds, too.
Conversations/Bank/Ryis/Banked Lines/1h_blue_jay/1h_blue_jay/9	No? That's too bad.	Non ? C'est dommage.	Нет? Жаль.	No? That's too bad.
Conversations/Bank/Ryis/Banked Lines/1h_blue_jay/1h_blue_jay/init	Did you see that bird fly by? The blue one?	Tu as vu cet oiseau qui volait ? Le bleu ?	Видишь, вон птица пролетела? Синяя.	Did you see that bird fly by? The blue one?
Conversations/Bank/Ryis/Banked Lines/5h_homesick/5h_homesick/1	At first, it honestly felt like I was only staying for a long visit...	Au départ, j'avais vraiment l'impression d'être là seulement pour un long séjour...	Поначалу, честно говоря, казалось, будто я приехал просто надолго погостить...	At first, it honestly felt like I was only staying for a long visit...
Conversations/Bank/Ryis/Banked Lines/5h_homesick/5h_homesick/2	But lately it feels more like I've got one foot here, and one still back in the Capital.	Mais depuis quelque temps, j'ai plus le sentiment d'avoir un pied ici, et un autre encore dans la capitale.	Но в последнее время чувствую себя так, будто одной ногой я здесь, а другой всё ещё в столице.	But lately it feels more like I've got one foot here, and one still back in the Capital.
Conversations/Bank/Ryis/Banked Lines/5h_homesick/5h_homesick/3	You ever get homesick, [Ari]?	As-tu parfois le mal du pays, [Ari] ?	А ты скучаешь по дому, [Ari]?	You ever get homesick, [Ari]?
Conversations/Bank/Ryis/Banked Lines/5h_homesick/5h_homesick/3/prompts/0	Yeah, sometimes...	Oui, de temps en temps...	Да, иногда...	Yeah, sometimes...
Conversations/Bank/Ryis/Banked Lines/5h_homesick/5h_homesick/3/prompts/1	Not so much	Pas tellement.	Не особо.	Not so much
Conversations/Bank/Ryis/Banked Lines/5h_homesick/5h_homesick/4	Yeah, me too.	Oui, moi aussi.	Да, я тоже.	Yeah, me too.
Conversations/Bank/Ryis/Banked Lines/5h_homesick/5h_homesick/5	Not as much as I used to, though.	Moins qu'avant, malgré tout.	Хотя уже не так сильно, как раньше.	Not as much as I used to, though.
