key	english	french	russian	bulgarian
letters/a_birdhouse/local	Hey [Ari]!\n\nThe Hawthorn tree looks like it's grown big enough to support a birdhouse.\n\nCome on over to the Carpenter's Shop if you have time and we can start building one!	Salut [Ari] !\n\nL'aubépine a désormais suffisamment grandi pour supporter un nichoir.\n\nSi tu as le temps, passe à la menuiserie et on pourra commencer à en construire un !	Привет, [Ari]!\n\nКажется, боярышник достаточно вырос, и можно вешать скворечник.\n\nПриходи в мастерскую, если будет время, и мы начнём строительство!	Hey [Ari]!\n\nThe Hawthorn tree looks like it's grown big enough to support a birdhouse.\n\nCome on over to the Carpenter's Shop if you have time and we can start building one!
letters/a_birdhouse/subject_line	Building Project	Projet de construction	Строительный проект	Building Project
letters/a_change_of_greenery/local	[Ari],\n\nI've been doing everything I can to help the mystery sprout along, but it just doesn't seem to want to grow.\n\nWill you come over and help me brainstorm?	[Ari],\n\nJ'ai fait tout ce que je pouvais pour aider la mystérieuse pousse dans sa croissance, mais on dirait qu'elle ne veut pas grandir.\n\nVeux-tu bien venir m'aider dans ma réflexion ?	[Ari],\n\n я уже перепробовала всё, что могла, чтобы вырастить этот загадочный побег, но он никак не хочет расти.\n\nМожешь зайти ко мне и помочь найти ещё идеи?	[Ari],\n\nI've been doing everything I can to help the mystery sprout along, but it just doesn't seem to want to grow.\n\nWill you come over and help me brainstorm?
letters/a_change_of_greenery/subject_line	Sprout Brainstorm	Réflexion sur une pousse	Обсуждение побега	Sprout Brainstorm
letters/a_duet/local	[Ari],\n\nI spotted a blue feather by the Hawthorn tree!\n\nMeet me at the Cottage Ruins when you have time and we'll do a little bird watching.\n\nMaybe they've found the house we made for them!	[Ari],\n\nJ'ai repéré une plume bleue près de l'aubépine !\n\nQuand tu auras le temps, viens me retrouver près de la maison en ruine, on observera les oiseaux.\n\nIls ont peut-être trouvé le nichoir qu'on a construit pour eux !	[Ari],\n\nя нашёл у боярышника синее перо!\n\nКогда у тебя будет свободное время, давай встретимся у руин дома и понаблюдаем за птицами.\n\nМожет, они нашли домик, который мы для них приготовили!	[Ari],\n\nI spotted a blue feather by the Hawthorn tree!\n\nMeet me at the Cottage Ruins when you have time and we'll do a little bird watching.\n\nMaybe they've found the house we made for them!
letters/a_duet/subject_line	Bird Watching	Observer les oiseaux	Наблюдения за птицами	Bird Watching
letters/a_get_together/local	Hey neighbor!\n\nI'm hosting a little get together at my place, nothing fancy. I just thought we could all do with some time to unwind. I'd love to have you join us! Stop by if you have a chance.	Salut, <he>voisin</he><she>voisine</she><they>voisin·e</they> !\n\nJ'organise une petite fête à la maison, un truc tout simple. Je me suis dit qu'on avait tous besoin de se détendre. Ça me ferait très plaisir que tu sois des nôtres ! Passe si tu en as l'occasion.	Привет, соседушка!\n\nЯ устраиваю небольшие посиделки у себя дома. Без повода, просто подумал, что нам всем будет полезно развеяться. Буду рад, если присоединишься! Заходи, когда будет время.	Hey neighbor!\n\nI'm hosting a little get together at my place, nothing fancy. I just thought we could all do with some time to unwind. I'd love to have you join us! Stop by if you have a chance.
letters/a_get_together/subject_line	A Get Together	Petite fête	Посиделки	A Get Together
letters/a_little_while_longer_ssa/local	[Ari],\nWould you like to come over to my place for a meal?\n\nI've been thinking it would be nice to spend some time together. Stop by if you have a moment!	[Ari],\nQue dirais-tu de venir manger à la maison ?\n\nÇa fait un moment que je me dis qu'on devrait passer un peu de temps ensemble. Passe quand tu veux !	[Ari],\nНе хочешь зайти ко мне пообедать вместе?\n\nЯ подумал, хорошо бы нам провести время вместе. Заходи, если будет минутка!	[Ari],\nWould you like to come over to my place for a meal?\n\nI've been thinking it would be nice to spend some time together. Stop by if you have a moment!
letters/a_little_while_longer_ssa/subject_line	Would you like to come over?	Ça te dirait de passer ?	Не хочешь зайти ко мне?	Would you like to come over?
letters/a_little_while_longer_ssna/local	[Ari],\nWould you like to come over to my place for a meal?\n\nI've been thinking it would be nice to spend some time together. Stop by if you have a moment!	[Ari],\nQue dirais-tu de venir manger à la maison ?\n\nÇa fait un moment que je me dis qu'on devrait passer un peu de temps ensemble. Passe quand tu veux !	[Ari],\nНе хочешь зайти ко мне пообедать вместе?\n\nЯ подумал, хорошо бы нам провести время вместе. Заходи, если будет минутка!	[Ari],\nWould you like to come over to my place for a meal?\n\nI've been thinking it would be nice to spend some time together. Stop by if you have a moment!
letters/a_little_while_longer_ssna/subject_line	Would you like to come over?	Ça te dirait de passer ?	Не хочешь зайти ко мне?	Would you like to come over?
letters/a_lost_flower/local	Dear [Ari],\n\nWould you like to join me for a picnic? I thought it would be nice to spend some time together. Meet me at my cottage if you have the time!	Bonjour [Ari],\n\nEt si on allait pique-niquer ensemble ? Ça serait sympa de passer un moment entre nous. Retrouve-moi à la maison quand tu auras le temps !	<p>Дорогие</p><f>Дорогая</f><m>Дорогой</m><n>Дорогое</n> [Ari],\n\nХочешь сходить со мной на пикник? Я подумала, хорошо будет провести время вместе. Встретимся у меня в домике, если найдёшь время!	Dear [Ari],\n\nWould you like to join me for a picnic? I thought it would be nice to spend some time together. Meet me at my cottage if you have the time!
letters/a_lost_flower/subject_line	Join me for a picnic?	Un petit pique-nique ?	Сходишь со мной на пикник?	Join me for a picnic?
letters/a_rewarding_choice/local	[Ari]!\n\nI have an important choice to make, and I wanted to get the thoughts of an average Mistrian to weigh in on it.\n\nMeet me at my office?\n\nThank you!	[Ari] !\n\nJ'ai un choix important à faire et j'aurais voulu avoir l'avis d'une personne lambda habitant Mistria pour faire pencher la balance.\n\nOn se retrouve dans mon bureau ?\n\nMerci !	[Ari]!\n\nПередо мной встал важный выбор, и я решила послушать мнение рядового жителя Мистрии на этот счёт.\n\nВстретимся у меня в офисе?\n\nСпасибо!	[Ari]!\n\nI have an important choice to make, and I wanted to get the thoughts of an average Mistrian to weigh in on it.\n\nMeet me at my office?\n\nThank you!
letters/a_rewarding_choice/subject_line	An Important Choice	Choix important	Важный выбор	An Important Choice
letters/a_sapling/local	Hey [Ari],\n\nThink I got a little ahead of myself with the birdhouse. First thing we're going to need is a tree, huh?\n\nPlease meet me at my room!	Salut [Ari],\n\nJe crois que je me suis un peu emballé pour le nichoir. La première chose qu'il nous faut, c'est un arbre, non ?\n\nRetrouve-moi dans ma chambre, s'il te plaît !	Привет, [Ari],\n\nКажется, я слишком увлёкся скворечником. Ведь для начала нам надо найти дерево?\n\nПожалуйста, приходи на встречу в моей комнате!	Hey [Ari],\n\nThink I got a little ahead of myself with the birdhouse. First thing we're going to need is a tree, huh?\n\nPlease meet me at my room!
letters/a_sapling/subject_line	Help with a Tree	Aide pour un arbre	Помощь с деревом	Help with a Tree
letters/adeline_4h_reward_1/local	[Ari],\n\nThank you so much for your help yesterday! I know everyone in town will really appreciate these extra materials, and I'm sure you'll put yours to good use.\n\nThis was a great choice!	[Ari],\n\nMerci beaucoup pour ton aide, hier ! Je sais que tout le monde en ville appréciera ces matériaux supplémentaires. Nul doute que tu feras bon usage des tiens.\n\nC'était un excellent choix !	[Ari],\n\nБольшое спасибо за твою помощь вчера! Я знаю, весь город будет очень признателен за дополнительные материалы. И, я уверена, ты тоже используешь их с пользой.\n\nЭто был отличный выбор!	[Ari],\n\nThank you so much for your help yesterday! I know everyone in town will really appreciate these extra materials, and I'm sure you'll put yours to good use.\n\nThis was a great choice!
letters/adeline_4h_reward_1/subject_line	Thanks Again!	Encore merci !	Ещё раз спасибо! 	Thanks Again!
letters/adeline_4h_reward_2/local	[Ari],\n\nThank you so much for your help yesterday! We got the shipment of cookies in this morning, and it made the whole Manor House smell like a bakery!\n\nI hope you enjoy your cookie (Eiland already ate his...).\n\nThis was a great choice!	[Ari],\n\nMerci beaucoup pour ton aide, hier ! Nous avons reçu la livraison de cookies ce matin et le manoir embaumait tellement qu'on se serait crus dans une boulangerie !\n\n J'espère que tu savoures ton cookie (Eiland a déjà mangé le sien...).\n\nC'était un excellent choix !	[Ari],\n\nБольшое спасибо за твою помощь вчера! Сегодня утром мы получили партию печенья, и теперь весь особняк пахнет пекарней!\n\nНадеюсь, тебе понравится твое печенье (Эйланд своё уже съел...).\n\nЭто был отличный выбор!	[Ari],\n\nThank you so much for your help yesterday! We got the shipment of cookies in this morning, and it made the whole Manor House smell like a bakery!\n\nI hope you enjoy your cookie (Eiland already ate his...).\n\nThis was a great choice!
letters/adeline_4h_reward_2/subject_line	Thank You!	Merci !	Спасибо! 	Thank You!
letters/adeline_break_up/local	Dear [Ari],\n\nI've given it a lot of thought, and I think a romantic relationship isn't what's best for me right now.\n\nI just feel like I need to spend some more time focusing on myself. I hope we can remain good friends!	<she>Chère</she><he>Cher</he><they>Cher·ère</they> [Ari],\nJ'ai bien réfléchi et je pense que ce n'est pas le bon moment pour moi d'être dans une relation amoureuse.\n\nJ'ai besoin de plus de temps pour me concentrer sur moi-même. J'espère que nous pourrons rester ami<she>es</she><he>s</he><they>·e·s</they> !		Dear [Ari],\n\nI've given it a lot of thought, and I think a romantic relationship isn't what's best for me right now.\n\nI just feel like I need to spend some more time focusing on myself. I hope we can remain good friends!
letters/adeline_break_up/subject_line	Let's be friends	Ami<she>es</she><he>s</he><they>·e·s</they> un jour...		Let's be friends
letters/adept_kitchen_unlock/local	[Ari],\n\nThe Level 3 Kitchen is now in stock at the Carpenter's Shop. Stop by when you want to upgrade!	[Ari],\n\nLa cuisine de niveau 3 est désormais disponible à la menuiserie. Passe nous voir si tu veux une amélioration !	[Ari],\n\nВ столярной мастерской появилась кухня 3 уровня. Заходи, если захочешь модернизироваться!	[Ari],\n\nThe Level 3 Kitchen is now in stock at the Carpenter's Shop. Stop by when you want to upgrade!
letters/adept_kitchen_unlock/subject_line	Need an Even Better Kitchen?	Une cuisine encore mieux ?	Нужна кухня получше? 	Need an Even Better Kitchen?
letters/an_open_book/local	[Ari],\n\nYour farm has been a boon to Mistria's economy.\n\nAs the person handling your shipments I have some advice that might interest you.\n\nMeet me at the Inn when you have the time!	[Ari],\n\nTa ferme est une bénédiction pour l'économie de Mistria.\n\nComme c'est moi qui gère tes expéditions, j'ai quelques conseils qui pourraient t'intéresser.\n\nRetrouve-moi à l'auberge quand tu auras le temps !	[Ari],\n\nТвоя ферма внесла неоценимый вклад в экономику Мистрии.\n\nКак человек, отгружающий твои поставки, могу поделиться с тобой ценным советом.\n\nВстретимся в трактире, когда у тебя будет время!	[Ari],\n\nYour farm has been a boon to Mistria's economy.\n\nAs the person handling your shipments I have some advice that might interest you.\n\nMeet me at the Inn when you have the time!
letters/an_open_book/subject_line	Business Chat	Conseiller d'affaires	Деловой разговор	Business Chat
letters/an_outside_consultant/local	[Ari],\n\nAfter much careful analysis, and with the additional pressure of the panacea being used up, I have decided to gather my notes and bring in an outside consultant.\n\nCould you meet me at the Bathhouse? I suspect that negotiations will be... tricky.	[Ari],\n\nAprès une analyse très poussée et sachant de surcroît que la panacée est épuisée, j'ai décidé de rassembler mes notes et de faire intervenir une consultante externe.\n\nPourrais-tu me retrouver aux bains ? Je crains que les négociations soient... compliquées.	[Ari],\n\nПроведя тщательный анализ и под давлением закончившейся панацеи я приняла решение собрать свои записи и привлечь стороннего консультанта.\n\nМожешь встретиться со мной в купальне? Подозреваю, что мне предстоит... непростой разговор.	[Ari],\n\nAfter much careful analysis, and with the additional pressure of the panacea being used up, I have decided to gather my notes and bring in an outside consultant.\n\nCould you meet me at the Bathhouse? I suspect that negotiations will be... tricky.
letters/an_outside_consultant/subject_line	Research Assistance	Aide pour des recherches	Помощь с исследованием	Research Assistance
