key	english	french	russian	bulgarian
Conversations/Bank/Valen/Banked Lines/Paperwork/paperwork/1	Turns out I signed up for a lot of paperwork as well...	Au final, je dois m'occuper d'énormément de paperasse...	Оказалось, что я подписалась ещё и на горы бумажной работы...	Turns out I signed up for a lot of paperwork as well...
Conversations/Bank/Valen/Banked Lines/Paperwork/paperwork/init	I wanted to become a doctor so that I could help people.	J'ai voulu devenir docteure pour aider les gens. Mais je me suis aperçue qu'il y avait aussi beaucoup de paperasses...	Я хотела стать докторшей, чтобы помогать людям. Оказалось, что я подписалась ещё и на горы бумажной работы...	I wanted to become a doctor so that I could help people.
Conversations/Bank/Valen/Banked Lines/ancient_medicine/ancient_medicine/1	It outlined a surprisingly modern sounding medical technique. I might make use of it myself.	Il décrivait une technique médicale étonnamment moderne. Je vais peut-être même m'en servir.	Там описана удивительно современная медицинская техника. Может, сама её применю.	It outlined a surprisingly modern sounding medical technique. I might make use of it myself.
Conversations/Bank/Valen/Banked Lines/ancient_medicine/ancient_medicine/init	Eiland had me come by for consultation of an old scroll.	Eiland est venu me voir pour que je donne mon avis sur un ancien parchemin.	Эйланд позвал меня проконсультироваться по старому свитку.	Eiland had me come by for consultation of an old scroll.
Conversations/Bank/Valen/Banked Lines/balor_can_keep_secrets/balor_secrets/init	Balor can keep his secrets. All I need to know is that he ships medicine to people in need.	Je n'ai que faire des secrets de Balor. L'important, c'est de savoir qu'il fait parvenir les médicaments aux gens qui en ont besoin.	Балор пусть хранит свои секреты. Мне достаточно знать, что он отправляет лекарства нуждающимся.	Balor can keep his secrets. All I need to know is that he ships medicine to people in need.
Conversations/Bank/Valen/Banked Lines/basement/basement_1/init	How are you, [Ari]?	Comment te sens-tu, [Ari] ?	Как ты, [Ari]?	How are you, [Ari]?
Conversations/Bank/Valen/Banked Lines/bathhouse/bathhouse/init	Of all the places Juniper could have put her bathhouse, she had to put it next door.	Il a fallu que Juniper ouvre ses bains, pile à côté de ma clinique.	Из всех мест, где Джунипер могла открыть купальню, она выбрала соседний участок.	Of all the places Juniper could have put her bathhouse, she had to put it next door.
Conversations/Bank/Valen/Banked Lines/bathhouse_2/bathhouse_2/1	Except when I can hear that laugh of hers through the wall...	Sauf quand j'entends son rire distinctif de l'autre côté du mur...	Если не считать её смех, который я слышу через стену...	Except when I can hear that laugh of hers through the wall...
Conversations/Bank/Valen/Banked Lines/bathhouse_2/bathhouse_2/init	I'll say this for Juniper... she's done a wonderful job reimagining this place. It's very calming.	Pour sa défense, Juniper a fait un travail remarquable en restaurant ces bains. C'est très relaxant.	Надо отдать должное Джунипер... она прекрасно переосмыслила это место. Тут очень спокойно.	I'll say this for Juniper... she's done a wonderful job reimagining this place. It's very calming.
Conversations/Bank/Valen/Banked Lines/bathhouse_2/bathhouse_3/1	Dozy runs a tight bathhouse.	Dozy gère très bien les bains.	Дрёма держит купальню в образцовом порядке.	Dozy runs a tight bathhouse.
Conversations/Bank/Valen/Banked Lines/bathhouse_2/bathhouse_3/init	Credit where credit is due...	Il faut bien reconnaître que...	Отдам должное...	Credit where credit is due...
Conversations/Bank/Valen/Banked Lines/bathhouse_2/bathhouse_4/1	A good soak in the bath ought to straighten me right out.	Un bon bain chez Juniper et je serai à nouveau en pleine forme.	Хорошая ванна должна меня выправить.	A good soak in the bath ought to straighten me right out.
Conversations/Bank/Valen/Banked Lines/bathhouse_2/bathhouse_4/init	I slept oddly and have a bit of tension in my neck...	J'ai mal dormi et je suis toute tendue au niveau du cou...	Спала неудобно, теперь немного тянет шею...	I slept oddly and have a bit of tension in my neck...
