key	english	french	russian	bulgarian
Conversations/fetch_quests/request_for_a_miners_pickaxe_turn_in/1	Errol is going to be SO surprised. Thank you, [Ari].	Errol ne va pas en revenir. Merci, [Ari].	Вот Эррол удивится! Спасибо, [Ari].	Errol is going to be SO surprised. Thank you, [Ari].
Conversations/fetch_quests/request_for_a_miners_pickaxe_turn_in/init	This pickaxe, I'd recognize it anywhere!	Cette pioche, je la reconnaîtrais entre toutes !	Эта кирка... Я её везде узнаю!	This pickaxe, I'd recognize it anywhere!
Conversations/fetch_quests/request_for_a_red_toadstool_turn_in/1	Er.......	Euh...	Эм...	Er.......
Conversations/fetch_quests/request_for_a_red_toadstool_turn_in/2	Well, anyway, here's your reward. Bye bye now.	Bref, voici ta récompense. Allez, salut.	В общем, вот твоя оплата. Пока-пока.	Well, anyway, here's your reward. Bye bye now.
Conversations/fetch_quests/request_for_a_red_toadstool_turn_in/init	Hmmm excellent, [Ari], this =Red Toadstool= is exactly what I need to get the poison level-	Hmmm, parfait, [Ari], cette =amanite tue-mouches= est pile ce qu'il me faut pour atteindre le niveau d'empoisonne...	Хммм, превосходно, [Ari], этот =красный мухомор= отлично подойдёт, чтобы усилить яд до...	Hmmm excellent, [Ari], this =Red Toadstool= is exactly what I need to get the poison level-
Conversations/fetch_quests/request_for_a_rock_turn_in/1	Here, I found this cool chair in the Mines one time. I'd like you to have it in return.	Tiens, j'ai trouvé cette chaise sympa dans les mines, un jour. Je tiens à te l'offrir en échange.	Вот, возьми взамен крутой стул, который я когда-то нашёл в шахтах.	Here, I found this cool chair in the Mines one time. I'd like you to have it in return.
Conversations/fetch_quests/request_for_a_rock_turn_in/init	Whoa [Ari], this =Stone= is really cool. Not everyone has an eye for it, you know.	Waouh, [Ari], cette =pierre= est vraiment super. Tout le monde n'a pas l'œil pour ce genre de choses.	Ого, [Ari], какой крутой =камень=! Знаешь, не каждый сможет такой найти.	Whoa [Ari], this =Stone= is really cool. Not everyone has an eye for it, you know.
Conversations/fetch_quests/request_for_acorn_turn_in/1	Thanks, [Ari]. When my woodland army is ready to march I'll be sure to tell them that you're a friend.	Merci, [Ari]. Quand mon armée sylvestre se mettra en marche, je veillerai à les prévenir que tu comptes parmi nos alliés.	Спасибо, [Ari]. Когда я поведу своё древесное войско в бой, я скажу им, что ты на нашей стороне.	Thanks, [Ari]. When my woodland army is ready to march I'll be sure to tell them that you're a friend.
Conversations/fetch_quests/request_for_acorn_turn_in/init	$Acorns$!	Des $glands$ !	$Жёлуди$!	$Acorns$!
Conversations/fetch_quests/request_for_apple_turn_in/1	I believe it will take the starring role in a plate of =Apple Honey Curry=.	Je crois qu'elle tiendra la vedette dans une assiette de =curry aux pommes et au miel=.	Думаю, оно займёт центральное место на тарелке =яблочно-медового карри=.	I believe it will take the starring role in a plate of =Apple Honey Curry=.
Conversations/fetch_quests/request_for_apple_turn_in/init	Ah, what a perfect $Apple$! Well done, [Ari].	Ah, quelle $pomme$ parfaite ! Bravo, [Ari].	Отменное $яблоко$! Молодец, [Ari].	Ah, what a perfect $Apple$! Well done, [Ari].
Conversations/fetch_quests/request_for_armored_bass_turn_in/1	This $Armored Bass$ isn't some kind of elaborate prank, right?	Ainsi donc, le $bar malabar$ n'est pas une blague très élaborée ?	Этот $бронированный окунь$ — точно не хитрый розыгрыш?	This $Armored Bass$ isn't some kind of elaborate prank, right?
Conversations/fetch_quests/request_for_armored_bass_turn_in/2	No, it's definitely real...	Non, il est bien réel...	Да нет, явно настоящая рыба...	No, it's definitely real...
Conversations/fetch_quests/request_for_armored_bass_turn_in/3	Thanks, [Ari].	Merci, [Ari].	Спасибо, [Ari].	Thanks, [Ari].
Conversations/fetch_quests/request_for_armored_bass_turn_in/init	What the-	Qu'est-ce que...?	Что за...	What the-
Conversations/fetch_quests/request_for_bait_turn_in/1	Thank you, [Ari]! I'm sure I'll have better luck with the fish now. Here's your payment!	Merci, [Ari] ! Je suis certaine que je vais attraper du poisson, maintenant. Voici ce que je te dois !	Спасибо, [Ari]! Уверена, теперь рыбалка у меня пойдёт лучше. Вот твоя награда!	Thank you, [Ari]! I'm sure I'll have better luck with the fish now. Here's your payment!
Conversations/fetch_quests/request_for_bait_turn_in/init	Ah, it's the $Worm$ I requested! Kind of you to help me out like this.	Ah, c'est le $ver de terre$ que j'avais demandé ! C'est gentil à toi de m'avoir aidée.	О, это же $червяк$, которого я просила! Очень заботливо с твоей стороны.	Ah, it's the $Worm$ I requested! Kind of you to help me out like this.
