key	english	french	russian	bulgarian
Conversations/flavor_text/bathhouse_bedroom_cauldron/init	The bubbling cauldron fills the room with the scent of lychee and rose.	Le contenu bouillonnant du chaudron emplit la pièce d'une odeur de rose et de litchi.	Жидкость в котле пузырится и наполняет комнату ароматом личи и розы.	The bubbling cauldron fills the room with the scent of lychee and rose.
Conversations/flavor_text/bathhouse_bedroom_crystal_ball/1	It emits a dial tone.	Elle émet une tonalité sonore.	Из него раздаётся гудок.	It emits a dial tone.
Conversations/flavor_text/bathhouse_bedroom_crystal_ball/init	You gently place a finger on the crystal ball...	Vous posez doucement un doigt sur la boule de cristal...	Вы осторожно подносите палец к хрустальному шару...	You gently place a finger on the crystal ball...
Conversations/flavor_text/bathhouse_bedroom_desk/1	"""The Legend of the Forgotten Queens"""	« La légende des reines oubliées »	«Легенда о забытых королевах».	"""The Legend of the Forgotten Queens"""
Conversations/flavor_text/bathhouse_bedroom_desk/2	"""Recent discoveries in western Aldaria suggest a line of ancient queens may have ruled the area prior to the Dark Ages."""	« De récentes découvertes dans la zone ouest d'Aldaria suggèrent qu'une lignée de reines antiques pourrait avoir régné sur la région avant les âges obscurs. »	«Недавние открытия в западной Альдарии позволяют предположить, что до Тёмных веков этим регионом правил род древних королев».	"""Recent discoveries in western Aldaria suggest a line of ancient queens may have ruled the area prior to the Dark Ages."""
Conversations/flavor_text/bathhouse_bedroom_desk/init	An ornate book lays open on Juniper's desk...	Un livre plein d'enluminures est ouvert sur le bureau de Juniper...	На столе Джунипер раскрыта изысканно украшенная книга...	An ornate book lays open on Juniper's desk...
Conversations/flavor_text/bathhouse_bedroom_potion_shelf/init	Jars full of colorful concoctions fill the shelf.	Des bocaux remplis de mixtures colorées emplissent l'étagère.	На полках расставлены банки с разноцветными отварами.	Jars full of colorful concoctions fill the shelf.
Conversations/flavor_text/bathhouse_cauldron/init	The cauldron is full of a mysterious, brightly colored liquid.	Le chaudron est empli d'un mystérieux liquide de couleur vive.	Котёл заполняет загадочная жидкость яркого цвета.	The cauldron is full of a mysterious, brightly colored liquid.
Conversations/flavor_text/bathhouse_changing_cubbies/init	Cubbies for bathers to store their clothing in.	Casiers où les baigneurs peuvent ranger leurs vêtements.	Это шкафчики, где посетители могут оставить одежду.	Cubbies for bathers to store their clothing in.
Conversations/flavor_text/bathhouse_changing_door/init	This doorway leads to the bath, but you need to pay at the front desk before you can go in.	Ce passage mène au bain, mais vous devez payer au comptoir d'accueil avant d'y accéder.	Это дверь в ванную комнату. Проход надо оплатить на кассе у входа.	This doorway leads to the bath, but you need to pay at the front desk before you can go in.
Conversations/flavor_text/bathhouse_changing_fountain/init	The fountain gives the changing room a feeling of serenity.	La fontaine donne aux vestiaires une ambiance sereine.	Фонтан создаёт в раздевалке атмосферу спокойствия.	The fountain gives the changing room a feeling of serenity.
Conversations/flavor_text/bathhouse_locker/init	Neatly stacked clean towels and slippers fill the shelves.	Des serviettes et des chaussons propres sont soigneusement alignés sur les étagères.	На полках аккуратно расставлены чистые полотенца и тапочки.	Neatly stacked clean towels and slippers fill the shelves.
Conversations/flavor_text/bathhouse_shelf_a/init	Handmade soaps and jars line the shelves.	Des savons faits maison et des bocaux s'alignent sur les étagères.	На полках стоят банки и мыла ручной работы.	Handmade soaps and jars line the shelves.
Conversations/flavor_text/bathhouse_shelf_b/1	You're not sure what the crystal has to do with bathing.	Vous ne voyez pas bien le rapport entre ce cristal et les bains.	Не очень понятно, как кристалл связан с купанием.	You're not sure what the crystal has to do with bathing.
Conversations/flavor_text/bathhouse_shelf_b/init	Bath salts, bath oils, and a very big crystal.	Des sels de bain, des huiles et un très gros cristal.	Различные соли и масла для ванн, а также очень большой кристалл.	Bath salts, bath oils, and a very big crystal.
Conversations/flavor_text/bathhouse_shelf_c/1	Interestingly, they don't seem to be bath products.	Chose intéressante, il ne semble pas s'agir de produits de bain.	Странно. Кажется, в них находятся не предметы для ванной.	Interestingly, they don't seem to be bath products.
Conversations/flavor_text/bathhouse_shelf_c/init	Many of these jars and boxes are unlabeled.	Bon nombre de ces bocaux et de ces boîtes ne portent aucune étiquette.	Многие банки и коробки не подписаны.	Many of these jars and boxes are unlabeled.
Conversations/flavor_text/bell_tower_door_locked/init	The door is locked.	La porte est fermée à clé.	Эта дверь заперта.	The door is locked.
Conversations/flavor_text/blacksmiths_display/init	Display tools are lined up for sale.	Des outils de démonstration sont exposés pour la vente.	На витрине выставлены инструменты на продажу.	Display tools are lined up for sale.
Conversations/flavor_text/blacksmiths_march_plant/init	A carefully tended house plant.	Plante d'intérieur soignée avec attention.	За этим растением хорошо ухаживают.	A carefully tended house plant.
Conversations/flavor_text/blacksmiths_march_trophy_shelf/init	An impressive collection of trophies and awards fill March's shelves.	Une impressionnante collection de trophées et de récompenses orne les étagères de March.	Полки занимает впечатляющая коллекция трофеев и наград Марта.	An impressive collection of trophies and awards fill March's shelves.
Conversations/flavor_text/blacksmiths_march_trunk/1	It smells nice, like cedarwood and sage.	Il sent bon le bois de cèdre et la sauge.	От него приятно пахнет кедром и шалфеем.	It smells nice, like cedarwood and sage.
