key	english	french	russian	bulgarian
Conversations/family_planning/family_planning_adeline/1	I was hoping we could talk about something that's been on my mind lately...	J'aimerais qu'on discute d'un sujet qui me travaille en ce moment...	Я надеялась, мы сможем поговорить о том, что в последнее время не выходит у меня из головы...	I was hoping we could talk about something that's been on my mind lately...
Conversations/family_planning/family_planning_adeline/10	This is so exciting!	Je suis si heureuse !	Как же это волнующе!	This is so exciting!
Conversations/family_planning/family_planning_adeline/11	Yes... I'm ready too!	Oui, je suis prête !	Да... я тоже готова!	Yes... I'm ready too!
Conversations/family_planning/family_planning_adeline/12	You had a great conversation with Adeline. You both decided it's time to start a family!	Vous avez eu une grande discussion avec Adeline, et ensemble, vous avez pris la décision de fonder une famille !	Вы отлично поговорили с Аделиной. Вы оба решили, что пора завести семью!	You had a great conversation with Adeline. You both decided it's time to start a family!
Conversations/family_planning/family_planning_adeline/13	Oh, of course! There's no big rush.	Bien sûr, rien ne presse.	О, конечно! Спешить некуда.	Oh, of course! There's no big rush.
Conversations/family_planning/family_planning_adeline/14	We have plenty of time.	Nous avons tout notre temps.	У нас полно времени.	We have plenty of time.
Conversations/family_planning/family_planning_adeline/15	Let's talk about it again when you're ready, okay?	Nous en reparlerons quand le moment sera venu pour toi, d'accord ?	Давай вернёмся к этому разговору, когда почувствуешь готовность, хорошо?	Let's talk about it again when you're ready, okay?
Conversations/family_planning/family_planning_adeline/2	Um.	Hum...	Эм.	Um.
Conversations/family_planning/family_planning_adeline/3	What are your thoughts on starting a family?	Que dirais-tu de fonder une famille ?	Что ты думаешь о том, чтобы завести семью?	What are your thoughts on starting a family?
Conversations/family_planning/family_planning_adeline/3/prompts/0	I would love to!	J'adorerais ça !	С радостью!	I would love to!
Conversations/family_planning/family_planning_adeline/3/prompts/1	I'm not sure if I'm ready...	Je ne sais pas si c'est le bon moment.	Пока не чувствую готовности...	I'm not sure if I'm ready...
Conversations/family_planning/family_planning_adeline/4	Really?	Vraiment ?	Правда?	Really?
Conversations/family_planning/family_planning_adeline/5	That makes two of us, then!	Alors, on est deux !	Значит, нас таких двое!	That makes two of us, then!
Conversations/family_planning/family_planning_adeline/6	I've been reminiscing lately about my childhood. All those precious memories...	Je repense à mon enfance ces derniers temps. À tous ces beaux souvenirs...	В последнее время я всё вспоминаю своё детство. Все эти драгоценные воспоминания...	I've been reminiscing lately about my childhood. All those precious memories...
Conversations/family_planning/family_planning_adeline/7	Family dinners, game nights, walks down to the Beach... There was always something going on!	Les dîners en famille, les soirées jeux, les balades sur la plage... On avait toujours quelque chose à faire !	Семейные ужины, вечера настольных игр, прогулки к морю... Вечно что-нибудь да происходило!	Family dinners, game nights, walks down to the Beach... There was always something going on!
Conversations/family_planning/family_planning_adeline/8	It makes me want to have our own bustling little home, you know?	Et ça me donne envie d'avoir ma propre famille, tu vois ?	И мне так хочется, чтобы у нас был свой шумный, полный жизни дом, понимаешь?	It makes me want to have our own bustling little home, you know?
Conversations/family_planning/family_planning_adeline/8/prompts/0	I'm ready for a baby, if you are!	Si tu te sens d'avoir un enfant, moi aussi !	Я — за, если и ты!	I'm ready for a baby, if you are!
Conversations/family_planning/family_planning_adeline/8/prompts/1	We'd better think about it more first.	Nous devrions y réfléchir encore un peu.	Давай сначала ещё подумаем.	We'd better think about it more first.
Conversations/family_planning/family_planning_adeline/9	Really!? Oh... [Ari]!	Vraiment ?! Oh... [Ari] !	Правда?! Ох... [Ari]!	Really!? Oh... [Ari]!
Conversations/family_planning/family_planning_adeline/init	Do you have a minute, [Ari]?	Tu as une petite minute, [Ari] ?	Найдётся минутка, [Ari]?	Do you have a minute, [Ari]?
Conversations/family_planning/family_planning_balor/1	There's been something on my mind lately.	Ça fait un moment que quelque chose me trotte dans la tête.	В последнее время меня кое-что не отпускает.	There's been something on my mind lately.
Conversations/family_planning/family_planning_balor/10	I... yes.	Je... oui.	Я... да.	I... yes.
Conversations/family_planning/family_planning_balor/11	Yes! I'm ready too!	Oui ! Je suis vraiment prêt !	Да! Я тоже готов!	Yes! I'm ready too!
Conversations/family_planning/family_planning_balor/12	You had a great conversation with Balor. You both decided it's time to start a family!	Vous avez eu une grande discussion avec Balor, et ensemble, vous avez pris la décision de fonder une famille !	Вы отлично поговорили с Балором. Вы оба решили, что пора завести семью!	You had a great conversation with Balor. You both decided it's time to start a family!
Conversations/family_planning/family_planning_balor/13	Of course! There's no real hurry.	Bien sûr, rien ne presse.	Конечно! Спешить и правда некуда.	Of course! There's no real hurry.
Conversations/family_planning/family_planning_balor/14	Thank you for listening. It means a lot to me that we can talk about this kind of thing.	Merci de m'avoir écouté. Je suis heureux qu'on puisse parler de ce genre de sujet ensemble.	Спасибо тебе за то, что рядом. Для меня много значит, что мы можем говорить о таких вещах.	Thank you for listening. It means a lot to me that we can talk about this kind of thing.
Conversations/family_planning/family_planning_balor/15	If and when you decide you're ready, let's talk again okay?	Et quand tu sentiras que le moment est venu, on en reparlera, d'accord ?	Когда почувствуешь готовность, давай поговорим снова, хорошо?	If and when you decide you're ready, let's talk again okay?
Conversations/family_planning/family_planning_balor/2	Although, now that the moment is here I find the words hard to say...	Là, j'ai du mal à trouver les mots...	Хотя теперь, когда момент настал, слова даются мне с трудом...	Although, now that the moment is here I find the words hard to say...
Conversations/family_planning/family_planning_balor/3	W-what are your thoughts on starting a family?	Euh, est-ce que ça te dirait de fonder une famille ?	Ч-что ты думаешь о том, чтобы завести семью?	W-what are your thoughts on starting a family?
Conversations/family_planning/family_planning_balor/3/prompts/0	I would love to!	J'adorerais ça !	С радостью!	I would love to!
Conversations/family_planning/family_planning_balor/3/prompts/1	I'm not sure if I'm ready...	Je ne sais pas si c'est le bon moment.	Пока не чувствую готовности...	I'm not sure if I'm ready...
Conversations/family_planning/family_planning_balor/4	Whew!	Pfiou !	Уф!	Whew!
Conversations/family_planning/family_planning_balor/5	That makes both of us, then!	Alors, on est deux !	Значит, нас таких двое!	That makes both of us, then!
Conversations/family_planning/family_planning_balor/6	It's just... Mistria is such a great place for a kid to grow up. It's a real community.	Je trouve que Mistria est un endroit merveilleux pour élever un enfant. Tout le monde s'épaule.	Просто... Мистрия — такое замечательное место, чтобы растить ребёнка. Здесь настоящее, сплочённое сообщество.	It's just... Mistria is such a great place for a kid to grow up. It's a real community.
Conversations/family_planning/family_planning_balor/7	And it gets me thinking about my own not-so-great childhood...	Cela me renvoie à mon enfance qui n'a pas été si terrible...	И это заставляет меня вспоминать собственное не самое радужное детство...	And it gets me thinking about my own not-so-great childhood...
Conversations/family_planning/family_planning_balor/8	It makes me want me to... try and become the father I wish I'd had.	Cela me donne envie d'être le père que j'aurais voulu avoir.	И мне хочется... постараться стать тем отцом, какого мне самому не хватало.	It makes me want me to... try and become the father I wish I'd had.
Conversations/family_planning/family_planning_balor/8/prompts/0	I'm ready for a baby, if you are!	Si tu te sens d'avoir un enfant, moi aussi !	Я — за, если и ты!	I'm ready for a baby, if you are!
Conversations/family_planning/family_planning_balor/8/prompts/1	We'd better think about it more first.	Nous devrions y réfléchir encore un peu.	Давай сначала ещё подумаем.	We'd better think about it more first.
Conversations/family_planning/family_planning_balor/9	Oh... [Ari]!	Oh, [Ari]...	Ох... [Ari]!	Oh... [Ari]!
Conversations/family_planning/family_planning_balor/init	Do you have a moment, [Ari]?	Je peux te parler, [Ari] ?	Найдётся минутка, [Ari]?	Do you have a moment, [Ari]?
Conversations/family_planning/family_planning_caldarus/1	There is something that I wish to discuss with you...	J'aimerais discuter d'un sujet important avec toi...	Есть нечто, что я хотел бы с тобой обсудить...	There is something that I wish to discuss with you...
Conversations/family_planning/family_planning_caldarus/10	I cannot express how it feels to know that you share this desire as well.	Je ne saurais te dire à quel point je suis heureux que ce désir soit partagé.	Не могу выразить, что я чувствую, зная, что ты разделяешь это желание.	I cannot express how it feels to know that you share this desire as well.
Conversations/family_planning/family_planning_caldarus/11	Yes, let us start a family.	Alors, fondons une famille.	Да, давай заведём семью.	Yes, let us start a family.
