key	english	french	russian	bulgarian
Conversations/tali_challenges/beet_soup_challenge_turn_in/1	You really made =Beet Soup=!	Tu as vraiment préparé de la =soupe à la betterave= !	Ты <p>приготовили</p><f>приготовила</f><m>приготовил</m><n>приготовило</n> =свекольный суп=!	You really made =Beet Soup=!
Conversations/tali_challenges/beet_soup_challenge_turn_in/2	Let me give it a taste.	Laisse-moi la goûter.	Дай-ка я попробую.	Let me give it a taste.
Conversations/tali_challenges/beet_soup_challenge_turn_in/3	...	...	...	...
Conversations/tali_challenges/beet_soup_challenge_turn_in/4	Yes... this is worthy of a palate as refined as mine.	Oui... Elle convient à mon palais raffiné.	Да... Вот блюдо, достойное такого ценителя, как я.	Yes... this is worthy of a palate as refined as mine.
Conversations/tali_challenges/beet_soup_challenge_turn_in/5	I knew you could do it all along. I have a sense for these things.	Depuis le début, je savais que tu y arriverais. Je sens ces choses-là.	Я с самого начала знал, что у тебя получится. У меня чутьё на такие вещи.	I knew you could do it all along. I have a sense for these things.
Conversations/tali_challenges/beet_soup_challenge_turn_in/6	Congratulations, [Ari].	Félicitations [Ari].	Поздравляю, [Ari].	Congratulations, [Ari].
Conversations/tali_challenges/beet_soup_challenge_turn_in/init	You did it...!	Tu as réussi...!	Ты правда это <p>сделали</p><f>сделала</f><m>сделал</m><n>сделало</n>!..	You did it...!
Conversations/tali_challenges/bell_berry_bakewell_tart_challenge_turn_in/1	Because they grow here in Mistria?	Car elles poussent ici à Mistria, dis-tu.	Потому что они растут в Мистрии?	Because they grow here in Mistria?
Conversations/tali_challenges/bell_berry_bakewell_tart_challenge_turn_in/2	And Reina is the one who invented the $Bell Berry Bakewell Tart$ in the first place?	Et c'est même Reina qui a créé la recette de la $tarte aux clocherelles$ ?	И это именно Рейна когда-то изобрела $тарт из колокольника$?	And Reina is the one who invented the $Bell Berry Bakewell Tart$ in the first place?
Conversations/tali_challenges/bell_berry_bakewell_tart_challenge_turn_in/3	...	...	...	...
Conversations/tali_challenges/bell_berry_bakewell_tart_challenge_turn_in/4	I- I knew that.	Je... J'étais au courant.	Я... и так это знаю.	I- I knew that.
Conversations/tali_challenges/bell_berry_bakewell_tart_challenge_turn_in/5	I was just... testing you!	Je... Je vérifiais juste tes connaissances sur la question !	Я просто... проверял тебя!	I was just... testing you!
Conversations/tali_challenges/bell_berry_bakewell_tart_challenge_turn_in/init	You... managed to get your hands on some $Bell Berries$?	Tu as réussi... à te procurer des $clocherelles$ ?	У тебя... получилось где-то достать ягоды $колокольника$?	You... managed to get your hands on some $Bell Berries$?
Conversations/tali_challenges/chocolate_cake_challenge_turn_in/1	It looks-	Il a l'air...	Выглядит...	It looks-
Conversations/tali_challenges/chocolate_cake_challenge_turn_in/2	Nevermind how it looks. Let's see how it tastes.	Peu importe ce dont il a l'air. C'est le goût qui compte.	Не важно, как он выглядит. Посмотрим лучше, как на вкус.	Nevermind how it looks. Let's see how it tastes.
Conversations/tali_challenges/chocolate_cake_challenge_turn_in/3	...	...	...	...
Conversations/tali_challenges/chocolate_cake_challenge_turn_in/4	Are you sure you made this yourself?	Tu as réellement confectionné ça toi-même ?	Ты точно <p>сами его испекли</p><f>сама его испекла</f><m>сам его испёк</m><n>само его испекло</n>?	Are you sure you made this yourself?
Conversations/tali_challenges/chocolate_cake_challenge_turn_in/5	Fine, fine. Here's your prize...	Bien, bien. Voilà ton prix...	Ладно, ладно. Вот твоя награда.	Fine, fine. Here's your prize...
Conversations/tali_challenges/chocolate_cake_challenge_turn_in/init	This must be your entry for the $Chocolate Cake$ challenge.	Voilà donc ta participation pour le défi du $gâteau au chocolat$.	Значит, вот это ты подаёшь на смотр как $шоколадный торт$.	This must be your entry for the $Chocolate Cake$ challenge.
Conversations/tali_challenges/crispy_fried_earthshroom_challenge_turn_in/1	Give it here.	Donne-le-moi.	Давай сюда.	Give it here.
Conversations/tali_challenges/crispy_fried_earthshroom_challenge_turn_in/2	...	...	...	...
Conversations/tali_challenges/crispy_fried_earthshroom_challenge_turn_in/3	You did manage to get the right level of crisp, I admit.	Je dois admettre qu'il est croustillant comme il faut.	Готов признать, у тебя получилось достичь правильного уровня обжарки.	You did manage to get the right level of crisp, I admit.
Conversations/tali_challenges/crispy_fried_earthshroom_challenge_turn_in/4	But really, we're only just getting started.	Mais ce n'est que le début.	Но на самом деле это только начало.	But really, we're only just getting started.
Conversations/tali_challenges/crispy_fried_earthshroom_challenge_turn_in/5	Let's see how well you fare next time.	Nous verrons comment se passera le prochain défi.	Посмотрим, как ты справишься в следующий раз.	Let's see how well you fare next time.
Conversations/tali_challenges/crispy_fried_earthshroom_challenge_turn_in/init	So you managed to make a $Crispy Fried Earthshroom$...	Ainsi donc, tu as préparé un $beignet de terramanite$...	Так значит, у тебя получилось приготовить $земляные грибы в кляре$...	So you managed to make a $Crispy Fried Earthshroom$...
Conversations/tali_challenges/crystal_berry_pie_challenge_turn_in/1	I mean... your take on $Crystal Berry Pie$.	Enfin... ta version de la $tarte aux baies de cristal$.	В смысле... вот какая у тебя версия $пирога из кристальных ягод$.	I mean... your take on $Crystal Berry Pie$.
Conversations/tali_challenges/crystal_berry_pie_challenge_turn_in/2	Time to give it a taste.	Il est temps de passer à la dégustation.	Давайте попробуем.	Time to give it a taste.
Conversations/tali_challenges/crystal_berry_pie_challenge_turn_in/3	...	...	...	...
Conversations/tali_challenges/crystal_berry_pie_challenge_turn_in/4	It does taste rather... decent.	Son goût est plutôt... agréable.	На вкус весьма... прилично.	It does taste rather... decent.
Conversations/tali_challenges/crystal_berry_pie_challenge_turn_in/5	Just take your prize and go, [Ari].	Prends ton prix et va-t'en, [Ari].	Забирай свой приз и уходи, [Ari].	Just take your prize and go, [Ari].
Conversations/tali_challenges/crystal_berry_pie_challenge_turn_in/init	Ah, so this is $Crystal Berry Pie$-	Ah, c'est donc ça, une $tarte aux baies de cristal$...	А, так вот как выглядит $пирог из кристальных ягод$...	Ah, so this is $Crystal Berry Pie$-
Conversations/tali_challenges/golden_cookies_challenge_turn_in/1	I don't believe it. Let me try one!	Je n'y crois pas une seconde. Laisse-moi y goûter !	Я не верю. Дай-ка мне попробовать!	I don't believe it. Let me try one!
