key	english	french	russian	bulgarian
Conversations/Bank/Wheedle/Banked Lines/basement/basement_1/init	Hello!	Bonjour !	Приветствую!	Hello!
Conversations/Bank/Wheedle/Banked Lines/booth_lines/best_life/1	Saturday won't last forever, after all... and neither will these prices!	Le samedi ne va pas durer éternellement... Mes prix non plus !	К тому же, субботний день не вечен... Как и эти цены!	Saturday won't last forever, after all... and neither will these prices!
Conversations/Bank/Wheedle/Banked Lines/booth_lines/best_life/init	I've got everything you need to live your best life, so come on down!	J'ai tout ce qu'il te faut pour te faciliter la vie, alors jette un œil !	У меня есть всё, что вам нужно для идеальной жизни!	I've got everything you need to live your best life, so come on down!
Conversations/Bank/Wheedle/Banked Lines/booth_lines/carnival_of_deals/init	Step right up, step right up! Welcome to Wheedle's carnival... of deals!	Approche, approche ! Bienvenue au grand carnaval des affaires de Wheedle !	Подходите, подходите! Хлюст приветствует вас на карнавале... скидок!	Step right up, step right up! Welcome to Wheedle's carnival... of deals!
Conversations/Bank/Wheedle/Banked Lines/booth_lines/charity/1	So have a look at my store and avail yourself of my charity. I promise you won't be disappointed.	Jette donc un œil à mes marchandises et profite de ma générosité. Tu ne seras pas déçu<he></he><she>e</she><they>·e</they>, je te le garantis.	Спешите воспользоваться моей щедростью и присмотритесь к моим товарам. Обещаю, вы не будете разочарованы.	So have a look at my store and avail yourself of my charity. I promise you won't be disappointed.
Conversations/Bank/Wheedle/Banked Lines/booth_lines/charity/init	At the prices I keep, I'm practically giving things away!	Vu les prix que je pratique, c'est comme si c'était gratuit !	При моих ценах можно сказать, что отдаю товар бесплатно!	At the prices I keep, I'm practically giving things away!
Conversations/Bank/Wheedle/Banked Lines/booth_lines/destiny/1	Because today, you're here... and so is the deal of your dreams.	En effet, tu es là aujourd'hui... tout comme l'affaire dont tu as toujours rêvé.	Потому что сегодня вам повстречалась... покупка вашей мечты.	Because today, you're here... and so is the deal of your dreams.
Conversations/Bank/Wheedle/Banked Lines/booth_lines/destiny/init	Do you believe in destiny, my friend? You've certainly made me a believer.	Est-ce que tu crois au destin, mon ami<he></he><she>e</she><they>·e</they> ? Parce que grâce à toi, moi oui.	Верите ли вы в судьбу, друг мой? Благодаря вам я и сам поверил.	Do you believe in destiny, my friend? You've certainly made me a believer.
Conversations/Bank/Wheedle/Banked Lines/booth_lines/favorite_customer/1	But for you? My favorite customer? Oh, it's all on the table.	Mais en ce qui te concerne, et puisque tu fais partie de mes clients préférés, tu as le droit de voir tout ce que j'ai à proposer.	Но для вас, моего любимого клиента, — всё, что хотите!	But for you? My favorite customer? Oh, it's all on the table.
Conversations/Bank/Wheedle/Banked Lines/booth_lines/favorite_customer/init	Now, I wouldn't sell my wares to just anyone...	Sache que je ne propose pas mes marchandises à n'importe qui...	Знаете, я не стану предлагать свой товар кому попало...	Now, I wouldn't sell my wares to just anyone...
Conversations/Bank/Wheedle/Banked Lines/booth_lines/healthy_economy/1	Cheers to a healthy economy, [Ari]!	Œuvrons pour une économie saine, [Ari].	За здоровую экономику, [Ari]!	Cheers to a healthy economy, [Ari]!
Conversations/Bank/Wheedle/Banked Lines/booth_lines/healthy_economy/init	I've got some very special items in stock, and I was thinking of you when I marked these low, low prices.	J'ai des articles très spéciaux en stock, et c'est précisément à toi que je pensais en fixant ces prix ridiculement bas.	У меня есть для вас крайне необычные товары. И я подумал о вас, когда вешал эти ультранизкие ценники.	I've got some very special items in stock, and I was thinking of you when I marked these low, low prices.
Conversations/Bank/Wheedle/Banked Lines/booth_lines/heard_rumors/1	Everything you've heard about my shop... it's all true.	Tout ce que tu as entendu au sujet de ma boutique... est la pure vérité.	Всё, что вы слышали о моей лавке... чистая правда.	Everything you've heard about my shop... it's all true.
Conversations/Bank/Wheedle/Banked Lines/booth_lines/heard_rumors/2	I have the exact thing you're looking for, at exactly the right price.	J'ai pile ce que tu cherches, et au prix juste.	У меня есть именно то, что вам нужно, по самой выгодной цене.	I have the exact thing you're looking for, at exactly the right price.
Conversations/Bank/Wheedle/Banked Lines/booth_lines/heard_rumors/init	If you've come here, then you must have heard the rumors.	Si tu es là, c'est sans doute que tu as entendu les rumeurs.	Раз вы пришли сюда, значит, знакомы со слухами.	If you've come here, then you must have heard the rumors.
Conversations/Bank/Wheedle/Banked Lines/booth_lines/hot_deals/1	I recommend cozying up to some piping hot deals.	Les bonnes affaires que j'ai à te proposer vont te réchauffer le cœur.	Рекомендую согреться у моих огненно-жарких скидок.	I recommend cozying up to some piping hot deals.
Conversations/Bank/Wheedle/Banked Lines/booth_lines/hot_deals/init	It's quite chilly these days, isn't it my friend?	Il fait un peu frais ces jours-ci, tu ne trouves pas ?	Морозные деньки наступили, не так ли, друг мой?	It's quite chilly these days, isn't it my friend?
Conversations/Bank/Wheedle/Banked Lines/booth_lines/real_deal/1	These prices? They're the real deal.	Mon prix, c'est le juste prix.	Мои цены? Это настоящая выгода.	These prices? They're the real deal.
Conversations/Bank/Wheedle/Banked Lines/booth_lines/real_deal/init	Oh, I'm not like those other merchants...	Oh, je ne suis pas comme les autres marchands...	О, я не таков, как другие торговцы...	Oh, I'm not like those other merchants...
Conversations/Bank/Wheedle/Banked Lines/booth_lines/right_hands/1	All at a price that makes you gasp at my generosity and recount it to future generations.	Et le tout à un prix stupéfiant de générosité, un prix dont tu parleras encore à tes descendants.	А все цены заставят вас разинуть рот от моей щедрости и рассказывать о ней потомкам.	All at a price that makes you gasp at my generosity and recount it to future generations.
Conversations/Bank/Wheedle/Banked Lines/booth_lines/right_hands/init	It's my life's work to see the right items get into the right hands...	Mon but, dans la vie, c'est que le bon article atterrisse entre les mains du client qui en a besoin...	Дело моей жизни — доставить правильный товар в правильные руки...	It's my life's work to see the right items get into the right hands...
Conversations/Bank/Wheedle/Banked Lines/booth_lines/rock_bottom/1	That's the Wheedle guarantee!	C'est la garantie Wheedle !	Даю гарантию Хлюста!	That's the Wheedle guarantee!
Conversations/Bank/Wheedle/Banked Lines/booth_lines/rock_bottom/init	The leaves may change in autumn, but my prices? They'll always be a rock-bottom bargain.	Les feuilles changent en automne, contrairement à mes prix. Ils restent les plus bas du marché.	Листва на деревьях меняется осенью, но мои цены? Они всегда остаются на самом дне!	The leaves may change in autumn, but my prices? They'll always be a rock-bottom bargain.
Conversations/Bank/Wheedle/Banked Lines/booth_lines/shoulder_the_burden/1	Why not leave it with me, and go home with something from my carefully curated inventory?	Pourquoi ne pas me les laisser en contrepartie d'un de ces articles spécialement sélectionnés ?	Почему бы не оставить их у меня и не выбрать взамен что-нибудь из моего тщательно подобранного каталога?	Why not leave it with me, and go home with something from my carefully curated inventory?
Conversations/Bank/Wheedle/Banked Lines/booth_lines/shoulder_the_burden/2	I'm happy to shoulder the burden for you.	Je serai ravi de t'en délester.	С радостью избавлю вас от этого груза.	I'm happy to shoulder the burden for you.
Conversations/Bank/Wheedle/Banked Lines/booth_lines/shoulder_the_burden/init	I've been thinking about your health, [Ari]... all that tesserae you're carrying looks quite heavy.	Je me préoccupe pour ta santé, [Ari].. Tous ces tesserae que tu portes doivent peser horriblement lourd.	Я задумался о вашем здоровье, [Ari]... Запас тессер, который вы таскаете, такой тяжеловесный.	I've been thinking about your health, [Ari]... all that tesserae you're carrying looks quite heavy.
Conversations/Bank/Wheedle/Banked Lines/booth_lines/snake_oil/1	I've got several kinds, actually. Be sure to try them all!	D'ailleurs, j'en propose différentes sortes. N'hésite pas à les essayer !	У меня есть разные виды. Обязательно попробуй их все!	I've got several kinds, actually. Be sure to try them all!
