key	english	french	russian	bulgarian
Conversations/Bank/March/Banked Lines/adeline_keeps_me_busy/adeline_keeps_me_busy/init	I wish I had time to make more show pieces, but Adeline keeps me so busy making nails and joints...	J'aimerais concevoir plus de pièces de collection, mais je passe mon temps à fabriquer des clous et des rivets pour Adeline...	Жаль, что не хватает времени делать больше показных изделий, но Аделина всё время загружает меня гвоздями и крепежами...	I wish I had time to make more show pieces, but Adeline keeps me so busy making nails and joints...
Conversations/Bank/March/Banked Lines/anvil/anvil/1	I'd rather people carry on the smithing tradition.	J'aime que les gens perpétuent la tradition de la forge.	Главное, чтобы кузнечное ремесло не исчезло.	I'd rather people carry on the smithing tradition.
Conversations/Bank/March/Banked Lines/anvil/anvil/init	I don't mind if you use my anvil to make the same tools that I'm selling.	Tu peux te servir de l'enclume pour créer des outils identiques à ceux que je vends.	Мне не жалко, если ты используешь мою наковальню, даже если делаешь те же инструменты, что и я продаю.	I don't mind if you use my anvil to make the same tools that I'm selling.
Conversations/Bank/March/Banked Lines/away_from_forge/away_from_forge/init	It's not often I'm away from the forge... there's always more to do.	Je ne sors pas très souvent de la forge... Il y a toujours quelque chose à faire.	Я не так часто отхожу от кузницы... Работы там всегда хватает.	It's not often I'm away from the forge... there's always more to do.
Conversations/Bank/March/Banked Lines/balor_buys_wagon_supplies/balor_buys_supplies/init	Balor buys a lot of replacement parts for his wagon from me and Ryis... what's he get up to, I wonder? And where does he get all that rare ore?	Balor achète souvent des pièces de rechange pour son chariot auprès de Ryis et moi... Je me demande ce qu'il en fait. Et où est-ce qu'il trouve tous ces minerais rares ?	Балор часто покупает у меня и Риза запчасти для своего фургона... Интересно, чем он там занимается? И где он берёт такую редкую руду?	Balor buys a lot of replacement parts for his wagon from me and Ryis... what's he get up to, I wonder? And where does he get all that rare ore?
Conversations/Bank/March/Banked Lines/baron_wiscar/baron_wiscar/init	Baron Wiscar really knows his stuff, he could have been a blacksmith if he hadn't been granted peerage by the king.	Le baron Wiscar est vraiment doué. Il aurait pu devenir forgeron s'il n'avait pas été anobli par le roi.	Барон Вискар отлично разбирается в кузнечестве. Мог бы стать мастером, если бы король не дал ему титул.	Baron Wiscar really knows his stuff, he could have been a blacksmith if he hadn't been granted peerage by the king.
Conversations/Bank/March/Banked Lines/basement/basement_1/init	Oh, hey.	Tiens, bonjour.	А, это ты.	Oh, hey.
Conversations/Bank/March/Banked Lines/basement/basement_2/1	Hey.	Salut.	Привет.	Hey.
Conversations/Bank/March/Banked Lines/basement/basement_2/init	...	...	...	...
Conversations/Bank/March/Banked Lines/basement/basement_3/init	What, did you need something?	Quoi ? Tu as besoin de quelque chose ?	Что, нужно что-то?	What, did you need something?
Conversations/Bank/March/Banked Lines/basement/basement_4/init	Hey.	Salut.	Привет.	Hey.
Conversations/Bank/March/Banked Lines/basement/basement_5/init	Morning.	Bonjour.	Доброе утро.	Morning.
Conversations/Bank/March/Banked Lines/basement/basement_6/init	What's up?	Quoi de neuf ?	Как оно?	What's up?
Conversations/Bank/March/Banked Lines/basement/basement_7/init	Hm? Oh, hey [Ari].	Mmm ? Oh, salut [Ari].	М? А, привет, [Ari].	Hm? Oh, hey [Ari].
Conversations/Bank/March/Banked Lines/basement/basement_8/1	Hey [Ari].	Salut, [Ari].	Эй, [Ari].	Hey [Ari].
Conversations/Bank/March/Banked Lines/basement/basement_8/init	Oh!	Oh !	О!	Oh!
Conversations/Bank/March/Banked Lines/bathhouse/bathhouse/init	I feel refreshed.	C'est très revigorant.	Освежился.	I feel refreshed.
Conversations/Bank/March/Banked Lines/bathhouse/bathhouse_2/init	The bath feels amazing after a day spent hammering away at the forge. Whew.	J'adore venir aux bains après une journée passée à travailler le métal. Pfiou.	После дня у горна ванна — просто спасение. Фух.	The bath feels amazing after a day spent hammering away at the forge. Whew.
Conversations/Bank/March/Banked Lines/bathhouse/bathhouse_3/1	A hot bath always relaxes my muscles...	Un bain chaud me détend les muscles...	Горячая вода хорошо расслабляет мышцы...	A hot bath always relaxes my muscles...
Conversations/Bank/March/Banked Lines/bathhouse/bathhouse_3/2	Then I can get back to work.	Et je peux retourner travailler.	Потом можно снова за работу.	Then I can get back to work.
Conversations/Bank/March/Banked Lines/bathhouse/bathhouse_3/init	Sometimes I wake up with a tense neck, and that's when I come over here.	Je me réveille parfois avec le cou tout raide, donc je viens ici.	Иногда просыпаюсь с зажатой шеей — тогда и иду сюда.	Sometimes I wake up with a tense neck, and that's when I come over here.
