key	english	french	russian	bulgarian
Conversations/Bank/Adeline/Banked Lines/1h_advice/1h_advice/1	I have too many things that need my attention, and I can't decide which I should prioritize!	Je dois m'occuper de trop de choses en même temps et je n'arrive pas à me décider sur l'ordre des priorités !	Так много вещей требует моего внимания, что я даже не знаю, чему уделить время!	I have too many things that need my attention, and I can't decide which I should prioritize!
Conversations/Bank/Adeline/Banked Lines/1h_advice/1h_advice/1/prompts/0	Which is the most time-sensitive?	Quelle est la plus urgente ?	А что самое срочное?	Which is the most time-sensitive?
Conversations/Bank/Adeline/Banked Lines/1h_advice/1h_advice/1/prompts/1	Which will affect more people?	Laquelle touche le plus de monde ?	А что больше всего затрагивает окружающих?	Which will affect more people?
Conversations/Bank/Adeline/Banked Lines/1h_advice/1h_advice/1/prompts/2	Take a break... prioritize yourself!	Fais une pause... La priorité, c'est toi !	Сделай перерыв... Удвли время себе!	Take a break... prioritize yourself!
Conversations/Bank/Adeline/Banked Lines/1h_advice/1h_advice/10	Thanks, [Ari]. I'll take care of that first.	Merci, [Ari]. Je vais commencer par m'occuper de ça.	Спасибо, [Ari]. Первым делом возьмусь за него.	Thanks, [Ari]. I'll take care of that first.
Conversations/Bank/Adeline/Banked Lines/1h_advice/1h_advice/11	A break?	Une pause ?	Перерыв?	A break?
Conversations/Bank/Adeline/Banked Lines/1h_advice/1h_advice/12	B-but I have so much to do!	Mais j'ai tellement de choses à faire !	Но... У меня же столько незаконченных дел!	B-but I have so much to do!
Conversations/Bank/Adeline/Banked Lines/1h_advice/1h_advice/13	Sorry, [Ari]...	Je regrette, [Ari]...	Прости, [Ari]...	Sorry, [Ari]...
Conversations/Bank/Adeline/Banked Lines/1h_advice/1h_advice/14	Don't worry, I'll figure it out.	Ne t'inquiète pas, je vais me débrouiller.	Не волнуйся, я что-нибудь придумаю.	Don't worry, I'll figure it out.
Conversations/Bank/Adeline/Banked Lines/1h_advice/1h_advice/15	I'll take a break after, okay?	Je ferai une pause plus tard, d'accord ?	А потом сделаю перерыв, ладно?	I'll take a break after, okay?
Conversations/Bank/Adeline/Banked Lines/1h_advice/1h_advice/2	Hmmm. Well, probably my response to the Adventurer's Guild.	Hmmm. Eh bien, sans doute la réponse que je dois apporter à la guilde des aventuriers.	Хмм. Наверное, написать ответ в гильдию приключенцев.	Hmmm. Well, probably my response to the Adventurer's Guild.
Conversations/Bank/Adeline/Banked Lines/1h_advice/1h_advice/3	They asked if everything is going well, and I'd like to assure them that it is.	Ils m'ont demandé si tout se passait bien et j'aimerais les rassurer sur ce point.	Они спрашивали, как у нас идут дела, и я собираюсь заверить, что всё в порядке.	They asked if everything is going well, and I'd like to assure them that it is.
Conversations/Bank/Adeline/Banked Lines/1h_advice/1h_advice/4	Honestly, I should have replied sooner, but it slid to the bottom of my to-do list last week.	J'aurais dû leur répondre plus tôt, mais ça a fini par glisser à la dernière place de ma liste de choses à faire, la semaine dernière.	Честно говоря, мне надо было ответить раньше. Но на прошлой неделе в моём списке дел оно ушло в самый низ.	Honestly, I should have replied sooner, but it slid to the bottom of my to-do list last week.
Conversations/Bank/Adeline/Banked Lines/1h_advice/1h_advice/5	I'm sure I'll feel much better if I take care of that first.	Je suis certaine que je me sentirai mieux si je commence par régler ça.	Уверена, мне станет легче, когда я с этим разделаюсь.	I'm sure I'll feel much better if I take care of that first.
Conversations/Bank/Adeline/Banked Lines/1h_advice/1h_advice/6	Thanks, [Ari].	Merci, [Ari].	Спасибо, [Ari].	Thanks, [Ari].
Conversations/Bank/Adeline/Banked Lines/1h_advice/1h_advice/7	Hmmm. Well, probably my petition to the Merchant's Guild to lower import taxes on food items.	Hmmm. Sans doute ma demande officielle à la guilde des marchands, afin qu'ils baissent les taxes à l'importation sur les denrées alimentaires.	Хммм. Наверное, прошение о снижении налогов на импорт продовольствия в гильдию торговцев.	Hmmm. Well, probably my petition to the Merchant's Guild to lower import taxes on food items.
Conversations/Bank/Adeline/Banked Lines/1h_advice/1h_advice/8	It would ease some of our supply issues if I'm able to get them to agree...	Cela résoudrait certains de nos problèmes d'approvisionnement si j'arrivais à les convaincre...	Если у меня получится их уговорить, это немного облегчит наши проблемы с поставками...	It would ease some of our supply issues if I'm able to get them to agree...
Conversations/Bank/Adeline/Banked Lines/1h_advice/1h_advice/9	And that would be a good thing for everyone in town!	Et ce serait donc une bonne chose pour tout le monde, en ville !	А это — благо для всего города!	And that would be a good thing for everyone in town!
Conversations/Bank/Adeline/Banked Lines/1h_advice/1h_advice/init	Today's just one of those days...	Il y a des jours comme ça...	Снова такой суматошный день...	Today's just one of those days...
Conversations/Bank/Adeline/Banked Lines/Dragonguard/dragonguard/init	Sometimes when the kids are being really wild, Nora will ask me to issue an order to the Dragonguard... they always snap to attention. It's SO cute!	Quand les enfants sont trop difficiles, Nora me demande parfois de donner un ordre à la Garde des dragons... Ils deviennent aussitôt attentifs. C'est mignon !	Порой дети совсем теряют голову, и тогда Нора просит меня отдать Драконьей страже официальный приказ... Они всегда как по струнке встают, ТАК мило!	Sometimes when the kids are being really wild, Nora will ask me to issue an order to the Dragonguard... they always snap to attention. It's SO cute!
Conversations/Bank/Adeline/Banked Lines/Elsie/elsie_is_exciting/init	Great Aunt Elsie... I hope I can grab onto life like she does. Her life is SO exciting.	Grand-tante Elsie... J'espère embrasser l'existence comme elle le fait. Sa vie est tellement palpitante.	Надеюсь, я всегда буду такой же живой, как тётушка Элси. Её жизнь ТАКАЯ яркая.	Great Aunt Elsie... I hope I can grab onto life like she does. Her life is SO exciting.
Conversations/Bank/Adeline/Banked Lines/all_nighter/all_nighter/init	Valen says I'm not allowed to pull all-nighters anymore.	Valen m'a interdit de continuer à faire des nuits blanches.	Вален запрещает мне теперь работать по ночам.	Valen says I'm not allowed to pull all-nighters anymore.
Conversations/Bank/Adeline/Banked Lines/ari_appreciation/ari_appreciation/init	You're so dependable, [Ari]. I'm thrilled you answered the call to settle in Mistria!	Tu es tellement fiable, [Ari]. Je suis très heureuse que tu aies répondu à l'appel pour t'installer à Mistria !	Приятно, что на тебя можно положиться, [Ari]. Я так рада, что ты <p>приняли</p><f>приняла</f><m>принял</m><n>приняло</n> моё предложение поселиться в Мистрии.	You're so dependable, [Ari]. I'm thrilled you answered the call to settle in Mistria!
Conversations/Bank/Adeline/Banked Lines/ari_appreciation_2/ari_appreciation_2/init	It's no understatement to say that you've transformed Mistria, [Ari]. From the bottom of my heart, I am grateful!	Ce n'est pas un euphémisme de dire que tu as transformé Mistria, [Ari]. Je t'en suis reconnaissante, du fond du cœur !	[Ari], сказать, что ты <p>преобразили</p><f>преобразила</f><m>преобразил</m><n>преобразило</n> Мистрию, — не преувеличение. Я благодарна тебе от всего сердца!	It's no understatement to say that you've transformed Mistria, [Ari]. From the bottom of my heart, I am grateful!
Conversations/Bank/Adeline/Banked Lines/balors_books/balors_books/init	Balor's great at sourcing all kinds of things, but his bookkeeping and documentation are a little...	Balor est imbattable sur la variété de son approvisionnement, mais sa tenue de comptes et ses documents administratifs sont un peu...	Балор отлично справляется с поставками любых товаров, но вот бухгалтерию он ведёт так себе...	Balor's great at sourcing all kinds of things, but his bookkeeping and documentation are a little...
Conversations/Bank/Adeline/Banked Lines/balors_suspicious/balors_suspicious/1	Wait, I guess that IS a little suspicious...	Minute, peut-être que ÇA, c'est un peu louche...	Если подумать, ВСЁ-ТАКИ это подозрительно...	Wait, I guess that IS a little suspicious...
