key	english	french	russian	bulgarian
Conversations/Bank/Luc/Banked Lines/ants_in_bed/ants_in_bed/init	I used to go to sleep hugging my terrarium, but I kept getting ants in my bed...	Avant, je m'endormais en serrant fort mon terrarium, mais je me retrouvais toujours avec des fourmis dans mon lit...	Раньше я засыпал, обняв террариум, но потом у меня в постели стали появляться муравьи...	I used to go to sleep hugging my terrarium, but I kept getting ants in my bed...
Conversations/Bank/Luc/Banked Lines/basement/basement_1/init	Oh, hello! Greetings!	Oh, salut ! Ça va ?	Ой, привет!	Oh, hello! Greetings!
Conversations/Bank/Luc/Banked Lines/bed/bed/1	She doesn't believe me when I tell her I'm nocturnal!	Elle ne me croit pas quand je lui dis que je suis un animal nocturne !	Она не верит, когда я говорю, что я ночной житель!	She doesn't believe me when I tell her I'm nocturnal!
Conversations/Bank/Luc/Banked Lines/bed/bed/init	Mama says we have to go to bed.	Maman dit qu'il est l'heure d'aller au lit.	Мама говорит, пора ложиться спать.	Mama says we have to go to bed.
Conversations/Bank/Luc/Banked Lines/bed/bed_2/init	Some people count sheep to fall asleep, but I like to count beetles.	Certains comptent les moutons pour s'endormir. Moi, je préfère compter les scarabées.	Некоторые считают овец, чтобы уснуть, а я считаю жуков.	Some people count sheep to fall asleep, but I like to count beetles.
Conversations/Bank/Luc/Banked Lines/big_ant_dream/big_ant_dream/1	It sure would be neat if the Dragonguard could all ride big ants!	Ça serait génial que les membres de la Garde des dragons chevauchent des fourmis géantes !	Было бы круто, если бы вся Драконья стража ездила на муравьях!	It sure would be neat if the Dragonguard could all ride big ants!
Conversations/Bank/Luc/Banked Lines/big_ant_dream/big_ant_dream/init	I had a dream I was riding a big ant, like a horse.	J'ai rêvé que je montais sur le dos d'une fourmi géante, comme si c'était un cheval.	Мне приснилось, что я скачу верхом на большом муравье, как на лошади.	I had a dream I was riding a big ant, like a horse.
Conversations/Bank/Luc/Banked Lines/biggest_bug/biggest_bug/init	I wonder what's the biggest bug that ever lived in Mistria...	Je me demande quel est le plus grand insecte qui ait vécu à Mistria...	Интересно, какое самое большое насекомое жило в Мистрии...	I wonder what's the biggest bug that ever lived in Mistria...
Conversations/Bank/Luc/Banked Lines/caterpillar/caterpillar/init	Did you know a caterpillar can survive on only one large leaf a day? Amazing.	Tu savais qu'une chenille pouvait survivre en ne mangeant qu'une grande feuille par jour ? Incroyable.	Знаешь, гусенице хватает одного большого листа в день, чтобы жить! Удивительно.	Did you know a caterpillar can survive on only one large leaf a day? Amazing.
Conversations/Bank/Luc/Banked Lines/cocoon/cocoon/init	Sometimes, at night, I twirl up my sheets and pretend I'm in a cocoon!	Parfois, le soir, je m'enroule dans mes draps et je fais comme si j'étais dans un cocon !	Иногда ночью я заворачиваюсь в одеяло и притворяюсь, что я в коконе!	Sometimes, at night, I twirl up my sheets and pretend I'm in a cocoon!
Conversations/Bank/Luc/Banked Lines/cool_bug/cool_bug/init	Good night, [Ari]. Be sure to wake me up if you see a cool bug.	Bonne nuit, [Ari]. Réveille-moi si tu trouves un drôle d'insecte.	Спокойной ночи, [Ari]. Разбуди меня, если увидишь классного жука.	Good night, [Ari]. Be sure to wake me up if you see a cool bug.
Conversations/Bank/Luc/Banked Lines/dad_plays_lute/dad_plays_lute/init	Bella the orchid mantis likes when Papa plays the lute. She kind of sways around...	Bella, notre mante orchidée, aime bien quand papa joue du luth. Elle se balance en rythme...	Орхидейная богомолица Белла любит, когда папа играет на лютне. Она так мило качается...	Bella the orchid mantis likes when Papa plays the lute. She kind of sways around...
Conversations/Bank/Luc/Banked Lines/dell_leader/dell_leader/1	She's cool and strong, but most importantly she listens to me talk about bugs.	Elle est forte et courageuse, et surtout, elle m'écoute quand je lui parle d'insectes.	Она классная и сильная, но самое главное — слушает, когда я говорю про жуков.	She's cool and strong, but most importantly she listens to me talk about bugs.
Conversations/Bank/Luc/Banked Lines/dell_leader/dell_leader/init	Dell's our leader!	C'est Dell, la cheffe !	Делл — наша главная!	Dell's our leader!
Conversations/Bank/Luc/Banked Lines/dells_going_in_the_fountain/dells_going_in_the_fountain/init	There is a non-zero probability that Dell will jump in that fountain.	D'après mes calculs, les probabilités que Dell ne saute pas dans cette fontaine sont quasi nulles.	Существует ненулевая вероятность, что Делл прыгнет в фонтан.	There is a non-zero probability that Dell will jump in that fountain.
Conversations/Bank/Luc/Banked Lines/dinner_is_important/dinner_is_important/init	Dinner is very important! That's what Doctor Valen told me!	Le dîner est un repas très important ! C'est la docteure Valen qui me l'a dit !	Ужин — это очень важно! Так сказала докторша Вален!	Dinner is very important! That's what Doctor Valen told me!
Conversations/Bank/Luc/Banked Lines/giant_insects/giant_insects/init	Mr. Errol says insects used to be REALLY ginormous in the past. I wanna see!	D'après monsieur Errol, les insectes étaient gigantesques, avant. J'aurais trop voulu voir ça !	Мистер Эррол говорит, что раньше насекомые были ОЧЕНЬ гигантскими. Хочу увидеть!	Mr. Errol says insects used to be REALLY ginormous in the past. I wanna see!
Conversations/Bank/Luc/Banked Lines/going_to_sleep/going_to_sleep/init	It takes me a while to go to sleep because I have to say good night to all my bugs, going in alphabetical order by genus.	Je ne vais pas me coucher de bonne heure parce que je souhaite bonne nuit à chacun de mes insectes, dans l'ordre alphabétique de leur taxon.	Я долго засыпаю, потому что говорю «спокойной ночи» всем своим жукам в алфавитном порядке по родам.	It takes me a while to go to sleep because I have to say good night to all my bugs, going in alphabetical order by genus.
Conversations/Bank/Luc/Banked Lines/good_at_bugs/good_at_bugs/init	[Ari], [Ari]! How'd you get so good at catching bugs?	[Ari], [Ari] ! Comment tu es devenu<he></he><she>e</she><they>·e</they> aussi doué<he></he><she>e</she><they>·e</they> pour attraper des insectes ?	[Ari], [Ari]! Как ты так хорошо ловишь жуков?	[Ari], [Ari]! How'd you get so good at catching bugs?
Conversations/Bank/Luc/Banked Lines/great_at_bugs/great_at_bugs/init	Wow, [Ari]! You're like a legendary bugcatcher!	Waouh, [Ari] ! Tu es vraiment devenu<he></he><she>e</she><they>·e</they> une légende de l'entomologie !	Ух ты, [Ari]! Ты прямо легендарный ловец насекомых!	Wow, [Ari]! You're like a legendary bugcatcher!
Conversations/Bank/Luc/Banked Lines/greeting_ari/greeting_ari/1	Excellent. My name's Luc! I'm so excited to have a fellow insect enthusiast in town. Finally!	Génial ! Moi, c'est Luc. Je suis trop content qu'il y ait enfin quelqu'un d'autre qui aime les insectes dans cette ville !	Отлично. Меня зовут Люк! Так здорово, что в городе появился ещё один энтомолог-энтузиаст. Наконец-то!	Excellent. My name's Luc! I'm so excited to have a fellow insect enthusiast in town. Finally!
Conversations/Bank/Luc/Banked Lines/greeting_ari/greeting_ari/2	Wait until I tell my sisters!	Quand je vais dire ça à mes sœurs !	Вот только расскажу об этом сёстрам!	Wait until I tell my sisters!
Conversations/Bank/Luc/Banked Lines/greeting_ari/greeting_ari/3	You know, insects? My name's Luc and I'm a junior member of The Royal Society of Entomology.	Oui, les petites bestioles ! Moi, c'est Luc. Je suis un cadet de la Société royale d'entomologie.	Ну, насекомые, жуки. Меня зовут Люк, и я младший участник Королевского энтомологического общества.	You know, insects? My name's Luc and I'm a junior member of The Royal Society of Entomology.
Conversations/Bank/Luc/Banked Lines/greeting_ari/greeting_ari/4	I get a birthday card from them every year in recognition of my work. If you join, maybe you will too!	Tous les ans, ils m'envoient une carte d'anniversaire en reconnaissance de mon travail. Si tu t'inscris, tu y auras peut-être droit, toi aussi !	Они присылают мне открытку на день рождения в знак признания моих заслуг. Если вступишь, может, и тебе пришлют!	I get a birthday card from them every year in recognition of my work. If you join, maybe you will too!
Conversations/Bank/Luc/Banked Lines/greeting_ari/greeting_ari/init	Hello! Do you like bugs?	Bonjour ! Tu aimes les insectes ?	Привет! Тебе нравятся насекомые?	Hello! Do you like bugs?
Conversations/Bank/Luc/Banked Lines/greeting_ari/greeting_ari/init/prompts/0	Y...yes?	Euh... oui ?	Ээ... да?	Y...yes?
Conversations/Bank/Luc/Banked Lines/greeting_ari/greeting_ari/init/prompts/1	What?	Pardon ?	Что?	What?
Conversations/Bank/Luc/Banked Lines/hayden_is_nice/hayden_is_nice/init	Mister Hayden sure is nice... I like him.	Monsieur Hayden est vraiment gentil... Je l'aime beaucoup.	Мистер Хейден такой добрый... он мне нравится.	Mister Hayden sure is nice... I like him.
Conversations/Bank/Luc/Banked Lines/hungry_caterpillar/hungry_caterpillar/init	I'm hungry, and sleepy... like a sleepy, hungry caterpillar...	J'ai faim et j'ai sommeil... Comme une chenille qui aurait faim et sommeil...	Я голодный и сонный... как гусеница, которая хочет спать и есть...	I'm hungry, and sleepy... like a sleepy, hungry caterpillar...
Conversations/Bank/Luc/Banked Lines/i_like_bugs/i_like_bugs/1	If you see one you gotta let me know, okay?	Si tu en aperçois un, préviens-moi, d'accord ?	Если увидишь какого-нибудь — обязательно скажи мне, ладно?	If you see one you gotta let me know, okay?
Conversations/Bank/Luc/Banked Lines/i_like_bugs/i_like_bugs/init	Do you like bugs, [Ari]? I think they're pretty neat.	Tu aimes les insectes, [Ari] ? Moi, je les trouve vraiment fascinants.	Тебе нравятся жуки, [Ari]? По-моему, они крутые.	Do you like bugs, [Ari]? I think they're pretty neat.
Conversations/Bank/Luc/Banked Lines/insects_are_spies/insects_are_spies/init	The Dragonguard spy network is all the insects I've trained to bring me information. It's, um... still a work in progress.	Le réseau d'espions de la Garde des dragons est composé de tous les insectes que j'ai dressés. Il y a... Il y a encore quelques détails à mettre au point.	Шпионская сеть Драконьей стражи — это все насекомые, которых я дрессирую приносить мне новости. Ну... она пока в разработке.	The Dragonguard spy network is all the insects I've trained to bring me information. It's, um... still a work in progress.
