key	english	french	russian	bulgarian
Conversations/Threads/Adeline/family_history/adeline_family_history_1/1	They'd really like you if they met you. Both of them were born to a simple life, but rose to a higher calling... kind of like you!	Je crois qu'ils t'adoreraient. Ils sont tous les deux nés dans des familles modestes et ont répondu à leur vocation... Un peu comme toi !	Вы бы точно поладили, если бы встретились. Они оба родились среди простых людей и заслужили свой высокий статус... Этим ты на них <p>похожи</p><f>похожа</f><m>похож</m><n>похоже</n>!	They'd really like you if they met you. Both of them were born to a simple life, but rose to a higher calling... kind of like you!
Conversations/Threads/Adeline/family_history/adeline_family_history_1/init	[Ari], have I told you about my parents? Baron Wiscar and Baroness Linnet?	T'ai-je déjà parlé de mes parents, [Ari] ? Le baron Wiscar et la baronne Linnet ?	[Ari], я тебе ещё не рассказывала о своих родителях, бароне Вискаре и баронессе Линнет?	[Ari], have I told you about my parents? Baron Wiscar and Baroness Linnet?
Conversations/Threads/Adeline/family_history/adeline_family_history_2/1	Father had to come all the way back to Mistria to win her over, haha!	Papa a donc dû revenir à Mistria pour la reconquérir, ha ha !	Отцу пришлось возвращаться в Мистрию через всю страну, чтобы её завоевать. Ха-ха!	Father had to come all the way back to Mistria to win her over, haha!
Conversations/Threads/Adeline/family_history/adeline_family_history_2/1/prompts/0	Why did she reject him?	Pourquoi avait-elle rompu ?	А почему она его отвергла?	Why did she reject him?
Conversations/Threads/Adeline/family_history/adeline_family_history_2/1/prompts/1	Sounds like they were in love...	Ils avaient l'air amoureux...	Видимо, это была настоящая любовь...	Sounds like they were in love...
Conversations/Threads/Adeline/family_history/adeline_family_history_2/2	She wanted nothing to do with titles or royalty, but Father showed her that a title couldn't change him. He asked her to elope!	Elle ne voulait pas entendre parler de titres ou de nobles, mais papa lui a démontré que ce n'était pas un titre qui le ferait changer. Il lui a proposé de s'enfuir !	Она была против всяческих титулов и знати. Но отец показал ей, что титул его не изменил. И предложил ей сбежать!	She wanted nothing to do with titles or royalty, but Father showed her that a title couldn't change him. He asked her to elope!
Conversations/Threads/Adeline/family_history/adeline_family_history_2/3	Very much so. My mother and father married purely for love, a rarity in the world of nobles.	Oui, vraiment. Mon père et ma mère se sont mariés par amour, ce qui est rare à la cour.	Ещё какая! Мать с отцом поженились исключительно по любви — а это редко бывает в дворянских кругах.	Very much so. My mother and father married purely for love, a rarity in the world of nobles.
Conversations/Threads/Adeline/family_history/adeline_family_history_2/init	My parents exchanged letters before they were married, after my father was sent to the front. But Mother rejected him after he was raised to peerage by King Kelinien!	Mes parents s'échangeaient des lettres avant de se marier, quand mon père a été envoyé au front. Mais maman a rompu quand il a été anobli par le roi Kelinien !	До брака они вели переписку, пока отец был на военной службе. А потом король Келиниэн пожаловал ему дворянский титул, и мама его отвергла!	My parents exchanged letters before they were married, after my father was sent to the front. But Mother rejected him after he was raised to peerage by King Kelinien!
Conversations/Threads/Adeline/family_history/adeline_family_history_3/1	They say my father saved King Kel's life back when he was still Prince Kelinien, and that's the basis of their friendship, but really it's the pranks...	Apparemment, mon père aurait sauvé le roi Kelinien quand il n'était encore que prince. C'est de là que serait née leur amitié, mais ce qui les lient vraiment, ce sont leurs canulars...	Говорят, король Кел дружит с моим отцом, потому что тот спас ему жизнь, ещё когда он был принц Келиниэн. Но, по правде говоря, всё дело в шуточках...	They say my father saved King Kel's life back when he was still Prince Kelinien, and that's the basis of their friendship, but really it's the pranks...
Conversations/Threads/Adeline/family_history/adeline_family_history_3/1/prompts/0	They're friends with the King?	Ils sont amis avec le roi ?	Он дружит с самим королём?	They're friends with the King?
