key	english	french	russian	bulgarian
Conversations/Bank/Merri/Banked Lines/advanced_techniques/advanced_techniques/1	Ryis and Landen taught me some advanced carpentry techniques so I could get these ready for the Saturday Market.	Ryis et Landen m'ont enseigné de nouvelles techniques de menuiserie pour que je termine ces meubles en vue du marché du samedi.	Риз и Ланден научили меня паре продвинутых приёмов столярного дела — теперь мои изделия готовы к Субботнему базару!	Ryis and Landen taught me some advanced carpentry techniques so I could get these ready for the Saturday Market.
Conversations/Bank/Merri/Banked Lines/advanced_techniques/advanced_techniques/init	Have you seen the new sets I have in stock, [Ari]?	Tu as jeté un œil aux nouveaux ensembles que je viens de créer, [Ari] ?	[Ari], <p>видели</p><f>видела</f><m>видел</m><n>видело</n> новые гарнитуры у меня в наличии?	Have you seen the new sets I have in stock, [Ari]?
Conversations/Bank/Merri/Banked Lines/any_requests/any_requests/1	The nice thing about refurbishing furniture is that you can match a piece to your client's tastes.	Ce que j'aime, dans la restauration de meubles, c'est qu'on peut faire en fonction des goûts du client.	Приятно, что при реставрации мебели можно подобрать вещь под вкус клиента.	The nice thing about refurbishing furniture is that you can match a piece to your client's tastes.
Conversations/Bank/Merri/Banked Lines/any_requests/any_requests/init	While I'm packing up, is there anything you want me to keep an eye out for?	Pendant que je remballe, dis-moi si tu veux que je recherche quelque chose en particulier.	Пока я собираюсь, может, есть что-то, на что мне стоит обратить внимание?	While I'm packing up, is there anything you want me to keep an eye out for?
Conversations/Bank/Merri/Banked Lines/basement/basement_1/init	Good to see you, [Ari].	Quel plaisir de te voir, [Ari].	Рада тебя видеть, [Ari].	Good to see you, [Ari].
Conversations/Bank/Merri/Banked Lines/big_dresser/big_dresser/init	Whew, I'll have to thank Jo and Hemlock for buying that big dresser off me today! That thing was a pain to haul around, and a funny shape to boot!	Pfiou, je devrais remercier Jo et Hemlock d'avoir acheté cette énorme commode, aujourd'hui. C'était compliqué de la déplacer, sans compter qu'elle n'avait pas une forme classique !	Фух, надо поблагодарить Джо и Хемлока, что купили у меня тот огромный комод! И тяжёлый и форма у него ещё та!	Whew, I'll have to thank Jo and Hemlock for buying that big dresser off me today! That thing was a pain to haul around, and a funny shape to boot!
Conversations/Bank/Merri/Banked Lines/check_next_week/check_next_week/init	If I don't have what you want this week, check in next time! I'm always getting new pieces in.	Si je n'ai rien qui te plaît cette semaine, viens la prochaine fois. J'ai toujours des nouveautés !	Если сегодня не нашлось того, что тебе нужно, — загляни в следующий раз! Я всё время привожу новые вещи.	If I don't have what you want this week, check in next time! I'm always getting new pieces in.
Conversations/Bank/Merri/Banked Lines/cold_one/cold_one/init	Bit of a cold one, today. Well, I've got plenty of nice furniture pieces to help take your mind off of it!	Il fait un peu frisquet, aujourd'hui, mais j'ai plein de jolis meubles qui te permettront de penser à autre chose !	Сегодня прохладненько. Ну, у меня много уютной мебели, которая отвлечёт от холода!	Bit of a cold one, today. Well, I've got plenty of nice furniture pieces to help take your mind off of it!
Conversations/Bank/Merri/Banked Lines/creature_comforts/creature_comforts/init	It was good to see you today, [Ari]! If you ever need more creature comforts for the ol' farmhouse, you know who to call!	J'ai été contente de te voir, [Ari]. Si tu as besoin de nouvelles choses pour te sentir bien dans ta fermette, tu sais à qui faire appel !	Рада была тебя видеть, [Ari]! Если захочется уюта для фермерского дома — ты знаешь, к кому обращаться!	It was good to see you today, [Ari]! If you ever need more creature comforts for the ol' farmhouse, you know who to call!
Conversations/Bank/Merri/Banked Lines/dream_furniture/dream_furniture/1	Otherwise, I'll be back soon enough.	Et sinon, je serai vite de retour.	А если нет, я скоро снова буду здесь.	Otherwise, I'll be back soon enough.
Conversations/Bank/Merri/Banked Lines/dream_furniture/dream_furniture/init	I hope you found the furniture of your dreams today, [Ari]!	J'espère que tu trouveras les meubles dont tu rêves aujourd'hui, [Ari] !	Надеюсь, ты сегодня <p>нашли</p><f>нашла</f><m>нашёл</m><n>нашло</n> мебель своей мечты, [Ari]!	I hope you found the furniture of your dreams today, [Ari]!
Conversations/Bank/Merri/Banked Lines/furniture_history/furniture_history/1	It's a lot of fun!	Ça me plaît beaucoup !	Это так увлекательно!	It's a lot of fun!
Conversations/Bank/Merri/Banked Lines/furniture_history/furniture_history/init	Refurbishing furniture means diving into its history. Who made it, what material choices they made...	Pour remettre un meuble à neuf, il faut s'intéresser à son histoire. Qui l'a fabriqué, les matériaux...	Реставрация мебели — это всегда погружение в её историю. Кто её сделал, какие материалы выбрал...	Refurbishing furniture means diving into its history. Who made it, what material choices they made...
Conversations/Bank/Merri/Banked Lines/great_pieces/great_pieces/init	Hey, [Ari]! I've got some great pieces in today.	Bonjour, [Ari] ! J'ai de très jolis meubles, aujourd'hui.	Привет, [Ari]! У меня сегодня отличные образцы!	Hey, [Ari]! I've got some great pieces in today.
