key	english	french	russian	bulgarian
Conversations/Bank/Nora/Banked Lines/Relaxing/relaxing/init	Even I need to relax at the end of the day. Helps keep me sharp.	Moi aussi, j'ai besoin de me détendre en fin de journée. Ça me permet de rester en forme le reste du temps.	Даже мне нужно расслабляться в конце дня. Это помогает оставаться собранной.	Even I need to relax at the end of the day. Helps keep me sharp.
Conversations/Bank/Nora/Banked Lines/adeline_work_date/adeline_work_date/init	Adeline and I don't talk much on our work dates, but it's just nice to have the company. And I can occasionally offer her some advice... there's a lot on that young lady's shoulders.	Adeline et moi ne nous parlons pas beaucoup lors de nos séances de travail, mais j'aime sa compagnie. Et il m’arrive de lui donner des conseils... Elle a tant de responsabilités.	Мы с Аделиной не особо болтаем во время наших рабочих встреч, но просто приятно, когда рядом кто-то есть. Иногда могу дать ей совет... у этой девушки многое на плечах.	Adeline and I don't talk much on our work dates, but it's just nice to have the company. And I can occasionally offer her some advice... there's a lot on that young lady's shoulders.
Conversations/Bank/Nora/Banked Lines/adelines_plans/adelines_plans/init	Adeline's got big plans for rebuilding Mistria, and we can all be a part of it. Especially you, [Ari].	Adeline a de grands projets pour la redynamisation de Mistria et nous avons tous notre rôle à jouer. Ça vaut particulièrement pour toi, [Ari].	У Аделины большие планы по восстановлению Мистрии, и мы все можем стать их частью. Особенно ты, [Ari].	Adeline's got big plans for rebuilding Mistria, and we can all be a part of it. Especially you, [Ari].
Conversations/Bank/Nora/Banked Lines/adventuring_rations/adventuring_rations/init	"I know Dell, I know... they're not sandwiches, they're ""adventuring rations""."	Je sais, Dell, je sais... Ce ne sont pas de simples sandwichs... Ce sont des « rations d'aventuriers ».	Знаю, Делл, знаю... это не сэндвичи, это «походные пайки».	"I know Dell, I know... they're not sandwiches, they're ""adventuring rations""."
Conversations/Bank/Nora/Banked Lines/balance_books/balance_books/init	Best not to wait on balancing the books.	Mieux vaut ne pas perdre de temps pour la compta.	Не стоит откладывать учёт.	Best not to wait on balancing the books.
Conversations/Bank/Nora/Banked Lines/basement/basement_1/init	Good to see you, [Ari].	Quel plaisir de te voir, [Ari].	Рада тебя видеть, [Ari].	Good to see you, [Ari].
Conversations/Bank/Nora/Banked Lines/bathhouse_relaxing/bathhouse_relaxing/1	It's just so relaxing!	C'est le meilleur moyen de se détendre !	Она просто очень расслабляет!	It's just so relaxing!
Conversations/Bank/Nora/Banked Lines/bathhouse_relaxing/bathhouse_relaxing/init	I'm so happy Juniper opened up her bathhouse. I could say it's because it makes Mistria more attractive to visitors, but honestly?	Je suis contente que Juniper ait rouvert les bains. Je pourrais prétendre que c'est parce que ça attire plus de touristes à Mistria, mais tu veux connaître la vraie raison ?	Я так рада, что Джунипер открыла купальню. Могла бы сказать, что это хорошо для туризма, но по правде?	I'm so happy Juniper opened up her bathhouse. I could say it's because it makes Mistria more attractive to visitors, but honestly?
Conversations/Bank/Nora/Banked Lines/bathhouse_soak/bathhouse_soak/init	My back was so cramped after a day hunched over the accounting... thank goodness Juniper opened up the Bathhouse.	J'avais mal au dos après une journée passée à faire ma comptabilité... Je ne remercierai jamais assez Juniper d'avoir rouvert les bains.	У меня так спина затекла после дня за бухгалтерией... хорошо, что теперь у нас есть купальня.	My back was so cramped after a day hunched over the accounting... thank goodness Juniper opened up the Bathhouse.
Conversations/Bank/Nora/Banked Lines/boon/boon/init	I appreciate everything you've done for the town, [Ari]! It's been such a boon to have a farmer just down the road.	Je tiens à te remercier pour tout ce que tu fais pour la ville, [Ari] ! Quelle aubaine d'avoir <she>une agricultrice</she><he>un agriculteur</he><they>un·e agriculteur·rice</they> juste à côté.	Спасибо за всё, что ты <p>сделали</p><f>сделала</f><m>сделал</m><n>сделало</n> для города, [Ari]! Так здорово, что твоя ферма рядом.	I appreciate everything you've done for the town, [Ari]! It's been such a boon to have a farmer just down the road.
