key	english	french	russian	bulgarian
Cutscenes/Festival Events/harvest_festival/harvest_festival_first_place/1	Now, before we get to stuffing our faces-	Bien, avant de nous empiffrer...	Итак, прежде, чем пойти набивать рты пирогом...	Now, before we get to stuffing our faces-
Cutscenes/Festival Events/harvest_festival/harvest_festival_first_place/10	Yay!	Youpi !	Ура!	Yay!
Cutscenes/Festival Events/harvest_festival/harvest_festival_first_place/11	And in second place...	À la deuxième place, nous avons...	На втором месте...	And in second place...
Cutscenes/Festival Events/harvest_festival/harvest_festival_first_place/12	Eiland!	Eiland !	Эйланд!	Eiland!
Cutscenes/Festival Events/harvest_festival/harvest_festival_first_place/13	Haha, excellent! $Queen Berry$ treats for all!	Ha ha, formidable ! Des $baies de la reine$ pour tous !	Ха-ха, превосходно! Пускай $королевских ягод$ хватит всем!	Haha, excellent! $Queen Berry$ treats for all!
Cutscenes/Festival Events/harvest_festival/harvest_festival_first_place/14	And finally, in first place...	Et enfin, à la première place, nous avons...	И наконец, на первом месте...	And finally, in first place...
Cutscenes/Festival Events/harvest_festival/harvest_festival_first_place/15	[Ari]!	[Ari] !	[Ari]!	[Ari]!
Cutscenes/Festival Events/harvest_festival/harvest_festival_first_place/16	Let's all congratulate our winners, without whom this Harvest Festival wouldn't be possible.	Félicitons comme il se doit tous nos vainqueurs, car sans eux, la fête des récoltes ne pourrait pas avoir lieu.	Давайте поаплодируем нашим победителям: без них этот Фестиваль урожая бы не состоялся.	Let's all congratulate our winners, without whom this Harvest Festival wouldn't be possible.
Cutscenes/Festival Events/harvest_festival/harvest_festival_first_place/17	Congratulations, winners! Now, let's all enjoy some good food and dancing!	Bravo à tous les vainqueurs ! Il est temps de se régaler et d'aller danser !	Поздравляем победителей! А теперь настало время для угощений и танцев!	Congratulations, winners! Now, let's all enjoy some good food and dancing!
Cutscenes/Festival Events/harvest_festival/harvest_festival_first_place/2	Woo!	Wouhou !	Да-а-а!	Woo!
Cutscenes/Festival Events/harvest_festival/harvest_festival_first_place/3	All the gathered $Queen Berries$ have been added up, and we're ready to announce the winners for this year's Festival.	Après avoir compté les $baies de la reine$ récoltées, nous sommes prêts à annoncer le nom des vainqueurs de la fête de cette année.	Мы посчитали все собранные $королевские ягоды$ и готовы объявить победителей фестиваля в этом году.	All the gathered $Queen Berries$ have been added up, and we're ready to announce the winners for this year's Festival.
Cutscenes/Festival Events/harvest_festival/harvest_festival_first_place/4	So without further ado-	Sans plus attendre...	Давайте же начнём...	So without further ado-
Cutscenes/Festival Events/harvest_festival/harvest_festival_first_place/5	In third place...	La troisième place revient à...	На третьем месте...	In third place...
Cutscenes/Festival Events/harvest_festival/harvest_festival_first_place/6	Maple!	Maple !	Мэйпл!	Maple!
Cutscenes/Festival Events/harvest_festival/harvest_festival_first_place/7	I won, I won!	J'ai gagné, j'ai gagné !	Я выиграла, я выиграла!	I won, I won!
Cutscenes/Festival Events/harvest_festival/harvest_festival_first_place/8	How much queenly authority does third place get me?	Je me demande à quels privilèges j'aurai droit avec cette troisième place.	Сколько королевской власти мне полагается за третье место?	How much queenly authority does third place get me?
Cutscenes/Festival Events/harvest_festival/harvest_festival_first_place/9	It means you get an extra large slice of pie, dear.	Tu auras surtout droit à une plus grosse part de tarte, ma chérie.	Тебе полагается самый большой кусок пирога, родная моя.	It means you get an extra large slice of pie, dear.
Cutscenes/Festival Events/harvest_festival/harvest_festival_first_place/init	Welcome one and all to the Harvest Festival!	Bienvenue à toutes et à tous à cette fête des récoltes !	Приветствуем всех на Фестивале урожая!	Welcome one and all to the Harvest Festival!
Cutscenes/Festival Events/harvest_festival/harvest_festival_morning/1	I thought I'd pop by and take any $Queen Berries$ that you collected before I head to the kitchen and start prepping.	Je venais récupérer les $baies de la reine$ que tu as cueillies avant de me mettre à la cuisine.	Я решила заглянуть к тебе и забрать $королевские ягоды$, которые ты <p>собрали</p><f>собрала</f><m>собрал</m><n>собрало</n>. Сейчас пойду на кухню и начну приготовления.	I thought I'd pop by and take any $Queen Berries$ that you collected before I head to the kitchen and start prepping.
Cutscenes/Festival Events/harvest_festival/harvest_festival_morning/2	Thanks, [Ari]!	Merci, [Ari] !	Спасибо, [Ari]!	Thanks, [Ari]!
Cutscenes/Festival Events/harvest_festival/harvest_festival_morning/3	I'd better dash, looking forward to seeing you at the festival!	Je dois filer, on se voit à la fête !	Мне пора бежать, увидимся на фестивале!	I'd better dash, looking forward to seeing you at the festival!
Cutscenes/Festival Events/harvest_festival/harvest_festival_morning/init	[Ari], are you as excited as I am? Today's the $Harvest Festival$!	[Ari], j'espère que tu es aussi impatient<she>e</she><he></he><they>·e</they> que moi ? C'est la $fête des récoltes$, aujourd'hui !	Сегодня $Фестиваль урожая$, [Ari]! Я уже так предвкушаю, ты тоже?	[Ari], are you as excited as I am? Today's the $Harvest Festival$!
Cutscenes/Festival Events/harvest_festival/harvest_festival_no_place/1	Now, before we get to stuffing our faces-	Bien, avant de nous empiffrer...	Итак, прежде, чем пойти набивать рты пирогом...	Now, before we get to stuffing our faces-
Cutscenes/Festival Events/harvest_festival/harvest_festival_no_place/10	Maple!	Maple !	Мэйпл!	Maple!
Cutscenes/Festival Events/harvest_festival/harvest_festival_no_place/11	I won, I won!	J'ai gagné, j'ai gagné !	Я выиграла, я выиграла!	I won, I won!
Cutscenes/Festival Events/harvest_festival/harvest_festival_no_place/12	How much queenly authority does second place get me?	Je me demande à quels privilèges j'aurai droit avec cette deuxième place.	Сколько королевской власти мне полагается за второе место?	How much queenly authority does second place get me?
Cutscenes/Festival Events/harvest_festival/harvest_festival_no_place/13	It means you get an extra large slice of pie, dear.	Tu auras surtout droit à une plus grosse part de tarte, ma chérie.	Тебе полагается самый большой кусок пирога, родная моя.	It means you get an extra large slice of pie, dear.
Cutscenes/Festival Events/harvest_festival/harvest_festival_no_place/14	Yay!	Youpi !	Ура!	Yay!
Cutscenes/Festival Events/harvest_festival/harvest_festival_no_place/15	And finally, in first place...	Et enfin, à la première place, nous avons...	И наконец, на первом месте...	And finally, in first place...
Cutscenes/Festival Events/harvest_festival/harvest_festival_no_place/16	Eiland!	Eiland !	Эйланд!	Eiland!
Cutscenes/Festival Events/harvest_festival/harvest_festival_no_place/17	Haha, most excellent! $Queen Berry$ treats for all!	Ha ha, formidable ! Des $baies de la reine$ pour tous !	Ха-ха, превосходно! Пускай $королевских ягод$ хватит всем!	Haha, most excellent! $Queen Berry$ treats for all!
Cutscenes/Festival Events/harvest_festival/harvest_festival_no_place/18	Let's all congratulate our winners, without whom this Harvest Festival wouldn't be possible.	Félicitons comme il se doit tous nos vainqueurs, car sans eux, la fête des récoltes ne pourrait pas avoir lieu.	Давайте поаплодируем нашим победителям: без них этот Фестиваль урожая бы не состоялся.	Let's all congratulate our winners, without whom this Harvest Festival wouldn't be possible.
Cutscenes/Festival Events/harvest_festival/harvest_festival_no_place/19	Happy Harvest Festival, everyone!	Joyeuse fête des récoltes à tous !	Поздравляю всех с Фестивалем урожая!	Happy Harvest Festival, everyone!
Cutscenes/Festival Events/harvest_festival/harvest_festival_no_place/2	Woo!	Wouhou !	Да-а-а!	Woo!
Cutscenes/Festival Events/harvest_festival/harvest_festival_no_place/3	All the gathered $Queen Berries$ have been added up, and we're ready to announce the winners for this year's $Harvest Festival$.	Après avoir compté les $baies de la reine$ récoltées, nous sommes prêts à annoncer le nom des vainqueurs de cette $fête des récoltes$.	Мы посчитали все собранные $королевские ягоды$ и готовы объявить победителей фестиваля в этом году.	All the gathered $Queen Berries$ have been added up, and we're ready to announce the winners for this year's $Harvest Festival$.
Cutscenes/Festival Events/harvest_festival/harvest_festival_no_place/4	So without further ado-	Sans plus attendre...	Давайте же начнём...	So without further ado-
Cutscenes/Festival Events/harvest_festival/harvest_festival_no_place/5	In third place...	La troisième place revient à...	На третьем месте...	In third place...
Cutscenes/Festival Events/harvest_festival/harvest_festival_no_place/6	Juniper!	Juniper !	Джунипер!	Juniper!
Cutscenes/Festival Events/harvest_festival/harvest_festival_no_place/7	T-there must be some mistake.	I-Il doit y avoir erreur sur la personne.	Э-это какое-то недоразумение.	T-there must be some mistake.
Cutscenes/Festival Events/harvest_festival/harvest_festival_no_place/8	No mistake, the Festival wouldn't be the same without your generous contributions. Now come on up here!	Oh non ! La fête ne serait pas la même sans ta généreuse contribution. Viens me rejoindre !	Никаких ошибок, без твоих щедрых вложений фестиваль был бы куда скуднее. Поднимайся сюда!	No mistake, the Festival wouldn't be the same without your generous contributions. Now come on up here!
Cutscenes/Festival Events/harvest_festival/harvest_festival_no_place/9	And in second place...	À la deuxième place, nous avons...	На втором месте...	And in second place...
Cutscenes/Festival Events/harvest_festival/harvest_festival_no_place/init	Welcome one and all to the Harvest Festival!	Bienvenue à toutes et à tous à cette fête des récoltes !	Приветствуем всех на Фестивале урожая!	Welcome one and all to the Harvest Festival!
Cutscenes/Festival Events/harvest_festival/harvest_festival_second_place/1	Now, before we get to stuffing our faces-	Bien, avant de nous empiffrer...	Итак, прежде, чем пойти набивать рты пирогом...	Now, before we get to stuffing our faces-
Cutscenes/Festival Events/harvest_festival/harvest_festival_second_place/10	Yay!	Youpi !	Ура!	Yay!
Cutscenes/Festival Events/harvest_festival/harvest_festival_second_place/11	And in second place...	À la deuxième place, nous avons...	На втором месте...	And in second place...
Cutscenes/Festival Events/harvest_festival/harvest_festival_second_place/12	[Ari]!	[Ari] !	[Ari]!	[Ari]!
Cutscenes/Festival Events/harvest_festival/harvest_festival_second_place/13	And finally, in first place...	Et enfin, à la première place, nous avons...	И наконец, на первом месте...	And finally, in first place...
Cutscenes/Festival Events/harvest_festival/harvest_festival_second_place/14	Eiland!	Eiland !	Эйланд!	Eiland!
Cutscenes/Festival Events/harvest_festival/harvest_festival_second_place/15	Haha, most excellent! $Queen Berry$ treats for all!	Ha ha, formidable ! Des $baies de la reine$ pour tous !	Ха-ха, превосходно! Пускай $королевских ягод$ хватит всем!	Haha, most excellent! $Queen Berry$ treats for all!
Cutscenes/Festival Events/harvest_festival/harvest_festival_second_place/16	Let's all congratulate our winners, without whom this Harvest Festival wouldn't be possible.	Félicitons comme il se doit tous nos vainqueurs, car sans eux, la fête des récoltes ne pourrait pas avoir lieu.	Давайте поаплодируем нашим победителям: без них этот Фестиваль урожая бы не состоялся.	Let's all congratulate our winners, without whom this Harvest Festival wouldn't be possible.
Cutscenes/Festival Events/harvest_festival/harvest_festival_second_place/17	Happy Harvest Festival, everyone!	Joyeuse fête des récoltes à tous !	Поздравляю всех с Фестивалем урожая!	Happy Harvest Festival, everyone!
Cutscenes/Festival Events/harvest_festival/harvest_festival_second_place/2	Woo!	Wouhou !	Да-а-а!	Woo!
Cutscenes/Festival Events/harvest_festival/harvest_festival_second_place/3	All the gathered $Queen Berries$ have been added up, and we're ready to announce the winners for this year's Festival.	Après avoir compté les $baies de la reine$ récoltées, nous sommes prêts à annoncer le nom des vainqueurs de la fête de cette année.	Мы посчитали все собранные $королевские ягоды$ и готовы объявить победителей фестиваля в этом году.	All the gathered $Queen Berries$ have been added up, and we're ready to announce the winners for this year's Festival.
Cutscenes/Festival Events/harvest_festival/harvest_festival_second_place/4	So without further ado-	Sans plus attendre...	Давайте же начнём...	So without further ado-
Cutscenes/Festival Events/harvest_festival/harvest_festival_second_place/5	In third place...	La troisième place revient à...	На третьем месте...	In third place...
Cutscenes/Festival Events/harvest_festival/harvest_festival_second_place/6	Maple!	Maple !	Мэйпл!	Maple!
Cutscenes/Festival Events/harvest_festival/harvest_festival_second_place/7	I won, I won!	J'ai gagné, j'ai gagné !	Я выиграла, я выиграла!	I won, I won!
Cutscenes/Festival Events/harvest_festival/harvest_festival_second_place/8	How much queenly authority does third place get me?	Je me demande à quels privilèges j'aurai droit avec cette troisième place.	Сколько королевской власти мне полагается за третье место?	How much queenly authority does third place get me?
Cutscenes/Festival Events/harvest_festival/harvest_festival_second_place/9	It means you get an extra large slice of pie, dear.	Tu auras surtout droit à une plus grosse part de tarte, ma chérie.	Тебе полагается самый большой кусок пирога, родная моя.	It means you get an extra large slice of pie, dear.
Cutscenes/Festival Events/harvest_festival/harvest_festival_second_place/init	Welcome one and all to the Harvest Festival!	Bienvenue à toutes et à tous à cette fête des récoltes !	Приветствуем всех на Фестивале урожая!	Welcome one and all to the Harvest Festival!
Cutscenes/Festival Events/harvest_festival/harvest_festival_setup/10_y1	I'm not surprised you haven't heard of them. They only grow wild in Mistria, and only for a short time.	Ça ne me surprendrait pas que tu n'en aies jamais entendu parler. Elles ne poussent qu'à Mistria, et durant une période très courte.	Я не удивлена, что ты о них не <p>слышали</p><f>слышала</f><m>слышал</m><n>слышало</n>. Они появляются только в Мистрии на совсем короткое время.	I'm not surprised you haven't heard of them. They only grow wild in Mistria, and only for a short time.
Cutscenes/Festival Events/harvest_festival/harvest_festival_setup/11_y1	Then they just up and disappear! Just like $Breath of Spring$... it's like magic.	Ensuite, elles disparaissent d'un coup ! Un peu comme les $œillets de printemps$... Il y a quelque chose de magique.	А затем они просто исчезают! Прямо как $весноцвет$... Словно какая-то магия.	Then they just up and disappear! Just like $Breath of Spring$... it's like magic.
Cutscenes/Festival Events/harvest_festival/harvest_festival_setup/12_y1	But they're really tasty! All the desserts for the festival are traditionally made using them.	Elles sont délicieuses ! Traditionnellement, on s'en sert pour tous les desserts de la fête des récoltes.	Но они очень вкусные! Все фестивальные десерты по традиции готовятся именно из них.	But they're really tasty! All the desserts for the festival are traditionally made using them.
