key	english	french	russian	bulgarian
Conversations/Activity Dialogue/hide_and_go_seek/dell_hgs_1/init	One... two... three...	Un... deux... trois...	Раз... Два... Три...	One... two... three...
Conversations/Activity Dialogue/hide_and_go_seek/dell_hgs_2/init	I think Luc is it?	Je crois que c'est Luc qui cherche, non ?	Кажется, водит Люк?	I think Luc is it?
Conversations/Activity Dialogue/hide_and_go_seek/dell_hgs_3/init	I'm so going to find you guys! Just wait!	Je vais vous trouver ! Vous allez voir !	Ну погодите! Я вас ещё найду!	I'm so going to find you guys! Just wait!
Conversations/Activity Dialogue/hide_and_go_seek/josephine_hgs_1/1	Once they couldn't find her for hours. When they came home to dinner, Dell came out from under the dining table. I screamed, [Ari].	Un jour, les autres l'ont cherchée pendant des heures. Quand tout le monde est rentré pour dîner, Dell est sortie de sous la table. J'ai poussé un de ces cris, [Ari].	Один раз они искали её несколько часов. Когда они пришли домой обедать, Делл выскочила из-под стола. Я аж вскрикнула, [Ari].	Once they couldn't find her for hours. When they came home to dinner, Dell came out from under the dining table. I screamed, [Ari].
Conversations/Activity Dialogue/hide_and_go_seek/josephine_hgs_1/init	Dell's uncanny good at hiding, so I'm always relieved when she's the one seeking.	Dell est remarquablement douée pour se cacher, alors je suis toujours soulagée quand c'est à elle de chercher.	Делл невероятно хорошо прячется. Мне всегда на душе спокойнее, когда она водит.	Dell's uncanny good at hiding, so I'm always relieved when she's the one seeking.
Conversations/Activity Dialogue/hide_and_go_seek/luc_hgs_1/init	Dell's never going to find me here!	Dell ne me trouvera jamais, ici !	Делл меня здесь никогда не найдёт!	Dell's never going to find me here!
Conversations/Activity Dialogue/hide_and_go_seek/luc_hgs_2/init	Based on my observations, Maple is it.	D'après mes observations, c'est Maple qui cherche.	Судя по моим наблюдениям, нас ищет Мэйпл.	Based on my observations, Maple is it.
Conversations/Activity Dialogue/hide_and_go_seek/luc_hgs_3/init	Dell will never find me! Not while I utilize the camouflage powers of the mighty grasshopper!	Dell ne me trouvera jamais ! Pas tant que j'utiliserai la technique de camouflage de la puissante sauterelle !	Делл меня никогда не найдёт! Ведь я использую камуфляжную тактику искусного кузнечика!	Dell will never find me! Not while I utilize the camouflage powers of the mighty grasshopper!
Conversations/Activity Dialogue/hide_and_go_seek/maple_hgs_1/init	Sorry [Ari], this is my hiding spot! Find another!	Désolée, [Ari], ici c'est ma cachette ! Trouves-en une autre !	Извини, [Ari], но тут уже прячусь я! Найди себе другое место!	Sorry [Ari], this is my hiding spot! Find another!
Conversations/Activity Dialogue/hide_and_go_seek/maple_hgs_2/init	Dell is definitely it.	C'est Dell qui cherche.	Нас наверняка сейчас ищет Делл.	Dell is definitely it.
Conversations/Activity Dialogue/hide_and_go_seek/maple_hgs_3/1	We're playing royal hide and seek!	On joue au cache-cache royal !	Мы играем в королевские прятки!	We're playing royal hide and seek!
Conversations/Activity Dialogue/hide_and_go_seek/maple_hgs_3/2	It's like regular hide and seek, except we let Queen Maple find us right away so we can curry favor with her at court.	C'est comme un cache-cache normal, sauf qu'on laisse la reine Maple nous trouver tout de suite pour entrer dans ses bonnes grâces à la cour.	Это как обычные прятки, только мы сразу даём королеве Мэйпл найти нас, чтобы снискать её расположение при дворе.	It's like regular hide and seek, except we let Queen Maple find us right away so we can curry favor with her at court.
Conversations/Activity Dialogue/hide_and_go_seek/maple_hgs_3/init	One, two, three...	Un... deux... trois...	Раз... Два... Три...	One, two, three...
Conversations/Activity Dialogue/hide_and_go_seek/maple_hgs_4/init	Dell's getting desperate, I can tell. And... oh, is Luc entering grasshopper mode? Yeah, Dell's never going to find us.	Dell désespère de nous trouver, je le vois. Et... Oh, Luc passe en mode sauterelle ? Oui, Dell ne nous trouvera jamais.	Я вижу, Делл уже пояти выбилась из сил. Ого... Люк применяет технику кузнечика? Теперь Делл точно нас не найдёт.	Dell's getting desperate, I can tell. And... oh, is Luc entering grasshopper mode? Yeah, Dell's never going to find us.
