key	english	french	russian	bulgarian
Conversations/Festival Lines/Adeline/animal_festival/animal_festival_0/1	I know I sure am!	Moi, c'est le cas !	Мне точно весело!	I know I sure am!
Conversations/Festival Lines/Adeline/animal_festival/animal_festival_0/init	Hey, [Ari]! I hope you're having fun!	Bonjour, [Ari] ! J'espère que tu t'amuses bien !	Привет, [Ari]! Надеюсь, тебе тут весело!	Hey, [Ari]! I hope you're having fun!
Conversations/Festival Lines/Adeline/animal_festival/animal_festival_chicken_cutout/1	These cutouts are such a good addition to the festival! I wish we had them when I was a kid.	Quelle bonne idée d'avoir ajouté ces silhouettes à la fête ! Si seulement on les avait eues quand j'étais petite.	Эти вырезанные картинки — отличное дополнение фестиваля! Жаль, что их не было, когда я была маленькая.	These cutouts are such a good addition to the festival! I wish we had them when I was a kid.
Conversations/Festival Lines/Adeline/animal_festival/animal_festival_chicken_cutout/init	Haha, come and join me, [Ari]!	Ha ha, viens te joindre à moi, [Ari] !	Ха-ха, заходи ко мне, [Ari]!	Haha, come and join me, [Ari]!
Conversations/Festival Lines/Adeline/animal_festival/animal_festival_large_first_place/init	Well done, [Ari]! [festival_large_animal_name] taking first place certainly shows that you've become an excellent rancher.	Bravo, [Ari] ! Voir [festival_large_animal_name] décrocher la première place, c'est la preuve que tu excelles désormais dans l'élevage.	Молодец, [Ari]! [festival_large_animal_name] на первом месте, так что теперь все знают, что ты мастер животноводства!	Well done, [Ari]! [festival_large_animal_name] taking first place certainly shows that you've become an excellent rancher.
Conversations/Festival Lines/Adeline/animal_festival/animal_festival_large_second_place/init	Well done, [Ari]! [festival_large_animal_name] getting second place is quite an achievement.	Bravo, [Ari] ! Réussi à faire monter [festival_large_animal_name] sur la deuxième marche du podium est un vrai succès.	Молодец, [Ari]! [festival_large_animal_name] на втором месте, это очень солидное достижение.	Well done, [Ari]! [festival_large_animal_name] getting second place is quite an achievement.
Conversations/Festival Lines/Adeline/animal_festival/animal_festival_large_third_place/init	Well done, [Ari]! [festival_large_animal_name] getting third place is impressive.	Bravo, [Ari] ! C'est très impressionnant de voir [festival_large_animal_name] obtenir une troisième place.	Молодец, [Ari]! [festival_large_animal_name] на третьем месте — это достойно похвалы	Well done, [Ari]! [festival_large_animal_name] getting third place is impressive.
Conversations/Festival Lines/Adeline/animal_festival/animal_festival_small_first_place/init	Congratulations, [Ari]! Please extend my congratulations to [festival_small_animal_name] as well.	Félicitations, [Ari] ! Transmets-les aussi à [festival_small_animal_name].	Молодец, [Ari]! И передай от меня, что [festival_small_animal_name] тоже молодец.	Congratulations, [Ari]! Please extend my congratulations to [festival_small_animal_name] as well.
Conversations/Festival Lines/Adeline/harvest_festival/harvest_festival_0/1	Look at all those smiling faces...	Regarde un peu tous ces visages souriants...	Вокруг столько улыбок...	Look at all those smiling faces...
Conversations/Festival Lines/Adeline/harvest_festival/harvest_festival_0/2	I hope you're having a good time as well!	J'espère que toi aussi tu t'amuses, toi aussi !	Надеюсь, тебе сегодня тоже весело!	I hope you're having a good time as well!
Conversations/Festival Lines/Adeline/harvest_festival/harvest_festival_0/init	Happy Harvest Festival, [Ari]!	Je te souhaite une belle fête des récoltes, [Ari].	Поздравляю с Фестивалем урожая, [Ari]!	Happy Harvest Festival, [Ari]!
Conversations/Festival Lines/Adeline/harvest_festival/harvest_festival_anticipation/1	I used to take lessons, you know.	Je prenais des cours de danse autrefois.	Знаешь, у меня ведь были уроки танцев.	I used to take lessons, you know.
Conversations/Festival Lines/Adeline/harvest_festival/harvest_festival_anticipation/init	Eiland's all about collecting $Queen Berries$ for the $Harvest Festival$, but I'm more interested in the dance.	Eiland est absorbé par la cueillette des $baies de la reine$ pour la $fête des récoltes$, mais moi, c'est le bal qui m'intéresse.	Эйланду больше всего нравится собирать для фестиваля $королевские ягоды$. А я больше люблю танцевать.	Eiland's all about collecting $Queen Berries$ for the $Harvest Festival$, but I'm more interested in the dance.
