key	english	french	russian	bulgarian
Conversations/Bank/Juniper/Banked Lines/back_to_sleep/back_to_sleep/1	Oh, it's you. Talk to Dozy, I'm going back to sleep.	Oh, c'est toi. Discute avec Dozy, je retourne me coucher.	А, это ты. Обращайся к Дрёме, а я пойду дальше спать.	Oh, it's you. Talk to Dozy, I'm going back to sleep.
Conversations/Bank/Juniper/Banked Lines/back_to_sleep/back_to_sleep/init	Hi, welcome to the Bathhouse...	Bonjour, bienvenue aux bains...	Привет, добро пожаловать в купальню...	Hi, welcome to the Bathhouse...
Conversations/Bank/Juniper/Banked Lines/back_to_sleep/back_to_sleep_b/init	Hey, [Ari]. Here for a bath?	Salut, [Ari]. Tu viens prendre un bain ?	Привет, [Ari]. <p>Пришли</p><f>Пришла</f><m>Пришёл</m><n>Пришло</n> принять ванну?	Hey, [Ari]. Here for a bath?
Conversations/Bank/Juniper/Banked Lines/balor_gets_me_supplies/balor_gets_me_witchvine/init	Balor's the only person in town who can get me dried witchvine root, but he won't reveal his sources. It's vexing!	Ici, il n'y a que Balor qui puisse me fournir en racines de sorcerelierre séchées, mais il ne veut pas me dire où il les a. C'est vexant !	Балор — единственный в городе, кто может достать сушёный корень ведьминой лозы, но свои источники он не раскрывает. Раздражает!	Balor's the only person in town who can get me dried witchvine root, but he won't reveal his sources. It's vexing!
Conversations/Bank/Juniper/Banked Lines/basement/basement_1/init	Ah, hello.	Tiens, bonjour.	А, привет.	Ah, hello.
Conversations/Bank/Juniper/Banked Lines/bath_awaits/bath_awaits/1	So make up your mind or leave already.	Alors, tu te baignes ou tu déguerpis.	Так что решайся или уходи.  	So make up your mind or leave already.
Conversations/Bank/Juniper/Banked Lines/bath_awaits/bath_awaits/init	Your bath awaits! I, however, do not.	Ton bain t'attendait ! Moi, pas vraiment.	Ванна тебя ждёт! А вот я — нет.  	Your bath awaits! I, however, do not.
Conversations/Bank/Juniper/Banked Lines/bathhouse_feeling_empty/bathhouse_feeling_empty/init	The bathhouse was a bit empty after Elsie and Lady Adeline left... not that it bothers me one bit!	Les bains semblaient un peu vides quand Elsie et dame Adeline sont parties... et ça me va très bien comme ça.	После отъезда Элси и леди Аделины в купальне стало пустовато... не то чтобы меня это хоть каплю волновало!  	The bathhouse was a bit empty after Elsie and Lady Adeline left... not that it bothers me one bit!
Conversations/Bank/Juniper/Banked Lines/bathhouse_living_is_great/bathhouse_living_is_great/init	Living inside a bathhouse has its perks, especially on days like today.	Par une journée comme celle-là, vivre dans un établissement de bains a ses avantages.	Жить прямо в купальне — сплошные плюсы, особенно в такую погоду.	Living inside a bathhouse has its perks, especially on days like today.
Conversations/Bank/Juniper/Banked Lines/bathhouse_warm/bathhouse_warm/init	The heat from the bath keeps the building nice and warm, no matter the time of year. Isn't that nice?	Toute l'année, le bâtiment est bien chauffé toute l'année, grâce à la vapeur des bains. C'est agréable, n'est-ce pas ?	Жар от воды хорошо прогревает здание в любое время года. Приятно, правда?	The heat from the bath keeps the building nice and warm, no matter the time of year. Isn't that nice?
