key	english	french	russian	bulgarian
Conversations/Bank/Henrietta/Banked Lines/basement/basement_1/init	(Henrietta clucks at you.)	(Henrietta caquette dans votre direction.)	(Генриетта кудахчет на вас.)  	(Henrietta clucks at you.)
Conversations/Bank/Henrietta/Banked Lines/dialogue/dialogue_1/init	(Henrietta clucks at you amiably.)	(Henrietta caquette avec amabilité.)	(Генриетта дружелюбно кудахчет в вашу сторону.)  	(Henrietta clucks at you amiably.)
Conversations/Bank/Henrietta/Banked Lines/dialogue/dialogue_10/init	(Henrietta looks at you with a twinkle in her little black eyes.)	(Henrietta vous regarde avec une lueur dans ses petits yeux noirs.)	(Генриетта смотрит на вас с озорным блеском в чёрных глазках.)  	(Henrietta looks at you with a twinkle in her little black eyes.)
Conversations/Bank/Henrietta/Banked Lines/dialogue/dialogue_11/init	(Henrietta pecks firmly at the countertop, as though indicating where to leave your tesserae after your shopping is done.)	(Henrietta picore le comptoir avec fermeté, comme pour vous indiquer où laisser vos tesserae une fois vos achats terminés.)	(Генриетта уверенно клюёт стойку, словно показывая, куда класть тессеры после покупок.)	(Henrietta pecks firmly at the countertop, as though indicating where to leave your tesserae after your shopping is done.)
Conversations/Bank/Henrietta/Banked Lines/dialogue/dialogue_12/init	(Henrietta doesn't seem to mind the rain.)	(Henrietta ne semble pas dérangée par la pluie.)	(Генриетта, похоже, не возражает против дождя.)	(Henrietta doesn't seem to mind the rain.)
Conversations/Bank/Henrietta/Banked Lines/dialogue/dialogue_13/init	(Henrietta's fondness for the rain is apparent. She seems like an adventurous chicken!)	(Henrietta aime la pluie, c'est évident. C'est une poule aventureuse, on dirait !)	(Генриетта явно любит дождь. Похоже, она — курица с духом приключений!)	(Henrietta's fondness for the rain is apparent. She seems like an adventurous chicken!)
Conversations/Bank/Henrietta/Banked Lines/dialogue/dialogue_14/init	(Henrietta seems to be enjoying the summer weather.)	(Henrietta semble apprécier la météo estivale.)	(Генриетта, кажется, наслаждается летней погодой.)	(Henrietta seems to be enjoying the summer weather.)
Conversations/Bank/Henrietta/Banked Lines/dialogue/dialogue_2/init	(Henrietta flaps her wings, as though enthusiastically waving hello.)	(Henrietta bat des ailes, comme pour vous saluer avec enthousiasme.)	(Генриетта хлопает крыльями, словно радостно машет вам.)	(Henrietta flaps her wings, as though enthusiastically waving hello.)
Conversations/Bank/Henrietta/Banked Lines/dialogue/dialogue_3/init	(Henrietta cranes her head about, peering curiously at you from all angles.)	(Henrietta tend le cou et vous observe sous toutes les coutures.)	(Генриетта вытягивает шею, разглядывая вас со всех сторон.)	(Henrietta cranes her head about, peering curiously at you from all angles.)
Conversations/Bank/Henrietta/Banked Lines/dialogue/dialogue_4/init	(Henrietta proudly preens her feathers.)	(Henrietta se lisse fièrement les plumes.)	(Генриетта гордо прихорашивает перья.)  	(Henrietta proudly preens her feathers.)
Conversations/Bank/Henrietta/Banked Lines/dialogue/dialogue_5/init	(Henrietta's plumage ripples as she gives a sleepy stretch.)	(Le plumage d'Henrietta ondule tandis qu'elle s'étire de fatigue.)	(Генриетта лениво потягивается, слегка встряхивая пёрышками.)	(Henrietta's plumage ripples as she gives a sleepy stretch.)
Conversations/Bank/Henrietta/Banked Lines/dialogue/dialogue_6/init	(Henrietta wags her tail feathers energetically.)	(Henrietta secoue énergiquement les plumes de sa queue.)	(Генриетта бодро виляет хвостиком.)  	(Henrietta wags her tail feathers energetically.)
Conversations/Bank/Henrietta/Banked Lines/dialogue/dialogue_7/init	(Henrietta rubs her beak against your leg. It seems that she likes you!)	(Henrietta vous frotte la jambe de son bec. On dirait qu'elle vous apprécie !)	(Генриетта трётся клювом о вашу ногу. Похоже, вы ей нравитесь!)	(Henrietta rubs her beak against your leg. It seems that she likes you!)
Conversations/Bank/Henrietta/Banked Lines/dialogue/dialogue_8/init	(Henrietta bobs her head at you, clucking a greeting.)	(Henrietta hoche la tête et vous salue d'un caquettement.)	(Генриетта кивает вам и кудахчет в знак приветствия.)  	(Henrietta bobs her head at you, clucking a greeting.)
Conversations/Bank/Henrietta/Banked Lines/dialogue/dialogue_9/init	(Henrietta cocks her head at you quizzically. Can she help you with something?)	(Henrietta penche la tête en vous regardant d'un air interrogateur. Est-ce qu'elle peut vous aider ?)	(Генриетта склоняет голову на бок с любопытством. Мол, чем-то помочь?)	(Henrietta cocks her head at you quizzically. Can she help you with something?)
Conversations/Bank/Henrietta/Banked Lines/greeting_ari/greeting_ari/1	(Henrietta pecks the ground indifferently to your blatant attempt to get on her good side.)	(Henrietta picore le sol avec indifférence face à votre tentative flagrante pour qu'elle vous ait à la bonne.)	(Генриетта безразлично клюёт землю, проигнорировав вашу попытку ей понравиться.)	(Henrietta pecks the ground indifferently to your blatant attempt to get on her good side.)
Conversations/Bank/Henrietta/Banked Lines/greeting_ari/greeting_ari/2	(Henrietta squawks and flaps her wings. You don't know Henrietta well enough to know if this is a good thing.)	(Henrietta piaille en secouant ses ailes. Vous ne la connaissez pas suffisamment pour savoir si c'est bon signe.)	(Генриетта кудахчет и хлопает крыльями. Вы плохо её знаете, чтобы понять, хорошая ли это реакция.)	(Henrietta squawks and flaps her wings. You don't know Henrietta well enough to know if this is a good thing.)
Conversations/Bank/Henrietta/Banked Lines/greeting_ari/greeting_ari/init	(This chicken clucks at you with a regal air. You're sure this must be Henrietta, Hayden's prize-winning chicken.)	(Cette poule caquette en vous regardant avec un air royal. C'est sûrement Henrietta, la poule avec laquelle Hayden remporte des concours.)	(Курица на вас важно кудахчет. Похоже, это Генриетта — выставочная курица-призёрка Хайдена.)	(This chicken clucks at you with a regal air. You're sure this must be Henrietta, Hayden's prize-winning chicken.)
Conversations/Bank/Henrietta/Banked Lines/greeting_ari/greeting_ari/init/prompts/0	A pleasure to meet you, Henrietta.	C'est un plaisir de te rencontrer, Henrietta.	Приятно познакомиться, Генриетта.	A pleasure to meet you, Henrietta.
Conversations/Bank/Henrietta/Banked Lines/greeting_ari/greeting_ari/init/prompts/1	Hey chicken! Who's a good chicken?	Coucou la poule ! C'est une gentille poule, ça !	Эй, курочка! Кто тут хорошая курочка?	Hey chicken! Who's a good chicken?
Conversations/Bank/Henrietta/Banked Lines/greeting_ari/hayden_meeting_henrietta_follow_up/1	She sure is!	C'est bien vrai !	Это точно!	She sure is!
Conversations/Bank/Henrietta/Banked Lines/greeting_ari/hayden_meeting_henrietta_follow_up/2	Haha!	Ha ha !	Ха-ха!	Haha!
Conversations/Bank/Henrietta/Banked Lines/greeting_ari/hayden_meeting_henrietta_follow_up/3	Well, talk to you later, [Ari].	Bon, à plus tard, [Ari].	Ладно, потом ещё поговорим, [Ari].	Well, talk to you later, [Ari].
Conversations/Bank/Henrietta/Banked Lines/greeting_ari/hayden_meeting_henrietta_follow_up/init	Henrietta said you came by and said hello. That was thoughtful of you, [Ari]!	Henrietta m'a dit que tu nous avais rendu visite pour nous saluer. C'était très attentionné de ta part, [Ari] !	Генриетта сказала, ты <p>заходили</p><f>заходила</f><m>заходил</m><n>заходило</n> поздороваться. Это так любезно с твоей стороны, [Ari]!	Henrietta said you came by and said hello. That was thoughtful of you, [Ari]!
Conversations/Bank/Henrietta/Banked Lines/greeting_ari/hayden_meeting_henrietta_follow_up/init/prompts/0	She's an incredible chicken!	C'est une poule incroyable !	Она — прекрасная курочка!	She's an incredible chicken!
Conversations/Bank/Henrietta/Banked Lines/greeting_ari/hayden_meeting_henrietta_follow_up/init/prompts/1	"Wait, what do you mean by ""she said""?"	Minute, comment ça « elle a dit » ?	В смысле «сказала»?	"Wait, what do you mean by ""she said""?"
Conversations/Bank/Henrietta/Gift Lines/gift_lines/basement_gift/init	(Henrietta is a chicken.)	(Henrietta est une poule.)	(Генриетта — курица.)	(Henrietta is a chicken.)
Conversations/Bank/Henrietta/Gift Lines/gift_lines/birthday_gift/init	(Henrietta seems pleased that you remembered her birthday.)	(Henrietta a l'air heureuse que vous ayez pensé à son anniversaire.)	(Похоже, Генриетта довольна, что вы вспомнили о её дне рождения.)	(Henrietta seems pleased that you remembered her birthday.)
Conversations/Bank/Henrietta/Gift Lines/gift_lines/disliked_gift/init	(Henrietta seems uninterested.)	(Henrietta ne semble pas intéressée.)	(Похоже, Генриетте неинтересно.)	(Henrietta seems uninterested.)
Conversations/Bank/Henrietta/Gift Lines/gift_lines/garlic/init	(Henrietta doesn't like the smell of garlic one bit, her clucks seem to be scolding you.)	(Henrietta déteste l'odeur de l'ail. Elle semble pousser des gloussements réprobateurs.)	(Генриетта терпеть не может запах чеснока — по её кудахтанью понятно, что она вами недовольна.)	(Henrietta doesn't like the smell of garlic one bit, her clucks seem to be scolding you.)
Conversations/Bank/Henrietta/Gift Lines/gift_lines/liked_gift/init	(Henrietta clucks appreciatively.)	(Henrietta glousse de contentement.)	(Генриетта одобрительно кудахчет.)	(Henrietta clucks appreciatively.)
Conversations/Bank/Henrietta/Gift Lines/gift_lines/liked_gift_2/init	(Henrietta seems content with your gift.)	(Henrietta semble apprécier votre cadeau.)	(Похоже, подарок пришёлся Генриетте по вкусу.)	(Henrietta seems content with your gift.)
Conversations/Bank/Henrietta/Gift Lines/gift_lines/liked_gift_edible/init	(Henrietta seems to enjoy the snack you've brought her.)	(Henrietta semble apprécier la friandise que vous lui avez donnée.)	(Генриетта с удовольствием ест принесённое лакомство.)	(Henrietta seems to enjoy the snack you've brought her.)
Conversations/Bank/Henrietta/Gift Lines/gift_lines/loved_gift/init	(Judging by her excited clucking, Henrietta loves your gift.)	(À en juger par ses gloussements, Henrietta adore votre cadeau.)	(Судя по радостному кудахтанью, подарок ей очень понравился.)	(Judging by her excited clucking, Henrietta loves your gift.)
Conversations/Bank/Henrietta/Gift Lines/gift_lines/loved_gift_2/init	(Henrietta wastes no time pecking away at your thoughtful offering.)	(Henrietta picore sans attendre ce que vous lui avez offert.)	(Генриетта сразу принимается клевать ваш заботливо выбранный подарок.)	(Henrietta wastes no time pecking away at your thoughtful offering.)
Conversations/Bank/Henrietta/Gift Lines/gift_lines/loved_gift_3/init	(Henrietta fluffs up her feathers and clucks. She's quite pleased with your tribute.)	(Henrietta secoue les plumes en gloussant. Elle a l'air ravie de votre cadeau.)	(Генриетта взъерошила перья и довольно кудахчет. Подношение ей явно по душе.)	(Henrietta fluffs up her feathers and clucks. She's quite pleased with your tribute.)
Conversations/Bank/Henrietta/Gift Lines/gift_lines/neutral_gift/init	(Henrietta clucks in a strangely neutral manner.)	(Henrietta glousse de manière étrangement neutre.)	(Генриетта кудахчет необычно умеренным тоном.)	(Henrietta clucks in a strangely neutral manner.)
