key	english	french	russian	bulgarian
Conversations/Bank/Maple/Banked Lines/Swingset/swingset/init	I want to play on the swing...	J'aimerais bien faire de la balançoire...	Хочу на качели поиграть...	I want to play on the swing...
Conversations/Bank/Maple/Banked Lines/basement/basement_1/init	Yay, it's [Ari]!	Voilà [Ari], youpi !	Ура, это же [Ari]!	Yay, it's [Ari]!
Conversations/Bank/Maple/Banked Lines/bed/bed/init	Night night, [Ari]!	Bonne nuit, [Ari] !	Спокойной ночи, [Ari]!	Night night, [Ari]!
Conversations/Bank/Maple/Banked Lines/bed/bed_2/init	It's bedtime for Maple, [Ari]... I'm so sleepy!	Je vais me coucher, [Ari]... Je tombe de sommeil !	Мэйпл пора спать, [Ari]... Я такая сонная!	It's bedtime for Maple, [Ari]... I'm so sleepy!
Conversations/Bank/Maple/Banked Lines/bedtime_story_reaction/bedtime_story_reaction/init	Between you and me, [Ari], momma's really good at telling stories.	Ça reste entre nous, [Ari], mais maman est très douée pour raconter des histoires.	Только между нами, [Ari], мама восхитительно рассказывает сказки.	Between you and me, [Ari], momma's really good at telling stories.
Conversations/Bank/Maple/Banked Lines/being_read_to_about_royalty/royalty_is_hard/init	Being a noble sounds rough. They should just put me in charge, I could handle it for them.	Ça a l'air compliqué, la vie des nobles. S'ils m'engageaient, je m'occuperais de tout ce qui les embête.	Быть знатью — тяжёлая работа. Лучше бы меня поставили главной: я бы со всем справилась!	Being a noble sounds rough. They should just put me in charge, I could handle it for them.
Conversations/Bank/Maple/Banked Lines/bugologist/bugologist/init	When we grow up, Luc is going to be a super famous bug guy! A bugologist! I just know it!	Quand on sera plus grands, Luc deviendra un expert des insectes ! Une espèce d'insectologue ! J'en suis sûre !	Когда мы вырастем, Люк станет суперзнаменитым жуковедом! Я уверена!	When we grow up, Luc is going to be a super famous bug guy! A bugologist! I just know it!
Conversations/Bank/Maple/Banked Lines/cleaning/cleaning/init	I don't mind cleaning. A good Royal should have a keen understanding of the jobs of her subjects.	Ça ne me gêne pas de faire le ménage. Tout aristocrate doit savoir en quoi consiste le travail de ses sujets.	Я не против убираться. Хорошая королева должна разбираться в делах своих подданных.	I don't mind cleaning. A good Royal should have a keen understanding of the jobs of her subjects.
Conversations/Bank/Maple/Banked Lines/dell_says_adeline_knighted/adeline_knighted_you/init	Dell says Lady Adeline knighted you, [Ari]. But I thought only a king could do that...	Dell dit que dame Adeline t'a adoubé<he></he><she>e</she><they>·e</they>, [Ari]. Je croyais que seuls les rois pouvaient faire ça...	Делл говорит, что леди Аделина посвятила тебя в рыцари, [Ari]. Но я думала, это может только король...	Dell says Lady Adeline knighted you, [Ari]. But I thought only a king could do that...
Conversations/Bank/Maple/Banked Lines/dells_going_in_fountain/dells_going_in_foutain/init	Dell says she'll be good and won't jump in the fountain... yeah right!	Dell dit qu'elle sera sage et qu'elle ne sautera pas dans la fontaine... Mon œil !	Делл говорит, что будет паинькой и не прыгнет в фонтан... ага, конечно!	Dell says she'll be good and won't jump in the fountain... yeah right!
