key	english	french	russian	bulgarian
Conversations/Tutorial Dialogue/archaeology/archaeology_1/1	But I really hope you'll donate them!			But I really hope you'll donate them!
Conversations/Tutorial Dialogue/archaeology/archaeology_1/init	You can find artifacts all over Mistria! They can be donated to the museum or sold...			You can find artifacts all over Mistria! They can be donated to the museum or sold...
Conversations/Tutorial Dialogue/archaeology/archaeology_10/init	Alda artifacts seem to keep turning up around Hayden's farm. They're characterized by their geometry and a blue patina.			Alda artifacts seem to keep turning up around Hayden's farm. They're characterized by their geometry and a blue patina.
Conversations/Tutorial Dialogue/archaeology/archaeology_10_eiland/init	Alda artifacts seem to keep turning up around Hayden's farm. They're characterized by their geometry and a blue patina.	Les artéfacts aldéens sont assez nombreux près de la ferme d'Hayden. Leurs formes géométriques et leur patine bleue sont très caractéristiques.	Альдийские артефакты чаще находятся вокруг фермы Хейдена. Для них характерна геометричность и голубая патина.	Alda artifacts seem to keep turning up around Hayden's farm. They're characterized by their geometry and a blue patina.
Conversations/Tutorial Dialogue/archaeology/archaeology_10_errol/init	Alda artifacts seem to keep turning up around Hayden's farm. They're characterized by their geometry and a blue patina.	Les artéfacts aldéens sont assez nombreux près de la ferme d'Hayden. Leurs formes géométriques et leur patine bleue sont très caractéristiques.	Альдийские артефакты чаще находятся вокруг фермы Хейдена. Для них характерна геометричность и голубая патина.	Alda artifacts seem to keep turning up around Hayden's farm. They're characterized by their geometry and a blue patina.
Conversations/Tutorial Dialogue/archaeology/archaeology_11/init	The Western Ruins are of particular interest to me, because they yield a steady supply of Ancient artifacts from the era of the Witch Queens.			The Western Ruins are of particular interest to me, because they yield a steady supply of Ancient artifacts from the era of the Witch Queens.
Conversations/Tutorial Dialogue/archaeology/archaeology_11_eiland/init	The Western Ruins are of particular interest to me, because they yield a steady supply of Ancient artifacts from the era of the Witch Queens.	Les ruines de l'ouest ont un intérêt tout particulier pour moi, car elles renferment de nombreux artéfacts datant de l'époque des Reines-sorcières.	Западные руины для меня представляют особый интерес, поскольку там регулярно встречаются древние артефакты из Эпохи королев-ведьм.	The Western Ruins are of particular interest to me, because they yield a steady supply of Ancient artifacts from the era of the Witch Queens.
Conversations/Tutorial Dialogue/archaeology/archaeology_11_errol/init	The Western Ruins are of particular interest to me, because they yield a steady supply of Ancient artifacts from the era of the Witch Queens.	Les ruines de l'ouest ont un intérêt tout particulier pour moi, car elles renferment de nombreux artéfacts datant de l'époque des Reines-sorcières.	Западные руины для меня представляют особый интерес, поскольку там регулярно встречаются древние артефакты из Эпохи королев-ведьм.	The Western Ruins are of particular interest to me, because they yield a steady supply of Ancient artifacts from the era of the Witch Queens.
Conversations/Tutorial Dialogue/archaeology/archaeology_13/init	A wealth of Prehistoric artifacts wash up on the beach! You can often find them buried in the sand. Be careful with them, they're unimaginably old!			A wealth of Prehistoric artifacts wash up on the beach! You can often find them buried in the sand. Be careful with them, they're unimaginably old!
Conversations/Tutorial Dialogue/archaeology/archaeology_13_eiland/init	A wealth of Prehistoric artifacts wash up on the Beach! You can often find them buried in the sand. Be careful with them, they're unimaginably old!	De nombreux artéfacts de l'ère préhistorique s'échouent sur la plage. On les trouve parfois enterrés dans le sable. Prends-en soin, ils sont extrêmement anciens !	На пляж выбрасывает немало доисторических артефактов! Их часто можно откопать из-под песка. Только осторожнее с ними: они ведь невероятно старые!	A wealth of Prehistoric artifacts wash up on the Beach! You can often find them buried in the sand. Be careful with them, they're unimaginably old!
Conversations/Tutorial Dialogue/archaeology/archaeology_13_errol/init	A wealth of Prehistoric artifacts wash up on the Beach! You can often find them buried in the sand. Be careful with them, they're unimaginably old!	De nombreux artéfacts de l'ère préhistorique s'échouent sur la plage. On les trouve parfois enterrés dans le sable. Prends-en soin, ils sont extrêmement anciens !	На пляж выбрасывает немало доисторических артефактов! Их часто можно откопать из-под песка. Только осторожнее с ними: они ведь невероятно старые!	A wealth of Prehistoric artifacts wash up on the Beach! You can often find them buried in the sand. Be careful with them, they're unimaginably old!
Conversations/Tutorial Dialogue/archaeology/archaeology_14/1	I was torn on whether to include them in our museum's catalog, but they certainly catch the imagination!			I was torn on whether to include them in our museum's catalog, but they certainly catch the imagination!
Conversations/Tutorial Dialogue/archaeology/archaeology_14/init	Ooparts are out-of-place artifacts of, ah, dubious archaeological value. They can be found all over Mistria!			Ooparts are out-of-place artifacts of, ah, dubious archaeological value. They can be found all over Mistria!
Conversations/Tutorial Dialogue/archaeology/archaeology_14_eiland/1	I was torn on whether to include them in our museum's catalog, but they certainly catch the imagination!	J'ai eu beaucoup de mal à décider s'ils avaient ou non leur place dans notre collection du musée, mais une chose est sûre, ils font travailler l'imagination !	Я сомневался, стоит ли включать их в каталог музея. Но они хорошо разжигают воображение!	I was torn on whether to include them in our museum's catalog, but they certainly catch the imagination!
Conversations/Tutorial Dialogue/archaeology/archaeology_14_eiland/init	Ooparts are out-of-place artifacts of, ah, dubious archaeological value. They can be found all over Mistria!	Les artéfactices sont un type d'artéfacts dont la valeur archéologique est, euh... discutable. On les trouve dans tout Mistria !	Неуместные артефакты выглядят, эм, не к месту. Их ценность для археологии сомнительна, но их можно найти по всей Мистрии!	Ooparts are out-of-place artifacts of, ah, dubious archaeological value. They can be found all over Mistria!
Conversations/Tutorial Dialogue/archaeology/archaeology_14_errol/1	I was torn on whether to include them in our museum's catalog, but they certainly catch the imagination!	J'ai eu beaucoup de mal à décider s'ils avaient ou non leur place dans notre collection du musée, mais une chose est sûre, ils font travailler l'imagination !	Я сомневался, стоит ли включать их в каталог музея. Но они хорошо разжигают воображение!	I was torn on whether to include them in our museum's catalog, but they certainly catch the imagination!
Conversations/Tutorial Dialogue/archaeology/archaeology_14_errol/init	Ooparts are out-of-place artifacts of, ah, dubious archaeological value. They can be found all over Mistria!	Les artéfactices sont un type d'artéfacts dont la valeur archéologique est, euh... discutable. On les trouve dans tout Mistria !	Неуместные артефакты выглядят, эм, не к месту. Их ценность для археологии сомнительна, но их можно найти по всей Мистрии!	Ooparts are out-of-place artifacts of, ah, dubious archaeological value. They can be found all over Mistria!
Conversations/Tutorial Dialogue/archaeology/archaeology_15/1	Who knew a fishing rod could be part of an archaeologist's toolbox?			Who knew a fishing rod could be part of an archaeologist's toolbox?
Conversations/Tutorial Dialogue/archaeology/archaeology_15/init	It takes a bit of study to fish up Aquatic artifacts, but they're worth the effort!			It takes a bit of study to fish up Aquatic artifacts, but they're worth the effort!
Conversations/Tutorial Dialogue/archaeology/archaeology_15_eiland/1	Who knew a fishing rod could be part of an archaeologist's toolbox?	Qui aurait cru qu'une canne pêche pouvait faire partie de l'arsenal d'un archéologue ?	Кто бы мог подумать, что удочка станет инструментом археолога?	Who knew a fishing rod could be part of an archaeologist's toolbox?
Conversations/Tutorial Dialogue/archaeology/archaeology_15_eiland/init	It takes a bit of study to fish up Aquatic artifacts, but they're worth the effort!	Il faut un certain niveau pour remonter des artéfacts aquatiques, mais le jeu en vaut la chandelle !	Чтобы вылавливать подводные артефакты, нужен навык, но эти находки стоят того!	It takes a bit of study to fish up Aquatic artifacts, but they're worth the effort!
Conversations/Tutorial Dialogue/archaeology/archaeology_15_errol/1	Who knew a fishing rod could be part of an archaeologist's toolbox?	Qui aurait cru qu'une canne pêche pouvait faire partie de l'arsenal d'un archéologue ?	Кто бы мог подумать, что удочка станет инструментом археолога?	Who knew a fishing rod could be part of an archaeologist's toolbox?
Conversations/Tutorial Dialogue/archaeology/archaeology_15_errol/init	It takes a bit of study to fish up Aquatic artifacts, but they're worth the effort!	Il faut un certain niveau pour remonter des artéfacts aquatiques, mais le jeu en vaut la chandelle !	Чтобы вылавливать подводные артефакты, нужен навык, но эти находки стоят того!	It takes a bit of study to fish up Aquatic artifacts, but they're worth the effort!
Conversations/Tutorial Dialogue/archaeology/archaeology_16/1	Keep an eye out, you'll often see bubbles where something is hidden!			Keep an eye out, you'll often see bubbles where something is hidden!
Conversations/Tutorial Dialogue/archaeology/archaeology_16/init	Diving for Sunken artifacts is a learned skill, and it's worthwhile.			Diving for Sunken artifacts is a learned skill, and it's worthwhile.
Conversations/Tutorial Dialogue/archaeology/archaeology_16_eiland/1	Keep an eye out, you'll often see bubbles where something is hidden!	Ouvre l'œil, tu verras parfois des bulles s'il y a quelque chose à découvrir dans l'eau !	Смотри внимательно: там, где под водой что-то есть, часто бывают пузырьки!	Keep an eye out, you'll often see bubbles where something is hidden!
Conversations/Tutorial Dialogue/archaeology/archaeology_16_eiland/init	Diving for Sunken artifacts is a learned skill, and it's worthwhile.	Il est très utile d'apprendre la plongée sous-marine pour trouver des artéfacts engloutis.	Затонувшие артефакты весьма ценны, однако нырять за ними без особого навыка не получится.	Diving for Sunken artifacts is a learned skill, and it's worthwhile.
Conversations/Tutorial Dialogue/archaeology/archaeology_16_errol/1	Keep an eye out, you'll often see bubbles where something is hidden!	Ouvre l'œil, tu verras parfois des bulles s'il y a quelque chose à découvrir dans l'eau !	Смотри внимательно: там, где под водой что-то есть, часто бывают пузырьки!	Keep an eye out, you'll often see bubbles where something is hidden!
Conversations/Tutorial Dialogue/archaeology/archaeology_16_errol/init	Diving for Sunken artifacts is a learned skill, and it's worthwhile.	Il est très utile d'apprendre la plongée sous-marine pour trouver des artéfacts engloutis.	Затонувшие артефакты весьма ценны, однако нырять за ними без особого навыка не получится.	Diving for Sunken artifacts is a learned skill, and it's worthwhile.
