key	english	french	russian	bulgarian
Conversations/Bank/Balor/Banked Lines/Sick/sick/init	ACHOO! Sniff...	ATCHOUM ! Sniff...	АПЧХИ! Шмыг...	ACHOO! Sniff...
Conversations/Bank/Balor/Banked Lines/adeline_was_suspicious/adeline_was_suspicious/init	Adeline was originally suspicious of me, but she let me stick around. Guess I have my uses!	Adeline se méfiait un peu de moi, au début, mais elle m'a laissé rester. Il faut croire que j'ai mon utilité !	Аделина сначала мне не доверяла, но потом разрешила остаться. Видимо, от меня таки есть польза.	Adeline was originally suspicious of me, but she let me stick around. Guess I have my uses!
Conversations/Bank/Balor/Banked Lines/artisinal_pinecones/artisinal_pinecones/init	"I just got a dozen crates of ""artisanal"" pinecones in... what am I supposed to do with all these pinecones? And what's so artisanal about a pinecone, anyway?"	Je viens de recevoir une douzaine de caisses de pommes de pin « artisanales »... Que suis-je censé faire de tout ça ? Et puis qu'y a-t-il d'artisanal dans une pomme de pin ?	Я только что получил дюжину ящиков «ремесленных» сосновых шишек... Что мне с ними делать? И что вообще может быть ремесленного в шишке?	"I just got a dozen crates of ""artisanal"" pinecones in... what am I supposed to do with all these pinecones? And what's so artisanal about a pinecone, anyway?"
Conversations/Bank/Balor/Banked Lines/at_your_service/at_your_service/init	At your service, [Ari].	À ton service, [Ari].	К твоим услугам, [Ari].	At your service, [Ari].
Conversations/Bank/Balor/Banked Lines/basement/basement_1/init	Nice seeing you.	Content de te voir.	Рад видеть тебя.	Nice seeing you.
Conversations/Bank/Balor/Banked Lines/bath_smelled_nice/bath_smelled_nice/1	Who do you suppose Juniper's =Jasmine= supplier is?	Chez qui Juniper se fournit-elle en =jasmin=, à ton avis ?	Как думаешь, кто поставляет Джунипер =жасмин= ?	Who do you suppose Juniper's =Jasmine= supplier is?
Conversations/Bank/Balor/Banked Lines/bath_smelled_nice/bath_smelled_nice/init	The baths smelled nice today...	Les bains sentaient bon, aujourd'hui...	Сегодня в купальне так приятно пахло...	The baths smelled nice today...
Conversations/Bank/Balor/Banked Lines/bathhouse/bathhouse/1	What a luxury!	C'est un vrai luxe !	Такая роскошь!	What a luxury!
Conversations/Bank/Balor/Banked Lines/bathhouse/bathhouse/init	No such thing as a perfumed bath on the road, so I come to the Bathhouse whenever I can.	Rien de tel qu'un bain parfumé quand on est sur les routes, c'est pour ça que je viens aux bains dès que j'en ai l'occasion.	В дороге ни о каких душистых ваннах и мечтать не приходится, так что я наведываюсь в купальню при любой возможности.	No such thing as a perfumed bath on the road, so I come to the Bathhouse whenever I can.
Conversations/Bank/Balor/Banked Lines/bathhouse/bathhouse_2/1	That and the heat reminds me of faraway market streets. It's a nice memory.	Ça plus la chaleur, ça me rappelle les rues de marchés lointains. C'est un souvenir agréable.	Это вместе с жарой напоминает мне рыночные улицы дальних стран. Хорошее воспоминание.	That and the heat reminds me of faraway market streets. It's a nice memory.
Conversations/Bank/Balor/Banked Lines/bathhouse/bathhouse_2/init	Juniper's got a peppery aroma going with today's bath.	Juniper a utilisé un arôme poivré pour parfumer le bain d'aujourd'hui.	У Джунипер в купальне сегодня перечный аромат.	Juniper's got a peppery aroma going with today's bath.
Conversations/Bank/Balor/Banked Lines/bathhouse/bathhouse_3/init	A visit to the Bathhouse is a perfect remedy for the winter chill.	Un petit tour aux bains est le remède idéal contre les frimas de l'hiver.	Горячая ванна — лучшее средство от зимних морозов.	A visit to the Bathhouse is a perfect remedy for the winter chill.
Conversations/Bank/Balor/Banked Lines/bathhouse/bathhouse_4/1	A merchant's hair ought to look luxurious... to convey a sense of prosperity.	La chevelure d'un marchand doit être impeccable... pour renvoyer une image de prospérité.	Волосы торговца должны выглядеть шикарно... Это производит впечатление достатка.	A merchant's hair ought to look luxurious... to convey a sense of prosperity.
Conversations/Bank/Balor/Banked Lines/bathhouse/bathhouse_4/2	What do you think? Is it working?	Qu'en penses-tu ? Ça marche ?	Что думаешь? У меня получается?	What do you think? Is it working?
Conversations/Bank/Balor/Banked Lines/bathhouse/bathhouse_4/init	I learned early in my career to take my time with washing my hair.	Dès le début de ma carrière, j'ai compris que je devais prendre soin de mes cheveux.	Я научился заботиться о своих волосах, когда только начинал своё дело.	I learned early in my career to take my time with washing my hair.
Conversations/Bank/Balor/Banked Lines/bathhouse_luxury/bathhouse_luxury/init	After all my time on the road, this bathhouse is a luxury I simply can't live without.	Après tout le temps que j'ai passé sur les routes, ces bains sont un luxe dont je ne peux plus me passer.	После стольких лет странствий купальня — такая роскошь, без которой я жить не смогу.	After all my time on the road, this bathhouse is a luxury I simply can't live without.
Conversations/Bank/Balor/Banked Lines/beach/beach/1	But in the end, there were things that kept my boots planted firmly on the ground.	Mais pour finir, certaines choses m'ont décidé à garder les pieds solidement ancrés sur la terre ferme.	Но в конце концов кое-что удержало мои сапоги на суше.	But in the end, there were things that kept my boots planted firmly on the ground.
Conversations/Bank/Balor/Banked Lines/beach/beach/init	I almost became a seafaring merchant, years ago.	J'ai failli me lancer dans le commerce maritime, il y a des années de cela.	Когда-то я чуть было не стал морским торговцем.	I almost became a seafaring merchant, years ago.
Conversations/Bank/Balor/Banked Lines/beach_business/beach_business/1	Have you ever tried getting a wagon across the sand? I can't recommend it.	Tu as déjà essayé d'avancer en chariot dans le sable ? Je te le déconseille.	<p>Пробовали</p><f>Пробовала</f><m>Пробовал</m><n>Пробовало</n> как-нибудь тянуть фургон по песку? Не советую.	Have you ever tried getting a wagon across the sand? I can't recommend it.
