key	english	french	russian	bulgarian
Conversations/Bank/Louis/Banked Lines/basement/basement_1/init	Good day, [Ari].	Bien le bonjour, [Ari].	Доброго дня, [Ari].	Good day, [Ari].
Conversations/Bank/Louis/Banked Lines/charming_town/charming_town/init	Mistria is such a charming little town, isn't it? Everyone is so fashionable, I feel right at home.	Mistria est une charmante petite ville, n'est-ce pas ? Les habitants savent se vêtir. C'est un bonheur pour moi.	Мистрия — такое очаровательное местечко, правда? Все такие модные — чувствую себя как дома.	Mistria is such a charming little town, isn't it? Everyone is so fashionable, I feel right at home.
Conversations/Bank/Louis/Banked Lines/confidence/confidence/init	Remember, [Ari], it's not just clothes, it's confidence. There's nothing quite like knowing how well-dressed you are!	Les vêtements ne font pas tout, la confiance en soi est également un facteur important. Il faut avoir conscience de sa propre élégance. Tâchez de ne pas l'oublier, [Ari].	Помни, [Ari], одежда не просто ткань, это уверенность. Нет ничего лучше, чем осознание, как хорошо ты выглядишь!	Remember, [Ari], it's not just clothes, it's confidence. There's nothing quite like knowing how well-dressed you are!
Conversations/Bank/Louis/Banked Lines/errol_delight/errol_delight/1	He's better at tying his cravat than some nobles.	Il maîtrise mieux les nœuds de cravate que bien des aristocrates.	Он повязывает платок лучше некоторых аристократов.	He's better at tying his cravat than some nobles.
Conversations/Bank/Louis/Banked Lines/errol_delight/errol_delight/init	Errol is such a delight to tailor for!	C'est un vrai plaisir de confectionner des vêtements pour Errol !	Шить для Эррола — одно удовольствие!	Errol is such a delight to tailor for!
Conversations/Bank/Louis/Banked Lines/excellent_prices/excellent_prices/init	I have some excellent pieces in stock today, take a look.	J'ai de magnifiques pièces en stock aujourd'hui, n'hésitez pas à y jeter un œil.	У меня сегодня отличные вещи в наличии, загляни.	I have some excellent pieces in stock today, take a look.
Conversations/Bank/Louis/Banked Lines/fall_layers/fall_layers/init	In the fall, your clothing should be all about layers.	L'important en automne, c'est la superposition des couches.	Осенью главное — это многослойность.	In the fall, your clothing should be all about layers.
Conversations/Bank/Louis/Banked Lines/fall_packing_1/fall_packing_1/init	This evening weather is turning a bit brisk, isn't it? It's nearly time to bring out the wool and down!	Le temps se rafraîchit le soir, n'est-ce pas ? Les vêtements en laine ou en duvet seront bientôt de mise.	К вечеру холодает, правда? Самое время доставать шерсть и пух!	This evening weather is turning a bit brisk, isn't it? It's nearly time to bring out the wool and down!
Conversations/Bank/Louis/Banked Lines/greeting_ari/greeting_ari/1	If you are looking for an article of clothing, you may rest assured that I personally cut and sew every garment you'll find at my booth.	Si vous cherchez à vous habiller, sachez que je coupe et que je couds chacun des vêtements qui se trouvent dans ma boutique.	Если ты ищешь новую одежду, не сомневайся: все вещи на моём прилавке пошиты вручную лично мною.	If you are looking for an article of clothing, you may rest assured that I personally cut and sew every garment you'll find at my booth.
Conversations/Bank/Louis/Banked Lines/greeting_ari/greeting_ari/2	My stock changes with the week, so if you find something you simply have to see yourself in, don't wait!	Mon stock change chaque semaine alors si vous trouvez une pièce que vous souhaitez essayer, ne tardez pas !	Мой ассортимент меняется каждую неделю, поэтому, если что-то приглянулось, не стоит медлить с покупкой!	My stock changes with the week, so if you find something you simply have to see yourself in, don't wait!
