key	english	french	russian	bulgarian
Conversations/Bank/Hayden/Banked Lines/1h_company/1h_company/1	Life on $[farm_name]$ treating you well?	Ça se passe bien, la vie à $[farm_name]$ ?	Как тебе живётся на ферме $«[farm_name]»$?	Life on $[farm_name]$ treating you well?
Conversations/Bank/Hayden/Banked Lines/1h_company/1h_company/2	 I know it can get a little lonesome, living out on the edge of town.	 Je sais que la solitude pèse parfois un peu, quand on vit à la lisière de la ville.	Знаю, на краю города бывает немного одиноко.	 I know it can get a little lonesome, living out on the edge of town.
Conversations/Bank/Hayden/Banked Lines/1h_company/1h_company/3	Feel free to drop by Sweetwater Farm anytime, okay?	N'hésite pas à passer à la ferme de Doucerive quand tu veux, d'accord ?	Заходи на ферму «Сладководье» в любое время, договорились?	Feel free to drop by Sweetwater Farm anytime, okay?
Conversations/Bank/Hayden/Banked Lines/1h_company/1h_company/4	I'm always happy to have company!	Je suis toujours ravi d'avoir de la compagnie !	Я всегда рад гостям!	I'm always happy to have company!
Conversations/Bank/Hayden/Banked Lines/1h_company/1h_company/init	How's it going, [Ari]?	Comment ça va, [Ari] ?	Как дела, [Ari]?	How's it going, [Ari]?
Conversations/Bank/Hayden/Banked Lines/adeline_and_eiland_wear_white/adeline_and_eiland_wear_white/init	Adeline and Eiland don't make it down to the farm much, but I don't blame them... they wear a lot of white and my farm's got a mess of mud!	Adeline et Eiland ne viennent pas souvent jusqu'à la ferme, mais je ne leur en veux pas... Ils s'habillent souvent en blanc et il y a de la boue partout chez moi !	Аделина и Эйланд редко навещают мою ферму, но я их не виню... Они все в белом, а на моей ферме полно грязи!	Adeline and Eiland don't make it down to the farm much, but I don't blame them... they wear a lot of white and my farm's got a mess of mud!
Conversations/Bank/Hayden/Banked Lines/animals_dont_mind_rain/animals_dont_mind_rain/1	I should take a page from their book!	Je devrais prendre exemple sur eux !	Стоит у них поучиться!	I should take a page from their book!
Conversations/Bank/Hayden/Banked Lines/animals_dont_mind_rain/animals_dont_mind_rain/init	I used to complain about rainy days, but the animals don't pay the rain any mind at all.	J'avais l'habitude de me plaindre des jours de pluie, mais les animaux ne se soucient pas du tout des précipitations.	Я раньше всё время жаловался на дождь, но животные на моей ферме не обращают на него никакого внимания.	I used to complain about rainy days, but the animals don't pay the rain any mind at all.
Conversations/Bank/Hayden/Banked Lines/animals_not_water_resistant/animals_not_water_resistant/init	Did you know that chickens and sheep are water-resistant? But don't think that means they like being out in the rain!	Tu savais que les poules et les moutons ne craignent pas l'eau ? Ne va pas pour autant croire qu'ils aiment rester dehors quand il pleut !	А ты в курсе, что курицы и овцы не боятся воды? Это не значит, конечно, что им по нраву бегать под дождём!	Did you know that chickens and sheep are water-resistant? But don't think that means they like being out in the rain!
Conversations/Bank/Hayden/Banked Lines/balors_not_a_hugger/balor_is_not_a_hugger/init	Balor... he's an odd one. Not a big hugger, if you can believe it. Guess it takes all kinds of folk!	Balor... c'est un drôle de personnage. Crois-moi si tu veux, mais il n'aime pas trop les effusions. Il faut de tout pour faire un monde !	Балор... странный тип. Не любит обниматься, представляешь? Свет полнится самыми разными людьми!	Balor... he's an odd one. Not a big hugger, if you can believe it. Guess it takes all kinds of folk!
