key	english	french	russian	bulgarian
Conversations/Bank/Zorel/Banked Lines/basement/basement_1/init	Hey, nice to see you.	Hé, je suis contente de te voir.	Привет, рада тебя видеть.	Hey, nice to see you.
Conversations/Bank/Zorel/Banked Lines/booth_lines/booth_0/init	Heeey, [Ari]! Great day to listen to some new tunes, huh?	Salut, [Ari] ! Super journée pour écouter de nouveaux morceaux de musique, non ?	Приве-е-ет, [Ari]! Отличный денёк, чтобы послушать новые мелодии, а?	Heeey, [Ari]! Great day to listen to some new tunes, huh?
Conversations/Bank/Zorel/Banked Lines/booth_lines/booth_1/1	How about you, [Ari]?	Et toi, [Ari] ?	А ты как, [Ari]?	How about you, [Ari]?
Conversations/Bank/Zorel/Banked Lines/booth_lines/booth_1/init	Seems like a lot of people are in the mood for a new $Song Crystal$ today.	Tout le monde semble vouloir un $cristal musical$, aujourd'hui.	Похоже, сегодня многим хочется заполучить новый $Песенный кристалл$.	Seems like a lot of people are in the mood for a new $Song Crystal$ today.
Conversations/Bank/Zorel/Banked Lines/booth_lines/booth_10/1	Pick out a $Song Crystal$ and give it a try yourself, [Ari]!	Choisis un $cristal musical$, [Ari].	Выбери $Песенный кристалл$ и попробуй, [Ari]!	Pick out a $Song Crystal$ and give it a try yourself, [Ari]!
Conversations/Bank/Zorel/Banked Lines/booth_lines/booth_10/init	Good music makes any tough job go by faster.	Quand tu écoutes de la bonne musique, n'importe quel travail avance plus vite.	С хорошей музыкой любая тяжёлая работа спорится быстрее.	Good music makes any tough job go by faster.
Conversations/Bank/Zorel/Banked Lines/booth_lines/booth_11/1	There's so much groovy stuff out there!	Il y a tellement de bons sons qui existent !	Вокруг столько заводных вещей!	There's so much groovy stuff out there!
Conversations/Bank/Zorel/Banked Lines/booth_lines/booth_11/init	Don't be afraid to try out music in a genre you don't normally listen to, [Ari].	N'aie pas peur d'écouter un genre musical auquel tu n'es pas habitué<he></he><she>e</she><they>·e</they>, [Ari].	Не бойся попробовать музыку в жанре, который обычно не слушаешь, [Ari].	Don't be afraid to try out music in a genre you don't normally listen to, [Ari].
Conversations/Bank/Zorel/Banked Lines/booth_lines/booth_12/1	Why not pick up a new song?	Ça te dirait, une nouvelle chanson ?	Почему бы не взять новую песню?	Why not pick up a new song?
Conversations/Bank/Zorel/Banked Lines/booth_lines/booth_12/2	Nothing like some music to help warm you up!	Rien de tel qu'un peu de musique pour se réchauffer !	Ничто так не согревает, как музыка!	Nothing like some music to help warm you up!
Conversations/Bank/Zorel/Banked Lines/booth_lines/booth_12/init	Hey, [Ari]!	Hé, [Ari] !	Привет, [Ari]!	Hey, [Ari]!
Conversations/Bank/Zorel/Banked Lines/booth_lines/booth_13/1	I might even be able to take requests!	Je pourrais peut-être même te le faire à la demande !	Может, даже смогу выполнить заказ!	I might even be able to take requests!
Conversations/Bank/Zorel/Banked Lines/booth_lines/booth_13/init	Let me know if you're looking for any kind of $Song Crystal$ in particular, [Ari].	Si tu cherches un type de $cristal musical$ particulier, fais-moi signe, [Ari].	Скажи, если ищешь какой-то определённый $Песенный кристалл$, [Ari].	Let me know if you're looking for any kind of $Song Crystal$ in particular, [Ari].
Conversations/Bank/Zorel/Banked Lines/booth_lines/booth_14/1	Not when my hands are this cold!	Pas avec les mains aussi froides !	Только не когда руки такие замёрзшие!	Not when my hands are this cold!
Conversations/Bank/Zorel/Banked Lines/booth_lines/booth_14/init	I can play all kinds of instruments but...	Je sais jouer de tous types d'instruments, mais...	Я умею играть на самых разных инструментах, но...	I can play all kinds of instruments but...
Conversations/Bank/Zorel/Banked Lines/booth_lines/booth_15/1	"Olric was by earlier after he broke his trying to make ""rock music""."	J'ai vu Olric tout à l'heure. Il a cassé le sien en essayant de composer du « roc ».	Ольрик недавно заходил — расколол свой, пытаясь сделать «рок-музыку» из настоящих камней.	"Olric was by earlier after he broke his trying to make ""rock music""."
Conversations/Bank/Zorel/Banked Lines/booth_lines/booth_15/init	Hey... just so you know [Ari], don't try putting regular stones and stuff in a $Crystal Resonator$.	Hé, je préfère te prévenir, [Ari]. Ne mets jamais une pierre normale dans un $résonateur cristallin$.	Слушай... на всякий случай, [Ari]: не пытайся засовывать в $Кристальный резонатор$ обычные камни и всё такое.	Hey... just so you know [Ari], don't try putting regular stones and stuff in a $Crystal Resonator$.
