key	english	french	russian	bulgarian
Conversations/crown_quests/crown_request_animal_materials_turn_in/1	I asked Balor about shipping bed frames as well and you should have seen the look on his face!	J'ai demandé à Balor d'expédier aussi des cadres de lit, tu aurais dû voir sa tête !	Я спросила Балора, не нужно ли прислать ещё рамы для кроватей. <p>Видели</p><f>Видела</f><m>Видел</m><n>Видело</n> бы ты его лицо!	I asked Balor about shipping bed frames as well and you should have seen the look on his face!
Conversations/crown_quests/crown_request_animal_materials_turn_in/init	Thank you for shipping out the bedding material for the Capital, [Ari].	Merci d'avoir expédié tout le nécessaire pour les lits à la capitale, [Ari].	Спасибо тебе за помощь с материалами для подстилки, [Ari].	Thank you for shipping out the bedding material for the Capital, [Ari].
Conversations/crown_quests/crown_request_arch_turn_in/1	Errol and Eiland couldn't be more excited!	Errol et Eiland étaient aux anges !	Эррол с Эйландом страшно обрадовались!	Errol and Eiland couldn't be more excited!
Conversations/crown_quests/crown_request_arch_turn_in/init	According to the Curator of the Capital Museum, those shards you shipped have created something of a sensation.	D'après le conservateur du musée de la capitale, les éclats que tu leur as envoyés ont fait sensation.	По словам куратора столичного музея, осколки, которые ты <p>отправили</p><f>отправила</f><m>отправил</m><n>отправило</n> в столицу, произвели фурор.	According to the Curator of the Capital Museum, those shards you shipped have created something of a sensation.
Conversations/crown_quests/crown_request_bell_berries_turn_in/1	He and Eiland sound like they'd have a lot in common!	On dirait qu'Eiland et lui ont beaucoup de choses en commun !	Кажется, они с Эйландом могли бы найти общий язык!	He and Eiland sound like they'd have a lot in common!
Conversations/crown_quests/crown_request_bell_berries_turn_in/init	It turns out that none other than the Prince quite enjoys a $Bell Berry Bakewell Tart$.	Il s'avère que c'est le prince lui-même qui raffole de la $tarte aux clocherelles$.	Ценителем $тарта из колокольника$ оказался никто иной, как сам принц.	It turns out that none other than the Prince quite enjoys a $Bell Berry Bakewell Tart$.
Conversations/crown_quests/crown_request_berries_turn_in/1	There's a lot of things I like about the Capital, but I couldn't imagine not getting to enjoy fresh berries year round like in Mistria!	J'aime plein de choses, dans la capitale, mais je n'imaginerais pas une seconde ne pas pouvoir me régaler de baies fraîches toute l'année, comme à Mistria !	Многие вещи в столице меня привлекают. Но не представляю, как я бы жила без ягод: они у нас в Мистрии круглый год!	There's a lot of things I like about the Capital, but I couldn't imagine not getting to enjoy fresh berries year round like in Mistria!
Conversations/crown_quests/crown_request_berries_turn_in/init	Thank you for fulfilling the Crown Request for berries, [Ari].	Merci d'avoir récolté les baies que demandait la Couronne, [Ari].	Спасибо, что <p>выполнили</p><f>выполнила</f><m>выполнил</m><n>выполнило</n> заказ Короны на ягоды, [Ari].	Thank you for fulfilling the Crown Request for berries, [Ari].
Conversations/crown_quests/crown_request_copper_turn_in/1	And soon those farms will be producing crops that'll help to feed towns across Aldaria!	Bientôt, leurs fermes produiront des récoltes qui permettront de nourrir les villes dans tout Aldaria !	Скоро они начнут выращивать продукты, которые помогут прокормить города по всей Альдарии!	And soon those farms will be producing crops that'll help to feed towns across Aldaria!
Conversations/crown_quests/crown_request_copper_turn_in/init	The copper tools you shipped out went out to help new farmers get a head start!	Les outils en cuivre que tu as expédiés ont servi à aider de nouveaux fermiers à se lancer !	Медные инструменты, которые ты <p>отправили</p><f>отправила</f><m>отправил</m><n>отправило</n>, дали хорошее начало новым фермерам.	The copper tools you shipped out went out to help new farmers get a head start!
Conversations/crown_quests/crown_request_crops_turn_in/init	Wonderful job shipping those crops, [Ari]! I'm sure there's a lot of thankful people enjoying them right now!	Tu as fait un excellent travail en envoyant toutes ces récoltes, [Ari] ! Je suis sûre que tous ceux qui en profitent en ce moment t'en sont reconnaissants !	Ты прекрасно <p>справились</p><f>справилась</f><m>справился</m><n>справилось</n> с поставкой урожая, [Ari]! Я уверена, те, кто их сейчас едят, думают о тебе с благодарностью!	Wonderful job shipping those crops, [Ari]! I'm sure there's a lot of thankful people enjoying them right now!
Conversations/crown_quests/crown_request_dishes_turn_in/1	I'm glad that we've been able to help our fellow Aldarians in a time of need.	Je suis contente que nous ayons pu aider d'autres citoyens d'Aldaria quand ils en avaient besoin.	Я так рада, что мы можем помочь другим альдарийцам в трудный момент.	I'm glad that we've been able to help our fellow Aldarians in a time of need.
Conversations/crown_quests/crown_request_dishes_turn_in/init	Thank you so much for shipping out those meals, [Ari]!	Merci beaucoup d'avoir expédié ces repas, [Ari] !	Спасибо большое, что <p>обеспечили</p><f>обеспечила</f><m>обеспечил</m><n>обеспечило</n> людей продовольствием, [Ari]!	Thank you so much for shipping out those meals, [Ari]!
Conversations/crown_quests/crown_request_fish_turn_in/1	I always thought it was a shame that our bay was too shallow for large ships to dock, but after hearing about those storms...	J'ai toujours regretté que notre baie soit trop étroite pour accueillir de gros navires à quai, mais quand j'entends parler de ces tempêtes...	Я всегда жалела, что наш залив слишком мелкий для больших судов. Но теперь, когда услышала про непогоду...	I always thought it was a shame that our bay was too shallow for large ships to dock, but after hearing about those storms...
Conversations/crown_quests/crown_request_fish_turn_in/2	I suppose it's all for the best. Thank you again for your help!	C'est probablement mieux ainsi, finalement. Encore merci pour ton aide !	Думаю, это и к лучшему. Спасибо ещё раз за помощь!	I suppose it's all for the best. Thank you again for your help!
Conversations/crown_quests/crown_request_fish_turn_in/init	Those fish you shipped were well received, [Ari].	Les poissons que tu as expédiés sont bien arrivés, [Ari].	Твою поставку рыбы приняли с благодарностью, [Ari].	Those fish you shipped were well received, [Ari].
Conversations/crown_quests/crown_request_flower_turn_in/init	The Princess loved the flowers you shipped, [Ari]! Well done!	La princesse a adoré les fleurs que tu as envoyées, [Ari] ! Bravo !	Принцессе очень понравились твои цветы, [Ari]! Хорошая работа!	The Princess loved the flowers you shipped, [Ari]! Well done!
Conversations/crown_quests/crown_request_gold_ingots_turn_in/1	It's not every day that a new gold mine appears in the kingdom!	Ce n'est pas tous les jours qu'une nouvelle mine d'or ouvre dans le royaume !	Не каждый день в королевстве открывают золотую шахту!	It's not every day that a new gold mine appears in the kingdom!
Conversations/crown_quests/crown_request_gold_ingots_turn_in/init	My father told me the King is very pleased about the quality of the $Gold Ingots$ you shipped.	Mon père m'a dit que le roi était très satisfait de la qualité des $lingots d'or$ que tu as expédiés.	Отец сообщил мне, что король очень доволен качеством $золотых слитков$, которые ты <p>отправили</p><f>отправила</f><m>отправил</m><n>отправило</n>.	My father told me the King is very pleased about the quality of the $Gold Ingots$ you shipped.
Conversations/crown_quests/crown_request_golden_turn_in/1	Outstanding work, [Ari]!	Excellent travail, [Ari] !	Первоклассная работа, [Ari]!	Outstanding work, [Ari]!
Conversations/crown_quests/crown_request_golden_turn_in/init	The Royal Chef wrote to me to pass on thanks to you that the banquet was a success!	Le chef de la famille royale m'a écrit pour que je te transmette ses remerciements : le banquet a été une vraie réussite !	Королевский повар в своём письме велел передать тебе благодарность. Благодаря твоей поставке банкет прошёл успешно!	The Royal Chef wrote to me to pass on thanks to you that the banquet was a success!
Conversations/crown_quests/crown_request_grass_starter_turn_in/init	Thank you for shipping those $Grass Starters$! This will surely help to prevent further topsoil erosion.	Merci d'avoir expédié ces touffes d'$herbe à pâturage$ ! Cela empêchera sans doute que les sols s'érodent davantage.	Спасибо тебе за поставку $рассады травы$! Это точно поможет остановить эрозию почвы.	Thank you for shipping those $Grass Starters$! This will surely help to prevent further topsoil erosion.
Conversations/crown_quests/crown_request_ingots_turn_in/1	It's important for Aldaria to be as self-sustaining as it can.	Il est important pour Aldaria d'être capable de subvenir seule à la majeure partie de ses besoins.	Очень важно, чтобы Альдария сама себя обеспечивала.	It's important for Aldaria to be as self-sustaining as it can.
Conversations/crown_quests/crown_request_ingots_turn_in/2	And it makes our trading negotiations with other countries go smoother as well!	Et cela facilite aussi nos négociations commerciales avec d'autres pays !	Тогда переговоры с другими странами будут проходить более гладко!	And it makes our trading negotiations with other countries go smoother as well!
Conversations/crown_quests/crown_request_ingots_turn_in/init	It was a relief to hear that you shipped out so many ingots, [Ari].	Quel soulagement d'apprendre que tu avais envoyé tant de lingots, [Ari].	Я так обрадовалась, когда услышала, сколько слитков ты <p>отправили</p><f>отправила</f><m>отправил</m><n>отправило</n>, [Ari].	It was a relief to hear that you shipped out so many ingots, [Ari].
Conversations/crown_quests/crown_request_mine_forageables_turn_in/1	Who knew such a variety of plants grow right under our feet? I wonder what else is down there...	Qui aurait imaginé qu'une telle variété de plantes poussait juste sous nos pieds ? Je me demande ce qu'on peut trouver d'autre, là en dessous...	Кто бы мог подумать, что у нас под ногами растёт столько всего! Любопытно, что там ещё бывает?..	Who knew such a variety of plants grow right under our feet? I wonder what else is down there...
Conversations/crown_quests/crown_request_mine_forageables_turn_in/init	Thank you for fulfilling the Crown Request for forage from the Mines!	Merci d'avoir récolté les objets des mines que demandait la Couronne !	Спасибо, что <p>выполнили</p><f>выполнила</f><m>выполнил</m><n>выполнило</n> заказ Короны на растительность из шахт.	Thank you for fulfilling the Crown Request for forage from the Mines!
Conversations/crown_quests/crown_request_monster_turn_in/1	It sounds like they weren't a match for what was spotted on Linsberry.	Apparemment, ils ne correspondaient pas à ceux découverts à Linsbaie.	Судя по всему, они не похожи на те, что нашли в Линсберри.	It sounds like they weren't a match for what was spotted on Linsberry.
Conversations/crown_quests/crown_request_monster_turn_in/2	Hopefully the King can get to the bottom of it soon!	Espérons que le roi connaîtra bientôt le fin mot de l'histoire !	Надеюсь, король скоро разберётся, что к чему!	Hopefully the King can get to the bottom of it soon!
Conversations/crown_quests/crown_request_monster_turn_in/init	Thank you for shipping those unusual parts you found in our Mines, [Ari].	Merci d'avoir expédié les éléments inhabituels que tu as trouvés dans nos mines, [Ari].	Спасибо, что <p>отправили</p><f>отправила</f><m>отправил</m><n>отправило</n> в столицу эти диковинки из шахт, [Ari].	Thank you for shipping those unusual parts you found in our Mines, [Ari].
Conversations/crown_quests/crown_request_path_turn_in/1	The mayor wrote to me and said you've really helped put the village of Stoneshore on the map!	Le maire m'a écrit pour me dire que tu avais réellement contribué à sortir le village de Rivepierre de l'anonymat !	Мне написал мэр деревни Камнебрег и сказал, что благодаря тебе она стала доступна для путешественников!	The mayor wrote to me and said you've really helped put the village of Stoneshore on the map!
Conversations/crown_quests/crown_request_path_turn_in/init	The stone paths you shipped ended up being used to rebuild the road to a remote settlement on Aldaria's north coast.	Les pavés que tu as expédiés ont été utilisés pour reconstruire la route menant à un village isolé, situé sur la côte nord d'Aldaria.	Каменные дорожки, которые ты <p>отправили</p><f>отправила</f><m>отправил</m><n>отправило</n>, пошли на восстановление дороги к отдалённому поселению на северном берегу Альдарии.	The stone paths you shipped ended up being used to rebuild the road to a remote settlement on Aldaria's north coast.
Conversations/crown_quests/crown_request_refined_stone_turn_in/init	Thank you for putting our Stone Refinery to good use and shipping all that $Refined Stone$, [Ari]!	Merci d'avoir utilisé notre affinerie à bon escient et d'avoir expédié toutes ces $pierres affinées$, [Ari] !	Спасибо тебе, что <p>отправили</p><f>отправила</f><m>отправил</m><n>отправило</n> столько $плиточного камня$, [Ari]! Камнетёсная установка явно пошла на пользу.	Thank you for putting our Stone Refinery to good use and shipping all that $Refined Stone$, [Ari]!
Conversations/crown_quests/crown_request_soup_turn_in/1	After the earthquake, the kingdom's budget has been stretched terribly thin.	Après le tremblement de terre, les finances du royaume ont été réduites à peau de chagrin.	После землетрясения бюджета королевства едва хватает.	After the earthquake, the kingdom's budget has been stretched terribly thin.
Conversations/crown_quests/crown_request_soup_turn_in/2	My father has told me it weighs often on the King.	Mon père me raconte que cela pèse beaucoup au roi.	Отец рассказал мне, что это очень удручает короля.	My father has told me it weighs often on the King.
Conversations/crown_quests/crown_request_soup_turn_in/3	Your actions show that Mistria is supporting them!	Par tes actions, tu montres que Mistria le soutient !	Твои старания показывают, что Мистрия их поддерживает!	Your actions show that Mistria is supporting them!
Conversations/crown_quests/crown_request_soup_turn_in/init	Thank you so much for shipping out all that soup, [Ari].	Merci beaucoup d'avoir expédié autant de soupes, [Ari].	Спасибо, что <p>принесли</p><f>принесла</f><m>принёс</m><n>принесло</n> столько супа, [Ari].	Thank you so much for shipping out all that soup, [Ari].
Conversations/crown_quests/crown_request_stone_turn_in/1	Apparently it was very high quality too, the builders couldn't have been happier.	Apparemment, elles étaient également de très bonne qualité : les maçons étaient plus que ravis.	Оказалось, он у тебя высокого качества — строители не могли нарадоваться.	Apparently it was very high quality too, the builders couldn't have been happier.
Conversations/crown_quests/crown_request_stone_turn_in/init	Thank you for shipping so much stone!	Merci d'avoir expédié autant de pierres !	Спасибо, что <p>отправили</p><f>отправила</f><m>отправил</m><n>отправило</n> столько камня!	Thank you for shipping so much stone!
Conversations/crown_quests/crown_request_tables_and_chairs_turn_in/1	He told me they were much nicer than he was expecting, and wanted me to thank you for the care you put into them!	Il m'a dit qu'elles étaient bien plus belles que ce à quoi il s'attendait et tenait à te remercier pour le soin que tu y as apporté !	По его словам, они гораздо качественнее, чем он предполагал, и просил поблагодарить тебя за старания.	He told me they were much nicer than he was expecting, and wanted me to thank you for the care you put into them!
Conversations/crown_quests/crown_request_tables_and_chairs_turn_in/init	[Ari], the Orphanage Director wrote to me to thank you for supplying the new tables and chairs.	[Ari], le directeur de l'orphelinat m'a écrit et m'a chargée de te remercier pour la fourniture de tables et de chaises neuves.	[Ari], директор приюта написал мне с просьбой передать тебе благодарность за поставку столов и стульев.	[Ari], the Orphanage Director wrote to me to thank you for supplying the new tables and chairs.
