key	english	french	russian	bulgarian
Conversations/Bank/Hemlock/Banked Lines/Footsie/footsie/init	I can always tell when Josie's had a bit to drink... she loves to play footsie.	Je sais toujours quand Jo a un peu bu... Elle adore me faire du pied.	По Джози всегда видно, когда она подвыпила... Её тянет флиртовать.	I can always tell when Josie's had a bit to drink... she loves to play footsie.
Conversations/Bank/Hemlock/Banked Lines/bartending_1/bartending_1/init	Nothing like a nightcap after a hard day! Can I get you anything, [Ari]?	Rien de tel qu'un dernier verre après une rude journée ! Je te sers quelque chose, [Ari] ?	После долгого дня стаканчик холодненького — самое то. Тебе что-нибудь подать, [Ari]?	Nothing like a nightcap after a hard day! Can I get you anything, [Ari]?
Conversations/Bank/Hemlock/Banked Lines/bartending_2/bartending_2/init	I've been mixing drinks since I was kid, mom used to say I whipped up a mean hot chocolate.	Je fais des cocktails depuis que je suis petit. Maman disait toujours que j'étais imbattable pour préparer un super chocolat chaud en un rien de temps.	Я мешаю напитки с детства — мама говорила, что у меня получался отличный горячий шоколад.	I've been mixing drinks since I was kid, mom used to say I whipped up a mean hot chocolate.
Conversations/Bank/Hemlock/Banked Lines/basement/basement_1/init	Hey there, [Ari].	Salut, [Ari] !	Привет, [Ari].	Hey there, [Ari].
Conversations/Bank/Hemlock/Banked Lines/bathhouse_with_josie/bathhouse_with_josie/init	Josie insisted we stop by the Bathhouse, and I never could say no to her!	Jo a insisté pour qu'on s'arrête près des bains, et je ne peux jamais lui refuser quoi que ce soit !	Джози настояла, чтобы мы заглянули в купальню, а я ей не умею отказывать!	Josie insisted we stop by the Bathhouse, and I never could say no to her!
Conversations/Bank/Hemlock/Banked Lines/blustery/blustery/init	Blustery out there, isn't it? Why don't you warm up with some soup from the pot!	Ça souffle, dehors, hein ? Réchauffe-toi donc avec un peu de soupe !	На улице ветер, да? Загляни, согрейся супчиком из котла!	Blustery out there, isn't it? Why don't you warm up with some soup from the pot!
Conversations/Bank/Hemlock/Banked Lines/brewing_supplies/brewing_supplies/init	Hayden got me all the grain I needed! Time to get brewing!	Hayden m'a fourni toutes les céréales dont j'avais besoin ! C'est le moment de lancer la fermentation !	Хейден достал мне всё зерно, что мне было нужно! Пора варить пиво!	Hayden got me all the grain I needed! Time to get brewing!
Conversations/Bank/Hemlock/Banked Lines/bugs_in_lute/bugs_in_lute/init	Luc got bugs in my lute again. Ah well... at least it's not termites this time around.	Luc a encore mis des insectes dans mon luth. Bon... au moins, ce ne sont pas des termites, cette fois-ci.	Люк снова напустил жуков в мою лютню. Ну да ладно... хоть не термиты в этот раз.  	Luc got bugs in my lute again. Ah well... at least it's not termites this time around.
Conversations/Bank/Hemlock/Banked Lines/chaperone/chaperone/init	The kids have so much energy! Kinda makes me want to play too.	Les enfants ont tellement d'énergie ! Ça me donne presque envie de jouer, moi aussi.	У ребят столько энергии! Прямо самому поиграть захотелось.  	The kids have so much energy! Kinda makes me want to play too.
Conversations/Bank/Hemlock/Banked Lines/check_the_stables/check_the_stables/init	I'd better check the stables, see if they need clearin' out.	Je ferais bien d'aller vérifier si les écuries ont besoin d'être nettoyées.	Пойду проверю стойла, вдруг надо почистить.	I'd better check the stables, see if they need clearin' out.
