key	english	french	russian	bulgarian
Conversations/Bank/Terithia/Banked Lines/archerfish_hint/archerfish_hint/1	You'll want to be on the lookout for a small fish shadow, I reckon.	Je crois que tu vas devoir chercher l'ombre d'un petit poisson.	Думаю, тебе надо обратить внимание на маленькие рыбьи тени.	You'll want to be on the lookout for a small fish shadow, I reckon.
Conversations/Bank/Terithia/Banked Lines/archerfish_hint/archerfish_hint/init	You're on the hunt for an $Archerfish$? Hmm...	Tu voudrais trouver un $poisson archer$ ? Hmm...	Ты разыскиваешь $рыбу-лучника$? Хмм...	You're on the hunt for an $Archerfish$? Hmm...
Conversations/Bank/Terithia/Banked Lines/basement/basement_1/init	Ahoy there!	Bien le bonjour !	Здорово, салага!	Ahoy there!
Conversations/Bank/Terithia/Banked Lines/bathhouse/bathhouse/init	Juniper's bath is a lot gentler on the skin than saltwater. It's so nice, but I'm still getting used to it!	Les bains de Juniper sont bien meilleurs pour la peau que l'eau de mer. C'est très agréable, mais je n'y suis pas encore vraiment habituée.	Купальня Джунипер куда мягче для кожи, чем солёная вода. Приятно, но всё ещё привыкаю!	Juniper's bath is a lot gentler on the skin than saltwater. It's so nice, but I'm still getting used to it!
Conversations/Bank/Terithia/Banked Lines/boat_faster/boat_faster/init	Landen says he can make my boat faster. That would be a blessing! Some of the fish in Mistria are wily.	Landen dit qu'il peut modifier mon bateau pour gagner quelques nœuds. Ce ne serait pas de refus ! Certains poissons de Mistria sont plutôt retors.	Ланден говорит, что может сделать мою лодку быстрее. Было бы благословением! Рыбки в Мистрии — те ещё пройдохи!	Landen says he can make my boat faster. That would be a blessing! Some of the fish in Mistria are wily.
Conversations/Bank/Terithia/Banked Lines/cold_weather_fishing/cold_weather_fishing/init	Cold weather's never scared me off fishing! I'm not one of those fair weather fishers.	Le froid ne m'a jamais empêchée de sortir ! Je ne fais pas partie de ces marins d'eau douce qui ne prennent la mer que par beau temps.	Холодная погода меня от рыбалки не отгонит! Я не из тех рыбаков, что боятся ветра.	Cold weather's never scared me off fishing! I'm not one of those fair weather fishers.
Conversations/Bank/Terithia/Banked Lines/cold_weather_fishing/cold_weather_fishing_2/1	I love me some ice fishing!	J'aime bien la pêche sous la glace !	Обожаю подлёдную рыбалку!	I love me some ice fishing!
Conversations/Bank/Terithia/Banked Lines/cold_weather_fishing/cold_weather_fishing_2/init	Too bad the water never freezes over here.	Dommage que l'eau ne gèle jamais, ici.	Жаль, что вода здесь никогда не замерзает.	Too bad the water never freezes over here.
Conversations/Bank/Terithia/Banked Lines/cooked_catch/cooked_catch/1	Lucky for me that the Inn's always open!	Heureusement, l'auberge est toujours ouverte pour ça !	К счастью, трактир всегда открыт!	Lucky for me that the Inn's always open!
Conversations/Bank/Terithia/Banked Lines/cooked_catch/cooked_catch/init	I can reel in as many fish as I like, but I'm the kind of gal who likes someone else to cook the catch for her.	Je peux remonter autant de poisson que je veux, mais je préfère qu'on cuisine mes prises pour moi.	Я могу наловить сколько угодно рыбы, но хочу, чтобы готовил кто-то другой. Такая вот уж я девчонка.	I can reel in as many fish as I like, but I'm the kind of gal who likes someone else to cook the catch for her.
Conversations/Bank/Terithia/Banked Lines/copper_place/copper_plate/init	I hauled up a copper plate in my nets and I've been itching to hand it over to Errol.	J'ai remonté une plaque en cuivre dans mes filets, je me demande si je devrais la donner à Errol.	Сетью вытащила медную плаху, и вот прямо чешусь уже отдать её Эрролу.	I hauled up a copper plate in my nets and I've been itching to hand it over to Errol.
Conversations/Bank/Terithia/Banked Lines/dry_sherry/dry_sherry/init	A dry sherry makes for a nice change of pace.	J'aime bien déguster un petit vin cuit, de temps en temps. Ça change.	Сухой херес для разнообразия — самое то.	A dry sherry makes for a nice change of pace.
Conversations/Bank/Terithia/Banked Lines/drying_racks/drying_racks/1	Making fish jerky has never been easier!	Avec ça, sécher du poisson devient un jeu d'enfant !	Вялить рыбу ещё никогда не было так легко!	Making fish jerky has never been easier!
Conversations/Bank/Terithia/Banked Lines/drying_racks/drying_racks/init	Landen built those drying racks for me.	C'est Landen qui m'a construit ces séchoirs.	Ланден сделал для меня эти сушильные стойки.	Landen built those drying racks for me.
Conversations/Bank/Terithia/Banked Lines/early_arrival/early_arrival/1	KYA HA HA!	HÉ HÉ HÉ !	КЯ-ХА-ХА!	KYA HA HA!
Conversations/Bank/Terithia/Banked Lines/early_arrival/early_arrival/init	You know the best thing about getting to the party early? Getting the best seat!	Tu sais pourquoi j'arrive toujours en premier ? Pour avoir la meilleure place !	Когда пришёл на праздник раньше всех, что, думаешь, лучше всего? Заграбастать лучшее место!	You know the best thing about getting to the party early? Getting the best seat!
Conversations/Bank/Terithia/Banked Lines/faster_boat/faster_boat/1	More fish, more fish jerky!	Plus de poisson, ça veut aussi dire plus de poisson séché !	Больше свежей рыбы — больше вяленой рыбы!	More fish, more fish jerky!
Conversations/Bank/Terithia/Banked Lines/faster_boat/faster_boat/init	Landen's always going on about making my boat faster, but what I really want is capacity.	Landen me parle toujours d'améliorer la vitesse de mon bateau, mais ce qu'il me faudrait surtout, c'est une plus grande cale.	Ланден постоянно талдычит, что лодка должна быть быстрее, а мне надо чтобы в неё помещалось больше.	Landen's always going on about making my boat faster, but what I really want is capacity.
Conversations/Bank/Terithia/Banked Lines/fish_biting/fish_biting/1	Must be something in the water.	Il doit y avoir quelque chose dans l'eau.	Что-то в воде есть, ох что-то есть.	Must be something in the water.
Conversations/Bank/Terithia/Banked Lines/fish_biting/fish_biting/init	The fish are biting today!	Le poisson mord, aujourd'hui !	Сегодня рыба клюёт!	The fish are biting today!
Conversations/Bank/Terithia/Banked Lines/fish_everywhere_ari/fish_everywhere/init	You've got to throw your line all over if you want to see every fish that Mistria has to offer.	Tu dois pêcher un peu partout pour connaître toutes les espèces de poissons qui vivent à Mistria.	Если хочешь увидеть всю рыбу, что есть в Мистрии, кидай удочку везде.	You've got to throw your line all over if you want to see every fish that Mistria has to offer.
Conversations/Bank/Terithia/Banked Lines/fish_in_the_sea/fish_in_the_sea/init	I'm pulling up all kinds of critters! But don't you worry, there's plenty of fish in the sea!	Je remonte tout un tas de bestioles, mais ne t'en fais pas, je t'en laisse quelques-unes !	Мне попадаются самые разные зверюги! Но не волнуйся, рыбы в море хватит на всех!	I'm pulling up all kinds of critters! But don't you worry, there's plenty of fish in the sea!
Conversations/Bank/Terithia/Banked Lines/fish_jerky/fish_jerky/1	Still better'n a soldier's rations, at least.	Enfin, c'est toujours mieux que les rations militaires.	Всё равно лучше, чем солдатские пайки.	Still better'n a soldier's rations, at least.
Conversations/Bank/Terithia/Banked Lines/fish_jerky/fish_jerky/init	Hmm... this fish jerky's not tasting too bad, but my spice blend isn't quite there.	Mmm... Ce poisson séché n'est pas mauvais, mais c'est mon mélange d'épices qui n'est pas assez relevé.	Хмм... эта вяленая рыба не так уж плоха, но со специями я ещё не попала.	Hmm... this fish jerky's not tasting too bad, but my spice blend isn't quite there.
Conversations/Bank/Terithia/Banked Lines/fished_near_your_farm/farm_fishing/init	Done any fishing at your farm, yet? I think you'll be pleasantly surprised!	Tu as déjà pêché sur ton terrain ? Tu pourrais bien avoir quelques surprises !	<p>Ловили</p><f>Ловила</f><m>Ловил</m><n>Ловило</n> рыбу на своей ферме? Думаю, приятно удивишься!	Done any fishing at your farm, yet? I think you'll be pleasantly surprised!
Conversations/Bank/Terithia/Banked Lines/fishing_a_lot/fishing_a_lot/init	You've been fishing quite a bit... not bad!	Tu te débrouilles à la pêche... Continue comme ça !	Удочку ты закидываешь часто... неплохо!	You've been fishing quite a bit... not bad!
Conversations/Bank/Terithia/Banked Lines/fishing_is_nice/fishing_is_nice/1	Why don't you join me, [Ari]?	Tu ne veux pas me tenir compagnie, [Ari] ?	Чего бы тебе не присоединиться, [Ari]?	Why don't you join me, [Ari]?
Conversations/Bank/Terithia/Banked Lines/fishing_is_nice/fishing_is_nice/init	The fish are biting today!	Ça mord, aujourd'hui !	Сегодня рыба клюёт!	The fish are biting today!
Conversations/Bank/Terithia/Banked Lines/fishing_offer/fishing_offer/1	KYA HA HA!	HÉ HÉ HÉ !	КЯ-ХА-ХА!	KYA HA HA!
Conversations/Bank/Terithia/Banked Lines/fishing_offer/fishing_offer/init	Feel free to join me, [Ari]... if you think you can keep up! I've already caught a few so I've got a head start.	N'hésite pas à m'accompagner, [Ari]... Surtout si tu penses pouvoir suivre le rythme ! J'ai déjà pas mal de prises, j'ai un peu d'avance.	Не стесняйся присоединиться, [Ari]... Если думаешь, что сможешь за мной поспеть! Я уже нескольких выловила, у меня фора.	Feel free to join me, [Ari]... if you think you can keep up! I've already caught a few so I've got a head start.
Conversations/Bank/Terithia/Banked Lines/fnati_anticipation/fnati_anticipation/1	KYA HA HA!	HÉ HÉ HÉ !	КЯ-ХА-ХА!	KYA HA HA!
Conversations/Bank/Terithia/Banked Lines/fnati_anticipation/fnati_anticipation/init	It's all peace and quiet now, but that's the calm before the storm. The Inn's going to get rowdy this evening!	Tout est tranquille, pour l'instant, mais c'est le calme avant la tempête. Il va y avoir de l'animation à l'auberge, ce soir !	Сейчас тишь да гладь, но это затишье перед бурей. Вечером трактир будет шумным!	It's all peace and quiet now, but that's the calm before the storm. The Inn's going to get rowdy this evening!
Conversations/Bank/Terithia/Banked Lines/frozen_fish/frozen_fish/1	All my jerky froze on the rack!	Tout mon poisson a gelé pendant le séchage !	Вся моя вяленая рыба замёрзла на стойках!	All my jerky froze on the rack!
Conversations/Bank/Terithia/Banked Lines/frozen_fish/frozen_fish/init	I'm doing some emergency shopping.	Je fais quelques courses en urgence.	Я тут экстренно закупаюсь.	I'm doing some emergency shopping.
Conversations/Bank/Terithia/Banked Lines/general_store_browse/general_store_browse/init	The General Store's got a bit of everything, don't it? Sometimes I like to take a whole morning just to browse!	Ils proposent un peu de tout, au magasin général, hein ? Parfois, j'aime bien passer la matinée entière à regarder ce qu'ils ont.	В универмаге есть всего понемногу, да? Иногда целое утро тут ошиваюсь и просто смотрю!	The General Store's got a bit of everything, don't it? Sometimes I like to take a whole morning just to browse!
Conversations/Bank/Terithia/Banked Lines/general_store_browse/general_store_browse_2/1	What do you suppose is in season right now?	Tu sais lesquels sont de saison ?	Как думаешь, что сейчас в сезоне?	What do you suppose is in season right now?
Conversations/Bank/Terithia/Banked Lines/general_store_browse/general_store_browse_2/init	The sea provides a lot of things, but fresh fruit ain't one of them!	La mer offre beaucoup de choses, mais les fruits n'en font pas partie.	Море может многое дать, но точно не свежих фруктов!	The sea provides a lot of things, but fresh fruit ain't one of them!
Conversations/Bank/Terithia/Banked Lines/general_store_browse/general_store_browse_3/1	Old habits die hard, I suppose.	Les vieilles habitudes ont la vie dure.	Старые привычки трудно искоренить, наверное.	Old habits die hard, I suppose.
Conversations/Bank/Terithia/Banked Lines/general_store_browse/general_store_browse_3/init	Do they have citrus? I've been meaning to stock up.	Ils ont des agrumes, ici ? Je voulais faire des réserves.	Есть ли цитрусы? Давно хотела запастись.	Do they have citrus? I've been meaning to stock up.
Conversations/Bank/Terithia/Banked Lines/good_day/good_day/init	It's going to be a good day, I can feel it in my bones.	La journée va être bonne, je le sens.	Сегодня будет хороший день, кости чувствуют.	It's going to be a good day, I can feel it in my bones.
Conversations/Bank/Terithia/Banked Lines/good_evening/good_evening/init	Good evening to you! Hope your day was as bountiful as mine!	Bien le bonsoir ! J'espère que ta journée a été aussi productive que la mienne !	Доброго вечера! Надеюсь, твой день был таким же щедрым, как мой!	Good evening to you! Hope your day was as bountiful as mine!
Conversations/Bank/Terithia/Banked Lines/good_one_today/good_one_today/init	I hope I catch a good one today!	J'espère bien remonter une belle prise, aujourd'hui !	Надеюсь, сегодня поймаю что-то стоящее!	I hope I catch a good one today!
Conversations/Bank/Terithia/Banked Lines/greeting_ari/greeting_ari/1	Ah, that's right! Adeline mentioned her plan a while back, I didn't realize someone had taken her up on it!	Mais oui ! Adeline m'avait parlé de son projet, mais je ne savais pas que quelqu'un avait mordu à l'hameçon !	А, точно! Аделина упоминала о своём плане. Не думала, что кто-то согласится!	Ah, that's right! Adeline mentioned her plan a while back, I didn't realize someone had taken her up on it!
Conversations/Bank/Terithia/Banked Lines/greeting_ari/greeting_ari/2	I run a little $Tackle Shop$ out by the $Beach$.	Je tiens un petit $magasin de pêche$ sur la $plage$.	Я держу небольшую $рыбацкую лавку$ на $пляже$.	I run a little $Tackle Shop$ out by the $Beach$.
Conversations/Bank/Terithia/Banked Lines/greeting_ari/greeting_ari/3	I sell $Fishing Rods$ and a small selection of freshly caught $Fish$. Feel free to stop by!	J'y vends des $cannes à pêche$ et une petite sélection de $poissons$. Passe me voir quand tu veux !	Продаю $удочки$ и немного свежевыловленной $рыбы$. Заходи, когда будет охота!	I sell $Fishing Rods$ and a small selection of freshly caught $Fish$. Feel free to stop by!
Conversations/Bank/Terithia/Banked Lines/greeting_ari/greeting_ari/init	Ahoy there. I'm Terithia, and who might you be?	Ohé, du bateau ! Je m'appelle Terithia. Et toi, tu es ?	О, здравствуй. Я Теризия, а ты кто будешь?	Ahoy there. I'm Terithia, and who might you be?
Conversations/Bank/Terithia/Banked Lines/had_a_good_life/good_life/init	I've had a good life, and I intend on making the rest of it even better!	Je ne peux pas me plaindre de ma vie jusqu'ici, mais j'espère que ce qu'il en reste sera encore mieux !	Жизнь у меня хорошая, и я собираюсь сделать её ещё лучше!	I've had a good life, and I intend on making the rest of it even better!
Conversations/Bank/Terithia/Banked Lines/halibut_fishing/halibut_fishing/1	Halibut will soak all those flavors right up! Today's the day! Halibut, here I come!	Toutes ces saveurs vont pénétrer dans les chairs du flétan ! Le jour est enfin arrivé ! Le flétan m'attend !	Палтус впитает все эти вкусы! Сегодня тот самый день! Палтус, жди меня!	Halibut will soak all those flavors right up! Today's the day! Halibut, here I come!
Conversations/Bank/Terithia/Banked Lines/halibut_fishing/halibut_fishing/init	I've been waiting for some rain! Josie's been talking about making her famous spicy fish stew.	J'avais hâte qu'il pleuve ! Jo a dit qu'elle allait préparer sa célèbre soupe de poisson aux épices.	Ждала дождя! Джози говорила про своё знаменитое острое рыбное рагу.	I've been waiting for some rain! Josie's been talking about making her famous spicy fish stew.
