key	english	french	russian	bulgarian
locations/bathhouse/name	Bathhouse	Bains	Купальня	Банята
locations/beach/name	The Beach	Plage	Пляж	Плажът
locations/beach_secret/name	Beach Cave	Grotte de la plage	Грот на пляже	Пещерата на плажа
locations/blacksmith_store/name	Blacksmith's Shop	Forge	Кузнечная лавка	Ковачницата
locations/caldarus_house/name	Caldarus' House	Maison de Caldarus	Дом Кальдаруса	Домът на Калдаръс
locations/celines_room/name	Celine's Cottage	Maisonnette de Céline	Домик Селин	Къщичката на Селин
locations/clinic_f1/name	Clinic	Clinique	Клиника	Клиниката
locations/deep_woods/name	The Deep Woods	Boissombre	Глубокая чаща	Дълбоката гора
locations/dragonsworn_glade/name	The Dragonsworn Glade	Clairière du paladin du dragon	Поляна драконоверного	Поляната на Драконовите заклетници
locations/earth_seal/name	The Earth Seal	Sceau de la terre	Печать земли	Печатът на земята
locations/eastern_road/name	The Eastern Road	Route de l'est	Восточная дорога	Източният път
locations/errols_bedroom/name	Errol's Cabin	Cabane d'Errol	Лачуга Эррола	Хижата на Ерол
locations/fire_seal/name	The Fire Seal	Sceau du feu	Печать огня	Печатът на огъня
locations/general_store_store/name	General Store	Magasin général	Универмаг	Смесен магазин
locations/haydens_farm/name	Sweetwater Farm	Ferme de Doucerive	Ферма «Сладководье»	Ферма Сладка вода
locations/haydens_house/name	Hayden's Shop	Magasin d'Hayden	Лавка Хейдена	Магазинът на Хейдън
locations/inn/name	The Inn	Auberge	Трактир	Ханът
locations/landens_house_f1/name	Carpenter's Shop	Menuiserie	Столярная мастерская	Дърводелската работилница
locations/manor_house_entry/name	Manor House	Manoir	Особняк	Имението
locations/mill/name	The Mill	Moulin	Мельница	Мелницата
locations/mines_entry/name	Mines Entrance	Entrée de la mine	Вход в шахты	Входът на Мините
locations/museum_entry/name	Museum	Musée	Музей	Музеят
locations/narrows/name	The Narrows	Les Terrasses	Ущелье	Теснините
locations/narrows_secret/name	Narrows Cave	Grotte des Terrasses	Грот в Ущелье	Пещерата в Теснините
locations/player_home/name	Home	Maison	Дом	Дом
locations/player_home_east/name	Eastern Wing	Aile est	Восточное крыло	Източно крило
locations/player_home_north/name	Northern Wing			Northern Wing
locations/player_home_upper_central/name	Home, Upper Floor	Maison, niveau supérieur	Дом, 2-й этаж	Дом, горен етаж
locations/player_home_upper_east/name	Eastern Wing, Upper Floor	Aile est, niveau supérieur	Восточное крыло, 2-й этаж	Източно крило, горен етаж
locations/player_home_upper_west/name	Western Wing, Upper Floor	Aile ouest, niveau supérieur	Западное крыло, 2-й этаж	Западно крило, горен етаж
locations/player_home_west/name	Western Wing	Aile ouest	Западное крыло	Западно крило
locations/priestess_quarters/name	The Priestess' Quarters	Appartements de la prêtresse	Покои жриц	Покоите на жрицата
locations/ruins_seal/name	The Ruins Seal	Sceau des ruines	Печать руин	Печатът на Руините
locations/seridias_house/name	Seridia's House	Maison de Seridia	Дом Серидии	Домът на Серидия
locations/summit/name	The Summit	Sommet	Вершина	Върхът
locations/terithias_house/name	Tackle Shop	Magasin de pêche	Рыбацкая лавка	Магазинът за риболовни принадлежности
locations/town/name	Mistria	Mistria	Мистрия	Мистрия
locations/void_seal/name	The Void Seal	Sceau du néant	Печать пустоты	Печатът на Бездната
locations/water_seal/name	The Water Seal	Sceau de l'eau	Печать воды	Печатът на водата
locations/western_ruins/name	The Western Ruins	Ruines de l'ouest	Западные руины	Западните Руини
