key	english	french	russian	bulgarian
cameos/darren/name	Darren	Darren	Даррен	Дарън
cameos/great_bird/name	Great Bird	Grand oiseau		Great Bird
cameos/linnet/name	Linnet	Linnet	Линнет	Линет
cameos/wiscar/name	Wiscar	Wiscar	Вискар	Уискар
cameos/wynne/name	Wynne	Wynne	Винн	Уин
children/astrid/name	Astrid	Astrid	Астрид	Астрид
children/brid/name	Brid	Brid	Брид	Брид
children/cedar/name	Cedar	Cedar	Седар	Сидър
children/ellie/name	Ellie	Ellie	Элли	Ели
children/fray/name	Fray	Fray	Фрэй	Фрей
children/kam/name	Kam	Kam	Кэм	Кам
children/rowan/name	Rowan	Rowan	Роуэн	Роуън
children/rune/name	Rune	Rune	Руна	Руна
children/sterling/name	Sterling	Sterling	Стерлинг	Стерлинг
children/tephra/name	Tephra	Tephra	Тефра	Тефра
children/torin/name	Torin	Torin	Торин	Торин
children/wilder/name	Wilder	Wilder	Уайлдер	Уайлдър
dates/bathhouse/description	You can now invite your partner to the Bathhouse on the weekend!	Vous pouvez désormais inviter votre partenaire aux bains le week-end !	Теперь в выходной день вы можете пригласить партнёра в купальню!	Вече можеш да поканиш партньора си в банята през уикенда!
dates/bathhouse/name	Bathhouse Date	Un moment aux bains	Свидание в купальне	Среща в банята
dates/bathhouse/photo_title	Bathhouse Date with {}	Un moment aux bains avec {}	{} на свидании в купальне	Среща в банята с {}
dates/beach/description	You can now invite your partner to the Beach for a walk on the weekend!	Vous pouvez désormais inviter votre partenaire à se promener à la plage le week-end !	Теперь в выходной день вы можете пригласить партнёра на прогулку по пляжу!	Вече можеш да поканиш партньора си на плажа на разходка през уикенда!
dates/beach/name	Beach Date	En couple à la plage	Свидание на пляже	Среща на плажа
dates/beach/photo_title	Beach Date with {}	En couple à la plage avec {}	{} на свидании на пляже	Среща на плажа с {}
dates/deep_woods_picnic/description	You can now invite your partner to the Deep Woods for a picnic on the weekend!	Vous pouvez désormais inviter votre partenaire à pique-niquer à Boissombre le week-end !	Теперь в выходной день вы можете пригласить партнёра на пикник в Глубокую чащу!	Можеш да поканиш партньора си на пикник в Дълбоката гора през уикенда!
dates/deep_woods_picnic/name	Deep Woods Picnic	Pique-nique à Boissombre	Свидание с пикником	Пикник в Дълбоката гора
dates/deep_woods_picnic/photo_title	Deep Woods Picnic with {}	Pique-nique à Boissombre avec {}	{} на пикнике в Глубокой чаще	Пикник в Дълбоката гора с {}
dates/gem_cutting/description	You can now invite your partner to the forge to cut gems on the weekend!	Vous pouvez désormais inviter votre partenaire à tailler des gemmes à la forge le week-end !	Теперь в выходной день вы можете пригласить партнёра на огранку камней в кузне!	Покани партньора си в ковачницата да реже камъни през уикенда!
dates/gem_cutting/name	Gem Cutting Date	Taille de gemmes	Свидание с огранкой	Среща за рязане на скъпоценни камъни
dates/gem_cutting/photo_title	Gem Cutting with {}	Taille de gemmes avec {}	{} на свидании с огранкой	Среща за рязане на скъпоценни камъни с {}
dates/harvest_dance/photo_title	Harvest Date with {}	Récoltes romantiques avec {}	{} на свидании на Фестивале урожая	Среща на Фестивала на реколтата с {}
dates/inn_meal/description	You can now invite your partner to the Inn for a Meal on the weekend!	Vous pouvez désormais inviter votre partenaire à manger à l'auberge le week-end !	Теперь в выходной день вы можете пригласить партнёра вместе поесть в трактире!	Вече можеш да поканиш партньора си в хана на храна през уикенда!
dates/inn_meal/name	Inn Meal Date	Repas romantique	Свидание в трактире	Среща с храна в хана
dates/inn_meal/photo_title	Inn Meal with {}	Repas romantique avec {}	{} на свидании в трактире	Среща с храна в хана с {}
dates/park/description	You can now invite your partner to the Eastern Road Park on the weekend!	Vous pouvez désormais inviter votre partenaire au parc de la route de l'est le week-end !	Теперь в выходной день вы можете пригласить партнёра в парк у Восточной дороги!	Покани партньора си в парка на Източния път през уикенда!
dates/park/name	Park Date	Doux moment au parc	Свидание в парке	Среща в парка
dates/park/photo_title	Park Date with {}	Doux moment au parc avec {}	{} на свидании в парке	Среща в парка с {}
