key	english	french	russian	bulgarian
Conversations/Bank/Reina/Banked Lines/1h_wondering/1h_wondering/1	Adleine's probably being overly optimistic again.	Adeline est sans doute trop optimiste, une fois de plus.	Аделина, наверное, опять слишком оптимистична.	Adleine's probably being overly optimistic again.
Conversations/Bank/Reina/Banked Lines/1h_wondering/1h_wondering/2	Oh, [Ari]!	Oh, [Ari] !	О, [Ari]!	Oh, [Ari]!
Conversations/Bank/Reina/Banked Lines/1h_wondering/1h_wondering/3	How's it going, can I get you something?	Comment vas-tu, je peux t'aider ?	Как дела? Тебе что-нибудь принести?	How's it going, can I get you something?
Conversations/Bank/Reina/Banked Lines/1h_wondering/1h_wondering/init	Hm... I wonder if I really should apply...	Mmm... Je me demande si je devrais vraiment postuler...	Хм... И правда ли мне стоит подавать заявку...	Hm... I wonder if I really should apply...
Conversations/Bank/Reina/Banked Lines/3h_reading/3h_reading/1	Do you like to read?	Est-ce que tu aimes lire ?	Ты любишь читать?	Do you like to read?
Conversations/Bank/Reina/Banked Lines/3h_reading/3h_reading/1/prompts/0	Yeah! I love to read.	Oui ! J'adore ça.	Да! Обожаю читать.	Yeah! I love to read.
Conversations/Bank/Reina/Banked Lines/3h_reading/3h_reading/1/prompts/1	I read a bit, when the mood strikes me.	Je lis un peu, quand l'envie m'en prend.	Почитываю иногда, когда есть настроение.	I read a bit, when the mood strikes me.
Conversations/Bank/Reina/Banked Lines/3h_reading/3h_reading/1/prompts/2	I'm not much of a reader...	La lecture, ce n'est pas vraiment pour moi...	Я не особо любитель чтения...	I'm not much of a reader...
Conversations/Bank/Reina/Banked Lines/3h_reading/3h_reading/2	Really? I thought that might be the case...	Ah oui ? Je m'en doutais un peu...	Правда? Я так и думала...	Really? I thought that might be the case...
Conversations/Bank/Reina/Banked Lines/3h_reading/3h_reading/3	Let's trade some book recommendations next time!	La prochaine fois, on pourrait se conseiller mutuellement des ouvrages !	В следующий раз обменяемся советами что почитать!	Let's trade some book recommendations next time!
Conversations/Bank/Reina/Banked Lines/3h_reading/3h_reading/4	Only a bit?	Seulement un peu ?	Только иногда?	Only a bit?
Conversations/Bank/Reina/Banked Lines/3h_reading/3h_reading/5	Sounds to me like I might need to give you some good book recommendations!	Je crois qu'il faudrait que je te conseille quelques bons ouvrages !	Похоже, мне стоит посоветовать тебе пару хороших книг!	Sounds to me like I might need to give you some good book recommendations!
Conversations/Bank/Reina/Banked Lines/3h_reading/3h_reading/6	Oh, really?	Oh, vraiment ?	О, вот как?	Oh, really?
Conversations/Bank/Reina/Banked Lines/3h_reading/3h_reading/7	I'm kind of surprised!	Ça m'étonne un peu !	Признаться, я немного удивлена!	I'm kind of surprised!
Conversations/Bank/Reina/Banked Lines/3h_reading/3h_reading/8	That's okay though. I'm sure you must be too busy to read much, running the farm and all.	Mais ce n'est pas grave. Je suis sûre que tu as bien trop à faire pour bouquiner, avec tout le travail que demande la ferme.	Но это ничего. У тебя, наверное, совсем нет времени на чтение: ферма и всё такое.	That's okay though. I'm sure you must be too busy to read much, running the farm and all.
Conversations/Bank/Reina/Banked Lines/3h_reading/3h_reading/init	There's something I've been meaning to ask you, [Ari]!	Je voulais te poser une question, [Ari] !	Я давно хотела тебя кое о чём спросить, [Ari]!	There's something I've been meaning to ask you, [Ari]!
Conversations/Bank/Reina/Banked Lines/5h_story/5h_story/1	There's just something so evocative about that name.	Ce nom a quelque chose de tellement évocateur.	В этом названии есть что-то такое... будоражащее воображение.	There's just something so evocative about that name.
Conversations/Bank/Reina/Banked Lines/5h_story/5h_story/2	It sounds to me like something an adventurer would whip up while exploring the depths of a dungeon. Hehe!	Je m'imagine un repas préparé sur le pouce par un aventurier, en pleine exploration des profondeurs d'un donjon. Hi hi !	Мне кажется, что-то такое искатель приключений состряпал бы, исследуя глубины подземелья. Хе-хе!	It sounds to me like something an adventurer would whip up while exploring the depths of a dungeon. Hehe!
Conversations/Bank/Reina/Banked Lines/5h_story/5h_story/init	I tried writing a little story based on our $Dragon Horn Mushroom and Thyme$ recipe...	J'ai essayé d'écrire une petite histoire sur la base de notre recette de $champicornu au thym$...	Я попробовала написать небольшой рассказ про наш рецепт $гриба-драконорога и тимьяна$...	I tried writing a little story based on our $Dragon Horn Mushroom and Thyme$ recipe...
Conversations/Bank/Reina/Banked Lines/7h_impression/7h_impressions/1	I'm curious, [Ari]...	Je me demandais, [Ari]...	Мне любопытно, [Ari]...	I'm curious, [Ari]...
Conversations/Bank/Reina/Banked Lines/7h_impression/7h_impressions/2	What was your first impression of me, when we first met?	Quelle a été ta première impression, quand tu m'as vue pour la première fois ?	Когда мы только встретились, какое было твоё первое впечатление?	What was your first impression of me, when we first met?
Conversations/Bank/Reina/Banked Lines/7h_impression/7h_impressions/2/prompts/0	That you're a good cook!	Que tu étais bonne cuisinière !	Что ты отлично готовишь!	That you're a good cook!
Conversations/Bank/Reina/Banked Lines/7h_impression/7h_impressions/2/prompts/1	That you're kind of a book nerd!	Que tu adorais les livres !	Что ты немного книжный червь!	That you're kind of a book nerd!
Conversations/Bank/Reina/Banked Lines/7h_impression/7h_impressions/2/prompts/2	That you're really cute!	Que tu étais vraiment jolie !	Что ты очень милая!	That you're really cute!
Conversations/Bank/Reina/Banked Lines/7h_impression/7h_impressions/3	Really? That's a good sign, then!	Vraiment ? C'est bon signe, alors !	Правда? Что ж, это хороший знак!	Really? That's a good sign, then!
Conversations/Bank/Reina/Banked Lines/7h_impression/7h_impressions/4	Hopefully the judges will feel the same way!	J'espère que les jurés auront la même !	Надеюсь, судьи будут того же мнения!	Hopefully the judges will feel the same way!
Conversations/Bank/Reina/Banked Lines/7h_impression/7h_impressions/5	Hehe! Well... I can't deny that.	Hi hi ! Eh bien... Je dois l'avouer.	Хе-хе! Ну... этого я отрицать не стану.	Hehe! Well... I can't deny that.
Conversations/Bank/Reina/Banked Lines/7h_impression/7h_impressions/6	And I can't say I mind that you noticed.	Et ça me fait plutôt plaisir que tu l'aies remarqué.	И мне даже приятно, что это не укрылось от твоих глаз.	And I can't say I mind that you noticed.
Conversations/Bank/Reina/Banked Lines/7h_impression/7h_impressions/7	Really, [Ari]? Hehe!	Vraiment, [Ari] ? Hi hi !	Правда, [Ari]? Хе-хе!	Really, [Ari]? Hehe!
Conversations/Bank/Reina/Banked Lines/7h_impression/7h_impressions/8	My first impression of you was similar.	Tu m'as fait exactement la même impression.	Моё первое впечатление о тебе было похожим.	My first impression of you was similar.
Conversations/Bank/Reina/Banked Lines/7h_impression/7h_impressions/init	Hmmm. I hope I can make a good impression with the contest judges when the time comes.	Hmmm. J'espère faire bonne impression aux jurés du concours, le moment venu.	Хм-м. Надеюсь, когда придёт время, я смогу произвести хорошее впечатление на судей конкурса.	Hmmm. I hope I can make a good impression with the contest judges when the time comes.
Conversations/Bank/Reina/Banked Lines/adeline_works_hard_rainy/adeline_works_hard_rainy/1	That's what hospitality is all about!	C'est la définition même de l'hospitalité !	В этом и есть суть гостеприимства!	That's what hospitality is all about!
Conversations/Bank/Reina/Banked Lines/adeline_works_hard_rainy/adeline_works_hard_rainy/init	Adeline works so hard, even on rainy days! The least we can do is keep her fed and warm while she's at it.	Adeline travaille sans relâche, même quand il pleut ! Le moins qu'on puisse faire, c'est de s'assurer qu'elle mange bien et qu'elle n'ait pas froid.	Аделина так усердно трудится даже в дождь! Меньшее, что мы можем сделать, — накормить её и согреть.	Adeline works so hard, even on rainy days! The least we can do is keep her fed and warm while she's at it.
Conversations/Bank/Reina/Banked Lines/amazing_cook/amazing_cook/init	You've really come along as a cook, [Ari]. I don't suppose I could talk you into ditching the farm and cooking at the Inn with me, huh?	Tu te débrouilles drôlement bien en cuisine maintenant, [Ari]. Tu crois que je pourrais te convaincre de laisser de côté la ferme pour venir m'aider à l'auberge ?	Ты здорово <p>выросли</p><f>выросла</f><m>вырос</m><n>выросло</n> как повар, [Ari]. Может, уговорю тебя бросить ферму и готовить со мной в трактире?	You've really come along as a cook, [Ari]. I don't suppose I could talk you into ditching the farm and cooking at the Inn with me, huh?
Conversations/Bank/Reina/Banked Lines/basement/basement_1/init	Hi, [Ari]!	Coucou, [Ari] !	Привет, [Ari]!	Hi, [Ari]!
