key	english	french	russian	bulgarian
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/1	I-I'm sorry. I must have lost track of time.	E-Excuse-moi, je n'avais pas vu l'heure.		I-I'm sorry. I must have lost track of time.
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/10	...	...	...	...
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/11	Can I ask you something, [Ari]?	Je peux te poser une question, [Ari] ?	Можно кое-что спросить, [Ari]?	Can I ask you something, [Ari]?
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/12	I-	Je...	Я...	I-
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/13	Gosh, it's a bit... stuffy in here, isn't it?	Pfiou, c'est un peu... étouffant, ici, non ?	Ух, что-то здесь стало... душновато, правда?	Gosh, it's a bit... stuffy in here, isn't it?
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/14	[Ari]? What- what happened?	[Ari] ? Que s'est-il passé ?	[Ari]? Ч-что случилось?	[Ari]? What- what happened?
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/15	I... fainted?	Je me suis... évanouie ?	Я что... упала в обморок?	I... fainted?
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/15/prompts/0	Should I go get Doctor Valen?	Veux-tu que j'aille chercher la docteure Valen ?	Мне позвать докторшу Вален?	Should I go get Doctor Valen?
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/15/prompts/1	Should I go get Elsie?	Veux-tu que j'aille chercher Elsie ?	Мне позвать Элси?	Should I go get Elsie?
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/16	No, no, I'm fine. It's just a little fever... I just need some rest.	Non, non, ça va. J'ai seulement un peu de fièvre... J'ai besoin d'un peu de repos.	Нет-нет, я в порядке. Просто небольшой жар... Мне надо немного отдохнуть.	No, no, I'm fine. It's just a little fever... I just need some rest.
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/17f	I'm sorry I spoiled our get together...	Je suis désolée d'avoir gâché notre moment ensemble...	Прости, что испортила наши посиделки.	I'm sorry I spoiled our get together...
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/17r	I'm sorry I spoiled our date...	Je suis désolée d'avoir gâché notre rendez-vous...	Прости, что испортила наше свидание.	I'm sorry I spoiled our date...
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/18	...	...	...	...
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/18/prompts/0	Would you like me to stay with you until you feel better?	Veux-tu que je reste avec toi jusqu'à ce que tu te sentes mieux ?	Хочешь, я побуду с тобой, пока тебе не полегчает?	Would you like me to stay with you until you feel better?
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/18/prompts/1	How about I bring you a fresh cup of tea?	Veux-tu que je t'apporte une tasse de thé ?	Хочешь, я принесу тебе горячий чай?	How about I bring you a fresh cup of tea?
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/19	Really, [Ari]? ... I would like that.	Vraiment, [Ari] ? Oui, je veux bien.	[Ari], ты серьёзно?.. Я была бы очень рада.	Really, [Ari]? ... I would like that.
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/1_insert_f	You're here for tea!	Tu es là pour prendre le thé !	Ты <p>пришли</p><f>пришла</f><m>пришёл</m><n>пришло</n> на чай!	You're here for tea!
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/1_insert_r	You're here for our date!	Tu es là pour notre rendez-vous !	Ты <p>пришли</p><f>пришла</f><m>пришёл</m><n>пришло</n> на свидание!	You're here for our date!
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/2	Let me just finish up this page and I'll put the kettle on.	Je termine juste cette page et je mets l'eau à bouillir.		Let me just finish up this page and I'll put the kettle on.
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/20	Why don't you bring our tea up and we'll have it here? I'm parched!	Si tu apportais notre thé pour qu'on le boive ici ? Je meurs de soif !	Лучше принеси весь наш чай, попьём его здесь. У меня уже в горле пересохло!	Why don't you bring our tea up and we'll have it here? I'm parched!
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/21	Thank you, [Ari]...	Merci, [Ari]...	Спасибо, [Ari]...	Thank you, [Ari]...
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/22	I wouldn't say no to a slice of that pie either, if you're up for it...	Je ne dirais pas non à une part de cette tarte aussi, si tu veux bien...	Пирог я бы тоже попробовала, если ты тоже будешь...	I wouldn't say no to a slice of that pie either, if you're up for it...
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/23	Mmm... that was delicious, wasn't it? I'm starting to feel better already.	Mmm... C'était délicieux, n'est-ce pas ? Je commence déjà à me sentir mieux.	Ммм... Как же вкусно. Кажется, мне уже становится лучше.	Mmm... that was delicious, wasn't it? I'm starting to feel better already.
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/24f	Thank you for staying with me...	Merci d'être <he>resté</he><she>restée</she><they>resté·e</they> avec moi...	Спасибо, что сидишь со мной...	Thank you for staying with me...
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/24r	Thank you for taking care of me...	Merci d'avoir pris soin de moi...	Спасибо, что ухаживаешь за мной...	Thank you for taking care of me...
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/25f	Earlier... there was something I wanted to talk to you about.	Tout à l'heure... Je voulais te parler de quelque chose.	В тот момент... Я хотела с тобой кое-что обсудить.	Earlier... there was something I wanted to talk to you about.
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/25r	Earlier... there was something I wanted to talk to you about.	Tout à l'heure... Je voulais te parler de quelque chose.	В тот момент... Я хотела с тобой кое-что обсудить.	Earlier... there was something I wanted to talk to you about.
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/26f	Do you think you'll stay here in Mistria? I know it's been hard work and I'm always asking for your help, but I-	Penses-tu que tu resteras ici, à Mistria ? Je sais que c'est beaucoup de travail et que je te demande toujours de l'aide, mais, je...	Ты планируешь оставаться тут, в Мистрии? Я знаю, что работа здесь тяжёлая, и я вечно прошу твоей помощи, но...	Do you think you'll stay here in Mistria? I know it's been hard work and I'm always asking for your help, but I-
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/26r	Do you think you'll stay here in Mistria? I know it's been hard work and I'm always asking for your help, but-	Penses-tu que tu resteras ici, à Mistria ? Je sais que c'est beaucoup de travail et que je te demande toujours de l'aide, mais, je...	Ты планируешь оставаться тут, в Мистрии? Я знаю, что работа здесь тяжёлая, и я вечно прошу твоей помощи, но...	Do you think you'll stay here in Mistria? I know it's been hard work and I'm always asking for your help, but-
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/27f	I-	Je...	Я...	I-
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/27f/prompts/0	You're one of my best friends, Adeline. I'm not going anywhere.	Tu es l'une de mes meilleures amies, Adeline. Je n'ai pas l'intention de partir.	Аделина, ты одна из моих лучших подруг. Я никуда отсюда не уеду.	You're one of my best friends, Adeline. I'm not going anywhere.
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/27f/prompts/1	I adore you Adeline. There's no one I'd rather be with.	Je t'adore, Adeline. Je n'ai envie d'être avec personne d'autre.	Аделина, я от тебя без ума. Никто в жизни не нужен мне больше тебя.	I adore you Adeline. There's no one I'd rather be with.
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/27r	Do you think you'll stay here... with me?	Crois-tu que tu resterais ici... avec moi ?	Ты останешься тут... со мной?	Do you think you'll stay here... with me?
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/27r/prompts/0	You're one of my best friends, Adeline. I promise I'm not going anywhere.	Tu es l'une de mes meilleures amies, Adeline. Je te promets que je ne partirai pas.	Аделина, ты одна из моих лучших подруг. Обещаю тебе, я никуда отсюда не уеду.	You're one of my best friends, Adeline. I promise I'm not going anywhere.
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/27r/prompts/1	I adore you Adeline. There's no place I'd rather be, and no one I'd rather be with.	Je t'adore, Adeline. Je n'ai envie d'être nulle part ailleurs, et je n'ai envie d'être avec personne d'autre.	Аделина, я от тебя без ума. Нигде и ни с кем в жизни мне не будет так хорошо, как с тобой.	I adore you Adeline. There's no place I'd rather be, and no one I'd rather be with.
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/28f	You're my best friend, too, [Ari].	Tu es <he>mon meilleur ami</he><she>ma meilleure amie</she><they>la personne que je préfère</they> aussi, [Ari].	Ты тоже <p>мои лучшие друзья</p><f>моя лучшая подруга</f><m>мой лучший друг</m><n>мой лучший друг</n>, [Ari].	You're my best friend, too, [Ari].
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/28r	You're my best friend, too, [Ari].	Tu es <he>mon meilleur ami</he><she>ma meilleure amie</she><they>la personne que je préfère</they> aussi, [Ari].	Ты тоже <p>мои лучшие друзья</p><f>моя лучшая подруга</f><m>мой лучший друг</m><n>мой лучший друг</n>, [Ari].	You're my best friend, too, [Ari].
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/29f	I'm so glad that Mistria has someone like you to depend on...	Je suis tellement contente que Mistria puisse compter sur quelqu'un comme toi...	Я так рада, что Мистрия может рассчитывать на твою поддержку...	I'm so glad that Mistria has someone like you to depend on...
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/29r	I'm so glad that Mistria has someone like you to depend on...	Je suis tellement contente que Mistria puisse compter sur quelqu'un comme toi...	Я так рада, что Мистрия может рассчитывать на твою поддержку...	I'm so glad that Mistria has someone like you to depend on...
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/3	There we are! Two hot cups of tea and some fresh made =Lemon Pie=.	Et voilà ! Deux tasses de thé chaud et une =tarte au citron= toute fraîche.	Готово! Два горячих чая и свежеприготовленный =лимонный пирог=.	There we are! Two hot cups of tea and some fresh made =Lemon Pie=.
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/30f	That I have someone like you to depend on.	Que moi, je puisse compter sur quelqu'un comme toi.	И что я могу рассчитывать на твою поддержку.	That I have someone like you to depend on.
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/30r	That I have someone like you to depend on. Even if we just stay friends.	Que moi, je puisse compter sur quelqu'un comme toi. Même si on est simplement <he>amis</he><she>amies</she><they>ami·es</they>.	И что я могу рассчитывать на твою поддержку. Даже если мы просто друзья.	That I have someone like you to depend on. Even if we just stay friends.
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/31	Do you mean it, [Ari]? I-	Tu le penses vraiment, [Ari] ? Je...	Это правда, [Ari]? Я...	Do you mean it, [Ari]? I-
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/32	I feel the same way... I have for some time.	Je ressens la même chose... Depuis un certain temps.	Я чувствую то же самое... Уже давно.	I feel the same way... I have for some time.
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/33	In truth, I felt something the first night you came to Mistria.	À dire vrai, j'ai éprouvé quelque chose pour toi dès le soir de ton arrivée à Mistria.	На самом деле, я что-то почувствовала в первый же день, когда ты <p>приехали</p><f>приехала</f><m>приехал</m><n>приехало</n> в Мистрию.	In truth, I felt something the first night you came to Mistria.
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/34	I wasn't expecting you to be so cute. I got so flustered, I accidentally smashed your vase of welcome flowers after you walked in on me trying to put your house together.	Je ne m'attendais pas à ce que tu sois si <he>séduisant</he><she>séduisante</she><they>séduisant·e</they>. J'ai été si troublée que j'ai cassé le vase contenant le bouquet de bienvenue juste après ton entrée surprise dans la maison.	Я не ожидала, что ты <p>такие красивые</p><f>такая красивая</f><m>такой красивый</m><n>такое красивое</n>. Так разволновалась, что разбила вазу с твоим приветственным букетом, когда ты <p>застали</p><f>застала</f><m>застал</m><n>застало</n> меня за уборкой в твоём доме.	I wasn't expecting you to be so cute. I got so flustered, I accidentally smashed your vase of welcome flowers after you walked in on me trying to put your house together.
Cutscenes/Heart Events/Adeline/adeline_eight_hearts/adeline_eight_hearts/35	S-sorry about that.	J-J'en suis désolée.	П-прости, пожалуйста.	S-sorry about that.
