key	english	french	russian	bulgarian
quests/crown_quests/crown_request_animal_materials/description	The Crown has requested an additional supply of feathers and wool to help make bedding and blankets for those in need.	La Couronne demande une livraison supplémentaire de plumes et de laine afin de confectionner du linge de lit et des couvertures pour les nécessiteux.	Корона запросила дополнительную поставку перьев и шерсти, чтобы изготовить постельные принадлежности и одеяла для нуждающихся.	The Crown has requested an additional supply of feathers and wool to help make bedding and blankets for those in need.
quests/crown_quests/crown_request_animal_materials/name	Crown Request: Animal Materials	Requête royale : matières animales	Заказ Короны: материалы от животных	Crown Request: Animal Materials
quests/crown_quests/crown_request_animal_materials/stages/0/objective_description	Ship 10 feathers and 10 wool of any kind, then talk to Adeline.	Expédiez 10 plumes et 10 écheveaux de laine de n'importe quelle sorte, puis allez parler à Adeline.	Отправить 10 перьев и 10 шерсти любого вида, затем поговорить с Аделиной.	Ship 10 feathers and 10 wool of any kind, then talk to Adeline.
quests/crown_quests/crown_request_archaeology_shards/description	The Capital Museum has requested local artifact shards from all around Aldaria as it conducts a research project.	Le musée de la capitale cherche à récupérer des éclats d'artéfacts issus de tout Aldaria pour mener à bien un projet de recherche.	Столичный музей запросил осколки местных артефактов со всей Альдарии для исследовательского проекта.	The Capital Museum has requested local artifact shards from all around Aldaria as it conducts a research project.
quests/crown_quests/crown_request_archaeology_shards/name	Crown Request: Archaeology Shards	Requête royale : éclats archéologiques	Заказ Короны: археологические осколки	Crown Request: Archaeology Shards
quests/crown_quests/crown_request_archaeology_shards/stages/0/objective_description	Ship 15 Shards and 5 Shard Masses, then talk to Adeline.	Expédiez 15 éclats et 5 agglomérats, puis allez parler à Adeline.	Отправить 15 осколков и 5 комков из осколков, затем поговорить с Аделиной.	Ship 15 Shards and 5 Shard Masses, then talk to Adeline.
quests/crown_quests/crown_request_baked_dishes/description	The Crown has put out a request for hearty main dishes to be shipped out to villages in the Western Mountains of Aldaria, to help offset a poor harvest in the region.	La Couronne a besoin de plats principaux roboratifs, cuits au four, pour les expédier dans les villages de montagne situés à l'ouest d'Aldaria afin de compenser les mauvaises récoltes dans cette région.	Короне требуются сытные основные блюда для отправки в деревни в Западных горах Альдарии, чтобы компенсировать плохой урожай в этом регионе.	The Crown has put out a request for hearty main dishes to be shipped out to villages in the Western Mountains of Aldaria, to help offset a poor harvest in the region.
quests/crown_quests/crown_request_baked_dishes/name	Crown Request: Baked Main Dishes	Requête royale : plats principaux (au four)	Заказ Короны: печёные основные блюда	Crown Request: Baked Main Dishes
quests/crown_quests/crown_request_baked_dishes/stages/0/objective_description	Ship 5 Baked Main Dishes of any kind, then talk to Adeline.	Expédiez 5 plats principaux cuits au four, de n'importe quelle sorte, puis allez parler à Adeline.	Отправить любые 5 печёных основных блюд, затем поговорить с Аделиной.	Ship 5 Baked Main Dishes of any kind, then talk to Adeline.
quests/crown_quests/crown_request_bell_berries/description	The Crown believes it is important to assess the emerging specialities of its towns for export potential, and Bell Berries are one of Mistria's.	La Couronne estime qu'il est important de mesurer le potentiel d'exportation des nouvelles spécialités produites dans ses villes. Les clocherelles de Mistria en sont une.	Корона считает важным оценить экспортный потенциал фирменных блюд, зарождающихся в городах. Ягоды колокольника — характерный пример мистрийского блюда.	The Crown believes it is important to assess the emerging specialities of its towns for export potential, and Bell Berries are one of Mistria's.
quests/crown_quests/crown_request_bell_berries/name	Crown Request: Bell Berries	Requête royale : clocherelles	Заказ Короны: ягоды колокольника	Crown Request: Bell Berries
quests/crown_quests/crown_request_bell_berries/stages/0/objective_description	Ship 20 Bell Berries, then report to Adeline.	Expédiez 20 clocherelles, puis allez parler à Adeline.	Отправить 20 ягод колокольника, затем доложить Аделине.	Ship 20 Bell Berries, then report to Adeline.
quests/crown_quests/crown_request_berries/description	The Capital Market has put out a request for fresh berries. They're always in high demand!\n\nI know it doesn't seem like much, but shipping out some berries would be a big help.	Le marché de la capitale a besoin de baies fraîches. Elles sont toujours très demandées !\n\nJe sais que ça n'a l'air de rien, mais cela les aiderait beaucoup si nous envoyions quelques baies.	Столичный рынок запросил свежие ягоды. На них всегда высокий спрос!\n\nЗнаю, звучит как не очень много, но эти ягоды очень помогут.	The Capital Market has put out a request for fresh berries. They're always in high demand!\n\nI know it doesn't seem like much, but shipping out some berries would be a big help.
quests/crown_quests/crown_request_berries/name	Crown Request: Berries	Requête royale : baies	Заказ Короны: ягоды	Crown Request: Berries
quests/crown_quests/crown_request_berries/stages/0/objective_description	Ship 30 berries of any kind, then talk to Adeline.	Expédiez 30 baies de n'importe quelle sorte, puis allez parler à Adeline.	Отправить любые 30 ягод, затем поговорить с Аделиной.	Ship 30 berries of any kind, then talk to Adeline.
