key	english	french	russian	bulgarian
Conversations/Bank/Eiland/Banked Lines/adeline_excavation/adeline_excavation/1	Like filing permits with the Capital! I wouldn't know where to begin without her.	Par exemple en remplissant les demandes de permis pour la capitale ! Sans elle, je ne saurais pas par où commencer !	Например, с заполнением всяких заявлений на разрешения в столицу! Без неё я бы даже не знал, с чего начать.	Like filing permits with the Capital! I wouldn't know where to begin without her.
Conversations/Bank/Eiland/Banked Lines/adeline_excavation/adeline_excavation/init	My sister doesn't much care for participating in my excavations, but she backs me up where it counts.	Cela n'intéresse pas beaucoup ma sœur de participer aux fouilles, mais elle me soutient quand il le faut.	Сестра не очень интересуется моими раскопками, но она поддерживает меня, когда это нужно.	My sister doesn't much care for participating in my excavations, but she backs me up where it counts.
Conversations/Bank/Eiland/Banked Lines/adeline_needs_a_break/adeline_needs_a_break/init	Adeline... sigh. My dear sister is indispensable, but she really needs a vacation.	Adeline... (soupir). Ma chère sœur est indispensable, mais elle a vraiment besoin de vacances.	Аделина... эх. Моя дорогая сестрица незаменима, но ей необходим отпуск.	Adeline... sigh. My dear sister is indispensable, but she really needs a vacation.
Conversations/Bank/Eiland/Banked Lines/adeline_worked_late/adeline_worked_late/1	I came back home from the Museum later than usual last night, and she was still holed up in her office!	Je suis rentré du musée plus tard que d'habitude, l'autre soir, et elle était encore terrée dans son bureau !	Вчера я вернулся из музея позже обычного, а она всё ещё сидела, запершись, у себя в кабинете!	I came back home from the Museum later than usual last night, and she was still holed up in her office!
Conversations/Bank/Eiland/Banked Lines/adeline_worked_late/adeline_worked_late/2	She's obsessed with her work.	Elle ne pense qu'à son travail.	Она одержима своей работой.	She's obsessed with her work.
Conversations/Bank/Eiland/Banked Lines/adeline_worked_late/adeline_worked_late/2/prompts/0	That makes two of you, then!	Vous êtes deux, dans ce cas !	Тогда вас таких двое!	That makes two of you, then!
Conversations/Bank/Eiland/Banked Lines/adeline_worked_late/adeline_worked_late/2/prompts/1	It must run in the family...	Ça doit être un truc de famille...	Видимо, это у вас семейное...	It must run in the family...
Conversations/Bank/Eiland/Banked Lines/adeline_worked_late/adeline_worked_late/3	Well, when you put it that way...	Eh bien, vu comme ça...	Ну, если так посмотреть...	Well, when you put it that way...
Conversations/Bank/Eiland/Banked Lines/adeline_worked_late/adeline_worked_late/4	Perhaps you're right. I rescind my comment!	Tu as peut-être raison. Je retire ce que j'ai dit !	Пожалуй, справедливо. Беру свои слова обратно!	Perhaps you're right. I rescind my comment!
Conversations/Bank/Eiland/Banked Lines/adeline_worked_late/adeline_worked_late/init	My sister... she never stops.	Ma sœur... Elle ne s'arrête jamais.	Моя сестра... она никогда не останавливается.	My sister... she never stops.
Conversations/Bank/Eiland/Banked Lines/ancient_apiary/ancient_apiary/1	Oh, drat!	Oh, flûte !	Ох, вот же!	Oh, drat!
Conversations/Bank/Eiland/Banked Lines/ancient_apiary/ancient_apiary/init	I found my file on ancient Aldarian apiaries! Haha, say that three times fast. Ancient Aldarian ap... apia...	J'ai trouvé mon registre sur de rustiques ruchers aldariens ! Ha ha, dis donc ça très vite. Rustiques roch... Rucht...	Я нашёл свои записи по археологии альдарийских апиариев! Ха-ха, скажи это быстро три раза. Археология альдарийских апир.... апирар...	I found my file on ancient Aldarian apiaries! Haha, say that three times fast. Ancient Aldarian ap... apia...
