key	english	french	russian	bulgarian
Conversations/harvest_festival/harvest_adeline_basic_accept/1	Of course, I'd love to dance with you.	Bien sûr que j'aimerais danser avec toi.	С удовольствием, давай потанцуем вместе.	Of course, I'd love to dance with you.
Conversations/harvest_festival/harvest_adeline_basic_accept/init	Oh!	Oh !	Ой!	Oh!
Conversations/harvest_festival/harvest_balor_basic_accept/1	Of course I'll be your dance partner.	Ce serait un grand plaisir de danser avec toi.	Конечно, я с тобой потанцую!	Of course I'll be your dance partner.
Conversations/harvest_festival/harvest_balor_basic_accept/init	I was wondering when you'd ask!	Je me demandais quand tu allais me le proposer !	Я ждал, что ты спросишь!	I was wondering when you'd ask!
Conversations/harvest_festival/harvest_caldarus_basic_accept/1	And you would like for me to be your dance partner?	Et tu aimerais que je sois ton partenaire pour la danse ?	И ты хочешь, чтобы я был твоим партнёром?	And you would like for me to be your dance partner?
Conversations/harvest_festival/harvest_caldarus_basic_accept/2	While I cannot leave the protection of the woods to go to the festival...	Je ne peux certes pas quitter la protection des bois pour me rendre à la fête...	Хотя я не могу покинуть защиту этого леса и пойти на фестиваль...	While I cannot leave the protection of the woods to go to the festival...
Conversations/harvest_festival/harvest_caldarus_basic_accept/3	I suppose there is no reason that we cannot share a dance within its boundaries. What do you say, [Ari]?	Mais rien ne m'empêche de danser avec toi ici. Qu'en dis-tu, [Ari] ?	Полагаю, ничто не мешает нам устроить совместный танец под его покровом. Что скажешь, [Ari]?	I suppose there is no reason that we cannot share a dance within its boundaries. What do you say, [Ari]?
Conversations/harvest_festival/harvest_caldarus_basic_accept/init	There is a traditional Harvest Festival dance today?	Un bal traditionnel a lieu aujourd'hui à l'occasion de la fête des récoltes.	Сегодня есть традиция танцевать в честь Фестиваля урожая?	There is a traditional Harvest Festival dance today?
Conversations/harvest_festival/harvest_caldarus_basic_accept_eog/1	Nothing would make me happier, [Ari].	Rien ne pourrait me faire plus plaisir, [Ari].	Это предел моих мечтаний, [Ari].	Nothing would make me happier, [Ari].
Conversations/harvest_festival/harvest_caldarus_basic_accept_eog/init	A dance?	Une invitation à danser ?	Потанцевать?	A dance?
Conversations/harvest_festival/harvest_celine_basic_accept/1	Don't worry, I've been practicing!	Ne t'inquiète pas, je me suis entraînée !	Не переживай, я тренировалась!	Don't worry, I've been practicing!
Conversations/harvest_festival/harvest_celine_basic_accept/init	Um... would you like to dance with me, [Ari]?	Hum... Tu veux bien danser avec moi, [Ari] ?	Эм... Хочешь, станцуем вместе, [Ari]?	Um... would you like to dance with me, [Ari]?
Conversations/harvest_festival/harvest_eiland_basic_accept/init	May I have this dance, [Ari]?	M'accorderais-tu cette danse, [Ari] ?	Можно пригласить тебя на танец, [Ari]?	May I have this dance, [Ari]?
Conversations/harvest_festival/harvest_hayden_basic_accept/1	Let's see if you can keep up with this old farmer!	Tu crois pouvoir suivre le rythme d'un vieux fermier comme moi ?	Посмотрим, как ты поспеешь за старым фермером!	Let's see if you can keep up with this old farmer!
Conversations/harvest_festival/harvest_hayden_basic_accept/init	Would you care to dance, [Ari]?	Tu veux danser avec moi, [Ari] ?	Не хочешь потанцевать, [Ari]?	Would you care to dance, [Ari]?
Conversations/harvest_festival/harvest_juniper_basic_accept/1	Hmm...	Hmm...	Хмм...	Hmm...
Conversations/harvest_festival/harvest_juniper_basic_accept/2	I suppose, since you asked nicely.	C'est envisageable, puisque c'est demandé si gentiment.	Ладно, раз ты <p>попросили</p><f>попросила</f><m>попросил</m><n>попросило</n>.	I suppose, since you asked nicely.
Conversations/harvest_festival/harvest_juniper_basic_accept/init	You'd like a dance with me?	Tu aimerais danser avec moi ?	Ты хочешь со мной потанцевать?	You'd like a dance with me?
Conversations/harvest_festival/harvest_march_basic_accept/1	Well... alright.	Bon... d'accord.	Ну... хорошо.	Well... alright.
Conversations/harvest_festival/harvest_march_basic_accept/init	You want to dance?	Tu veux danser ?	Хочешь потанцевать?	You want to dance?
Conversations/harvest_festival/harvest_march_super_accept/1	You would? Alright!	Vraiment ? Génial !	Да? Замечательно!	You would? Alright!
Conversations/harvest_festival/harvest_march_super_accept/init	Would you like to dance with me, [Ari]?	Tu as envie de danser avec moi, [Ari] ?	Хочешь потанцевать со мной, [Ari]?	Would you like to dance with me, [Ari]?
Conversations/harvest_festival/harvest_reina_basic_accept/init	Oh, of course I'll dance with you, [Ari]!	Oh, bien sûr que j'aimerais danser avec toi [Ari] !	О, конечно я с тобой потанцую, [Ari]!	Oh, of course I'll dance with you, [Ari]!
Conversations/harvest_festival/harvest_ryis_basic_accept/1	I'd... I'd like that.	Je... Je crois que ça me plairait bien.	Я... с удовольствием.	I'd... I'd like that.
Conversations/harvest_festival/harvest_ryis_basic_accept/init	You'd like to dance with me?	Tu voudrais danser avec moi ?	Ты хочешь со мной потанцевать?	You'd like to dance with me?
Conversations/harvest_festival/harvest_seridia_basic_accept/1	Shall I lead, or would you like to?	Je mène la danse, ou préfères-tu t'en charger ?	Я буду вести или ты предпочитаешь <p>сами</p><f>сама</f><m>сам</m><n>само</n>?	Shall I lead, or would you like to?
Conversations/harvest_festival/harvest_seridia_basic_accept/init	Would I like to dance with you? But of course, [Ari].	Si je veux danser avec toi ? Mais bien entendu, [Ari].	Желаю ли я с тобой потанцевать? Разумеется, [Ari].	Would I like to dance with you? But of course, [Ari].
Conversations/harvest_festival/harvest_valen_basic_accept/1	Should I lead, or should you?	Qui mène la danse, toi ou moi ?	Ты поведёшь, или лучше мне?	Should I lead, or should you?
Conversations/harvest_festival/harvest_valen_basic_accept/init	You'd like to dance with me, [Ari]? Of course.	Tu veux danser avec moi, [Ari] ? Mais bien sûr.	Ты хочешь со мной потанцевать, [Ari]? Разумеется.	You'd like to dance with me, [Ari]? Of course.
