key	english	french	russian	bulgarian
Conversations/Bank/Celine/Banked Lines/1h_general_store/1h_general_store/1	But that's not what I want.	Mais ce n'est pas ce dont j'ai envie.	Но мне хочется другого.	Но аз не искам това.
Conversations/Bank/Celine/Banked Lines/1h_general_store/1h_general_store/2	I don't mind working there part time, of course.	Ça ne me gêne pas d'y travailler de temps en temps, évidemment.	Хотя, конечно, я не против там подрабатывать.	Разбира се, нямам нищо против да работя там на непълно работно време.
Conversations/Bank/Celine/Banked Lines/1h_general_store/1h_general_store/3	And lately I've been growing some flowers and herbs for orders around town, too!	Et depuis quelque temps, je fais aussi pousser des fleurs et des plantes un peu partout en ville !	А ещё в последнее время я стала выращивать цветы и травы для разных городских заказов!	А напоследък отглеждам цветя и билки за поръчки из града!
Conversations/Bank/Celine/Banked Lines/1h_general_store/1h_general_store/4	I've even shipped a few to Balor.	J'en ai même expédié quelques-unes pour Balor.	Даже пару раз отправляла Балору на продажу.	Дори изпратих няколко на Балор.
Conversations/Bank/Celine/Banked Lines/1h_general_store/1h_general_store/5	In a way it's like having my own little farm...	D'une certaine façon, j'ai ma petite ferme, moi aussi...	Можно сказать, у меня тут своя маленькая ферма...	В известен смисъл е като да имам собствена малка ферма...
Conversations/Bank/Celine/Banked Lines/1h_general_store/1h_general_store/6	Um, well. Maybe that's overstating things.	Hum, bon... c'est peut-être un peu exagéré.	Эм, ну... Возможно, это я преувеличила.	Ъм, добре де. Може би малко преувеличавам.
Conversations/Bank/Celine/Banked Lines/1h_general_store/1h_general_store/init	I think if Mom had her way, I'd be working toward taking over the General Store...	Si j'écoutais maman, je devrais travailler à ses côtés pour un jour reprendre le magasin général...	Думаю, если бы мама решала за меня, я бы сейчас готовилась принять управление универмагом...	Мисля, че ако майка ми решаваше, трябваше да се подготвям да поема Смесения магазин...
Conversations/Bank/Celine/Banked Lines/3h_cooking/3h_cooking/1	It helps that my garden's been doing so well!	Le fait que mon jardin donne bien m'aide beaucoup !	Очень помогает, что у меня дома всё так хорошо растёт!	Помага и това, че градината ми се развива толкова добре!
Conversations/Bank/Celine/Banked Lines/3h_cooking/3h_cooking/2	Here, you should take some of this =Spring Salad=! I made too much.	Tiens, prends un peu de cette =salade printanière= ! J'en ai préparé trop.	Вот, возьми немного =весеннего салата=! Я приготовила слишком много.	Ето, вземи една =Пролетна салата=! Направих твърде много.
Conversations/Bank/Celine/Banked Lines/3h_cooking/3h_cooking/init	I've been trying to do some more cooking at home lately.	J'essaie de cuisiner un peu plus chez moi, en ce moment.	Я стараюсь больше готовить дома.	Напоследък се опитвам да готвя повече у дома.
Conversations/Bank/Celine/Banked Lines/5h_no_use/5h_no_use/1	I haven't been able to get our sprout to grow at all since last time you were over.	Je n'ai pas réussi à faire grandir notre pousse d'un millimètre depuis ta dernière visite.	Наш росток совсем не вырос с твоего прошлого прихода.	От последния път, когато беше у нас, изобщо не успявам да го накарам да покълне.
Conversations/Bank/Celine/Banked Lines/5h_no_use/5h_no_use/2	You don't think I'm wasting my time with all of this, do you?	Tu crois que je perds mon temps avec ça, dis-moi ?	Как ты думаешь, может, я просто зря трачу время?	Нали не мислиш, че си губя времето с всичко това?
Conversations/Bank/Celine/Banked Lines/5h_no_use/5h_no_use/2/prompts/0	What? Why would you say that?	Comment ? Pourquoi tu dis ça ?	Что? Неужели ты правда так думаешь?	Какво? Защо го казваш?
Conversations/Bank/Celine/Banked Lines/5h_no_use/5h_no_use/2/prompts/1	It's not a waste of time if you're enjoying yourself.	Si ça te fait plaisir, ce n'est pas une perte de temps.	Время не потрачено зря, если оно проведено с удовольствием.	Не е загуба на време, щом ти доставя удоволствие.
Conversations/Bank/Celine/Banked Lines/5h_no_use/5h_no_use/3	S-sorry, [Ari]. I don't really think it's a waste of time.	D-Désolée, [Ari]. Je ne le pense pas vraiment, tu sais.	П-прости, [Ari]. На самом деле я не думаю, что всё напрасно.	С-съжалявам, [Ari]. Всъщност не мисля, че е загуба на време.
Conversations/Bank/Celine/Banked Lines/5h_no_use/5h_no_use/4	I've just been feeling a little blue, I suppose.	Je crois que j'ai seulement eu un petit coup de cafard.	Наверное, я просто расстроена, что у меня ничего не выходит.	Просто напоследък съм малко потисната.
Conversations/Bank/Celine/Banked Lines/5h_no_use/5h_no_use/5	I can't explain why, but reviving this flower is really important to me.	J'ai du mal à expliquer pourquoi, mais faire renaître cette fleur est vraiment important pour moi.	Мне почему-то очень важно, чтобы этот цветок вырос. Даже не знаю почему.	Не мога да обясня защо, но за мен е много важно да съживя това цвете.
Conversations/Bank/Celine/Banked Lines/5h_no_use/5h_no_use/6	Even if my family doesn't quite get it... I'm really glad that you do.	Même si ma famille ne voit pas bien pourquoi... Je suis contente que toi, tu comprennes.	Семья тоже не понимает... Но я очень рада, что ты понимаешь.	Дори семейството ми да не го разбира напълно... много се радвам, че ти го разбираш.
Conversations/Bank/Celine/Banked Lines/5h_no_use/5h_no_use/7	O-oh. Really?	Oh, vraiment ?	Ой... Правда?	О-о. Наистина?
Conversations/Bank/Celine/Banked Lines/5h_no_use/5h_no_use/8	That's a nice way of thinking about it!	C'est une jolie façon de voir les choses !	Это удобный взгляд на ситуацию!	Хубав начин е да го погледнеш!
Conversations/Bank/Celine/Banked Lines/5h_no_use/5h_no_use/init	Sigh... It's no use, [Ari].	Pfff... C'est inutile, [Ari].	*вздох*... Бесполезно, [Ari].	Ех... няма смисъл, [Ari].
Conversations/Bank/Celine/Banked Lines/7h_sprout/7h_sprout/1	She said she was really impressed that we were able to get the seed to grow...	Elle m'a dit qu'elle était très impressionnée que nous ayons réussi à faire germer la graine...	Она говорит, её очень впечатлило, что наше семечко проросло...	Каза, че много се впечатлила, че успяхме да накараме семето да порасне...
Conversations/Bank/Celine/Banked Lines/7h_sprout/7h_sprout/2	And then Dell asked if we could do the same for her, hehe!	Ensuite, Dell a demandé si on pourrait faire la même chose pour elle, hi hi !	А потом Делл спросила, можем ли мы так же подрастить её, хи-хи!	После Дел попита дали може да направим същото и за нея, хехе!
Conversations/Bank/Celine/Banked Lines/7h_sprout/7h_sprout/init	Mom was asking after our sprout the other day.	Maman m'a demandé comment se portait notre pousse, l'autre jour !	Мама на днях снова спрашивала про наш росток.	Онзи ден мама ме питаше за нашия кълн.
Conversations/Bank/Celine/Banked Lines/9h_proud/7h_sprout/1	She said she was really proud of us for reviving our lost flower... Isn't that sweet?	Elle a déclaré être très fière qu'on ait réussi à faire renaître notre fleur disparue... C'est gentil, non ?	Она сказала, что гордится нами. За то, что мы возрождаем утраченный цветок... Очень мило, правда?	Каза, че много се гордее с нас, задето съживихме изгубеното ни цвете... Не е ли мило?
Conversations/Bank/Celine/Banked Lines/9h_proud/7h_sprout/2	Of course, she immediately followed that up by suggesting we find a way to start growing them commercially.	Bon, évidemment, elle a ensuite aussitôt suggéré qu'on trouve le moyen d'en faire pousser d'autres pour les vendre.	Но, разумеется, затем она стала рассуждать, что нам стоит подумать о выращивании этих цветов для продажи...	Разбира се, веднага предложи да намерим начин да започнем да ги отглеждаме за продажба.
Conversations/Bank/Celine/Banked Lines/9h_proud/7h_sprout/3	Oh, Mom...	Sacrée maman...	Ах, мама...	Ох, мамо...
Conversations/Bank/Celine/Banked Lines/9h_proud/7h_sprout/init	You won't believe what my mom said the other day, [Ari]!	[Ari], tu ne vas jamais croire ce que maman m'a dit, l'autre jour !	[Ari], ты не поверишь, что мне мама недавно сказала!	Няма да повярваш какво каза мама онзи ден, [Ari]!
Conversations/Bank/Celine/Banked Lines/adelines_got_a_lot_going_on/adelines_got_a_lot_going_on/init	Adeline's got so much on her shoulders, but she's got a lot of people supporting her, too. Like you, [Ari]!	La charge d'Adeline est lourde à porter, mais elle a aussi beaucoup de gens pour l'aider. Comme toi, [Ari] !	Аделина столько всего на себя берёт, но и поддержки у неё достаточно. Например, твоя, [Ari]!	Аделайн има толкова много на плещите си, но има и много хора, които я подкрепят. Като теб, [Ari]!
Conversations/Bank/Celine/Banked Lines/ari_bloomed/ari_bloomed/init	Oh, I was just thinking about you [Ari]. You've really blossomed recently.	Oh, j'étais justement en train de penser à toi, [Ari]. Tu <he>t'es vraiment épanoui</he><she>t'es vraiment épanouie</she><they>sembles t'épanouir</they> depuis quelque temps.	Ох, я как раз думала о тебе, [Ari]. Ты последнее время по-настоящему <p>расцвели</p><f>расцвела</f><m>расцвёл</m><n>расцвело</n>.	О, тъкмо мислех за теб, [Ari]. Напоследък направо разцъфтяваш.
Conversations/Bank/Celine/Banked Lines/ari_farmer/ari_farmer/init	You've really taken to farming, haven't you! I'm so glad.	T'occuper d'une ferme te plaît beaucoup, ça se voit ! Ça me fait vraiment plaisir.	Земледелие пришлось тебе по душе, правда? Я так рада!	Земеделието явно ти се отдава! Много се радвам.
Conversations/Bank/Celine/Banked Lines/bag_of_flour/bag_of_flour/1	We... may have ordered too much.	Nous en avons... commandé un peu trop.	Кажется, мы... слишком много заказали.	Може би... поръчахме твърде много.
Conversations/Bank/Celine/Banked Lines/bag_of_flour/bag_of_flour/init	Hi, [Ari]! Can I interest you in a nice, er, bag of $Flour$?	Bonjour [Ari] ! Que dirais-tu d'un bon, euh, sac de $farine$ ?	Привет, [Ari]! Могу ли я заинтересовать тебя... эм... мешочком $муки$?	Здравей, [Ari]! Да те изкуша с един хубав, ъъ, чувал $Брашно$?
Conversations/Bank/Celine/Banked Lines/basement/basement_1/init	Hi, [Ari]!	Bonjour, [Ari] !	Привет, [Ari]! 	Здравей, [Ari]!
Conversations/Bank/Celine/Banked Lines/bathhouse/bathhouse/1	I feel like a flower tucked away in a cozy little greenhouse.	Je m'y sens comme une fleur installée bien au chaud dans une petite serre.	Чувствую себя цветком в маленькой уютной теплице.	Чувствам се като цвете, скрито в уютна малка оранжерия.
Conversations/Bank/Celine/Banked Lines/bathhouse/bathhouse/init	It's so nice to visit the Bathhouse in winter!	C'est tellement agréable de se rendre aux bains en hiver !	Зимой так приятно ходить в купальню!	Толкова е хубаво да посетиш Банята през зимата!
