key	english	french	russian	bulgarian
Conversations/Bank/Holt/Banked Lines/animal_whittling/animal_whittling/1	I think I'm going to decide which animal it is after I'm done.	Je crois que je déciderai de quel animal il s'agit quand j'aurai terminé.	Думаю, я решу, что это будет за животное, когда закончу.	I think I'm going to decide which animal it is after I'm done.
Conversations/Bank/Holt/Banked Lines/animal_whittling/animal_whittling/init	I'm working on something new, but the way it's going...	Je travaille sur une nouvelle création, mais je ne sais pas encore trop ce que ça va donner...	Работаю над кое-чем новым, но получается что-то...	I'm working on something new, but the way it's going...
Conversations/Bank/Holt/Banked Lines/annoyed_landen/annoyed_landen/init	Everything I know about whittling, I learned by making myself a nuisance to Landen when I was a kid!	Tout ce que je sais sur le travail du bois, je l'ai appris dans ma jeunesse en passant mes journées à enquiquiner Landen !	Всё, что я знаю о резьбе по дереву, я узнал, досаждая Ландену в детстве!	Everything I know about whittling, I learned by making myself a nuisance to Landen when I was a kid!
Conversations/Bank/Holt/Banked Lines/basement/basement_1/init	Howdy, neighbor!	Bien le bonjour, <he>cher voisin</he><she>chère voisine</she><they>cher·ère voisin·e</they> !	Привет, <p>соседи</p><f>соседка</f><m>сосед</m><n>сосед</n>!	Howdy, neighbor!
Conversations/Bank/Holt/Banked Lines/bathhouse/bathhouse/init	A bath was just the thing!	J'avais bien besoin d'un bon bain !	Вот эта банька — то, что надо!	A bath was just the thing!
Conversations/Bank/Holt/Banked Lines/bees_fly_in_rain/bees_fly_in_rain/init	You know, I told Luc that bees can fly in the rain because of their yellow jackets.	Tu sais, j'ai raconté à Luc que les abeilles pouvaient voler sous la pluie grâce à leur ciré jaune.	Я тут Люку сказал: пчёлам дождь не помеха — они одеты в жёлтые дождевички!	You know, I told Luc that bees can fly in the rain because of their yellow jackets.
Conversations/Bank/Holt/Banked Lines/bread/bread/init	You look tired, [Ari]... take a break, have a bite to eat. No one would accuse you of loafing around.	Tu as l'air fatigué<he></he><she>e</she><they>·e</they>, [Ari]... Fais une pause pour manger un morceau. Personne ne t'accusera de flemmarder.	Ты выглядишь устало, [Ari]... Сделай перерыв, перекуси. Никто не подумает, что ты бездельничаешь.	You look tired, [Ari]... take a break, have a bite to eat. No one would accuse you of loafing around.
Conversations/Bank/Holt/Banked Lines/breakfast_with_nora/breakfast_with_nora/init	Nora was going to skip breakfast, but I talked her out of it. It's true what they say... breakfast is butter together!	Nora voulait se passer de petit-déjeuner, mais je le lui ai déconseillé. Finalement, elle s'est exécutée sans bruncher.	Нора хотела пропустить завтрак, но я её отговорил. Я всегда говорю: позавтракал с маслом — и весь день как по маслу!	Nora was going to skip breakfast, but I talked her out of it. It's true what they say... breakfast is butter together!
Conversations/Bank/Holt/Banked Lines/buying_silence/buying_silence/init	Crunch crunch... oh, [Ari]! You didn't see me eating on the job, okay? I have to destroy the evidence! CRUNCH CRUNCH CRUNCH!	Crounch, crounch... Oh, [Ari] ! Tu ne m'as pas vu grignoter au travail, on est d'accord ? Je fais disparaître toutes les preuves... CROUNCH, CROUNCH, CROUNCH !	Хрум-хрум... ой, [Ari]! Только никому не говори, что я ем на работе, ладно? Надо уничтожить улики! ХРУМ-ХРУМ-ХРУМ!	Crunch crunch... oh, [Ari]! You didn't see me eating on the job, okay? I have to destroy the evidence! CRUNCH CRUNCH CRUNCH!
Conversations/Bank/Holt/Banked Lines/carved_time/carved_time/init	I had a great weekend! Finally carved out some time to do some whittling!	J'ai passé un super week-end ! J'ai eu le temps de bûcher sur mes sculptures sur bois !	Отличные были выходные! Наконец-то выкроил время для резьбы по дереву!  	I had a great weekend! Finally carved out some time to do some whittling!
Conversations/Bank/Holt/Banked Lines/celine_pun/celine_pun/1	It's a quick way of Celine my fate.	Elle est du genre « Dell »-icate.	А то ещё стану удобрением для её цветочков!	It's a quick way of Celine my fate.
