key	english	french	russian	bulgarian
ui/tutorials/animal_sprite_statue/steps/0/text	Place an Animal Sprite Statue in a Large Barn or Coop to automatically pet that building's animals daily.	Placez un totem d'animal dans une étable ou un poulailler et les bêtes seront soignées quotidiennement sans que vous ayez à vous en occuper.	Статуя духа животного\nв большом хлеве или вольере\nгладит животных каждый день.	Постави статуя на животински дух\nв голяма плевня или курник.\nТя гали животните всеки ден.
ui/tutorials/animal_sprite_statue/steps/1/text	Animal Sprite Statues need to be charged with an Essence Stone in order to work.	Il faut charger le totem avec une pierre d'essence pour qu'il fonctionne.	Чтобы статуя работала,\nв неё нужно положить\nкамень эссенции.	Зареди статуята с камък\nот есенция, за да работи.
ui/tutorials/animal_sprite_statue/steps/2/text	The larger the Essence Stone, the more days of charge they contain.	Plus la pierre d'essence en question est grosse, plus sa charge dure longtemps.	Чем больше камень эссенции,\nтем больше дней заряда он даёт.	По-големите камъни от есенция\nдържат заряд за повече дни.
ui/tutorials/animal_sprite_statue/steps/3/text	Essence Stones can be crafted when the Stone Refinery has been unlocked.	Vous pouvez fabriquer des pierres d'essence lorsque l'affinerie est débloquée.	Камни эссенции можно\nсоздавать, если вы открыли\nкамнетёсную установку.	Камъни от есенция се правят\nслед отключване на пречиствател\nза камъни.
ui/tutorials/animal_sprite_statue/steps/4/text	You can also find Essence Stones sometimes in Mines treasure chests!	Vous en trouverez aussi parfois dans les coffres au trésor des mines !	Также их иногда можно найти\nв сундуках с сокровищами\nв шахтах!	Понякога има камъни от есенция\nи в сандъци в Мините!
ui/tutorials/animal_sprite_statue/title	Tutorial: Animal Sprite Statues	Tutoriel : les totems d'animal	Обучение: статуи духов животных	Урок: Статуи на животински дух
ui/tutorials/apiaries_and_terrariums/steps/0/text	Apiaries & Terrariums can be placed\noutside on your farm and then filled\nwith bees & bugs respectively.	Les ruches et les terrariums peuvent être placés en extérieur et accueillent des abeilles et des insectes.	Размещайте ульи и террариумы\nна своей ферме и сажайте туда\nпчёл и жуков соответственно.	Постави пчелини и терариуми\nвъв фермата си.\nНапълни ги с пчели и насекоми.
ui/tutorials/apiaries_and_terrariums/steps/1/text	Apiaries can be filled with different\nkinds of bees to produce different\nkinds of Honey based on rarity.	Les ruches peuvent abriter différents types d'abeilles qui produisent des miels différents en fonction de leur rareté.	Разные пчёлы в улье\nбудут давать разный мёд,\nв зависимости от редкости.	Сложи различни пчели в пчелина,\nза да получаваш мед\nсъс същата рядкост.
ui/tutorials/apiaries_and_terrariums/steps/10/text	And finally, Fish Bait can also be\nused to load the Fish Trap on\nthe west side of the Beach.	Enfin, vous pouvez aussi mettre un appât dans le casier situé à l'extrémité ouest de la plage.	Также наживку можно\nположить в садок для рыбы\nна западной стороне пляжа.	Стръвта може да се залага\nв капана за риба на западния\nПлаж.
ui/tutorials/apiaries_and_terrariums/steps/2/text	For example, putting 4 Legendary\nbees into an Apiary will cause it to\nproduce Legendary Honey.	Par exemple, si vous mettez 4 abeilles légendaires dans une ruche, elles produiront du miel légendaire.	Например, если в улье живут\n4 легендарных пчелы,\nполучится легендарный мёд.	4 легендарни пчели в пчелин\nпроизвеждат легендарен мед.
ui/tutorials/apiaries_and_terrariums/steps/3/text	Similarly, Terrariums will produce\ndifferent Bug Pheromones & Fish Bait\nbased on the rarity of its bugs.	De même, les terrariums produisent des phéromones et des appâts différents selon la rareté des insectes.	Террариумы тоже дают разные\nферомоны и наживку, согласно\nредкости жуков внутри.	Терариумите произвеждат\nферомони за насекоми и стръв\nспоред рядкостта на насекомите.
ui/tutorials/apiaries_and_terrariums/steps/4/text	Every 3 days, your bees & bugs will\nrequest a certain kind of food.	Tous les 3 jours, vos abeilles et vos insectes auront besoin d'un type de nourriture spécifique.	Раз в 3 дня ваши пчёлы\nи жуки будут просить\nопределённый вид корма.	На всеки 3 дни пчелите\nи насекомите искат храна.
ui/tutorials/apiaries_and_terrariums/steps/5/text	When you feed them, bees will give\nyou Honey, while bugs will give you\nBug Pheromones or Fish Bait.	Une fois nourris, les abeilles produiront du miel et les insectes des appâts et des phéromones.	Накормленные пчёлы дадут вам\nмёд, а жуки дадут феромоны\nили наживку для рыбы.	Нахрани ги, за да получиш\nмед, феромони за насекоми\nили стръв за риба.
ui/tutorials/apiaries_and_terrariums/steps/6/text	Bug Pheromones can be used on\nopen ground to summon a bug\nfor you to catch.	Les phéromones s'utilisent en extérieur pour attirer un insecte que vous pourrez attraper.	Феромоны можно использовать\nна открытом воздухе, чтобы\nпривлечь жука и поймать его.	Ползвай феромон на открито,\nза да призовеш насекомо\nи да го уловиш.
ui/tutorials/apiaries_and_terrariums/steps/7/text	The rarity of the summoned bug\nwill match the rarity of the\nBug Pheromone used.	La rareté de l'insecte sera identique à celle des phéromones utilisées.	Редкость нового жука зависит\nот редкости феромона.	Рядкостта на насекомото\nсъвпада с тази на феромона.
ui/tutorials/apiaries_and_terrariums/steps/8/text	Similarly, Fish Bait can be used\non open water to summon a fish\nthat you can then catch.	De même, jetez un appât dans une étendue d'eau pour attirer un poisson que vous pourrez pêcher.	Наживка используется\nна воде, чтобы привлечь рыбу.\nЗатем её можно поймать.	Ползвай стръв в открита вода,\nза да призовеш риба\nи да я уловиш.
ui/tutorials/apiaries_and_terrariums/steps/9/text	The rarity of the summoned\nfish will match the rarity of\nthe Fish Bait used.	La rareté du poisson sera identique à celle de l'appât utilisé.	Редкость этой рыбы зависит\nот редкости наживки.	Рядкостта на рибата съвпада\nс тази на използваната стръв.
ui/tutorials/apiaries_and_terrariums/title	Tutorial: Apiaries & Terrariums	Tutoriel : les ruches et les terrariums	Обучение: ульи и террариумы	Урок: Пчелини и терариуми
ui/tutorials/baby/steps/0/text	Your spouse will carry your baby\nwith them throughout the day.			Your spouse will carry your baby\nwith them throughout the day.
ui/tutorials/baby/steps/1/text	You can also carry your baby on\nyour back, and return them to\nyour spouse as needed!			You can also carry your baby on\nyour back, and return them to\nyour spouse as needed!
ui/tutorials/baby/steps/2/text	When it's time to rest, you can\nplace your baby in their cradle.			When it's time to rest, you can\nplace your baby in their cradle.
ui/tutorials/baby/title	Tutorial: Baby Care			Урок: Грижи за бебето
ui/tutorials/blacksmithing/steps/0/text	Step 1:\nOpen the blacksmithing menu by interacting with the anvil.	Étape 1 : interagissez avec l'enclume pour ouvrir le menu « Ferronnerie ».	1. Используйте наковальню,\nчтобы открыть меню кузницы.	Отвори менюто за ковачество\nот наковалнята.
ui/tutorials/blacksmithing/steps/1/text	Step 2:\nSelect what you want to craft\non the left side of the menu.	Étape 2 : sélectionnez ce que voulez forger sur le côté gauche du menu.	2. В левом меню выберите,\nчто вы хотите выковать.	Избери предмет отляво\nв менюто за ковачество.
