key	english	french	russian	bulgarian
Conversations/Bank/Seridia/Banked Lines/basement/basement_1/init	Greetings, [Ari].	Je te salue, [Ari].	Приветствую, [Ari].	Greetings, [Ari].
Conversations/Bank/Seridia/Banked Lines/basement/basement_2/init	Yes? Did you need something, [Ari]?	Oui ? As-tu besoin de quelque chose, [Ari] ?	Да? Тебе что-то нужно, [Ari]?	Yes? Did you need something, [Ari]?
Conversations/Bank/Seridia/Banked Lines/bathhouse/bathhouse_0/1	Juniper sets the ambiance well.	Juniper sait créer une ambiance.	Джунипер умеет создать правильную атмосферу.	Juniper sets the ambiance well.
Conversations/Bank/Seridia/Banked Lines/bathhouse/bathhouse_0/init	The aromas that fill this bathhouse... they are invigorating.	Les arômes qui emplissent ces bains... Ils sont revigorants.	Ароматы в этой купальне... помогают взбодриться.	The aromas that fill this bathhouse... they are invigorating.
Conversations/Bank/Seridia/Banked Lines/bathhouse/bathhouse_1/1	What? It is a figure of speech.	Qu'y a-t-il ? C'est juste une façon de parler.	Что? Это просто фигура речи.	What? It is a figure of speech.
Conversations/Bank/Seridia/Banked Lines/bathhouse/bathhouse_1/init	Oh, this bathhouse is a luxury worth killing for.	Oh ! Je pourrais tuer pour savourer le luxe de ces bains.	О, за такую роскошь, как эта купальня, я готова убить.	Oh, this bathhouse is a luxury worth killing for.
Conversations/Bank/Seridia/Banked Lines/bathhouse/bathhouse_2/1	I will have a word with Dozy about it.	Il faudra que j'en parle à Dozy.	Надо будет обсудить это с Дрёмой.	I will have a word with Dozy about it.
Conversations/Bank/Seridia/Banked Lines/bathhouse/bathhouse_2/init	Try as I might, the bins in the changing room are not big enough to hold my armor...	J'ai beau essayer, les paniers à disposition dans les vestiaires ne sont pas assez grands pour contenir mon armure.	Мои доспехи не вмещаются в корзины в раздевалке, как бы я ни старалась...	Try as I might, the bins in the changing room are not big enough to hold my armor...
Conversations/Bank/Seridia/Banked Lines/bathhouse/bathhouse_3/1	I never did find a hot spring large enough to accommodate my draconic form.	Je ne suis jamais parvenue à trouver une source chaude assez vaste pour accueillir ma forme de dragon.	В драконьем обличье мне так и не удалось отыскать горячий источник подходящего размера.	I never did find a hot spring large enough to accommodate my draconic form.
Conversations/Bank/Seridia/Banked Lines/bathhouse/bathhouse_3/init	It is a pleasure to enjoy a hot bath in a mortal body.	C'est un plaisir de savourer un bain chaud dans un corps mortel.	В теле смертного очень приятно принимать горячую ванну.	It is a pleasure to enjoy a hot bath in a mortal body.
Conversations/Bank/Seridia/Banked Lines/bathhouse/bathhouse_4/1	I will make accommodations for her feelings. For now.	Je vais prendre en compte son ressenti. Pour l'instant.	Пожалуй, я проявлю уважение к её чувствам. На сей раз.	I will make accommodations for her feelings. For now.
Conversations/Bank/Seridia/Banked Lines/bathhouse/bathhouse_4/2	But perhaps, once she is distracted...	Mais peut-être qu'un jour où elle sera distraite...	Но, возможно, когда она отвлечётся...	But perhaps, once she is distracted...
Conversations/Bank/Seridia/Banked Lines/bathhouse/bathhouse_4/init	I came here to wash my armor in the magic-infused water of this bathhouse... but it seems Juniper is against such things.	Je suis venue ici pour laver mon armure dans les eaux imprégnées de magie de ces bains... mais Juniper y semble opposée.	Я хотела омыть свои доспехи в богатых магией водах этой купальни... Но оказалось, что Джунипер это не по нраву.	I came here to wash my armor in the magic-infused water of this bathhouse... but it seems Juniper is against such things.
