key	english	french	russian	bulgarian
Conversations/Group Conversations/Adeline_Balor/letters/letters/1	Not at all! I'll make arrangements so they all arrive at their proper destinations.	Non, pas du tout ! Je veillerai à ce qu'elles arrivent toutes à bon port.	Вовсе нет! Я позабочусь, чтобы каждое письмо нашло своего адресата.	Not at all! I'll make arrangements so they all arrive at their proper destinations.
Conversations/Group Conversations/Adeline_Balor/letters/letters/init	I have some letters here for various people in the Capital. I hope this isn't too many!	J'ai plusieurs lettres pour des habitants de la capitale. J'espère que ça n'en fait pas trop !	Я тут приготовила письма для разных людей в столице. Это же не слишком много?	I have some letters here for various people in the Capital. I hope this isn't too many!
Conversations/Group Conversations/Adeline_Balor/market/market/1	It's great for the local economy, and the entire town really looks forward to it!	C'est très bon pour l'économie locale, et les habitants adorent y flâner.	Во-первых, он поднимает местную экономику. Во-вторых, все горожане каждую неделю его ждут!	It's great for the local economy, and the entire town really looks forward to it!
Conversations/Group Conversations/Adeline_Balor/market/market/2	I know I sure do! I don't know how I got through the week without Darcy's =Coffee=!	Oui, et moi aussi ! Je ne sais pas comment j'ai réussi à tenir toute la semaine sans le =café= de Darcy !	Да, я точно жду! Не знаю, как бы я протянула неделю без =кофе= Дарси!	I know I sure do! I don't know how I got through the week without Darcy's =Coffee=!
Conversations/Group Conversations/Adeline_Balor/market/market/init	After a few seasons, it's fair to say that the Saturday Market is better than ever.	Après quelques saisons, on peut dire que le marché du samedi est un vrai succès.	Субботний базар пережил уже несколько сезонов, и можно точно сказать, что дела у него идут отлично.	After a few seasons, it's fair to say that the Saturday Market is better than ever.
Conversations/Group Conversations/Adeline_Balor/no_nails/no_nails/1	Got it. I'll let March know...	Entendu. Je préviendrai March...	Понятно. Тогда я попрошу Марта...	Got it. I'll let March know...
Conversations/Group Conversations/Adeline_Balor/no_nails/no_nails/init	I've got another shipment coming in, but I'm afraid nails aren't on the manifest.	J'attends un autre arrivage, mais je ne vois pas de clous sur le bon de commande.	Новый заказ скоро приедет, но, к сожалению, гвоздей в этой поставке нет.	I've got another shipment coming in, but I'm afraid nails aren't on the manifest.
Conversations/Group Conversations/Adeline_Balor/storefront/storefront/1	I'm attached to my wagon, Adeline. That's four walls, a roof, and wheels!	Je suis habitué à mon chariot, Adeline. Il a quatre murs, un toit et, pour ne rien gâcher, des roues !	Мне по душе мой фургон, Аделина. Тут тоже отдельная крыша и ещё четыре колеса в придачу!	I'm attached to my wagon, Adeline. That's four walls, a roof, and wheels!
Conversations/Group Conversations/Adeline_Balor/storefront/storefront/init	You really don't want a permanent storefront here? With four walls and a roof?	Ça ne te dirait vraiment pas d'avoir une boutique en dur ? Avec quatre murs et un toit ?	Уверен, что не хочешь открыть у нас постоянную лавку? Будешь торговать под отдельной крышей.	You really don't want a permanent storefront here? With four walls and a roof?
Conversations/Group Conversations/Adeline_Balor_Celine_Hemlock_Reina/inn_poker/inn_poker/1	Glad I folded early. My merchant's instinct was whispering to me.	Heureusement que je m'étais couché avant. Mon flair de marchand ne m'a pas trompé.	Хорошо, что я рано ушёл в пас. Чутьё торговца не обмануло.	Glad I folded early. My merchant's instinct was whispering to me.
