key	english	french	russian	bulgarian
Conversations/gossip/gossip_cooldown/init	Sorry dear, you'll have to wait until I've heard more things to share!	Je suis désolée, mon chou, mais tu devras attendre que j'aie d'autres potins à partager avec toi !	Прости, дорогуша, придётся подождать, пока до меня дойдут новые слухи!	Sorry dear, you'll have to wait until I've heard more things to share!
Conversations/gossip/gossip_eight/init	Don't be shy, [Ari]! Let me know who you want to chat about.	Ne sois pas timide, [Ari] ! Dis-moi de qui tu as envie que nous parlions.	Не стесняйся, [Ari]! Скажи, о ком тебе хочется посплетничать.	Don't be shy, [Ari]! Let me know who you want to chat about.
Conversations/gossip/gossip_five/init	Let me regale you with the latest gossip, [Ari]!	Je vais te régaler avec les tout derniers potins, [Ari] !	Позволь поделиться с тобой свежими сплетнями, [Ari]!	Let me regale you with the latest gossip, [Ari]!
Conversations/gossip/gossip_four/init	I think you're going to like this one, [Ari].	Je pense que cette histoire va bien te plaire, [Ari].	Думаю, тебе понравится, что я расскажу, [Ari].	I think you're going to like this one, [Ari].
Conversations/gossip/gossip_one/init	Oh, [Ari], you simply must hear about this...	Oh [Ari], il faut absolument que tu entendes ça...	Ох, [Ari], тебе обязательно надо это услышать...	Oh, [Ari], you simply must hear about this...
Conversations/gossip/gossip_seven/init	Even in a small town like Mistria, there's always plenty of gossip!	Même dans une petite ville comme Mistria, il y a toujours de quoi faire, niveau potins !	Даже в таком небольшом городке, как Мистрия всегда полно сплетен!	Even in a small town like Mistria, there's always plenty of gossip!
Conversations/gossip/gossip_six/init	There's nothing quite like a little gossip to add intrigue to the day.	Rien ne vaut quelques petits potins pour ajouter un peu de piment à la journée.	Чтобы день не прошёл без интриги, лучше всего поделиться слухами!	There's nothing quite like a little gossip to add intrigue to the day.
Conversations/gossip/gossip_three/init	I've been excited to share this with you...	J'avais hâte de te raconter ça...	Я так хочу тебе кое-что рассказать...	I've been excited to share this with you...
Conversations/gossip/gossip_two/init	I heard something most intriguing, [Ari]. Would you like to hear?	J'ai appris quelque chose d'assez piquant, [Ari]. Tu veux que je te le répète ?	У меня есть для тебя весьма интригующие новости, [Ari]. Хочешь послушать?	I heard something most intriguing, [Ari]. Would you like to hear?
Conversations/gossip/no_gossip/init	It seems you know this town as well as I do, [Ari]! I'm all out of gossip for you.	Apparemment, tu connais cette ville aussi bien que moi, [Ari] ! Je n'ai plus aucun potin à te raconter.	Кажется, ты всё про всех знаешь не хуже меня, [Ari]! У меня больше нет для тебя сплетен.	It seems you know this town as well as I do, [Ari]! I'm all out of gossip for you.
