key	english	french	russian	bulgarian
Conversations/Friday Night at the Inn/Group 1/Cards/cards_1/cards_1/1	Ooh, she sounds pretty confident, don't you think, Ryis?	Oh, elle a l'air sûre d'elle, tu ne trouves pas, Ryis ?	У-у, она звучит уверенно, правда, Риз?	Ooh, she sounds pretty confident, don't you think, Ryis?
Conversations/Friday Night at the Inn/Group 1/Cards/cards_1/cards_1/2	Wish I could say... I just deal the cards, man.	Je n'en sais rien... Moi, je donne les cartes.	Не могу сказать... Я сегодня только на раздаче, друг.	Wish I could say... I just deal the cards, man.
Conversations/Friday Night at the Inn/Group 1/Cards/cards_1/cards_1/3	I'm in for fifty more tesserae.	Je relance de cinquante tesserae.	Я ставлю ещё пятьдесят тессер.	I'm in for fifty more tesserae.
Conversations/Friday Night at the Inn/Group 1/Cards/cards_1/cards_1/4	Ho ho... that bluff won't work on me. Are you quite certain you don't need any more cards, Nora?	Ho ho... ça sent le coup de bluff. Tu es vraiment sûre que tu ne veux plus de cartes, Nora ?	Хо-хо... Со мной такой блеф не пройдёт. Ты точно уверена, что тебе хватит карт, Нора?	Ho ho... that bluff won't work on me. Are you quite certain you don't need any more cards, Nora?
Conversations/Friday Night at the Inn/Group 1/Cards/cards_1/cards_1/5	Are YOU sure you don't need any more cards, Errol?	Et TOI, Errol ? Es-tu sûr que tu ne veux plus de cartes ?	А ТЫ уверен, что тебе хватит карт, Эррол?	Are YOU sure you don't need any more cards, Errol?
Conversations/Friday Night at the Inn/Group 1/Cards/cards_1/cards_1/6	Now now, let's keep it friendly... no need to get worked up.	Allons, allons, on se calme... Inutile de se provoquer les uns les autres.	Тихо, тихо, давайте по-хорошему... Не будем ссориться.	Now now, let's keep it friendly... no need to get worked up.
Conversations/Friday Night at the Inn/Group 1/Cards/cards_1/cards_1/7	Hey guys, four of a kind is good, right? Or should I hold out for five of a kind? Guys?	Dites, quatre cartes identiques, c'est bien ? Ou il vaut mieux que j'attende d'en avoir cinq ? Les amis ?	Ребята, каре — это вроде хорошо, да? Или лучше подождать пятой такой же? Ребята?	Hey guys, four of a kind is good, right? Or should I hold out for five of a kind? Guys?
Conversations/Friday Night at the Inn/Group 1/Cards/cards_1/cards_1/init	Hit me.	Sers-moi.	Ещё одну.	Hit me.
Conversations/Friday Night at the Inn/Group 1/Cards/cards_2/cards_2/1	I didn't mind... he did treat us all to another round!	Moi, ça ne m'a pas gêné... vu qu'il a payé sa tournée après !	А я и не расстроился... Всё равно он из выигрыша нас всех угостил!	I didn't mind... he did treat us all to another round!
Conversations/Friday Night at the Inn/Group 1/Cards/cards_2/cards_2/2	Hit me.	Sers-moi.	Ещё одну.	Hit me.
Conversations/Friday Night at the Inn/Group 1/Cards/cards_2/cards_2/3	Don't think you can hide your reaction from me, Errol... I know all your tells!	On ne me la fait pas, à moi, Errol... Je connais tous tes trucs !	Не думай, что я не вижу твоей реакции, Эррол... Я тебя насквозь вижу!	Don't think you can hide your reaction from me, Errol... I know all your tells!
Conversations/Friday Night at the Inn/Group 1/Cards/cards_2/cards_2/4	The problem both of you have is that your little rivalry blinds you to the rest of the table. Isn't that right, Ryis?	Vous deux, votre problème, c'est que votre petite guéguerre vous empêche d'analyser ce qui se passe autour de la table. Pas vrai, Ryis ?	Ваша проблема в том, ребята, что ваши перепалки мешают следить за остальным столом. Правда ведь, Риз?	The problem both of you have is that your little rivalry blinds you to the rest of the table. Isn't that right, Ryis?
