key	english	french	russian	bulgarian
Conversations/tali_challenges_active_lines/beet_soup_challenge_active/1	The grand finale.	C'est la dernière ligne droite.	Моё финальное задание.	The grand finale.
Conversations/tali_challenges_active_lines/beet_soup_challenge_active/2	Let's see if you can pull off =Beet Soup=!	Voyons si tu arrives à me faire une =soupe à la betterave= !	Посмотрим, сможешь ли ты приготовить =свекольный суп=!	Let's see if you can pull off =Beet Soup=!
Conversations/tali_challenges_active_lines/beet_soup_challenge_active/2/prompts/0	Where do I get the recipe to make it?	Où puis-je trouver la recette pour le préparer ?	Где мне достать этот рецепт?	Where do I get the recipe to make it?
Conversations/tali_challenges_active_lines/beet_soup_challenge_active/2/prompts/1	Hope you're ready for some Beet Soup!	Prépare-toi à une soupe à la betterave de compétition !	Надеюсь, ты готов отведать свекольного супа!	Hope you're ready for some Beet Soup!
Conversations/tali_challenges_active_lines/beet_soup_challenge_active/3	Since I'm feeling generous...	Je suis d'humeur généreuse.	Подскажу, сегодня я добрый...	Since I'm feeling generous...
Conversations/tali_challenges_active_lines/beet_soup_challenge_active/4	I believe the $Sleeping Dragon Inn$ sells the recipe.	Je te dirai donc que la recette est en vente à l'$auberge du Dragon qui dort$.	По моим сведениям, рецепт продаётся в $трактире «Спящий дракон»$.	I believe the $Sleeping Dragon Inn$ sells the recipe.
Conversations/tali_challenges_active_lines/beet_soup_challenge_active/5	Only the best chefs can get the delicate balance of flavors right, so I wouldn't get your hopes up.	Seuls les grands cuisiniers obtiennent le bon équilibre entre les différents arômes, alors ne te fais pas trop d'illusions.	Только лучшие повара могут соблюсти тонкий баланс вкусов, так что я бы на твоём месте не задирал нос.	Only the best chefs can get the delicate balance of flavors right, so I wouldn't get your hopes up.
Conversations/tali_challenges_active_lines/beet_soup_challenge_active/6	I'm looking forward to it.	J'ai hâte d'y goûter.	Буду ждать твоих результатов.	I'm looking forward to it.
Conversations/tali_challenges_active_lines/beet_soup_challenge_active/init	This is it, [Ari].	Nous y sommes, [Ari].	Этот час настал, [Ari].	This is it, [Ari].
Conversations/tali_challenges_active_lines/bell_berry_bakewell_tart_challenge_active/1	It's a dessert that's been trending recently in the Capital.	Il s'agit d'un dessert qui fait fureur en ce moment, à la capitale.	Этот десерт в последнее время пользуется популярностью в столице.	It's a dessert that's been trending recently in the Capital.
Conversations/tali_challenges_active_lines/bell_berry_bakewell_tart_challenge_active/2	The berries are imported in limited quantities from the countryside.	Les rares arrivages de baies viennent de la campagne.	Ягоды для начинки в ограниченных количествах импортируются из провинции.	The berries are imported in limited quantities from the countryside.
Conversations/tali_challenges_active_lines/bell_berry_bakewell_tart_challenge_active/3	It would be a shame if you couldn't find a way to get your hands on any.	Ce serait vraiment dommage que tu n'arrives pas à t'en procurer.	Как неудобно получится, если ты нигде не сможешь их достать.	It would be a shame if you couldn't find a way to get your hands on any.
Conversations/tali_challenges_active_lines/bell_berry_bakewell_tart_challenge_active/3/prompts/0	Where do I get the recipe to make a Bell Berry Bakewell Tart?	Où vais-je trouver la recette de la tarte aux clocherelles ?	Где мне найти рецепт для тарта из колокольника?	Where do I get the recipe to make a Bell Berry Bakewell Tart?
Conversations/tali_challenges_active_lines/bell_berry_bakewell_tart_challenge_active/3/prompts/1	You're joking, right?	C'est une blague, hein ?	Ты шутишь, да?	You're joking, right?
Conversations/tali_challenges_active_lines/bell_berry_bakewell_tart_challenge_active/4	I think the real question is where to get the $Bell Berries$.	La question est plus de savoir où trouver des $clocherelles$.	Я думаю, лучше задать вопрос, где найти сам $колокольник$.	I think the real question is where to get the $Bell Berries$.
Conversations/tali_challenges_active_lines/bell_berry_bakewell_tart_challenge_active/5	Only those who $ship them$ are likely to know the recipe.	Seuls les négociants qui en $expédient$ sont susceptibles d'en connaître la recette.	Рецепт обычно знают те, кто его $поставляет$.	Only those who $ship them$ are likely to know the recipe.
Conversations/tali_challenges_active_lines/bell_berry_bakewell_tart_challenge_active/6	Unfortunately for you...	Malheureusement pour toi...	К твоему несчастью...	Unfortunately for you...
Conversations/tali_challenges_active_lines/bell_berry_bakewell_tart_challenge_active/7	I am not.	Je ne suis pas négociant.	Я этим не занимаюсь.	I am not.
Conversations/tali_challenges_active_lines/bell_berry_bakewell_tart_challenge_active/init	Have you ever heard of a $Bell Berry Bakewell Tart$?	As-tu déjà entendu parler de la $tarte aux clocherelles$ ?	Ты когда-нибудь <p>слышали</p><f>слышала</f><m>слышал</m><n>слышало</n> про $тарт из колокольника$?	Have you ever heard of a $Bell Berry Bakewell Tart$?
Conversations/tali_challenges_active_lines/bell_berry_bakewell_tart_challenge_follow_up_reina/1	Can you believe it?	C'est incroyable, non ?	Представляешь себе?	Can you believe it?
Conversations/tali_challenges_active_lines/bell_berry_bakewell_tart_challenge_follow_up_reina/2	I suppose we have you to thank... for shipping all those $Bell Berries$!	Et c'est à toi qu'on le doit... vu que tu as expédié plein de $clocherelles$ !	Если подумать, это тебя надо благодарить... за то, что поставляешь нам $колокольник$!	I suppose we have you to thank... for shipping all those $Bell Berries$!
Conversations/tali_challenges_active_lines/bell_berry_bakewell_tart_challenge_follow_up_reina/init	Taliferro said my $Bell Berry Bakewell Tart$ inspired a trend in the Capital!	D'après Taliferro, ma $tarte aux clocherelles$ fait fureur dans la capitale !	Талиферро сказал, что мой $тарт из колокольника$ вошёл в моду в столице!	Taliferro said my $Bell Berry Bakewell Tart$ inspired a trend in the Capital!
Conversations/tali_challenges_active_lines/chocolate_cake_challenge_active/1	Are you sure you can manage it?	Tu penses vraiment en être capable ?	<p>Уверены</p><f>Уверена</f><m>Уверен</m><n>Уверено</n>, что стоит браться?	Are you sure you can manage it?
Conversations/tali_challenges_active_lines/chocolate_cake_challenge_active/1/prompts/0	Where do I get the recipe to make Chocolate Cake?	Où puis-je trouver la recette du gâteau au chocolat ?	Где мне найти рецепт шоколадного торта?	Where do I get the recipe to make Chocolate Cake?
Conversations/tali_challenges_active_lines/chocolate_cake_challenge_active/1/prompts/1	Maybe it's hard for you.	Pour toi, peut-être.	Для тебя, может, и трудно.	Maybe it's hard for you.
Conversations/tali_challenges_active_lines/chocolate_cake_challenge_active/2	Oh, so you haven't made it before?	Oh, alors tu n'en as jamais préparé ?	А, так ты даже не <p>пробовали</p><f>пробовала</f><m>пробовал</m><n>пробовало</n> его готовить?	Oh, so you haven't made it before?
Conversations/tali_challenges_active_lines/chocolate_cake_challenge_active/3	I believe $Darcy sells the recipe$.	Il me semble que $Darcy vend la recette$.	Насколько я знаю, $рецепт можно купить у Дарси$.	I believe $Darcy sells the recipe$.
Conversations/tali_challenges_active_lines/chocolate_cake_challenge_active/4	Good luck. You'll need it.	Bonne chance. Tu en auras besoin.	Удачи. Без неё тебе не обойтись.	Good luck. You'll need it.
Conversations/tali_challenges_active_lines/chocolate_cake_challenge_active/5	I-	Je...	Я...	I-
Conversations/tali_challenges_active_lines/chocolate_cake_challenge_active/6	O-of course it isn't hard for me! I could make a $Chocolate Cake$ in my sleep!	B-Bien sûr que non ! Je pourrais préparer un $gâteau au chocolat$ les yeux fermés !	Д-да для меня это проще простого! $Шоколадный торт$ я могу хоть во сне приготовить!	O-of course it isn't hard for me! I could make a $Chocolate Cake$ in my sleep!
Conversations/tali_challenges_active_lines/chocolate_cake_challenge_active/init	A perfectly balanced $Chocolate Cake$ is harder to make than you might think.	Confectionner un $gâteau au chocolat$ bien équilibré est plus difficile qu'on ne l'imagine.	Приготовить идеально сбалансированный $шоколадный торт$ может быть труднее, чем ты думаешь.	A perfectly balanced $Chocolate Cake$ is harder to make than you might think.
Conversations/tali_challenges_active_lines/crispy_fried_earthshroom_challenge_active/1	The $Crispy Fried Earthshroom$ is probably beyond you.	La confection d'un $beignet de terramanite$ n'est pas donnée à tout le monde.	$Земляные грибы в кляре$ — наверняка не твой уровень.	The $Crispy Fried Earthshroom$ is probably beyond you.
Conversations/tali_challenges_active_lines/crispy_fried_earthshroom_challenge_active/1/prompts/0	Where do I get the recipe to make it?	Où puis-je trouver la recette ?	Где мне достать этот рецепт?	Where do I get the recipe to make it?
Conversations/tali_challenges_active_lines/crispy_fried_earthshroom_challenge_active/1/prompts/1	I'm just surprised you picked such an easy dish.	Ça m'étonne que tu aies choisi un plat aussi simple.	Я удивляюсь, что ты выбрал такое простое блюдо.	I'm just surprised you picked such an easy dish.
Conversations/tali_challenges_active_lines/crispy_fried_earthshroom_challenge_active/2	Rumors say the original recipe was found by a $Taste Maker$ inside a treasure chest...	Si l'on en croit la rumeur, la recette a été découverte dans un coffre au trésor par un $Extracteur de goûts$...	По слухам, оригинальный рецепт нашёл в сундуке некий $законодатель вкуса$...	Rumors say the original recipe was found by a $Taste Maker$ inside a treasure chest...
Conversations/tali_challenges_active_lines/crispy_fried_earthshroom_challenge_active/3	While exploring a $Water-filled Cavern$.	Apparemment, il était en train d'explorer une $grotte pleine d'eau$.	Когда исследовал одну $водянистую пещеру$.	While exploring a $Water-filled Cavern$.
Conversations/tali_challenges_active_lines/crispy_fried_earthshroom_challenge_active/4	Good luck with that.	Bon courage.	Так что удачи тебе.	Good luck with that.
Conversations/tali_challenges_active_lines/crispy_fried_earthshroom_challenge_active/5	...	...	...	...
Conversations/tali_challenges_active_lines/crispy_fried_earthshroom_challenge_active/6	We'll see where that overconfidence lands you.	Voyons où te mène un tel excès de confiance.	Посмотрим, до чего тебя доведёт самонадеянность.	We'll see where that overconfidence lands you.
Conversations/tali_challenges_active_lines/crispy_fried_earthshroom_challenge_active/init	I'm not surprised you look bewildered, [Ari].	Ton air perplexe ne me surprend guère, [Ari].	Не удивлён, что ты так растерянно выглядишь, [Ari].	I'm not surprised you look bewildered, [Ari].
Conversations/tali_challenges_active_lines/crystal_berry_pie_challenge_active/1	I doubt you have the palate to appreciate it.	Je ne pense pas que tes papilles sont aptes à en apprécier les subtilités.	Сомневаюсь, что у тебя хватит вкуса его оценить.	I doubt you have the palate to appreciate it.
Conversations/tali_challenges_active_lines/crystal_berry_pie_challenge_active/1/prompts/0	Where do I get the recipe to make Crystal Berry Pie?	Où puis-je trouver la recette de la tarte aux baies de cristal ?	Где мне найти рецепт пирога из кристальных ягод?	Where do I get the recipe to make Crystal Berry Pie?
Conversations/tali_challenges_active_lines/crystal_berry_pie_challenge_active/1/prompts/1	Have YOU ever tasted it?	Tu en as déjà mangé, TOI ?	А ТЫ когда-нибудь пробовал?	Have YOU ever tasted it?
Conversations/tali_challenges_active_lines/crystal_berry_pie_challenge_active/2	I'm not surprised you're not familiar with it.	Ton ignorance à ce sujet ne m'étonne guère.	Неудивительно, что ты его не знаешь.	I'm not surprised you're not familiar with it.
Conversations/tali_challenges_active_lines/crystal_berry_pie_challenge_active/3	Maybe someone will take pity on you and share the recipe if you $ship a Crystal Berry$.	Si jamais $tu expédiais une baie de cristal$, quelqu'un aurait peut-être pitié de toi et te donnerait sa recette ?	Возможно, кто-нибудь тебя пожалеет и поделится с тобой рецептом, если ты $продашь кристальную ягоду$.	Maybe someone will take pity on you and share the recipe if you $ship a Crystal Berry$.
Conversations/tali_challenges_active_lines/crystal_berry_pie_challenge_active/4	O-of course I have!	B-Bien entendu !	К-конечно же пробовал!	O-of course I have!
Conversations/tali_challenges_active_lines/crystal_berry_pie_challenge_active/5	Are you suggesting I don't know what it tastes like!?	Serais-tu en train d'insinuer que je n'en connais pas le goût ?!	Ты что, намекаешь, что я сам не знаю, какой он на вкус?!	Are you suggesting I don't know what it tastes like!?
Conversations/tali_challenges_active_lines/crystal_berry_pie_challenge_active/init	Have you ever tasted $Crystal Berry Pie$, [Ari]?	As-tu déjà mangé de la $tarte aux baies de cristal$, [Ari] ?	Ты когда-нибудь <p>пробовали</p><f>пробовала</f><m>пробовал</m><n>пробовало</n> $пирог из кристальных ягод$, [Ari]?	Have you ever tasted $Crystal Berry Pie$, [Ari]?
Conversations/tali_challenges_active_lines/golden_cookies_challenge_active/1	They can only be made with the finest of ingredients.	On ne peut les confectionner qu'en utilisant les meilleurs ingrédients.	Его можно приготовить только из первоклассных ингредиентов.	They can only be made with the finest of ingredients.
