key	english	french	russian	bulgarian
Conversations/signposts/carpenters_sign/init	Carpenter's Shop	Menuiserie	Столярная мастерская	Carpenter's Shop
Conversations/signposts/dig_site/init	Archaeological Dig Site	Site de fouilles archéologiques	Археологические раскопки	Archaeological Dig Site
Conversations/signposts/eastern_road_central/init	$North:$ The Deep Woods, Carpenter's Shop\n$Northwest:$ Town	$Nord :$ Boissombre, atelier de menuiserie\n$Nord-ouest :$ centre-ville	$На север:$ Глубокая чаща, столярная мастерская\n$На северо-запад:$ город	$North:$ The Deep Woods, Carpenter's Shop\n$Northwest:$ Town
Conversations/signposts/eastern_road_north_east/init	$North:$ The Deep Woods\n$West:$ Town, Carpenter's Shop\n$East:$ Town Exit	$Nord :$ Boissombre\n$Ouest :$ centre-ville, atelier de menuiserie\n$Est :$ sortie de la ville	$На север:$ Глубокая чаща\n$На запад:$ город, столярная мастерская\n$На восток:$ выход из города	$North:$ The Deep Woods\n$West:$ Town, Carpenter's Shop\n$East:$ Town Exit
Conversations/signposts/eastern_road_north_west/init	$North:$ The Deep Woods\n$West:$ Town	$Nord :$ Boissombre\n$Ouest :$ centre-ville	$На север:$ Глубокая чаща\n$На запад:$ город	$North:$ The Deep Woods\n$West:$ Town
Conversations/signposts/eastern_road_south/init	$North:$ The Deep Woods, Carpenter's Shop\n$West:$ Town	$Nord :$ Boissombre, atelier de menuiserie\n$Ouest :$ centre-ville	$На север:$ Глубокая чаща, столярная мастерская\n$На запад:$ город	$North:$ The Deep Woods, Carpenter's Shop\n$West:$ Town
Conversations/signposts/haydens_farm_east/init	$Northwest:$ The Narrows, Museum, Mines\n$East:$ [farm_name]\n$Southwest:$ Beach	$Nord-ouest :$ Terrasses, musée, mine\n$Est :$ [farm_name]\n$Sud-ouest :$ plage	$На северо-запад:$ Ущелье, музей, шахты\n$На восток:$ «[farm_name]»\n$На юго-запад:$ пляж	$Northwest:$ The Narrows, Museum, Mines\n$East:$ [farm_name]\n$Southwest:$ Beach
Conversations/signposts/haydens_farm_west/init	$North:$ The Narrows, Museum, Mines\n$East:$ [farm_name]\n$South:$ Beach	$Nord :$ Terrasses, musée, mine\n$Est :$ [farm_name]\n$Sud :$ plage	$На север:$ Ущелье, музей, шахты\n$На восток:$ «[farm_name]»\n$На юг:$ пляж	$North:$ The Narrows, Museum, Mines\n$East:$ [farm_name]\n$South:$ Beach
Conversations/signposts/narrows_north_east/init	$North:$ Museum, Summit\n$Northwest:$ Mines, Western Ruins\n$Southwest:$ Hayden's Farm, Beach	$Nord :$ musée, sommet\n$Nord-ouest :$ mines, ruines de l'ouest\n$Sud-ouest :$ ferme d'Hayden, plage	$На север:$ музей, Вершина\n$На северо-запад:$ шахты, Западные руины\n$На юго-запад:$ ферма Хейдена, пляж	$North:$ Museum, Summit\n$Northwest:$ Mines, Western Ruins\n$Southwest:$ Hayden's Farm, Beach
Conversations/signposts/narrows_south_east/init	$North:$ Museum, Mines\n$Northwest:$ Western Ruins\n$Southwest:$ Hayden's Farm, Beach	$Nord :$ musée, mine\n$Nord-ouest :$ ruines de l'ouest\n$Sud-ouest :$ ferme d'Hayden, plage	$На север:$ музей, шахты\n$На северо-запад:$ Западные руины\n$На юго-запад:$ ферма Хейдена, пляж	$North:$ Museum, Mines\n$Northwest:$ Western Ruins\n$Southwest:$ Hayden's Farm, Beach
Conversations/signposts/town_north_east/init	$West:$ Town\n$East:$ Eastern Road, Carpenter's Shop\n$Southwest:$ [farm_name]	$Ouest :$ centre-ville\n$Est :$ route de l'est, atelier de menuiserie\n$Sud-ouest :$ [farm_name]	$На запад:$ город\n$На восток:$ Восточная дорога, столярная мастерская\n$На юго-запад:$ «[farm_name]»	$West:$ Town\n$East:$ Eastern Road, Carpenter's Shop\n$Southwest:$ [farm_name]
Conversations/signposts/town_north_west/init	$East:$ Town\n$West:$ The Narrows, Museum, Mines\n$Southeast:$ [farm_name]	$Est :$ centre-ville\n$Ouest :$ Terrasses, musée, mine\n$Sud-est :$ [farm_name]	$На восток:$ город\n$На запад:$ Ущелье, музей, шахты\n$На юго-восток:$ «[farm_name]»	$East:$ Town\n$West:$ The Narrows, Museum, Mines\n$Southeast:$ [farm_name]
Conversations/signposts/town_south/init	$North:$ Town\n$South:$ [farm_name]	$Nord :$ centre-ville\n$Sud :$ [farm_name]	$На север:$ город\n$На юг:$ «[farm_name]»	$North:$ Town\n$South:$ [farm_name]
Conversations/signposts/town_south_central/init	$North:$ Town\n$East:$ Eastern Road, Carpenter's Shop\n$West:$ The Narrows, Museum, Mines	$Nord :$ centre-ville\n$Est :$ route de l'est, atelier de menuiserie\n$Ouest :$ Terrasses, musée, mine	$На север:$ город\n$На восток:$ Восточная дорога, столярная мастерская\n$На запад:$ Ущелье, музей, шахты	$North:$ Town\n$East:$ Eastern Road, Carpenter's Shop\n$West:$ The Narrows, Museum, Mines
