key	english	french	russian	bulgarian
Conversations/Bank/Darcy/Banked Lines/aromatics/aromatics/init	I do a fresh grind for every order! It really brings out the aromatics.	Je mouds le café à la commande ! C'est ce qui fait vraiment ressortir ses arômes.	Я использую свежие измельчённые зёрна для каждого заказа. Так ароматнее.	I do a fresh grind for every order! It really brings out the aromatics.
Conversations/Bank/Darcy/Banked Lines/basement/basement_1/init	Hiya, [Ari]!	Salut, [Ari] !	Привет, [Ari]!	Hiya, [Ari]!
Conversations/Bank/Darcy/Banked Lines/dell_coffee/dell_coffee/1	She's way too conniving for her age.	Cette petite est bien trop rusée pour son âge.	Очень уж она хитрая для своего возраста.	She's way too conniving for her age.
Conversations/Bank/Darcy/Banked Lines/dell_coffee/dell_coffee/init	Another Market day spent watching vigilantly to make sure Dell doesn't get into the coffee.	Encore une journée de marché à surveiller d'un œil vigilant que Dell n'entre pas dans mon café.	Ещё один базарный день прошёл в бдении, чтобы Делл не достался кофе.	Another Market day spent watching vigilantly to make sure Dell doesn't get into the coffee.
Conversations/Bank/Darcy/Banked Lines/experimenting/experimenting/init	I've been experimenting with some new drinks since the last time I was at the Saturday Market. Take a look at the new menu!	Depuis ma dernière venue au marché du samedi, j'ai fait quelques expériences et je propose de nouvelles boissons. Jette un œil à la nouvelle carte !	Я тут немного поэкспериментировала с напитками к новому Субботнему базару. Посмотри, что новенького у меня в меню!	I've been experimenting with some new drinks since the last time I was at the Saturday Market. Take a look at the new menu!
Conversations/Bank/Darcy/Banked Lines/fall_packing_1/fall_packing_1/1	It's nice thinking back on a long day and remembering all the smiles.	C'est agréable de se remémorer tous leurs sourires à la fin d'une longue journée.	Так приятно вспоминать прошедший день и улыбки посетителей.	It's nice thinking back on a long day and remembering all the smiles.
Conversations/Bank/Darcy/Banked Lines/fall_packing_1/fall_packing_1/init	Folks love a hot drink in the fall, don't they!	Les gens adorent siroter une boisson chaude en automne !	Люди обожают горячие напитки в осенние деньки, да?	Folks love a hot drink in the fall, don't they!
Conversations/Bank/Darcy/Banked Lines/fresh_pot_of_coffee/fresh_pot_of_coffee/init	Good timing, I've got a fresh pot of coffee brewing!	Tu passes au bon moment, je suis en train de faire couler un café frais !	Ты как раз вовремя: у меня уже закипает свежий кофе!	Good timing, I've got a fresh pot of coffee brewing!
Conversations/Bank/Darcy/Banked Lines/greeting_ari/greeting_ari/1	Yes... I'm Darcy.	Oui... Darcy, c'est moi.	Да... Дарси — это я.	Yes... I'm Darcy.
Conversations/Bank/Darcy/Banked Lines/greeting_ari/greeting_ari/2	If you're ever in the mood for a nice cup of coffee or a sweet treat, be sure to stop by.	S'il te vient l'envie d'une bonne tasse de café ou d'une petite douceur sucrée, surtout passe me voir.	Если ты в настроении для чашечки кофе или сладкого пирожного, заходи непременно!	If you're ever in the mood for a nice cup of coffee or a sweet treat, be sure to stop by.
Conversations/Bank/Darcy/Banked Lines/greeting_ari/greeting_ari/3	Everything is made fresh!	Tout est frais et fait maison, ici !	У меня всё свежее!	Everything is made fresh!
Conversations/Bank/Darcy/Banked Lines/greeting_ari/greeting_ari/init	Hello there! Welcome to $Darcy's Cafe$!	Bonjour ! Bienvenue au café $Chez Darcy$ !	Добро пожаловать в $кафе «У Дарси»$!	Hello there! Welcome to $Darcy's Cafe$!
Conversations/Bank/Darcy/Banked Lines/heat/heat/init	Don't let the heat stop you from ordering something hot, sweating cools you off too!	Que la chaleur ne t'empêche pas de commander une boisson chaude, transpirer permet aussi de se rafraîchir !	Не дай жаре помешать тебе заказать что-нибудь горяченькое. Пропотеешь — и остудишься!	Don't let the heat stop you from ordering something hot, sweating cools you off too!
Conversations/Bank/Darcy/Banked Lines/hot_cup/hot_cup/1	Maybe I should talk to March, could be a nice addition to the drinks business.	Je devrais peut-être en parler à March, ça pourrait être une bonne idée de proposer ça, en plus des boissons.	Может, стоит поговорить об этом с Мартом. Это был бы неплохой дополнительный доход.	Maybe I should talk to March, could be a nice addition to the drinks business.
Conversations/Bank/Darcy/Banked Lines/hot_cup/hot_cup/init	Adeline asked me if I had any special cup that could keep her coffee hot all day.	Adeline m'a demandé si j'avais une tasse spéciale qui garderait son café au chaud toute la journée.	Аделина спросила, нет ли у меня какой-нибудь особой кружки, которая сохранит температуру её кофе на весь день.	Adeline asked me if I had any special cup that could keep her coffee hot all day.
Conversations/Bank/Darcy/Banked Lines/hot_drinks/hot_drinks/init	Sure is easy to sell hot drinks in this kind of weather.	Ça n'est vraiment pas difficile de vendre des boissons chaudes par ce temps.	В такую погоду продавать горячие напитки — раз плюнуть.	Sure is easy to sell hot drinks in this kind of weather.
Conversations/Bank/Darcy/Banked Lines/hot_year_round/hot_year_round/init	I like to rotate my menu to keep up with the season, but there are some folks who like a hot drink any time of year.	J'aime changer ma carte pour m'adapter aux saisons, mais certaines personnes aiment avoir des boissons chaudes à tout moment de l'année.	Я вношу изменения в меню, чтобы соответствовало сезону, но некоторым подавай горячие напитки кгруглый год.	I like to rotate my menu to keep up with the season, but there are some folks who like a hot drink any time of year.
Conversations/Bank/Darcy/Banked Lines/mistria_great/mistria_great/1	I'm glad I can experiment with new drinks here in Mistria! Now, where did I put that spice blend...	Je suis contente de pouvoir expérimenter de nouvelles boissons, ici, à Mistria ! D'ailleurs, où ai-je mis ce mélange aux épices...?	Хорошо, что здесь, в Мистрии, я могу экспериментировать с новыми напитками! Так, куда я дела этот пряный купаж...	I'm glad I can experiment with new drinks here in Mistria! Now, where did I put that spice blend...
Conversations/Bank/Darcy/Banked Lines/mistria_great/mistria_great/init	The Capital has a long tradition of coffee, but that also makes it a bit rigid.	Il existe une longue tradition autour du café, à la capitale, mais ça rend aussi les choses un peu rigides.	В столице давно сложившаяся кофейная традиция, но из-за этого она немного стоит на месте.	The Capital has a long tradition of coffee, but that also makes it a bit rigid.
Conversations/Bank/Darcy/Banked Lines/morning_coffee/morning_coffee/init	I've got some hot coffee for your sleepy Saturday morning, [Ari]!	J'ai du café tout chaud pour les samedis où le réveil est difficile, [Ari] !	У меня есть кофеёк для твоего сонливого субботнего утра, [Ari]!	I've got some hot coffee for your sleepy Saturday morning, [Ari]!
Conversations/Bank/Darcy/Banked Lines/new_drink/new_drink/1	It's what I want to drink that day!	Ça correspond à ce que j'ai moi-même envie de boire ce jour-là !	Я включаю то, что сама хочу выпить в этот день!	It's what I want to drink that day!
Conversations/Bank/Darcy/Banked Lines/new_drink/new_drink/init	If you're wondering how I choose what goes on my menu, well...	Si tu veux savoir comment je choisis ce qui figure à la carte, eh bien...	Если тебе интересно, по какому принципу я выбираю, что включить в меню...	If you're wondering how I choose what goes on my menu, well...
Conversations/Bank/Darcy/Banked Lines/new_roasting/new_roasting/1	I think you'll like it!	Je crois que ça te plaira !	Думаю, тебе понравится.	I think you'll like it!
Conversations/Bank/Darcy/Banked Lines/new_roasting/new_roasting/init	If your coffee tastes different, let me know, I'm trying a different roasting technique.	Si ton café n'a pas le même goût que d'habitude, dis-le-moi, je suis en train de tester une nouvelle méthode de torréfaction.	Если почувствуешь, что вкус у кофе какой-то другой, скажи мне. Я экспериментирую с новой техникой обжарки зёрен.	If your coffee tastes different, let me know, I'm trying a different roasting technique.
Conversations/Bank/Darcy/Banked Lines/other_drinks/other_drinks/init	I have a lot of drinks on offer, if coffee's not your thing. Check out my menu!	Si tu n'aimes pas le café, j'ai plein de boissons à te proposer. Regarde ma carte !	Если кофе не твоё, то у меня на выбор ещё много разных напитков. Посмотри меню!	I have a lot of drinks on offer, if coffee's not your thing. Check out my menu!
Conversations/Bank/Darcy/Banked Lines/packing_up/packing_up_1/init	It's so nice when the big bag of coffee beans is empty at the end of the day!	C'est tellement agréable de voir mon gros sac de café en grains complètement vide à la fin de la journée !	Как приятно видеть в конце дня опустошённый мешок кофейных зёрен!	It's so nice when the big bag of coffee beans is empty at the end of the day!
Conversations/Bank/Darcy/Banked Lines/packing_up/packing_up_10/1	I know I shouldn't when it's late, but I swear it helps me pack faster!	Je sais que je ne devrais pas, quand il est tard, mais je te promets que ça m'aide à ranger plus vite !	Я понимаю, что не стоит этого делать вечером, но так я собираю вещи быстрее!	I know I shouldn't when it's late, but I swear it helps me pack faster!
Conversations/Bank/Darcy/Banked Lines/packing_up/packing_up_10/init	Sometimes I do a shot of espresso right before breaking down the booth.	Parfois, je me fais un espresso juste avant de commencer à démonter le stand.	Иногда я закидываюсь эспрессо, прежде чем начать собираться.	Sometimes I do a shot of espresso right before breaking down the booth.
Conversations/Bank/Darcy/Banked Lines/packing_up/packing_up_11/1	And then you have little cups all day, and then it's evening and you're buzzing!	Et puis on boit plusieurs petites tasses toute la journée et quand vient le soir, on est surexcité !	И так весь день себе это и говоришь. А потом весь вечер вибрируешь!	And then you have little cups all day, and then it's evening and you're buzzing!
Conversations/Bank/Darcy/Banked Lines/packing_up/packing_up_11/init	The problem with selling coffee is you tell yourself you're just going to have a little cup while you work.	Le problème, quand on vend du café, c'est qu'on se dit qu'on va juste en boire une petite tasse pendant qu'on travaille.	Главная проблема, когда продаёшь кофе, — ты говоришь себе: «ещё одну чашечку — и всё».	The problem with selling coffee is you tell yourself you're just going to have a little cup while you work.
Conversations/Bank/Darcy/Banked Lines/packing_up/packing_up_2/1	Valen says I have a problem...	Valen dit que j'ai un problème avec ça...	Вален говорит, что у меня есть проблема...	Valen says I have a problem...
Conversations/Bank/Darcy/Banked Lines/packing_up/packing_up_2/init	Whenever I need more energy for packing up the booth, I make myself another cup of coffee!	Quand j'ai besoin d'un peu plus d'énergie pour démonter mon stand, je me refais une tasse de café !	Когда мне нужно больше энергии, чтобы собрать свою лавку, я наливаю себе ещё одну чашечку кофе!	Whenever I need more energy for packing up the booth, I make myself another cup of coffee!
Conversations/Bank/Darcy/Banked Lines/packing_up/packing_up_3/init	Evening, [Ari]. I was just breaking down the booth. Another Saturday Market in the bag!	Bonsoir, [Ari]. J'étais en train de ranger mon stand. Encore un marché du samedi rondement mené !	Хорошего вечера, [Ari]. Я как раз разбираю свою лавку. Ещё один Субботний базар запакован в мешок!	Evening, [Ari]. I was just breaking down the booth. Another Saturday Market in the bag!
Conversations/Bank/Darcy/Banked Lines/packing_up/packing_up_4/1	But don't worry, I've got enough for your order yet, [Ari]!	Mais sois tranquille, il m'en reste encore assez pour ta commande, [Ari] !	Но не волнуйся, [Ari], у меня достаточно для ещё одного заказа!	But don't worry, I've got enough for your order yet, [Ari]!
Conversations/Bank/Darcy/Banked Lines/packing_up/packing_up_4/init	Once I'm out of coffee beans, that's that!	Quand je n'ai plus de café en grains, c'est terminé !	Когда кончаются кофейные зёрна, моя работа закончена!	Once I'm out of coffee beans, that's that!
Conversations/Bank/Darcy/Banked Lines/packing_up/packing_up_5/init	Almost done packing up... this barista misses her bed!	J'ai presque fini de ranger... La barista a hâte de retrouver son lit !	Почти закончила собираться... Этой бариста нужно срочно в кровать!	Almost done packing up... this barista misses her bed!
Conversations/Bank/Darcy/Banked Lines/packing_up/packing_up_6/1	That's what I tell myself every time I have to pack up.	C'est ce que je me dis à chaque fois que je dois remballer mon étal.	Именно это я говорю себе каждый раз, когда приходится собирать вещи.	That's what I tell myself every time I have to pack up.
Conversations/Bank/Darcy/Banked Lines/packing_up/packing_up_6/init	I worked at coffee shops in the Capital here and there, but nothing beats running your own booth.	J'ai travaillé ici et là dans la capitale, mais il n'y a rien de mieux que de gérer sa propre affaire.	Мне удалось поработать в разных кофейнях столицы, но свою лавку иметь — лучше всего.	I worked at coffee shops in the Capital here and there, but nothing beats running your own booth.
Conversations/Bank/Darcy/Banked Lines/packing_up/packing_up_7/1	Now let's both get some rest!	On peut maintenant se reposer tous les deux !	А теперь нам обоим не помешает отдых!	Now let's both get some rest!
Conversations/Bank/Darcy/Banked Lines/packing_up/packing_up_7/init	That was a very successful Saturday! I hope yours was good too, [Ari]!	Ce samedi a été une vraie réussite ! J'espère que le tien s'est bien passé aussi, [Ari] !	Моя суббота прошла очень успешно! Надеюсь, и твоя тоже, [Ari]!	That was a very successful Saturday! I hope yours was good too, [Ari]!
Conversations/Bank/Darcy/Banked Lines/packing_up/packing_up_8/1	I'm so glad the Saturday Market got going again! Running this shop is a dream come true.	Je suis tellement contente que le marché du samedi ait repris ! Gérer cette boutique, c'est pour moi un rêve qui s'est réalisé.	Я так рада, что Субботний базар снова в деле! Заниматься этой лавкой — моя мечта наяву.	I'm so glad the Saturday Market got going again! Running this shop is a dream come true.
Conversations/Bank/Darcy/Banked Lines/packing_up/packing_up_8/init	Packing up the booth always makes me reflect on things.	Ranger mon stand est toujours l'occasion pour moi de réfléchir.	Когда собираю лавку, всё время думаю о всяком.	Packing up the booth always makes me reflect on things.
Conversations/Bank/Darcy/Banked Lines/packing_up/packing_up_9/1	So I made sure I pack up the coffee pot last!	Je fais donc en sorte de remballer le pot de café en dernier !	Так что я всегда упаковываю чайник в последнюю очередь!	So I made sure I pack up the coffee pot last!
Conversations/Bank/Darcy/Banked Lines/packing_up/packing_up_9/init	You wouldn't believe how many people stop by for more coffee while I'm packing up.	Tu n'imagines pas le nombre de personnes qui s'arrêtent pour avoir encore du café pile au moment où je range.	Ты не поверишь, сколько людей приходят за кофе, даже когда я уже собираюсь домой.	You wouldn't believe how many people stop by for more coffee while I'm packing up.
Conversations/Bank/Darcy/Banked Lines/ready_to_order/ready_to_order/1	Just let me know when you're ready to order.	Dis-moi quand tu auras envie de passer commande.	Говори, если решишь, что взять.	Just let me know when you're ready to order.
Conversations/Bank/Darcy/Banked Lines/ready_to_order/ready_to_order/init	I had a feeling you'd be stopping by today, [Ari]!	Je sentais que tu passerais me voir aujourd'hui, [Ari] !	Я как чувствовала, что ты сегодня зайдешь, [Ari]!	I had a feeling you'd be stopping by today, [Ari]!
Conversations/Bank/Darcy/Banked Lines/rotating/rotating/1	I'm always rotating in new drinks.	J'inclus toujours de nouvelles boissons d'une fois sur l'autre.	Напитки у меня всегда меняются.	I'm always rotating in new drinks.
Conversations/Bank/Darcy/Banked Lines/rotating/rotating/init	If nothing on the menu catches your interest this week, come by next time you see me.	Si rien ne te tente à la carte cette semaine, repasse me voir la prochaine fois que je serai là.	Если на этой неделе не найдёешь в меню ничего интересного, заходи на следующей.	If nothing on the menu catches your interest this week, come by next time you see me.
Conversations/Bank/Darcy/Banked Lines/seridia/seridia_stomach/1	Every time she comes by, she gets one of everything.	Chaque fois qu'elle passe, elle prend une part de tout.	Она всегда заказывает всего по одному, когда заходит.	Every time she comes by, she gets one of everything.
Conversations/Bank/Darcy/Banked Lines/seridia/seridia_stomach/2	I made her her very own loyalty card!	Je lui ai créé une carte de fidélité personnalisée !	Я даже сделала для неё особую карту лояльности!	I made her her very own loyalty card!
Conversations/Bank/Darcy/Banked Lines/seridia/seridia_stomach/init	Seridia seems like she's got a bottomless stomach...	L'estomac de Seridia donne l'impression d'être un puits sans fond...	У Серидии, кажется, совершенно бездонный желудок...	Seridia seems like she's got a bottomless stomach...
Conversations/Bank/Darcy/Banked Lines/steamed_milk/steamed_milk/1	In fact, I could go for one right now!	D'ailleurs, j'en boirais volontiers une tout de suite !	Кстати, а почему бы мне самой не выпить чашечку прямо сейчас?	In fact, I could go for one right now!
