key	english	french	russian	bulgarian
Conversations/General Dialogue/anniversary/anniversary_adeline/1	I'm not the best in the kitchen, so I made you all the things I feel most confident making. Please know it's all from the heart!	Je ne suis pas très douée en cuisine, alors j'ai préparé tout ce que je maîtrise le mieux. Sache que tout a été fait avec le cœur !	Я не лучший кулинар, так что приготовила всё, что получается у меня увереннее всего. Знай: это всё от души!	I'm not the best in the kitchen, so I made you all the things I feel most confident making. Please know it's all from the heart!
Conversations/General Dialogue/anniversary/anniversary_adeline/2	Because my heart loves you. And the rest of me, too!	Car je t'aime du fond du cœur, et de tout mon être !	Ведь моё сердце любит тебя. Да и всё остальное — тоже!	Because my heart loves you. And the rest of me, too!
Conversations/General Dialogue/anniversary/anniversary_adeline/init	Happy anniversary, [Ari]! It feels like our wedding was just yesterday, doesn't it?	Joyeux anniversaire de mariage, [Ari] ! J'ai l'impression que c'était hier, pas toi ?	С годовщиной, [Ari]! Кажется, будто наша свадьба была только вчера, правда?	Happy anniversary, [Ari]! It feels like our wedding was just yesterday, doesn't it?
Conversations/General Dialogue/anniversary/anniversary_balor/1	I prepared something rich and beautiful for you, to show how much I treasure you.	Je t'ai préparé quelque chose de joli et de copieux, car tu es mon trésor.	Я приготовил для тебя нечто изысканное и красивое, чтобы показать, как я тобой дорожу.	I prepared something rich and beautiful for you, to show how much I treasure you.
Conversations/General Dialogue/anniversary/anniversary_balor/2	I love you, [Ari]. It's my job to remind you of that every day!	Je t'aime, [Ari], et il est de mon devoir de te le rappeler chaque jour !	Я люблю тебя, [Ari]. И моя задача — напоминать тебе об этом каждый день!	I love you, [Ari]. It's my job to remind you of that every day!
Conversations/General Dialogue/anniversary/anniversary_balor/init	How time flies... happy anniversary, [Ari]!	Comme le temps passe... Joyeux anniversaire de mariage, [Ari] !	Как летит время... с годовщиной, [Ari]!	How time flies... happy anniversary, [Ari]!
Conversations/General Dialogue/anniversary/anniversary_caldarus/1	In celebration, I have prepared you a feast. Do not fret, I had assistance so as to neither under-cook nor over-season.	Pour fêter cela, je t'ai préparé un festin, mais ne t'en fais pas, j'ai demandé de l'aide pour que tout soit cuit à point sans être trop épicé.	В честь этого дня я приготовил для тебя пир. Не тревожься — мне помогали, так что ничего не осталось сырым и не переперчено.	In celebration, I have prepared you a feast. Do not fret, I had assistance so as to neither under-cook nor over-season.
Conversations/General Dialogue/anniversary/anniversary_caldarus/2	Please enjoy it while the meal is warm. Such warmth is the love I feel for you.	Allez, mange pendant que c'est chaud. Cette chaleur, c'est celle que je ressens pour toi.	Прошу, насладись, пока блюда тёплые. Это тепло — та любовь, что я к тебе питаю.	Please enjoy it while the meal is warm. Such warmth is the love I feel for you.
Conversations/General Dialogue/anniversary/anniversary_caldarus/init	My beloved mate... happy anniversary.	Joyeux anniversaire de mariage... à <he>mon</he><she>ma</she><they>maon</they> partenaire que j'aime tant.	Любовь моя... с годовщиной.	My beloved mate... happy anniversary.
Conversations/General Dialogue/anniversary/anniversary_celine/1	I wanted to make a meal for you that was really delicious and beautiful... I hope that when you look at it, you see how much I love you.	Je tenais à te préparer un repas qui soit aussi joli que délicieux... J'espère qu'il te fera comprendre à quel point je t'aime.	Мне хотелось приготовить для тебя что-то по-настоящему вкусное и красивое... Надеюсь, глядя на это, ты видишь, как сильно я тебя люблю.	I wanted to make a meal for you that was really delicious and beautiful... I hope that when you look at it, you see how much I love you.
Conversations/General Dialogue/anniversary/anniversary_celine/2	Happy anniversary! I can't wait to celebrate with you, for every year to come!	Joyeux anniversaire de mariage ! J'ai hâte qu'on le fête ensemble, et ce pendant encore de nombreuses années !	С годовщиной! Не могу дождаться, чтобы праздновать её с тобой каждый последующий год!	Happy anniversary! I can't wait to celebrate with you, for every year to come!
Conversations/General Dialogue/anniversary/anniversary_celine/init	Happy anniversary, [Ari]!	Joyeux anniversaire de mariage, [Ari] !	С годовщиной, [Ari]!	Happy anniversary, [Ari]!
Conversations/General Dialogue/anniversary/anniversary_eiland/1	I've prepared you a fine meal, to convey to you the myriad ways in which you've enriched my life.	Je t'ai préparé un repas raffiné afin de te montrer à quel point je suis fortuné d'avoir pu t'épouser.	Я приготовил для тебя чудесный ужин, чтобы выразить, сколь несказанно твоё присутствие обогатило мою жизнь.	I've prepared you a fine meal, to convey to you the myriad ways in which you've enriched my life.
Conversations/General Dialogue/anniversary/anniversary_eiland/2	I love you, [Ari]!	Je t'aime, [Ari].	Я люблю тебя, [Ari]!	I love you, [Ari]!
Conversations/General Dialogue/anniversary/anniversary_eiland/init	My love! Happy anniversary to you... to us!	Mon amour ! Joyeux anniversaire de mariage à toi... et à nous deux !	Любовь моя! С годовщиной тебя... нас!	My love! Happy anniversary to you... to us!
Conversations/General Dialogue/anniversary/anniversary_hayden/1	I'm no good with fancy cooking, but I wanted to make you a nice meal that would say how much you mean to me.	Ma cuisine n'est pas du genre raffiné, mais je tenais à te préparer quelque chose pour que tu saches à quel point tu comptes pour moi.	Я не мастер по части изысканной готовки, но мне хотелось сделать для тебя хороший ужин, который скажет, как много ты для меня значишь.	I'm no good with fancy cooking, but I wanted to make you a nice meal that would say how much you mean to me.
Conversations/General Dialogue/anniversary/anniversary_hayden/2	You're the love of my life, and I'm going to celebrate you every day for the rest of our lives.	Tu es l'amour de ma vie et je veux célébrer ça pour le restant de nos jours.	Ты любовь всей моей жизни, и я буду радоваться тебе каждый день до конца наших дней.	You're the love of my life, and I'm going to celebrate you every day for the rest of our lives.
Conversations/General Dialogue/anniversary/anniversary_hayden/init	[Ari]! Happy anniversary!	[Ari] ! Joyeux anniversaire de mariage !	[Ari]! С годовщиной!	[Ari]! Happy anniversary!
