key	english	french	russian	bulgarian
Cutscenes/Story Events/Mines/caldarus_recovery/caldarus_recovery/1	Do not look so worried.	Inutile de te faire tant de souci !	Не тревожься за меня более.	Не се тревожи толкова.
Cutscenes/Story Events/Mines/caldarus_recovery/caldarus_recovery/2	Taking this form... it was a small price to pay to ensure your safety.	Prendre cette forme était un petit prix à payer pour ta sécurité.	Когда я принял такую форму... Это была небольшая цена за твою безопасность.	Това, че приех тази форма... бе малка цена, за да гарантирам безопасността ти.
Cutscenes/Story Events/Mines/caldarus_recovery/caldarus_recovery/2/prompts/0	Will you be okay?	Toi, ça va aller ?	С тобой всё будет хорошо?	Ще бъдеш ли добре?
Cutscenes/Story Events/Mines/caldarus_recovery/caldarus_recovery/2/prompts/1	Is there anything I can do?	Y a-t-il quoi que ce soit que je puisse faire pour toi ?	Я могу как-то помочь?	Мога ли да направя нещо?
Cutscenes/Story Events/Mines/caldarus_recovery/caldarus_recovery/3	I will mend, in time.	Cela passera, avec le temps.	Со временем я восстановлюсь.	Ще се възстановя с времето.
Cutscenes/Story Events/Mines/caldarus_recovery/caldarus_recovery/4	You have already done much for my sake. However...	Tu as déjà tant fait pour moi. Cela dit...	Ты уже очень много для меня <p>сделали</p><f>сделала</f><m>сделал</m><n>сделало</n>...	Вече направи много за мен. Обаче...
Cutscenes/Story Events/Mines/caldarus_recovery/caldarus_recovery/5	$Breaking the final seals$ will aid me in my recovery. I ask that you continue to offer up $Essence$ at my shrine as well.	$Briser les derniers sceaux$ m'aidera à recouvrer mes forces. J'aimerais aussi que tu continues à faire des offrandes d'$essence$ à mon autel.	Но если $раскрыть последние печати$, это ускорит моё восстановление. Кроме того, я прошу тебя продолжать приносить $эссенцию$ к моему святилищу.	$Разбиването на последните печати$ ще помогне за възстановяването ми. Моля те, продължавай да принасяш $есенция$ в светилището ми.
Cutscenes/Story Events/Mines/caldarus_recovery/caldarus_recovery/6	...	...	...	...
Cutscenes/Story Events/Mines/caldarus_recovery/caldarus_recovery/7	And... if you have time, a visit now and then would be greatly appreciated.	Et... si tu as l'occasion, me rendre visite de temps à autre me ferait très plaisir.	И ещё... Я буду благодарен, если ты будешь навещать меня, когда у тебя будет время.	И... ако имаш време, ще съм много благодарен да ме посещаваш от време на време.
Cutscenes/Story Events/Mines/caldarus_recovery/caldarus_recovery/8	Despite my condition, it is a marvel to be able to experience this world in a physical form once more.	Nonobstant mon état, c'est merveilleux de redécouvrir ce monde sous une forme charnelle.	Хотя я сейчас ослаблен, снова физически воспринимать мир — просто необыкновенное ощущение.	Въпреки състоянието ми е невероятно отново да мога да преживявам този свят в телесна форма.
Cutscenes/Story Events/Mines/caldarus_recovery/caldarus_recovery/9	Thank you for everything, [Ari].	Merci pour tout, [Ari].	Спасибо тебе за всё, [Ari].	Благодаря ти за всичко, [Ari].
Cutscenes/Story Events/Mines/caldarus_recovery/caldarus_recovery/init	[Ari]!	[Ari] !	[Ari]!	[Ari]!
Cutscenes/Story Events/Mines/dragon_tablet_pt_1/dragon_tablet_pt_1/1	You made it!	Tu as réussi !	Ты <p>добрались</p><f>добралась</f><m>добрался</m><n>добралось</n> до меня!	Успя!
Cutscenes/Story Events/Mines/dragon_tablet_pt_1/dragon_tablet_pt_1/10	Its remnants scattered and broken...	Ses restes ont été brisés, éparpillés...	Остались лишь разрозненные осколки.	Останките ѝ бяха разпръснати и разбити...
Cutscenes/Story Events/Mines/dragon_tablet_pt_1/dragon_tablet_pt_1/11	Until now.	Jusqu'à ce jour.	Но недавно всё изменилось.	Досега.
Cutscenes/Story Events/Mines/dragon_tablet_pt_1/dragon_tablet_pt_1/12	The shift began shortly before you came to Mistria. An $earthquake$ caused a $crack to appear in the Seal$.	Le changement a commencé très peu de temps avant ton arrivée à Mistria. Un $tremblement de terre$ a provoqué une $fissure dans le sceau$.	Незадолго до того, как ты <p>пришли</p><f>пришла</f><m>пришёл</m><n>пришло</n> в Мистрию. $Землетрясение$ вызвало $трещину в печати$.	Промяната започна малко преди да дойдеш в Мистрия. Едно $земетресение$ причини $пукнатина в Печата$.
Cutscenes/Story Events/Mines/dragon_tablet_pt_1/dragon_tablet_pt_1/13	Just big enough for $Magic$ to begin seeping through...	Juste assez grande pour que la $magie$ commence à filtrer...	Через неё $магия$ начала просачиваться наружу...	Достатъчно голяма, за да започне $магията$ да се просмуква през нея...
Cutscenes/Story Events/Mines/dragon_tablet_pt_1/dragon_tablet_pt_1/14	Winding its way upward, dispersing out into the land.	Elle s'est faufilée jusqu'à la surface, dispersée sur la terre.	Постепенно она поднималась наверх и распространялась по земле.	Тя си пробиваше път нагоре и се разпръскваше из земята.
Cutscenes/Story Events/Mines/dragon_tablet_pt_1/dragon_tablet_pt_1/15	But there was no one left in the world above who could recognize $Magic Essence$...	Mais plus personne dans le monde du dessus n'était capable de reconnaître l'$essence magique$...	Но в наземном мире не осталось существ, способных распознать $эссенцию магии$...	Но на повърхността вече нямаше никой, който да разпознае $магическата есенция$...
Cutscenes/Story Events/Mines/dragon_tablet_pt_1/dragon_tablet_pt_1/16	That is, not until you arrived.	Du moins, jusqu'à ce que tu arrives.	Пока не <p>появились</p><f>появилась</f><m>появился</m><n>появилось</n> ты.	Тоест, докато не пристигна ти.
Cutscenes/Story Events/Mines/dragon_tablet_pt_1/dragon_tablet_pt_1/17	Had you not awoken Lord Caldarus...	Si tu n'avais pas réveillé le seigneur Caldarus...	Если бы ты не <p>пробудили</p><f>пробудила</f><m>пробудил</m><n>пробудило</n> лорда Кальдаруса...	Без събуждането на лорд Калдаръс...
Cutscenes/Story Events/Mines/dragon_tablet_pt_1/dragon_tablet_pt_1/18	Had you not heard my call from underground...	Si tu n'avais pas entendu mon appel souterrain...	Если бы не <p>услышали</p><f>услышала</f><m>услышал</m><n>услышало</n> мой зов...	Без това, че чу повика ми от земните недра...
Cutscenes/Story Events/Mines/dragon_tablet_pt_1/dragon_tablet_pt_1/19	I-	Je...	Мне...	Аз—
Cutscenes/Story Events/Mines/dragon_tablet_pt_1/dragon_tablet_pt_1/2	Finally... we meet face to face.	Nous voici face à face... enfin.	Наконец-то... мы можем встретиться лицом к лицу.	Най-сетне... се срещаме лице в лице.
Cutscenes/Story Events/Mines/dragon_tablet_pt_1/dragon_tablet_pt_1/20	I cannot bear to think of how long that state of affairs may have lasted.	Je n'ose imaginer combien de temps encore cette situation aurait duré.	Мне больно представить, как долго ещё продлились бы эти горькие времена.	Не мога да понеса мисълта колко дълго би продължило това.
Cutscenes/Story Events/Mines/dragon_tablet_pt_1/dragon_tablet_pt_1/21	But you are finally here...	Mais te voici enfin...	Но наконец ты здесь...	Но най-сетне си тук...
