key	english	french	russian	bulgarian
Conversations/Bank/Landen/Banked Lines/Shopping/shopping/init	The salted fish is looking pretty good...	Ce poisson séché et salé a l'air particulièrement appétissant...	Солёная рыбка выглядит аппетитно...	The salted fish is looking pretty good...
Conversations/Bank/Landen/Banked Lines/Shopping/shopping_2/1	It's so hot, it makes winter feel like summer!	Il est si épicé que même en plein hiver, tu as l'impression d'être en été !	Он очень острый! Согревает так, что зима кажется летом!	It's so hot, it makes winter feel like summer!
Conversations/Bank/Landen/Banked Lines/Shopping/shopping_2/init	I've got almost everything on my list! Ryis was asking after my barnburner curry.	J'ai presque tout ce qui était sur ma liste ! Ryis veut que je lui prépare mon curry spécial.	Почти всё из списка куплено! Риз просил мой жгучий карри.	I've got almost everything on my list! Ryis was asking after my barnburner curry.
Conversations/Bank/Landen/Banked Lines/after_bathhouse/after_bathhouse/init	A few hours at the Bathhouse puts the spring back in my step!	Quelques heures aux bains, et me voilà requinqué !	Пара часов в купальне — и я снова бодр как огурчик!	A few hours at the Bathhouse puts the spring back in my step!
Conversations/Bank/Landen/Banked Lines/basement/basement_1/init	Nice of you to check in!	C'est gentil à toi de prendre des nouvelles !	Как мило, что ты <p>заглянули</p><f>заглянула</f><m>заглянул</m><n>заглянуло</n>!	Nice of you to check in!
Conversations/Bank/Landen/Banked Lines/bathhouse/bathhouse/1	The bathhouse is the cure for what ails me.	Les bains me soulagent énormément de la douleur.	Купальня — лучшее лекарство от всех недугов.	The bathhouse is the cure for what ails me.
Conversations/Bank/Landen/Banked Lines/bathhouse/bathhouse/init	These days, my aches and pains keep me up.	En ce moment, j'ai du mal à dormir à cause de mes rhumatismes.	В последнее время боль и ломота не дают покоя.	These days, my aches and pains keep me up.
Conversations/Bank/Landen/Banked Lines/bathhouse/bathhouse_2/init	Oh boy. I nearly fell asleep in the bath. It's just so cozy in there!	Oh là là, j'ai failli m'endormir dans le bain. On se sent si bien, ici !	Ох, едва не уснул в купальне. Там так уютно!	Oh boy. I nearly fell asleep in the bath. It's just so cozy in there!
Conversations/Bank/Landen/Banked Lines/build_museum/build_museum/1	And I'm not just saying that because I helped build it.	Et je ne dis pas cela seulement parce que j'ai participé à sa construction.	И я не потому это говорю, что сам помогал строить.	And I'm not just saying that because I helped build it.
Conversations/Bank/Landen/Banked Lines/build_museum/build_museum/init	This is a beautiful building!	Quel magnifique bâtiment !	Какое красивое здание!	This is a beautiful building!
Conversations/Bank/Landen/Banked Lines/built_the_inn/built_the_inn/1	Probably because I built the house, hah!	C'est peut-être parce que c'est moi qui ai construit l'endroit, ha ha.	Наверное, потому что я построил это заведение, ха!	Probably because I built the house, hah!
Conversations/Bank/Landen/Banked Lines/built_the_inn/built_the_inn/init	Hemlock always treats me to a second round on the house.	Hemlock m'offre toujours une deuxième tournée.	Хемлок всегда угощает меня вторым стаканом за счёт заведения.	Hemlock always treats me to a second round on the house.
Conversations/Bank/Landen/Banked Lines/checking_in/checking_in/init	[Ari], hey! You checking in on me? You're a thoughtful one.	Bonjour, [Ari] ! Tu viens prendre de mes nouvelles ? Quelle délicate attention !	[Ari], привет! Навестить <p>пришли</p><f>пришла</f><m>пришёл</m><n>пришло</n>? Ты очень <p>заботливые</p><f>заботлива</f><m>заботлив</m><n>заботливое</n>.	[Ari], hey! You checking in on me? You're a thoughtful one.
Conversations/Bank/Landen/Banked Lines/checking_on_wood/checking_on_wood/init	Hmm... wonder if we're running low on oak... I should check our cedar stock too...	Mmm... Il ne doit plus nous rester beaucoup de bois de chêne... Et je devrais aussi jeter un œil à nos réserves de cèdre...	Хм... не заканчивается ли у нас дуб? Надо и запасы кедра проверить...	Hmm... wonder if we're running low on oak... I should check our cedar stock too...
Conversations/Bank/Landen/Banked Lines/cut_a_rug/cut_a_rug/init	All this music makes me want to cut a rug!	Toute cette musique me donne envie de me trémousser !	Вся эта музыка так и тянет пуститься в пляс!	All this music makes me want to cut a rug!
Conversations/Bank/Landen/Banked Lines/displays/displays/1	But I ended up just walking around! There's so many interesting things here!	En fait, je déambule depuis tout à l'heure ! Il y a tellement de choses intéressantes à voir, ici !	А в итоге просто гуляю! Тут столько всего интересного!	But I ended up just walking around! There's so many interesting things here!
Conversations/Bank/Landen/Banked Lines/displays/displays/init	Ryis and I built some of the displays for the Museum, so I came down here to see how they were looking.	Comme Ryis et moi avons construit certaines des vitrines du musée, j'étais venu voir ce qu'elles donnaient une fois installées.	Мы с Ризом собирали некоторые экспонаты для музея, вот я и пришёл посмотреть, как они выглядят.	Ryis and I built some of the displays for the Museum, so I came down here to see how they were looking.
Conversations/Bank/Landen/Banked Lines/early_bed/early_bed/init	Think I might turn in early tonight! My pillow is callin' me!	Je pense que je ne vais pas faire long feu, ce soir. L'appel de l'oreiller est plus fort que tout !	Думаю, сегодня лягу пораньше! Подушка меня зовёт!	Think I might turn in early tonight! My pillow is callin' me!
Conversations/Bank/Landen/Banked Lines/errol_and_i_are_hanging/errol_and_i_are_hanging/init	Errol and I love to have a nice chat by the fountain... When we were younger, a couple of old timers always hogged it. Now it's our turn!	Errol et moi aimons bien discuter près de la fontaine... Dans le temps, il y avait toujours deux petits vieux qui la monopolisaient. C'est notre tour !	Мы с Эрролом любим поболтать у фонтана... Раньше там всё время сидели старички. Теперь очередь за нами!	Errol and I love to have a nice chat by the fountain... When we were younger, a couple of old timers always hogged it. Now it's our turn!
Conversations/Bank/Landen/Banked Lines/eye_for_detail/eye_for_detail/1	I might've given him a run for his money in my prime, though!	Il faut dire que je ne l'ai pas ménagé, quand il était plus jeune !	Хотя в молодости я бы ему фору дал!	I might've given him a run for his money in my prime, though!
Conversations/Bank/Landen/Banked Lines/eye_for_detail/eye_for_detail/init	My nephew works hard and has a good eye for detail. Better than mine, I'd say.	Mon neveu travaille dur et il est très minutieux. Plus que moi, à vrai dire.	Мой племянник — трудяга, и глаз у него цепкий. Лучше, чем у меня, честно говоря.	My nephew works hard and has a good eye for detail. Better than mine, I'd say.
Conversations/Bank/Landen/Banked Lines/friends_are_great/friends_are_great/init	It's always good to host friends on a rainy day, eh? Lights the whole world up!	Comme il est bon d'avoir des amis autour de soi, en une journée pluvieuse ! C'est comme un rayon de soleil !	В дождливый день всегда приятно принимать друзей, правда? Сразу всё вокруг теплее становится!	It's always good to host friends on a rainy day, eh? Lights the whole world up!
Conversations/Bank/Landen/Banked Lines/gorgeous_sunday/gorgeous_sunday/init	Morning, [Ari]! It's a gorgeous Sunday, make the most of it! I will too.	Bien le bonjour, [Ari] ! Quel beau dimanche, profites-en bien ! Moi, c'est ce que je vais faire.	Доброе утро, [Ari]! Сегодня чудесное воскресенье — наслаждайся! Я тоже буду.	Morning, [Ari]! It's a gorgeous Sunday, make the most of it! I will too.
