key	english	french	russian	bulgarian
Conversations/Bank/Dozy/Banked Lines/basement/basement_1/init	(Dozy wags his tail at you.)	(Dozy remue la queue en vous voyant.)	(При виде вас Дрёма виляет хвостом.)	(Dozy wags his tail at you.)
Conversations/Bank/Dozy/Banked Lines/dialogue/dialogue_1/init	(Dozy is glad to see you.)	(Dozy est content de vous voir.)	(Дрёма рад вас видеть.)	(Dozy is glad to see you.)
Conversations/Bank/Dozy/Banked Lines/dialogue/dialogue_10/init	(You can tell that Dozy thinks a bath would be just the thing for you.)	(Vous comprenez que Dozy pense qu'un bain vous ferait beaucoup de bien.)	(Видно, Дрёма считает, что ванна — то, что вам сейчас нужно.)	(You can tell that Dozy thinks a bath would be just the thing for you.)
Conversations/Bank/Dozy/Banked Lines/dialogue/dialogue_11/init	(You'd like to ask how Dozy and Juniper met, but you can tell he won't blab.)	(Vous aimeriez demander comment Dozy et Juniper se sont rencontrés, mais vous vous doutez qu'il ne dira rien.)	(Вы хотите спросить, как Дрёма и Джунипер познакомились, но вам очевидно, что он не проколется.)	(You'd like to ask how Dozy and Juniper met, but you can tell he won't blab.)
Conversations/Bank/Dozy/Banked Lines/dialogue/dialogue_12/init	(Dozy's expression makes it clear he's enjoying the sound of the rain.)	(À voir l'expression de Dozy, il est clair qu'il aime le bruit de la pluie.)	(По выражению мордочки Дрёмы видно, что он наслаждается звуками дождя.)	(Dozy's expression makes it clear he's enjoying the sound of the rain.)
Conversations/Bank/Dozy/Banked Lines/dialogue/dialogue_13/init	(Despite the rain, Dozy appears to be as clean and fluffy as ever.)	(Malgré la pluie, Dozy est aussi propre et doux que d'habitude.)	(Несмотря на дождь, Дрёма, как всегда, чистый и пушистый.)	(Despite the rain, Dozy appears to be as clean and fluffy as ever.)
Conversations/Bank/Dozy/Banked Lines/dialogue/dialogue_14/init	(Despite the heat Dozy appears cool.)	(Dozy ne semble pas incommodé par la chaleur.)	(Даже в летнюю жару Дрёма белоснежен, как снежинка.)	(Despite the heat Dozy appears cool.)
Conversations/Bank/Dozy/Banked Lines/dialogue/dialogue_2/init	(Dozy appears to be tuckered out from being such a cutie pie.)	(Dozy semble épuisé d'être aussi adorable.)	(Дрёма выглядит очень измученным своей милотой.)	(Dozy appears to be tuckered out from being such a cutie pie.)
Conversations/Bank/Dozy/Banked Lines/dialogue/dialogue_3/init	(Looking at Dozy makes you feel happy.)	(La joie vous gagne quand vous regardez Dozy.)	(Вид Дрёмы делает вас счастливее.)	(Looking at Dozy makes you feel happy.)
Conversations/Bank/Dozy/Banked Lines/dialogue/dialogue_4/init	(Dozy appears content with how his day is going.)	(Dozy semble ravi de la façon dont sa journée se déroule.)	(Дрёма выглядит довольным тем, как проходит его день.)	(Dozy appears content with how his day is going.)
Conversations/Bank/Dozy/Banked Lines/dialogue/dialogue_5/init	(You know Dozy is a good boy, but maybe he is the... best boy?)	(Vous savez que Dozy est un gentil toutou, mais peut-être qu'il est... le plus gentil des toutous ?)	(Вам и так известно, что Дрёма — хороший мальчик, но, может быть... он вообще лучший?)	(You know Dozy is a good boy, but maybe he is the... best boy?)
Conversations/Bank/Dozy/Banked Lines/dialogue/dialogue_6/init	(Dozy opens one eye and wags his tail at you.)	(Dozy ouvre un œil et remue la queue en vous voyant.)	(Дрёма смотрит на вас одним глазом и виляет хвостом.)	(Dozy opens one eye and wags his tail at you.)
Conversations/Bank/Dozy/Banked Lines/dialogue/dialogue_7/init	(Dozy seems very comfortable.)	(Dozy semble très bien installé.)	(Кажется, Дрёме очень уютно.)	(Dozy seems very comfortable.)
Conversations/Bank/Dozy/Banked Lines/dialogue/dialogue_8/init	(Contrary to this name, Dozy appears to be wide awake.)	(Étrangement, Dozy semble être un chien bien éveillé.)	(Несмотря на своё имя, Дрёма выглядит проснувшимся.)	(Contrary to this name, Dozy appears to be wide awake.)
Conversations/Bank/Dozy/Banked Lines/dialogue/dialogue_9/init	(Dozy's expression suggests the bath is extra good today.)	(À voir l'expression de Dozy, son bain est particulièrement agréable, aujourd'hui.)	(Выражение морды Дрёмы намекает, что сегодня ванна особенно хороша.)	(Dozy's expression suggests the bath is extra good today.)
Conversations/Bank/Dozy/Banked Lines/greeting_ari/greeting_ari/1	"(His collar says ""Dozy"".)"	(Sur son collier est écrit « Dozy ».)	(На ошейнике написано: «Дрёма».)	"(His collar says ""Dozy"".)"
Conversations/Bank/Dozy/Banked Lines/greeting_ari/greeting_ari/1/prompts/0	Nice to meet you, Dozy.	Bonjour, Dozy.	Приятно познакомиться, Дрёма.	Nice to meet you, Dozy.
Conversations/Bank/Dozy/Banked Lines/greeting_ari/greeting_ari/1/prompts/1	Good boy, Dozy.	Gentil toutou, Dozy.	Хороший мальчик, Дрёма.	Good boy, Dozy.
Conversations/Bank/Dozy/Banked Lines/greeting_ari/greeting_ari/2	(Dozy wags his tail.)	(Dozy remue la queue.)	(Дрёма виляет хвостом.)	(Dozy wags his tail.)
Conversations/Bank/Dozy/Banked Lines/greeting_ari/greeting_ari/init	Woof!	Ouaf !	Гав!	Woof!
Conversations/Bank/Dozy/Gift Lines/gift_lines/birthday_gift/init	(Dozy seems happy to receive a birthday present! He's wagging his tail extra hard.)	(Dozy semble content de recevoir un cadeau d'anniversaire ! Il remue la queue à toute vitesse.)	(Дрёма, похоже, очень рад подарку на день рождения! Его хвост виляет без остановки.)	(Dozy seems happy to receive a birthday present! He's wagging his tail extra hard.)
Conversations/Bank/Dozy/Gift Lines/gift_lines/chili_pepper/init	(Dozy is attempting to bury your gift into the hardwood floor...)	(Dozy essaie d'enterrer votre cadeau dans le plancher...)	(Дрёма пытается закопать подарок прямо в паркет...)	(Dozy is attempting to bury your gift into the hardwood floor...)
Conversations/Bank/Dozy/Gift Lines/gift_lines/disliked_gift/init	(Dozy does not appear to know what to do with your gift.)	(Dozy ne semble pas savoir quoi faire de votre cadeau.)	(Дрёма, кажется, не знает, что делать с подарком.)	(Dozy does not appear to know what to do with your gift.)
Conversations/Bank/Dozy/Gift Lines/gift_lines/dog_treat/init	(Dozy's tail wags so fast, it looks like he might fly away. He must really like it!)	(Dozy remue la queue si fort que pour un peu, il s'envolerait. Cela doit vraiment lui plaire !)	(Дрёма так быстро виляет хвостом, что вот-вот взлетит. Подарок ему явно по душе!)	(Dozy's tail wags so fast, it looks like he might fly away. He must really like it!)
Conversations/Bank/Dozy/Gift Lines/gift_lines/liked_gift/init	(Dozy licks your hand in appreciation.)	(Dozy vous lèche la main pour vous remercier.)	(Дрёма облизывает вам руку в знак благодарности.)	(Dozy licks your hand in appreciation.)
Conversations/Bank/Dozy/Gift Lines/gift_lines/liked_gift_2/init	(Dozy seems content with your gift.)	(Dozy semble content de votre cadeau.)	(Кажется, Дрёма доволен подарком.)	(Dozy seems content with your gift.)
Conversations/Bank/Dozy/Gift Lines/gift_lines/liked_gift_fish_1/init	(Dozy cheerfully accepts your fishy gift.)	(Dozy accepte très joyeusement votre cadeau de poisson.)	(Дрёма радостно принимает рыбный подарок.)	(Dozy cheerfully accepts your fishy gift.)
Conversations/Bank/Dozy/Gift Lines/gift_lines/liked_gift_fish_2/init	(Dozy gladly accepts the gift of a fish.)	(Dozy accepte avec joie le poisson offert en cadeau.)	(Дрёма с удовольствием принимает в подарок рыбу.)	(Dozy gladly accepts the gift of a fish.)
Conversations/Bank/Dozy/Gift Lines/gift_lines/loved_gift/init	(Dozy's tail wags furiously, he's overwhelmed by your thoughtfulness.)	(Dozy remue furieusement la queue, il déborde de gratitude face à cette attention.)	(Хвост Дрёмы мечется из стороны в сторону: вы его растрогали!)	(Dozy's tail wags furiously, he's overwhelmed by your thoughtfulness.)
