key	english	french	russian	bulgarian
Conversations/shooting_star/shooting_star_adeline_basic_accept/1	That sounds great. I'll meet you at 8 pm!	C'est une super idée. Je te retrouve à 20 h !	Звучит здорово. Увидимся в 8 вечера!	That sounds great. I'll meet you at 8 pm!
Conversations/shooting_star/shooting_star_adeline_basic_accept/init	Oh! You're inviting me to watch the stars tonight...?	Oh ! Tu m'invites à regarder les étoiles ce soir...?	О! Ты <p>решили</p><f>решила</f><m>решил</m><n>решило</n> пригласить меня посмотреть звёзды?..	Oh! You're inviting me to watch the stars tonight...?
Conversations/shooting_star/shooting_star_adeline_decline/1	You can give it to $someone you're close to$ if you want to watch the stars together.	Tu peux l'offrir à $quelqu'un dont tu es proche$ si tu veux admirer les étoiles avec cette personne.	Тебе лучше подарить её $кому-то близкому$, с кем ты хочешь пойти смотреть на звёзды.	You can give it to $someone you're close to$ if you want to watch the stars together.
Conversations/shooting_star/shooting_star_adeline_decline/init	Is that a $Star Brooch$...?	C'est une $broche étoilée$...?	Это $звёздная брошь$?..	Is that a $Star Brooch$...?
Conversations/shooting_star/shooting_star_adeline_friend_decline/1	I hope you have fun with your date tonight, [Ari]!	J'espère que ton rendez-vous amoureux se passera bien ce soir, [Ari] !	Желаю тебе хорошего свидания, [Ari]!	I hope you have fun with your date tonight, [Ari]!
Conversations/shooting_star/shooting_star_adeline_friend_decline/init	Oooh is that a $Star Brooch$?	Oooh, c'est une $broche étoilée$ ?	Ооо, это что, $звёздная брошь$?	Oooh is that a $Star Brooch$?
Conversations/shooting_star/shooting_star_adeline_super_accept/1	Let's watch the stars together tonight.	Allons regarder les étoiles ensemble, ce soir.	Давай сегодня посмотрим на звёзды вместе.	Let's watch the stars together tonight.
Conversations/shooting_star/shooting_star_adeline_super_accept/init	[Ari], thank you for asking...	[Ari], merci de ton invitation...	[Ari], спасибо что <p>пригласили</p><f>пригласила</f><m>пригласил</m><n>пригласило</n>...	[Ari], thank you for asking...
Conversations/shooting_star/shooting_star_balor_basic_accept/1	You want to watch the stars together tonight?	Tu veux qu'on regarde les étoiles ensemble, ce soir ?	Ты хочешь сегодня пойти вместе смотреть на звёзды?	You want to watch the stars together tonight?
Conversations/shooting_star/shooting_star_balor_basic_accept/2	Sure, let's go. Meet me at 8 pm and we can walk up to the Summit together.	D'accord, allons-y. Retrouve-moi à 20 h et on pourra monter ensemble jusqu'au sommet.	Отлично, давай. Увидимся в 8 вечера и вместе пойдём к Вершине.	Sure, let's go. Meet me at 8 pm and we can walk up to the Summit together.
Conversations/shooting_star/shooting_star_balor_basic_accept/init	What's this now...?	Qu'y a-t-il...?	Что это такое?..	What's this now...?
