key	english	french	russian	bulgarian
Conversations/floor_10/floor_10_follow_up_eiland/1	You want to know about the history of the Mines?	Tu veux que je te raconte l'histoire des mines ?	Ты хочешь послушать историю шахт?	Искаш да разбереш историята на Мините?
Conversations/floor_10/floor_10_follow_up_eiland/2	We don't know too much, but there is evidence a pre-Aldarian society once utilized underground chambers for cultural and religious activities.	Nous avons peu d'informations, mais nous savons qu'une civilisation pré-aldarienne utilisait jadis les salles souterraines pour des activités culturelles et des rites religieux.	Нам мало что известно. Однако, по сохранившимся свидетельствам, в некоем доальдарийском обществе подземные залы использовали для религиозных и культурных практик.	Не знаем много, но има доказателства, че предалдарийско общество някога е използвало подземните зали за културни и религиозни дейности.
Conversations/floor_10/floor_10_follow_up_eiland/3	Pre-Aldarian, Pre-Alda, its origins likely predate even the rule of the Witch Queens.	Pré-aldarienne ou pré-aldéenne, ses origines sont sûrement antérieures au règne des Reines-sorcières.	До Альдарии и до Альды. Вероятно, они зародились даже до Эпохи королев-ведьм.	Предалдарийско, преди Алда — произходът му вероятно предхожда дори управлението на Вещерските кралици.
Conversations/floor_10/floor_10_follow_up_eiland/4	There are surely artifacts yet to be discovered that will reveal more about them.	Il doit y avoir des artéfacts qui s'ils étaient mis à jour nous en révéleraient plus sur eux.	Где-то точно скрываются артефакты, которые могут рассказать нам больше об этом обществе.	Сигурно още има неоткрити артефакти, които ще разкрият повече за тях.
Conversations/floor_10/floor_10_follow_up_eiland/init	Hi [Ari], what's on your mind? I don't have any updates on that second dragon statue yet.	Bonjour [Ari], qu'y a-t-il ? Je n'ai pas plus d'info sur la deuxième statue de dragon.	Привет, [Ari]. О чём думаешь? Насчёт второй статуи дракона у меня нет новостей.	Здравей, [Ari], какво те води насам? Още нямам новини за онази втора драконова статуя.
Conversations/floor_10/floor_10_follow_up_errol/1	...	...	...	...
Conversations/floor_10/floor_10_follow_up_errol/2	I'm telling you, eerie things have been happening there since the earthquake.	C'est bien ce que je disais, il se passe des choses étranges depuis le tremblement de terre.	Я же говорил. С тех пор, как прошло землетрясение, там творится что-то неладное.	Казвам ти, от земетресението насам там се случват зловещи неща.
Conversations/floor_10/floor_10_follow_up_errol/3	I'm glad we've got someone brave to look into it.	Je suis content que nous ayons quelqu'un d'assez courageux pour se pencher sur la question.	Хорошо, что у нас нашёлся смельчак, готовый это исследовать.	Радвам се, че има някой смел, който да проучи това.
Conversations/floor_10/floor_10_follow_up_errol/init	A voice... in the Mines?	Une voix... dans les mines ?	Голос... в шахтах?	Глас... в Мините?
Conversations/floor_10/mines_floor_ten/1	^Hero... Help...^	^<she>Héroïne</she><he>Héros</he><they>Être héroïque</they>... À l'aide...^	^Герой... Помоги...^	^<he>Герою</he><she>Героиньо</she><they>Герои</they>... Помогни...^
Conversations/floor_10/mines_floor_ten/init	A faint whisper breaks the silence...	Un murmure à peine audible vient briser le silence...	В тишине слышится едва уловимый шёпот...	Тих шепот разкъсва тишината...
