key	english	french	russian	bulgarian
Conversations/Bank/Taliferro/Banked Lines/basement/basement_1/init	I'm not above making niceties with the little people. Hello to you.	Tu noteras que je n'ai rien contre les petites gens. Bien le bonjour, d'ailleurs.	Я не чураюсь знакомств с простолюдинами. Привет тебе.	I'm not above making niceties with the little people. Hello to you.
Conversations/Bank/Taliferro/Banked Lines/challenge_completed_lines/bell_berry_bakewell_tart_juniper/1	But when I was quizzing her about it, she said her business partner, Dozy, helped her prepare it.	Lorsque je l'ai interrogée sur sa façon de faire, elle m'a dit que son collaborateur, Dozy, l'avait aidée.	А когда я стал про него расспрашивать, она сказала, что пирог помогал готовить её партнёр Дрёма.	But when I was quizzing her about it, she said her business partner, Dozy, helped her prepare it.
Conversations/Bank/Taliferro/Banked Lines/challenge_completed_lines/bell_berry_bakewell_tart_juniper/2	Dozy... is a dog.	Dozy est... un chien.	Дрёма... это пёс.	Dozy... is a dog.
Conversations/Bank/Taliferro/Banked Lines/challenge_completed_lines/bell_berry_bakewell_tart_juniper/3	I shouldn't expect these village rubes to know about sanitary preparation, but nonetheless... I do. DISQUALIFIED!	Je ne m'attends pas à ce que les rustres de ce patelin connaissent toutes les règles d'hygiène, mais il y a des limites... DISQUALIFIÉE !	Мне не стоило ждать от этой деревенщины соблюдения правил гигиены, и всё же... Я ждал. ДИСКВАЛИФИЦИРОВАНА!	I shouldn't expect these village rubes to know about sanitary preparation, but nonetheless... I do. DISQUALIFIED!
Conversations/Bank/Taliferro/Banked Lines/challenge_completed_lines/bell_berry_bakewell_tart_juniper/init	That ill-natured woman with the gaudy boots, Juniper... She entered her $Bell Berry Bakewell Tart$ into the $Cooking Challenge$.	Cette femme désagréable au possible, chaussée de bottes d'un goût douteux, Juniper... Elle a présenté sa $tarte aux clocherelles$ pour le $défi gastronomique$.	Женщина в броских сапогах и с дурными манерами, Джунипер... Она принесла $тарт из колокольника$ на $смотр блюд$.	That ill-natured woman with the gaudy boots, Juniper... She entered her $Bell Berry Bakewell Tart$ into the $Cooking Challenge$.
Conversations/Bank/Taliferro/Banked Lines/challenge_completed_lines/chocolate_cake_dell/1	When I told her she failed utterly, she laughed at me! You know, I don't think she's taking my challenges very seriously.	Quand je lui ai fait savoir qu'elle avait lamentablement échoué, elle m'a ri au nez ! Je crois qu'elle ne prend pas mes défis très au sérieux.	Когда я сообщил ей, что она с треском провалилась, она рассмеялась мне в лицо! По-моему, она не воспринимает мои задания всерьёз.	When I told her she failed utterly, she laughed at me! You know, I don't think she's taking my challenges very seriously.
Conversations/Bank/Taliferro/Banked Lines/challenge_completed_lines/chocolate_cake_dell/2	I should file a complaint!	Je devrais porter plainte !	Пора написать на неё жалобу!	I should file a complaint!
Conversations/Bank/Taliferro/Banked Lines/challenge_completed_lines/chocolate_cake_dell/init	The little hellion, Dell... she turned in a mud pie for the $Chocolate Cake$ Challenge!	Cette petite chipie de Dell... Elle a préparé une tarte à la boue pour le défi du $gâteau au chocolat$ !	Эта хулиганка Делл... На конкурс $шоколадных тортов$ принесла пирог из грязи!	The little hellion, Dell... she turned in a mud pie for the $Chocolate Cake$ Challenge!
Conversations/Bank/Taliferro/Banked Lines/challenge_completed_lines/crispy_fried_earthshroom_errol/1	But don't worry, I kindly gave him some advice.	Mais ne t'en fais pas, je lui ai donné un bon conseil :	Но можешь не волноваться, я дал ему добрый совет.	But don't worry, I kindly gave him some advice.
Conversations/Bank/Taliferro/Banked Lines/challenge_completed_lines/crispy_fried_earthshroom_errol/2	I told him to leave the cooking to the experts!	Laisser la cuisine aux experts !	А именно: сказал оставить готовку специалистам!	I told him to leave the cooking to the experts!
Conversations/Bank/Taliferro/Banked Lines/challenge_completed_lines/crispy_fried_earthshroom_errol/init	The burly curator, Errol... his $Crispy Fried Earthshroom$ was a disaster. More like Extra Soggy Earthshroom!	Le costaud qui est conservateur du musée, Errol... son $beignet de terramanite$ était une horreur. C'était plus de la bouillie de terramanite !	Этот Эррол, бугай-куратор... приготовил настоящую катастрофу: не $земляные грибы в кляре$, а земляные грибы в слизи!	The burly curator, Errol... his $Crispy Fried Earthshroom$ was a disaster. More like Extra Soggy Earthshroom!
Conversations/Bank/Taliferro/Banked Lines/challenge_completed_lines/crystal_berry_pie_olric/1	But he just made me look at his crystal collection!	Non, il m'a juste montré sa collection de cristaux !	А он заставил меня рассматривать его коллекцию кристаллов!	But he just made me look at his crystal collection!
Conversations/Bank/Taliferro/Banked Lines/challenge_completed_lines/crystal_berry_pie_olric/2	For an hour!	Ça a duré une heure !	На протяжении часа!	For an hour!
Conversations/Bank/Taliferro/Banked Lines/challenge_completed_lines/crystal_berry_pie_olric/init	That walking muscle, Olric... he stopped by earlier. I thought he was here to drop off his entry for the $Crystal Berry Pie$ Challenge...	Cette espèce de colosse, Olric, est passé tout à l'heure... Je croyais qu'il déposait sa création pour le défi de la $tarte aux baies de cristal$...	Ольрик, эта ходячая гора мышц, недавно заходил... Я думал, он хочет отдать на смотр $пирог из кристальных ягод$...	That walking muscle, Olric... he stopped by earlier. I thought he was here to drop off his entry for the $Crystal Berry Pie$ Challenge...
