key	english	french	russian	bulgarian
Conversations/Post Endgame Scene Lines/post_endgame_scene_lines/adeline_post_endgame_0/1	I was so scared.	J'ai eu tellement peur.	Я ужасно испугалась.	I was so scared.
Conversations/Post Endgame Scene Lines/post_endgame_scene_lines/adeline_post_endgame_0/10	There's no time to waste!	Il n'y a pas de temps à perdre !	Нельзя терять ни минуты!	There's no time to waste!
Conversations/Post Endgame Scene Lines/post_endgame_scene_lines/adeline_post_endgame_0/11	For my first order of business...	Bien, ma priorité sera...	В самую первую очередь...	For my first order of business...
Conversations/Post Endgame Scene Lines/post_endgame_scene_lines/adeline_post_endgame_0/12	I'll get started on organizing a welcoming committee.	L'organisation d'un comité d'accueil.	Я займусь созданием приветственного комитета.	I'll get started on organizing a welcoming committee.
Conversations/Post Endgame Scene Lines/post_endgame_scene_lines/adeline_post_endgame_0/13	We have to make sure our resident dragons get settled into modern village life!	Nous devons veiller à ce que nos amis dragons s'intègrent à la vie quotidienne d'une ville moderne comme la nôtre.	Мы должны дать нашим соседям-драконам введение в современную деревенскую жизнь!	We have to make sure our resident dragons get settled into modern village life!
Conversations/Post Endgame Scene Lines/post_endgame_scene_lines/adeline_post_endgame_0/14	And I'd better get started on a letter to Mother and Father to explain everything...	Et je ferais bien d'envoyer une lettre à ma mère et à mon père pour leur expliquer tout ça...	А ещё надо подумать над письмом маме и папе, чтобы им всё объяснить...	And I'd better get started on a letter to Mother and Father to explain everything...
Conversations/Post Endgame Scene Lines/post_endgame_scene_lines/adeline_post_endgame_0/15	I hope I have enough paper!	J'espère avoir assez de papier !	Надеюсь, у меня хватит бумаги!	I hope I have enough paper!
Conversations/Post Endgame Scene Lines/post_endgame_scene_lines/adeline_post_endgame_0/2	Those mysterious people you appeared with... you stopped that earthquake somehow, didn't you?	Ces personnes mystérieuses qui sont apparues à tes côtés... Vous avez réussi à arrêter le tremblement de terre ensemble, n'est-ce pas ?	Ты <p>появились</p><f>появилась</f><m>появился</m><n>появилось</n> там вместе с этими странными людьми... Это же ты как-то <p>остановили</p><f>остановила</f><m>остановил</m><n>остановило</n> землетрясение, да?	Those mysterious people you appeared with... you stopped that earthquake somehow, didn't you?
Conversations/Post Endgame Scene Lines/post_endgame_scene_lines/adeline_post_endgame_0/3	[Ari]... what's really going on?	[Ari]... Que se passe-t-il exactement ?	[Ari]... Что там произошло на самом деле?	[Ari]... what's really going on?
Conversations/Post Endgame Scene Lines/post_endgame_scene_lines/adeline_post_endgame_0/4f	...	...	...	...
Conversations/Post Endgame Scene Lines/post_endgame_scene_lines/adeline_post_endgame_0/4r	...	...	...	...
Conversations/Post Endgame Scene Lines/post_endgame_scene_lines/adeline_post_endgame_0/5f	You know you can tell me anything...	Tu sais que tu peux tout me dire...	Ты же знаешь, мне можно рассказать что угодно...	You know you can tell me anything...
